Provincia,Frazioni,Abitanti,Superficie,Stazione,Prodotti,Altre_info,page
JESOLO,"Cavazuccherina, Cortellazzo, Lido di Jesolo, Passerella di Sotto",12006,9664,S. Donà di Piave (distante Km. 17),"Cereali, viti vinicole, foraggi, barbabietole da zucchero ecc. frutta, bestiame, pesce di valli salse","Esiste una spiaggia lussuosa, frequentata da 8 alle 10 mila persone, dal 1. giugno al 30 settembre. Servizio automobilistico: S. Donà di Piave - Cavazuccherina, Punta Sabbioni - Venezia, quattro corse di andata e ritorno; d'estate cinque. Servizio automobilistico per la stazione ferroviaria di S. Donà di Piave: Ditta Ferrari Fratelli di Fossalta di Piave, due corse di andata e due di ritorno con capolinea di Lungomare Dalmazia su questa spiaggia.",528-529
MARCON,Gaggio,4175,Kmq. 25:02,Mogliano Veneto, distanza Km. 5 sulla Venezia-Treviso, fermata al Casello di Gaggio,530
MARTELLAGO,Maerne,6757,Ett. 2015,Maerne, Autocorriere Mestre e Soorzè.,cereali uva,530
MEOLO,Losson,5219,Ett. 2761,Meolo,Cereali, uva,531-532
MIRA,"Borbiago, Gambarare, Oriago, Marano",27011,,Mestre - Piove a Km. 6.3: Mira Km. 2, Oriago Km. 4,"cereali, véno, candele, saponi, prodotti chimici, laterizi, lignito, acetì, scope, pennelli, spazzole, calzature",533-534-535
MIRANO,"Zianigo, Scaltenigo, Campocroce, Balbi Vete’go",15350,Ett. 500,,,,536
Mirano,,,"Stazione ferroviaria : Mira, Mirano (distanza Km. 3)","Prodotti naturali ed industriali : Vino, frumento, granoturco, avena, orzo, fagiaggi, pesce, animali da cortile, uova, saggina.","Servizio Automobilistico : Noale, Mirano, Venezia, Padova.",,537-538-539
MUSILE DI PIAVE,"Croce di Piave, Capo Sile, Fossetta, Palu dello Salis, Scuole S. Rocco, Casolianche, Cassinelle",3014,Ett. 4.300,Fossalta di Piave e S. Donà di Piave (la prima distante km. 8. la seconda Km. 2),"Cereali, uva, bestiame, bozzoli, ecc.",,540-541-542
NOVENTA DI PIAVE,,6209,Ett. 1800,S. Donà di Piave,Cereali, uva,543-544
PIANIGA,"Pianiga, Arino M., Mellaredo, Cazzago, Rivale",6130,1867,"Vigonza Pianiga, distanza Km. 2","Vini, cereali, piselli","Tranvia: Barbargia di Strà, Km. 6; Dolo Km. 6,500. Servizio Automobilistico: Siamic - Treviso - Venezia - Mellaredo - Padova e viceversa; Salzano - Mirano - Pianiga - Padova e viceversa.",545
PORTOGRUARO,"Alvison, Pradipozzo, Summaga, S. Nicolo, Portovecchio, Villastorta, Giussagio, Luguanana",21000,10630 ettari,"ferroviaria, linee per Trieste, Venezia, Treviso, Udine","cereali, vino, gelati, pesche, foraggi seta, perfustada, patate, bachiibeleto, lino","Altezza sul mare: m. 5; Stalo fluviale: Borgo S. Giovanni, Borgo S. Agnese.; Autocorriere: linee per Caorle, Pordenone, Motta di Livenza.; Fiere: metà quaresima; 26 aprile (equini); 30 novembre; Fiera bovini: tutti i giovedì; Mercati: tutti i giovedì.",546-547-548-549-550
Annone Veneto,Summaga,,Ett. 2400 circa,Stazione ferroviaria: Pramaggiore : distanza Km. 5.,"cereali, vini, munnozzoli",,551
SALZANO,Robegano,6200,Ett. 1632,Salzano (distanza Km. 1,7),Vini,552
S. DONA' DI PIAVE,"Passarella, Chiesanuova",24598,Ett. 8000,S. Donà di Piave,"cereali, uova, fieno, bozzoli, fagioli, barbabietole",,553-554-555-556
S. MICHELE AL TAGLIAMENTO,"S. Michele (Capoluogo), S. Giorgio Villanova, Malatesta, Casarolo, S. Filippo, Baseleghe, Pradis, Pratinuovi, S. Mauro, Bevanza­na",,Ett. 16.889,Latisana (distanza Km 1.500),"Cereali, uva, patate, tabacco, barbabietole, vimini",,557
S. MICHELE DEL QUARTO,"San Michele, Trepalade, Altino, Portergrandi",3549,Ett. 2734,S. Michele (distanza Km. 0.800),"cereali, uva, bozzoli, saggina, tabacco, legumi",,558
S. STINO DI LIVENZA,"Corbolone, Salute",10968,Ett. 6714,S. Stino,"cereali, vino forno, bozzoli",,559-560
S. MARIA DI SALA,"Caltana, Caselle de' Ruffi, S. Angelo, Stigliano, Veternigo, Sala",7467,Ett. 2733,Vigonza - Pianiga (distanza Km. 6); Noale (distanza Km. 6),"cereali, vino, bestiame e bozzoli",,561-562-563
SPINEA,"Crea, Fornase, Rossignago, Orgnano, Villafrnena",5344,Ett. 1500,"Mestre, distanza Km. 6 e Marerne di Martellago chilometri 2,500 Filovia Venezia, Mestre, Spinea, Mirano","cereali, vino, scope, spazzole, pennelli, laterizi",,564-565-566
TEGLIO VENETO,Cintlole,,Ett. 1128,Teglio Veneto, distanza Km. 2.,Agricoltura,567
TORRE DI MOSTO,Centro, Tezze, Confin, Staffolo, Rotta, S. Elena,567-568
VIGONOVO,Tombelle,5003,,Ponte di Brenta (distanza Km. 7),Granoturco, frumento,569-570
