Name,Address,Category,Additional Info,page
duse,"VENEZIA - Via XXII Marzo, 2288",Forniture,Telefono 25-889,553
duse,VENEZIA - Via XXII Marzo, 2288,Machines,554
duse,VENEZIA - Via XXII Marzo,2288 -,Mobili e Accessori per Ufficio,555
d' use,VENEZIA - Via XXII Marzo,Office Furniture - Typewriters - Calculating Machines - Duplicators - Accessories,,556
Officina Riparazioni,"Venezia, Via XXII Marzo n. 2238",Repair,"Telefono R.2993, macchine per scrivere",557
Duse,Venezia,Forniture ufficio,"SCHEDARI - MOBILI PER UFFICIO - MACCHINE CONTABILI MACCHINE PER SCRIVERE - DUPLICATORI - ACCESSORI, Via XXII Marzo, 2288, Telefono 25-889",558
duse,Via XXII Marzo n. 2223,Venezia,Maochine per Scrivere - Telefono 25-553,559
duset,,Macchine per scrivere,"Macchine per scrivere - Calcolatrici - Duplicatori OCCASIONI - CAMBI - RICOSTRUZIONI - NOLEGGI VENEZIA - Via XXII Marzo, 2288 - Telefono 25-889",560
d'use,VENEZIA - Via XXI Marzo, 2288,Furniture,561
duse,VENEZIA,Office Supply,"Macchine per scrivere - Calcolatrici - Duplicatori, OCCASIONI - CAMBI - RICOSTRUZIONI - NOLEGGI, Via XXII Marzo 2288 - Telefono n. 25.889",562
duse,VENEZIA - Via XXII Marzo, 2288,Forniture complete,563
Duse,VENEZIA,Mobile per ufficio,"Mobili Per Ufficio - Macchine Contabili - Macchine Per Scrivere - Duplicatori - Accessori, Via XXII Marzo, n. 2288, Telefono n. 25-869",564
duse,Venezia - Via XXII Marzo,Officina riparazioni macchine per scrivere,Telefono 25-889,565
CALZATURIFICIO SOC. COOP. G. SARTORI & C. - STRA,,Footwear,"Specialità - Lavorazione a mano per uomo, signora e bambine",566
d' use,"VENEZIA - Via XXII Marzo, n. 2288",Office Machines,Telephone n. 25-889,566
d'use,Via XXII Marzo, 2288,Venezia,567
d'use,VENEZIA - Via XXII Marzo 2288,Macchine per scrivere,"OCCASIONI - CAMBI - RICOSTRUZIONI - NOLEGGI, Telefono n. 26.889",568
Duse,VENEZIA - Via XXII Marzo, 2288,Forniture per ufficio,569
