Provincia,Frazioni,Abitanti,Superficie,Stazione,Prodotti,Altre_info,page
MARTELLAGO,Maerne,6757,Ett. 2015,"Maerne, Autocorriera Mestre e Socrze.","cereali, uva, scope, pesche, laterizi, Latteria Cooperativa",,530
MEOLA,Losson,5219,Ett. 2761,Meolo,Cereali, uva,531-532
MIRA,"Borbiago, Gambarare, Oriago, Malano",27011,,"Ferrovia second. Mestre - Piove a Km. 36; Mira Km. 2, Oriago Km. 4."," ""Cereali", vino,533-534-535
MIRANO,"Zimigo, Scaltemigo, Campor-cere, Ballo Vetego",15350,Ett. 516,,"pasquefcra: Scalderiamo Marro (fabbrica biscotti), Drago Giovani",,536-537-538-539
NOALE,"Briana, Cappelletta, Moniego",7180,Ett. 2341,Noale,"Vino, cereali, pesche, laterizi, filati",,541-542
NOVENTA DI PIAVE,,6290,Ett. 1804,S. Donà di Piave,Cereali, uva,543-544
PIANIGA,"Pianiga, Arino MI, Mellaredo, Cazzago, Rivale",6130,Ett. 1867,"Vigonza Pianiga, distanza Km. 2","Vini, cereali, piselli","Tramvia : Barbariga di Stra, Km, 6; Dolo Km. 6,500. Servizio Automobilistico: Siamic Treviso - Noale - Mellaredo - Padova e viceversa; Salzano - Mirano - Pianiga - Padova e viceversa.",545
PORTOGRUARO,Ison, Pradipozzo, Sumagga, S. Nicolò, Portovecchio, Villastorta,546-547-548-549
PRAMAGGIORE,"Blesaglia, Belfiore, Salvarolo, Commune, Martignou. Briscola, Prahedoi",3977,Ett. 2400 circa,Pramaggiore: distanza Km. 5,"cereali, vini, lnnozzoli",,551
SALZANO,Robegano,6200,Ett. 1632,Salzano (distanza Km. 1,7),Vini,552
S. DONA' DI PIAVE,"Passarella, Chiesanuova",24598,Ett. 8000,S. Donà di Piave,"cereali, uva, fieno, bozzoli, fagioli, barbabietole",,553-554-555-556
S. MICHELE AL TAGLIAMENTO,"S. Michele (Capoluogo), S. Giorgio Villanova, Malatesta, Casarolo, S. Filippo, Baseleghe, Pradis, Pratinuovi, S. Mauro, Bevasanna",,Ett. 16.989,Latisana (distanza Km 1.500),"Cereali, uva, patate, tabacco, barbabietole, vimini",,557
S. MICHELE DEL QUARTO,"San Michele, Trepalade, Altino, Portegrandi",3549,Ett. 2734,S. Michele (distanza Km. 0.800),"cereali, uva, bozzoli, saggina, tabacco, legumi",,558
S. STINO DI LIVENZA,"Corbolone, Salute",10968,Ett. 6714,S. Stino,"cereali, vino forno, bozzoli",,559-560
S. MARIA DI SALA,"Caltana, Caselle de' Ruffi, S. Angelo, Stigliano, Veternigo, Sala",7467,Ett. 2733,Vigonza - Pianiga (distanza Km. 6); Noale (distanza Km. 6),"cereali, vino, bestiame e bozzoli",,561-562-563
SPINEA,"Crea, Fornase, Rossignago, Orgnano, Villafranca",3343,Ett. 1500,"Mestre, distanza Km. 6 e Marene di Martellago chilometri 2,500.","cereali, vino, scope, spazzole, pennelli, laterizi","Filovia Venezia, Mestre, Spinea, Mirano.",564
_STRÀ_,San Pietro di Stra e Paluello di Stra,3945,Km. 8.78.26.90,Vigonza, Piñiaga (distanza Km. 8 a Ponte di Brenta Km. 6),"Cereali, calzature, ricami a mano, barbathetole, tabacco e uve.",565-566
TEGLIO VENETO,Cintollo,,Ett. 1128,Teglio Veneto, distanza Km. 2.,Agricoltura,567
TORRE DI MOSTO,Centro, Tezzo, Confion, Staffolo, Rotta, S. Elena,567-568
VIGONOVO,Tombelle,5003,,Ponte di Brenta (distanza Km. 7),"Granturco, frumento, fieno, bestiame, vino",Industrie: Fabbriche calzature uomo donna,569-570
