Name,Address,Category,Additional Info,page
OFFICINA MEOOANICA TIOZZO BRUNO,Riva Canal Lombardo 1417 - CHIOGGIA,Officina,Installazioni Motori Marini Riparazioni in genere,513
duse,"VENEZIA - Via XXII Marzo, 2288",Mobili e Accessori,Telefono 25.889,513
d'use,,Typewriters and Calculators,Macchine per scrivere - Calcolatrici - Occasioni - Cambi - Ricostruzioni - Noleggi; VENEZIA - Via XXII Marzo,514
d'use,VENEZIA,Mobili e Accessori,Via XXII Marzo,515
d.use,,Office Supplies,"MOBILI PER UFFICIO - MACCHINE CONTABILI MACCHINE PER SCRIVER - DUPLICATORI - ACCESSORI, VENEZIA - Via XXII Marzo, 2288 - Telefono 25-889",516
I.duse,Via XXI Marzo n. 2288,Venezia,Telefono 25-989,517
duse,VENEZIA - Via XXI Marzo,Office Furniture,"MOBILI PER UFFICIO - MACCHINE CONTABILI MACCHINE PER SCRIVERE - DUPLICATORI - ACCESSORI, Telefono 25-889",518
OFFICINA RIPARAZIONI,Via S. Marco N. 2288,Macchine per Scrivere,Telefono 25-889,519
duse,VIA XXII Marzo,Macchine per scrivere e Calcolatrici,Occasioni - Cambi - Ricostruzioni - Noleggi - Telefono 25-889,520
MOBILIFICIO VENETO,VIA RIZZO 27,Dolo (Venezia),Ricoo assortimento Mobili di lusso e comuni - Ottomane Divani - Letti matrimoniali - Poltrone letto - Poltronoline Salottini combinati Sedie di ogni tipo,521
duse,VENEZIA - Via XXII Marzo,2288,Forniture complete MOBILI e ACCESSORI per UFFICIO,521
d'use,VENEZIA - Via XXI Marzo,Typewriters,"Occasioni - Cambi - Ricostruzioni - Noleggi, Telefono 25-889",522
duse,Venezia - Via XXI Marzo,Arredi,"Forniture complete MOBILI e ACCESSORI per UFFICIO, Telefono 25.889",523
"d' ""duse""",VENEZIA - Via XXII Marzo, MACHINES, MACCHINE PER UFFICIO - MACCHINE CONTABILI - MACCHINE PER SCRIVERE - DUPLICATORI - ACCESSORI - Telefono n. 25-889,524
d'USE,Venezia,Office Supplies,OFFICINA RIPARAZIONI / VIA XXI MARZO N. 2228 / TELEFONO 25-869 / MACCHINE per SCRIVERE,525
SCHEDARI - MOBILI PER UFFICI - MACCHINE CONTABILI - MACCHINE PER SCRIVERE - DUPLICATORI - ACCESSORI,VENEZIA - Via XXII Marzo,Accessori,Telefono n. 25-889,526
"d' ""duso",,,,526
DUSE,"Venezia - Via XXII Marzo, 2288",Officina Riparazioni,Telefono 25-889,527
d'use,Venezia - Via XXII Marzo 2288,Macchine per scrivere,OCCASIONI · CAMBI · RICOSTRUZIONI · NOLEGGI; Telefono n. 25.889,528
duse,VENEZIA - Via XXII Marzo, 2288,Mobili e Accessori,529
Duse,VENEZIA - Via XXII Marzo 2288,Macchine per scrivere,"OCCASIONI - CAMBI - RICOSTRUZIONI - NOLEGGI, Telefono n. 25.889",530
d'use,VENEZIA - Via XXI Marzo, 2288,Office Supplies,531
duse,Venezia Via XXII Marzo,Mobili per ufficio,"Schedari, macchine per scrivere, duplicatori, accessori, Telefono 25-889",532
d'use,Via XXII Marzo, 2288,Venezia,533
duse,VENEZIA Via XXII Marzo,MOBILI PER UFFICIO,MACHINE CONTABILI,534
Salviato Ferruccio,Via Giacomo Matteotti 525 A - MIRA,Mobilificio,Falegnameria,535
La Radiotecnica,Negozio: Mira Taglio N. 176 - Tel. 12,Radio,APPARECCHI RADIO ED ELETTRODOMESTICI DELLE MIGLIORI CASE; Laboratori: Riviera G. Matteotti N. 376 - Tel. 14,536
duse,"VENEZIA, Via XXII Marzo, 2288",Mobili e Accessori,"Forniture complete per UFFICIO, Telefono 25-889",537
Duse,Venezia,Macchine per scrivere / Calcolatrici / Duplicatori,"Via XXII Marzo, 2288 - Telefono 25-889",538
duse,"Venezia - Via XXII Marzo, 2288",Furniture,"Forniture complete MOBILI e ACCESSORI per UFFICIO, Telefono 25-889",539
d'usel,Venezia,Office Supplies,"SCHEDARI – MOBILI PER UFFICIO – MACCHINE CONTABILI MACCHINE PER SCRIVERE – DUPLICATORI – ACCESSORI, Via XXII Marzo, 2288 - Telefono 25-889",540
d'USE,Via XXI Marzo 11,Officina Riparazioni,Telefon. 28-89,541
d'USE.,VENEZIA – Via XXI Marzo, n. 2288,Mobili per ufficio,542
Officina Riparazione Macchine per Scrivere,Venezia Via XXII Marzo 1. 2288,Machinery,Telefono 23-883,543
duse,VIA XXII Marzo, 2288,Macchine per scrivere,544
Duse,VENEZIA - Via XXII Marzo,Forni completi MOBILI e ACCESSORI per UFFICIO,Telefono 25.889,545
duse,Venezia,Macchine per scrivere,Macchine per scrivere - Calcolatrici - Duplicatori - OCCASIONI - CAMBI - RICOSTRUZIONI - NOLEGGI,546
"duse""",VENEZIA - Via XXII Marzo,2288 - Telefono 25.889,Furniture,547
d’use,"VENEZIA – Via XXII Marzo, n. 2288",Mobli per ufficio,"MACCHINE PER SCRIVERE - DUPLICATORI - ACCESSORI, Telefono n. 25-889",548
Duse,VENEZIA - Via XXII Marzo, 2288,Office Equipment,549
d'use,VENEZIA - Via XXII Marzo,Office Machines,"SCHEDARI - MOBILI PER UFFICIO - MACCHINE CONTABILI MACCHINE PER SCRIVERE - DUPLICATORI - ACCESSORI, Telefono 25-889",550
OFFICINA RIPARAZIONI MACCHINE PER SCRIVERE,"VENEZIA - Via XXII Marzo, 2288",dise,Telefono 25-889,551
duse,Venezia,Machine for Writing,Macchine per scrivere - Calcolatrici - Duplicitatori OCCASIONI - CAMBI - RICOSTRUZIONI - NOLEGGI; Via XXII Marzo 2288; Telefono n. 25.889,552
duse,VENEZIA Via XXII Marzo,2288,Mobili e Accessori,553
duse,VENEZIA - Via XXII Marzo,Macchine per scrivere,Occasioni - Cambi - Ricostruzioni - Noleggi - Telefono 25-889,554
duse,"VENEZIA - Via XXII Marzo, 2288",Office Supplies,Forniture complete MOBILI e ACCESSORI per UFFICIO - Telefono 25-889,555
d' use,VENEZIA - Via XXII Marzo, 2288,MOBILI PER UFFICIO - MACCHINE CONTABILI - MACCHINE PER SCRIVERE - DUPLICATORI - ACCESSORI,556
Duse Officina Riparazioni,"Via XIII Marzo N. 2288, Venezia",Machinery,Telefono N. 2499,557
duse,Venezia - Via XXII Marzo,Office Furniture,"Mobili per Ufficio - Macchine Contabili, Macchine per Scrivere - Duplicatori - Accessori, Telefono 25-889",558
d'use,VIA XIII Marzo n. 2288,Officina Riparazioni,"Macchine per scrivere, Telefono 25-838",559
dure,VENEZIA - Via XXII Marzo, 2288,Macchine per scrivere - Calcolatrici - Duplicatori,560
Duse,Via XXII Marzo, 2288,Furniture,561
duse,VENEZIA - Via XXII Marzo 2288,Macchine per scrivere - Calcolatrici - Duplicatori,"OCCASIONI - CAMBI - RICOSTRUZIONI - NOLEGGI, Telefono n. 25.889",562
d'uso,VENEZIA - Via XXII Marzo, 2288,Forniture,563
duso,VENEZIA,Office Furniture,"GUIDA - MOBILI PER UFFICIO - MACCHINE CONTABILI - MACCHINE PER SCRIVERE - DUPLICATORI - ACCESSORI, Via XXII Marzo, n. 2286, Telefono n. 25-869",564
d'USE,Venezia - Via XXII Marzo,Officina Riparazioni Macchine,Telefono 25-889,565
CALZATURIFICIO SOC. COOP. G. SARTORI & C.,Strà,Footwear,Specialità - Lavorazione a mano per uomo,566
"dus,VENEZIA - Via XXII Marzo", n. 2288,Office Supplies,MOBILI PER UFFICIO • MACCHINE CONTABILI • MACCHINE PER SCRIVERE • DUPLICATORI • ACCESSORI - Telefono n. 25-889,566
d'Use,"Via XXII Marzo, 2288, VENEZIA",Macchine per scrivere,Telefono 25-889,567
d' duse,VENEZIA - Via XXII Marzo 2288,Macchine per scrivere,"Telefono n. 26.889, OCCASIONI - CAMBI - RICOSTRUZIONI - NOLEGGI",568
duse,VENEZIA - Via XXII Marzo,2288,Forniture,569
