Name,Address,Category,Additional Info,page
duse,,Macchine per Ufficio,"SCHEDARI - MOBILI PER UFFICIO - MACCHINE CONTABILI, MACCHINE PER SCRIVER - DUPLICATORI - ACCESSORI, VENEZIA - Via XXII Marzo, 2288 - Telefono 25-889",516
d'use,Venezia Via XXII Marzo n. 2288,Macchine per Scrivere,Telefono 25-269,517
duse,VENEZIA - Via XXI Marzo,MOBILI PER UFFICIO - MACCHINE CONTABILI,"MACCHINE PER SCRIVERE - DUPLICATORI - ACCESSORI, Telefono 25-889",518
"OFFICINA RIPARAZIONI ""DUSE""",Via Venti Marzo n. 2288,Macchine per Scrivere,Telefono 25-889,519
duse,Venezia - Via XXII Marzo,Macchine per scrivere e calcolatrici,Occasioni - Cambi - Ricostruzioni - Noleggi - Telefono 25-889,520
MOBILIFICIO VENETO,VIA RIZZO 27,Dolo,Ricco assortimento Mobili di lusso e comuni - Ottomane Divani - Letti matrimoniali - Poltrone letto - Poltroncine Salottini combinati,521
Duse,Via XXII Marzo, 2288,Macchine per scrivere,522
d'use,VENEZIA - Via XXI Marzo, 2288,Mobili,523
duse,"VENEZIA - Via XXII Marzo, n. 2288",Furniture,SEDIARI - MOBILI PER UFFICIO - MACCHINE CONTABILI MACCHINE PER SCRIVERE - DUPLICATORI - ACCESSORI  Telefono n. 25-889,524
d'use,Via XXI Marzo n. 2288,Venezia,Telefono 25-858,525
OFFICINA RIPARAZIONI,,MACCHINE per SCRIVERE,,525
duser,,Advertising,"Schedari - Mobili per Ufficio - Macchine Contabili - Macchine per Scrivere - Duplicatori - Accessori, VENEZIA - Via XXII Marzo, n. 2288 - Telefono n. 25-889",526
dise,"VENEZIA - Via XXII Marzo, 2288",Officina,Carta 25-889,527
d'USE,"VIA XXII MARZO 2288, VENEZIA",Machines for Writing,Occasioni - Cambi - Ricostruzioni - Noleggi - Telefono n. 25.889,528
duse,VENEZIA - Via XXII Marzo, 2288,Forniture,529
duse,VENEZIA - Via XXII Marzo 2288,Machines,Macchine per scrivere - Calcolatrici - Duplicatori OCCASIONI - CAMBI - RICOSTRUZIONI - NOLEGGI Telefono n. 25.889,530
d'use,Venezia,Office Supplies,"forniture complete MOBILI e ACCESSORI per UFFICIO, Via XXII Marzo, 2288, Telefono 25-889",531
duse,Venezia - Via XXI Marzo,Office Equipment,"Schedari - Mobili Per Ufficio - Macchine Contabili, Macchine Per Scrivere - Duplicatori - Accessori, Telefono 25-889",532
d'use,Via XXII Marzo, 2288,Office Supplies,533
duse,Venezia,Office Supplies,Mobili per Ufficio - Macchine Contabili Macchine per Scrivere - Duplicatori - Accessori,534
Salviato Ferruccio,Via Giacomo Matteotti 525 A - MIRA,Falegnameria Mobilificio,,535
La Radiotecnica di Casarico Virginio,Mira Taglio,Radio,"Apparecchi radio ed elettrodomestici delle migliori case, Negozio: Mira Taglio, N. 176 - Tel. 12, Laboratori: Riviera G. Matteotti, N. 378 - Tel. 14",536
duse,VENEZIA - Via XXII Marzo, 2288,Forniture,537
d’use,VENEZIA - Via XXII Marzo. 2288,Mobile e Accessori,Forniture complete - Telefono 25-889,539
duse,VENEZIA - Via XXII Marzo,Office Supplies,"SCHEDARI - MOBILI PER UFFICIO - MACCHINE CONTABILI MACCHINE PER SCRIVERE - DUPLICATORI - ACCESSORI, Telefono 25-889",540
d'use,Venezia Via XXII Marzo 11. 2238,Officina Riparazioni,"Macchine per Scrivere, Telefono 42-889",541
duse,Venezia - Via XXII Marzo,Macchine per ufficio,"Schedari, Macchine per scrivere, Duplicatori, Accessori - Telefono n. 25-889",542
Officina Riparazioni Dusé,Via XXI Marzo n. 2288,Repairs,"Macchine per Scrivere, Telefono 26-888",543
d'use,"Via XXII Marzo, 2288",Machinery,"Macchine per scrivere - Calcolatrici - Duplicatori, OCCASIONI - CAMBI - RICOSTRUZIONI - NOLEGGI, Telefono 25-889",544
d'usse,VENEZIA - Via XXII Marzo,Office Furniture,Forniture complete MOBILI e ACCESSORI per UFFICIO - Telefono 25.889,545
Duse,VENEZIA - Via XXII Marzo 2288,Macchine per scrivere,"OCCASIONI - CAMBI - RICOSTRUZIONI - NOLEGGI, Telefono n. 25.889",546
duse,"Venezia - Via XXII Marzo, 2288",Mobili e Accessori per Ufficio,Telefono 25.889,547
Sgheriari,Mobili Per Ufficio,Advertisement,"Macchine Per Scrivere - Duplicatori - Accessori, Venezia - Via XXII Marzo, n. 2288, Telefono n. 25-889",548
duse,Via XXII Marzo,OPTICIAN RIPARAZIONI MACCHINE PER SCRIVERE,"VENEZIA, Telefono 25-889",549
duse,VENEZIA - Via XXII Marzo,Mobili per Ufficio,"Telefon 25-889, SCHEDARI - MACCHINE PER SCRIVERE - DUPLICATORI",550
duse,"Venezia - Via XXII Marzo, 2288",Officina Riparazioni Macchine per Scrivere,Telefono 25-889,551
Duse,Venezia,Machine for writing,Macchine per scrivere e Calceolatrici e Duplicatori - Occasioni - Cambi - Ricostruzioni - Noleggi - Via XXII Marzo 2288 - Telefono n. 25.889,552
duse,Venezia Via XXII Marzo,2288,Mobili e Accessori,553
duse,VENEZIA - Via XXII Marzo, 2288,Typewriters,554
duse,"VENEZIA - Via XXII Marzo, 2288",Furniture,Forniture complete MOBILI e ACCESSORI per UFFICIO - Telefono 25-889,555
Duse,"Venezia, Via XXII Marzo, 2288",Mobility & Office Equipment,"Macchine per ufficio, Macchine contabili, Duplicatori, Accessori, Telefono 25-889",556
Officina Riparazioni,"Via XIII Marzo n. 2288, Venezia",Machinery Repair,Telefono N. 2324,557
duse,VENEZIA - Via XXII Marzo 2288,Office Supplies,MOBILI PER UFFICIO - MACCHINE CONTABILI MACCHINE PER SCRIVERE - DUPLICATORI - ACCESSORI Telefono 25-889,558
duse,Via XIII Marzo n. 2228 Venezia,Officina Riparazioni,MAOCHINE per SCRIVERE Telefono 35-889,559
d'use,"VIA XXII Marzo, 2288, VENEZIA",Macchine per scrivere,Macchine per scrivere - Calcolatrici - Duplicatori - OCCASIONI - CAMBI - RICOSTRUZIONI - NOLEGGI; Telefono 25-889,560
d'use,"VENEZIA - Via XXII Marzo, 2288",Forniture,Telefono 25-889,561
duse,VIA XXII Marzo 2288,Venezia,"Macchine per scrivere - Calcolatrici - Duplicatori, OCCASIONI - CAMBI - RICOSTRUZIONI - NOLEGGI, Telefono n. 25.889",562
DUSE,Venezia,Office Furniture,Forniture complete Mobili e Accessori per Ufficio - VENEZIA - Via XXII Marzo,563
Duse,Venezia,Office Furniture,"SEDIARI – MOBILI PER UFFICIO – MACCHINE CONTABILI, MACCHINE PER SCRIVERE - DUPLICATORI - ACCESSORI, Via XXII Marzo, n. 2288 – Telefono n. 25-869",564
OFFICINA RIPARAZIONI MACCHINE PER SCRIVERE,"VENEZIA, Via XXII Marzo, 2288",Repair,Telefono 25-889,565
CALZATURIFICIO SOC. COOP. G. SARTORI & C.,Strà,Footwear,Specialità - Lavorazione a mano per uomo,566
duso,VENEZIA - Via XXII Marzo, n. 2288,Office Supplies,566
duse,"VENEZIA - Via XXII Marzo, 2288",Officina Riparazioni Macchine per Scrivere,Telefono 25-889,567
d'use,VENEZIA - Via XXII Marzo 2288,Machines for Writing,"Occasioni - Cambi - Ricostruzioni - Noleggi, Telefono n. 25.889",568
duse,"VENEZIA - Via XXII Marzo, 2288",Forniture,"Forniture complete MOBILI e ACCESSORI per UFFICIO, Telefono 25.889",569
