occupation,frequency,cluster_id,category_name
Fabbro Ferrario e Meccanico,3,0,"Industrial, technical & construction trades"
construction enterprise,3,0,"Industrial, technical & construction trades"
Accordatori pianoforti,2,0,"Industrial, technical & construction trades"
Articoli Elettrici,2,0,"Industrial, technical & construction trades"
Carburanti,2,0,"Industrial, technical & construction trades"
Carburo di calcio,2,0,"Industrial, technical & construction trades"
Elettrodi,2,0,"Industrial, technical & construction trades"
Estintori da incendio,2,0,"Industrial, technical & construction trades"
Elettrotecnica,2,0,"Industrial, technical & construction trades"
COPERTURE - RIVESTIMENTI - TUBAZIONI,2,0,"Industrial, technical & construction trades"
Fertilizzanti e anticrittogamici,2,0,"Industrial, technical & construction trades"
Idraulica e sanitaria,2,0,"Industrial, technical & construction trades"
"Imprese Lavori, Commercio Legnami, Forniture, Demolizioni, Costruzioni in Legno, Appalti",2,0,"Industrial, technical & construction trades"
Impianti elettrici,2,0,"Industrial, technical & construction trades"
Isolanti termici ed acustici,2,0,"Industrial, technical & construction trades"
Lavorazione droghe,2,0,"Industrial, technical & construction trades"
Legna per cellulosa,2,0,"Industrial, technical & construction trades"
Legname compensato,2,0,"Industrial, technical & construction trades"
Macchine agricole,2,0,"Industrial, technical & construction trades"
Macchine cinematografiche,2,0,"Industrial, technical & construction trades"
Macchine utensili,2,0,"Industrial, technical & construction trades"
Materiale per agricoltura,2,0,"Industrial, technical & construction trades"
Materiali,2,0,"Industrial, technical & construction trades"
Navi in cemento,2,0,"Industrial, technical & construction trades"
Officine fabbrili,2,0,"Industrial, technical & construction trades"
Oggetti di piombo,2,0,"Industrial, technical & construction trades"
Prodotti e sottoprodotti petroliferi,2,0,"Industrial, technical & construction trades"
"Rappresentanti e commissionari auto, cicli e accessori",2,0,"Industrial, technical & construction trades"
materiali edili,2,0,"Industrial, technical & construction trades"
Serramenti,2,0,"Industrial, technical & construction trades"
Società minerarie,2,0,"Industrial, technical & construction trades"
fertilizzanti e anticrittogamici,2,0,"Industrial, technical & construction trades"
carbone (importatori e produttori),2,0,"Industrial, technical & construction trades"
Carbone e Legna (dettaglio),2,0,"Industrial, technical & construction trades"
carbone legna,2,0,"Industrial, technical & construction trades"
materiale elettrico,2,0,"Industrial, technical & construction trades"
officina meccanica metallurgica e costruzioni in ferro,2,0,"Industrial, technical & construction trades"
macchine cinematografiche,2,0,"Industrial, technical & construction trades"
carta cartoni ed affini (industria),2,0,"Industrial, technical & construction trades"
Carbone e legna,2,0,"Industrial, technical & construction trades"
carbone e legna (dettagli),2,0,"Industrial, technical & construction trades"
carbone e legna (dett.),2,0,"Industrial, technical & construction trades"
impianti di riscaldamento,2,0,"Industrial, technical & construction trades"
Carbone e legna (dettaglio),2,0,"Industrial, technical & construction trades"
liquori (fabrica e deposito),2,0,"Industrial, technical & construction trades"
bandaio e lattoniere,2,0,"Industrial, technical & construction trades"
rappresentante materiali edili,2,0,"Industrial, technical & construction trades"
combustibili liquidi ed affini,2,0,"Industrial, technical & construction trades"
Legnami e pali da costruzione,2,0,"Industrial, technical & construction trades"
officina elettromeccanica,2,0,"Industrial, technical & construction trades"
impianti telefonici,2,0,"Industrial, technical & construction trades"
Cicli e Motocicli,2,0,"Industrial, technical & construction trades"
industria chimica,2,0,"Industrial, technical & construction trades"
Società Cementi Armati Centrifugati,2,0,"Industrial, technical & construction trades"
cicli e motoveicoli,2,0,"Industrial, technical & construction trades"
coal and firewood,2,0,"Industrial, technical & construction trades"
Generatori Acetilene brevettati,2,0,"Industrial, technical & construction trades"
esperto elettrotecnico,2,0,"Industrial, technical & construction trades"
Impresa impianti elettrici industriali,1,0,"Industrial, technical & construction trades"
UFFICIO TECNICO IMPOSTE DI FABBRICAZIONE,1,0,"Industrial, technical & construction trades"
Combustibili e Carburanti,1,0,"Industrial, technical & construction trades"
Abiti riparazioni,1,0,"Industrial, technical & construction trades"
Accessori per auto e lubrificanti,1,0,"Industrial, technical & construction trades"
Fabbrica Acque Gassate - “Chabeso”,1,0,"Industrial, technical & construction trades"
FABBRICA ACQUE GASSATE,1,0,"Industrial, technical & construction trades"
Automobili,1,0,"Industrial, technical & construction trades"
"BAULI moderni, solidi, leggeri ed eleganti",1,0,"Industrial, technical & construction trades"
Avvolgimento Motori,1,0,"Industrial, technical & construction trades"
Benzina,1,0,"Industrial, technical & construction trades"
Carboni Fossili e Legna da ardere,1,0,"Industrial, technical & construction trades"
Commercio Carboni e Legna da ardere,1,0,"Industrial, technical & construction trades"
carboni o legna da ardere,1,0,"Industrial, technical & construction trades"
"Cavi sotto piumo per energia ad alta e bassa tensione, Cavi telefonici di qualunque tipo, Cavetti sottopiombo per impianti interni, Fili « Corde rame » e alluminio isolati, Cordoncini luce-Cavetti sterlinanti, Accessori per cavi, Offerte, Listini",1,0,"Industrial, technical & construction trades"
Cavi elettrotelefonici recupero e posa,1,0,"Industrial, technical & construction trades"
Cementi armati,1,0,"Industrial, technical & construction trades"
"Compressori, Trapani, Smerigliatrici, Martelli pneumatici",1,0,"Industrial, technical & construction trades"
Concimi azotati,1,0,"Industrial, technical & construction trades"
Costruzioni stradali e ferroviarie,1,0,"Industrial, technical & construction trades"
"Officina elettrogalvanica, Argentatura, Ramatura, Biancatura, Ossidatura",1,0,"Industrial, technical & construction trades"
"FABBRICA - Cucine economiche, Stufe - Letti - Reti - Brande Turche",1,0,"Industrial, technical & construction trades"
Negozi: Bottega dell'Elettricità,1,0,"Industrial, technical & construction trades"
(fabbriche),1,0,"Industrial, technical & construction trades"
d’ingresso ferroviari,1,0,"Industrial, technical & construction trades"
Elettrochimica,1,0,"Industrial, technical & construction trades"
Elettrodomestica,1,0,"Industrial, technical & construction trades"
Elettrogalvanica,1,0,"Industrial, technical & construction trades"
"Impianti e Forniture Industriali e Civili, Riscaldamenti Moderni, Idraulici, Sanitari, Elettricità ed affini",1,0,"Industrial, technical & construction trades"
Falegnameria e Meccanica,1,0,"Industrial, technical & construction trades"
STABILIMENTO ELETTRO - MECCANICO PER LA LAVORAZIONE DEL LEGNO,1,0,"Industrial, technical & construction trades"
Ferro battuto,1,0,"Industrial, technical & construction trades"
Ferro e derivati,1,0,"Industrial, technical & construction trades"
Ferro e metalli da fondere,1,0,"Industrial, technical & construction trades"
Forniture meccaniche,1,0,"Industrial, technical & construction trades"
Fotindustria,1,0,"Industrial, technical & construction trades"
Gemme per veicoli,1,0,"Industrial, technical & construction trades"
"IMPIANTI E FORNITURE INDUSTRIALI E CIVILI, IN RISCALDAMENTI MODERNI, IDRAULICI, SANITARI, ELETTRICITÀ ED AFFINI, OFFICINA ELETTROME CANICA, SALDATURA AUTOGENA",1,0,"Industrial, technical & construction trades"
IMBALLAGGI IN LEGNO,1,0,"Industrial, technical & construction trades"
Impianti costruzioni elettriche,1,0,"Industrial, technical & construction trades"
Impianti riscaldamento,1,0,"Industrial, technical & construction trades"
Impianti Telefonici Automatici interni,1,0,"Industrial, technical & construction trades"
Fornitura per lavori ed opera edilizia stradali,1,0,"Industrial, technical & construction trades"
manutenzione strade ferrate,1,0,"Industrial, technical & construction trades"
costruzioni ferroviarie,1,0,"Industrial, technical & construction trades"
Porto Industriale,1,0,"Industrial, technical & construction trades"
"Impresa Costruzioni Edilizie, Lavori edilizi in cemento armato, ferro e legno",1,0,"Industrial, technical & construction trades"
Installazioni elettriche ed idrauliche e vendita materiale elettrico,1,0,"Industrial, technical & construction trades"
Lavorazione materie plastiche,1,0,"Industrial, technical & construction trades"
Lavorazione marmi,1,0,"Industrial, technical & construction trades"
Legna (ingrosso),1,0,"Industrial, technical & construction trades"
"Carboni fossili, Ligniti legna da ardere",1,0,"Industrial, technical & construction trades"
Macchine e accessori,1,0,"Industrial, technical & construction trades"
"Impresa Edile, Costruzioni In Cemento",1,0,"Industrial, technical & construction trades"
Materiali da costruzione,1,0,"Industrial, technical & construction trades"
Manufatti in cemento,1,0,"Industrial, technical & construction trades"
Materiale ferroviario,1,0,"Industrial, technical & construction trades"
Materiali plastici,1,0,"Industrial, technical & construction trades"
Materiali radio elettrici,1,0,"Industrial, technical & construction trades"
Materiali siderurgici,1,0,"Industrial, technical & construction trades"
Materiali tecnici e per la ricostruzione,1,0,"Industrial, technical & construction trades"
Materie resìnose,1,0,"Industrial, technical & construction trades"
Meccanica di precisione,1,0,"Industrial, technical & construction trades"
Metalli lavorati e bronzi,1,0,"Industrial, technical & construction trades"
Premiato Mobilificio,1,0,"Industrial, technical & construction trades"
ARREDAMENTI NEGOZI,1,0,"Industrial, technical & construction trades"
Motori,1,0,"Industrial, technical & construction trades"
Officine per carica accumulatori,1,0,"Industrial, technical & construction trades"
Officine industria alluminio,1,0,"Industrial, technical & construction trades"
Officina Meccanica e Fabbrile con Torneria,1,0,"Industrial, technical & construction trades"
Officine meccaniche e saldature,1,0,"Industrial, technical & construction trades"
selciatura e pavimentazione stradale,1,0,"Industrial, technical & construction trades"
per L'industria Mineraria ed agricola,1,0,"Industrial, technical & construction trades"
Prodotti industriali,1,0,"Industrial, technical & construction trades"
Recordi ferroviari,1,0,"Industrial, technical & construction trades"
"Riparazioni radiorecivitori normali e speciali - altoparlanti - microfoni, pick ups, ecc.",1,0,"Industrial, technical & construction trades"
Radiomeccanica,1,0,"Industrial, technical & construction trades"
rappresentante te colori e prodotti chimici,1,0,"Industrial, technical & construction trades"
rappresentante i prodotti chimici,1,0,"Industrial, technical & construction trades"
Ricerche minerarie,1,0,"Industrial, technical & construction trades"
Riparazioni impianti tecnici e igienici,1,0,"Industrial, technical & construction trades"
Riparazioni riavvolgimenti macchine elettriche,1,0,"Industrial, technical & construction trades"
Riscaldamento e termosifoni,1,0,"Industrial, technical & construction trades"
Rottami metallici,1,0,"Industrial, technical & construction trades"
Scaldabagni elettrici,1,0,"Industrial, technical & construction trades"
Fabbrica Timbri in Gomma,1,0,"Industrial, technical & construction trades"
COMPRESSORI D’ARIA,1,0,"Industrial, technical & construction trades"
TRAPANI ELETTRICI,1,0,"Industrial, technical & construction trades"
Tubi in cemento,1,0,"Industrial, technical & construction trades"
Tubi in ferro e acciaio,1,0,"Industrial, technical & construction trades"
Adriatica Costruzioni Edilizie,1,0,"Industrial, technical & construction trades"
Raffineria e Depositi,1,0,"Industrial, technical & construction trades"
alluminio,1,0,"Industrial, technical & construction trades"
Officina Meccanica Metallurgica e Costruzioni in Ferro,1,0,"Industrial, technical & construction trades"
Carbone e legna (grossista),1,0,"Industrial, technical & construction trades"
Officina meccanica,1,0,"Industrial, technical & construction trades"
eletricista,1,0,"Industrial, technical & construction trades"
lavorazione dzoghe,1,0,"Industrial, technical & construction trades"
materiali refrattari e laterizi. Prodotti chimici,1,0,"Industrial, technical & construction trades"
materiale per construzioni edilizie,1,0,"Industrial, technical & construction trades"
prodotti chimici commercio,1,0,"Industrial, technical & construction trades"
legnami e pali da costruzione,1,0,"Industrial, technical & construction trades"
officina meccanica metallurgica e construzioni in ferro,1,0,"Industrial, technical & construction trades"
costruttore edile,1,0,"Industrial, technical & construction trades"
liquori fabbrica e depositi,1,0,"Industrial, technical & construction trades"
officina meccanica metal. lurgica e costruzioni in ferro,1,0,"Industrial, technical & construction trades"
cicli e motocicli (posto per noleggio riparazioni),1,0,"Industrial, technical & construction trades"
Impianti Elettro-Industriali,1,0,"Industrial, technical & construction trades"
Elettricità Idraulica e Gas,1,0,"Industrial, technical & construction trades"
strumenti musicali e materiele radio,1,0,"Industrial, technical & construction trades"
carbone e legnai dettagli,1,0,"Industrial, technical & construction trades"
"Articoli sanitari, Articoli di gomma, tecnici ed industriali, l'nper. meschi Pirelli, Buetti Berni e delle migliori Marche, Forniture complete per,Ambulatori""",1,0,"Industrial, technical & construction trades"
fonderia meccanica,1,0,"Industrial, technical & construction trades"
"prodotti chimici, petrolio e benzina, marmi e cemento * * * * * * colori e vernici, ferramenta e metalli, carburo di calcio,",1,0,"Industrial, technical & construction trades"
acque minerali,1,0,"Industrial, technical & construction trades"
La Radio-elettrica,1,0,"Industrial, technical & construction trades"
Magazzino Ferro,1,0,"Industrial, technical & construction trades"
impresa di costruzioni e falegnameria,1,0,"Industrial, technical & construction trades"
officina meccanica e saldature,1,0,"Industrial, technical & construction trades"
mobili in ferro (fabbrica),1,0,"Industrial, technical & construction trades"
macchine contabili calcolatrici,1,0,"Industrial, technical & construction trades"
elettricisti idraulica gas,1,0,"Industrial, technical & construction trades"
legnami e pelli da costruzioni,1,0,"Industrial, technical & construction trades"
"di Belle, Ferrer e Zacchiroli M., carbone e legna (grossista)",1,0,"Industrial, technical & construction trades"
rappresento macchine,1,0,"Industrial, technical & construction trades"
riscaldamento e fumisteria,1,0,"Industrial, technical & construction trades"
guarnizioni isolanenti,1,0,"Industrial, technical & construction trades"
isolamenti termici ed acustici,1,0,"Industrial, technical & construction trades"
"Materiale per costruzioni edilizie, Leggere e rapide",1,0,"Industrial, technical & construction trades"
Materiale per costruzioni edilizie,1,0,"Industrial, technical & construction trades"
Acque Gassate,1,0,"Industrial, technical & construction trades"
"Fabbrica Vetri, Ditta",1,0,"Industrial, technical & construction trades"
rappresentanti carboni,1,0,"Industrial, technical & construction trades"
articoli tecnici combustibili solidi e liquidi,1,0,"Industrial, technical & construction trades"
Printe. Uff. Impianti Elettrici e di Segnalamento,1,0,"Industrial, technical & construction trades"
"galvanizzatore, cesellatore",1,0,"Industrial, technical & construction trades"
Impianti elettrici di luce,1,0,"Industrial, technical & construction trades"
gas (industria),1,0,"Industrial, technical & construction trades"
tubazioni industriali,1,0,"Industrial, technical & construction trades"
materiali radio elettrici,1,0,"Industrial, technical & construction trades"
timbri di gomma in metallo e incisioni,1,0,"Industrial, technical & construction trades"
ferri e metalli usati,1,0,"Industrial, technical & construction trades"
tornitore 2362,1,0,"Industrial, technical & construction trades"
elettricità idraulica gas,1,0,"Industrial, technical & construction trades"
macchine elettrica industriali e motori,1,0,"Industrial, technical & construction trades"
impianti frigoriferi,1,0,"Industrial, technical & construction trades"
impianti condizionamento d'aria,1,0,"Industrial, technical & construction trades"
fabbro ferruic meccanico,1,0,"Industrial, technical & construction trades"
pittunzionii industriali,1,0,"Industrial, technical & construction trades"
 carbone e legna (dettaglio),1,0,"Industrial, technical & construction trades"
ferramenta metalli,1,0,"Industrial, technical & construction trades"
Carbone e legna (vendita al dettaglio),1,0,"Industrial, technical & construction trades"
Apparecchi o materiale radio,1,0,"Industrial, technical & construction trades"
ferramenta,1,0,"Industrial, technical & construction trades"
manipolazione carboni FF. SS.,1,0,"Industrial, technical & construction trades"
elettricista idraulica e gas,1,0,"Industrial, technical & construction trades"
Combustibili solidi e liquidi,1,0,"Industrial, technical & construction trades"
Rappresentanze di prodotti chimici,1,0,"Industrial, technical & construction trades"
Industria,1,0,"Industrial, technical & construction trades"
Generatori Accellene Brevettati,1,0,"Industrial, technical & construction trades"
fornaci da calce e laterizi,1,0,"Industrial, technical & construction trades"
carbone e legna (det. taglio),1,0,"Industrial, technical & construction trades"
Ass. fra Proprietari di Fabbricati,1,0,"Industrial, technical & construction trades"
Offlcina Elettromeccanica,1,0,"Industrial, technical & construction trades"
carbone e legna (det- taglio),1,0,"Industrial, technical & construction trades"
fabbro ferrajo e mecrtnico,1,0,"Industrial, technical & construction trades"
officina fabbrile,1,0,"Industrial, technical & construction trades"
fabhro ferraio e meccanico,1,0,"Industrial, technical & construction trades"
Ferri e Metalli Usati,1,0,"Industrial, technical & construction trades"
rappresentante macchine,1,0,"Industrial, technical & construction trades"
magil'na (fabbrica),1,0,"Industrial, technical & construction trades"
levame e pali da costruzioni,1,0,"Industrial, technical & construction trades"
"Appareohgl per saldatura e taglio osalacetilenici, Riduttori di presslone, Impiantì di distrlbufione gas compressl, Rappresentanti per il Veneto: Soc. Rapprentazne Generali, S. Molse.",1,0,"Industrial, technical & construction trades"
lubrificanti,1,0,"Industrial, technical & construction trades"
idraulica-sanitaria,1,0,"Industrial, technical & construction trades"
 idraulica e gas,1,0,"Industrial, technical & construction trades"
impresa edile riscaldamento fumisteria,1,0,"Industrial, technical & construction trades"
fabbrica e deposito,1,0,"Industrial, technical & construction trades"
prodotti e sottoprodotti petroliferi,1,0,"Industrial, technical & construction trades"
Radio e radiogrammofoni,1,0,"Industrial, technical & construction trades"
Elettricista idraulica e gas,1,0,"Industrial, technical & construction trades"
rappresentante-prodotti chimii,1,0,"Industrial, technical & construction trades"
rapprsentate macchinari,1,0,"Industrial, technical & construction trades"
fabbrica,1,0,"Industrial, technical & construction trades"
metalli minuti,1,0,"Industrial, technical & construction trades"
"frigoriferi, officina meccanica e metallurgica",1,0,"Industrial, technical & construction trades"
comm. e lavorazione,1,0,"Industrial, technical & construction trades"
fabbricati e aziende agricole,1,0,"Industrial, technical & construction trades"
rappresentante materiale elettrico,1,0,"Industrial, technical & construction trades"
carbone legna legnam & pali da costruzioni,1,0,"Industrial, technical & construction trades"
prov. servizio impianti sport,1,0,"Industrial, technical & construction trades"
 industria,1,0,"Industrial, technical & construction trades"
rappresentante macchineri,1,0,"Industrial, technical & construction trades"
Imballaggi in legno,1,0,"Industrial, technical & construction trades"
Fonderia meccanica,1,0,"Industrial, technical & construction trades"
macchine a motori,1,0,"Industrial, technical & construction trades"
legnami e palia da costruzioni,1,0,"Industrial, technical & construction trades"
"Costruzioni ed impianti elettrici idraulici sanitari e gas, Officina riparazioni, Venezia materiale",1,0,"Industrial, technical & construction trades"
"armi, munizioni, proiettili",1,0,"Industrial, technical & construction trades"
Studio Radio e Elettrotecnico,1,0,"Industrial, technical & construction trades"
"cicli e motocicli (accessori, riparazioni, vendite)",1,0,"Industrial, technical & construction trades"
Lagenitmi e pali da costruzioni,1,0,"Industrial, technical & construction trades"
fornica di calce e laterizi,1,0,"Industrial, technical & construction trades"
Magazzino Deposito Materiali da Costruzioni,1,0,"Industrial, technical & construction trades"
Materiali per l’Edilizia,1,0,"Industrial, technical & construction trades"
cicli e motocicli (noleggio nolecizio riparazioni),1,0,"Industrial, technical & construction trades"
fabbro e meccanico,1,0,"Industrial, technical & construction trades"
fabre ferraio e meccanico,1,0,"Industrial, technical & construction trades"
minerali,1,0,"Industrial, technical & construction trades"
lubrificanti bitumi,1,0,"Industrial, technical & construction trades"
Fabbro ferraio meccanico,1,0,"Industrial, technical & construction trades"
"Officina Elettromeccanica, Saldatura Autogena",1,0,"Industrial, technical & construction trades"
ricerche minerarie,1,0,"Industrial, technical & construction trades"
elettricista idraulico,1,0,"Industrial, technical & construction trades"
"legnami e pali da costruzioni, (grossista)",1,0,"Industrial, technical & construction trades"
carbone e legname (dettaglio),1,0,"Industrial, technical & construction trades"
Fabbrica Timbri - Studio Incisioni,1,0,"Industrial, technical & construction trades"
Impresa Edile Falegnameria,1,0,"Industrial, technical & construction trades"
Macchine Utensili e Utensileria,1,0,"Industrial, technical & construction trades"
Industrie laterizi e affini,1,0,"Industrial, technical & construction trades"
Importazione Esportazione Commercio Prodotti del suolo e del Findustrie,1,0,"Industrial, technical & construction trades"
officina di Motoeicli,1,0,"Industrial, technical & construction trades"
"inco,re, coestelatore, sbalzatore, timbri di gom- ma e metallo",1,0,"Industrial, technical & construction trades"
cinema (produzione film stabii-,1,0,"Industrial, technical & construction trades"
Disinfestazioni con gas tossici,1,0,"Industrial, technical & construction trades"
impresa di costruzioni,1,0,"Industrial, technical & construction trades"
"Apparecchi di tutte le Marche, Dueomi Duenti, Amplificatori, Impianti Cine, Negozio e Laboratorio",1,0,"Industrial, technical & construction trades"
 benzina,1,0,"Industrial, technical & construction trades"
Fabbrica,1,0,"Industrial, technical & construction trades"
industries boschive,1,0,"Industrial, technical & construction trades"
elettricista,1,0,"Industrial, technical & construction trades"
"Sez, Materiale Trazione",1,0,"Industrial, technical & construction trades"
terramatta e metalía,1,0,"Industrial, technical & construction trades"
radiomeccanica,1,0,"Industrial, technical & construction trades"
mobili (fabbrica),1,0,"Industrial, technical & construction trades"
Prefabbricati,1,0,"Industrial, technical & construction trades"
impianti di riscaldamento elettricità idraulica e gas,1,0,"Industrial, technical & construction trades"
materiale per costruzione,1,0,"Industrial, technical & construction trades"
 acque minerali,1,0,"Industrial, technical & construction trades"
legno carboni (grossisti),1,0,"Industrial, technical & construction trades"
carburanti olii ed affnii,1,0,"Industrial, technical & construction trades"
gas (industrie),1,0,"Industrial, technical & construction trades"
apparecchi elettromeccanici,1,0,"Industrial, technical & construction trades"
prodotti industriali,1,0,"Industrial, technical & construction trades"
fonderia,1,0,"Industrial, technical & construction trades"
elettromeccanica,1,0,"Industrial, technical & construction trades"
legna per cellulose,1,0,"Industrial, technical & construction trades"
Fornace da calce e laterizi,1,0,"Industrial, technical & construction trades"
Fonderia p'eceuenca,1,0,"Industrial, technical & construction trades"
olii minerali,1,0,"Industrial, technical & construction trades"
Fornacci da calce e laterizi,1,0,"Industrial, technical & construction trades"
Molini e Pastificio,1,0,"Industrial, technical & construction trades"
ghiaerio (fabbrica),1,0,"Industrial, technical & construction trades"
industria laterizi,1,0,"Industrial, technical & construction trades"
ingegner costrzeni al Neon,1,0,"Industrial, technical & construction trades"
lavori poruuali materiali per costruzioni,1,0,"Industrial, technical & construction trades"
"Costruzioni edili, civili e industriali, industri inoshiva",1,0,"Industrial, technical & construction trades"
"Ufficio di Venezia, Sezioni: Stabilimento Grandi Motori, Ferriere Piemontesi, Industrie Metallurgiche ed Accialerie, Fonderie Ghisa, Materiale Ferroviario, S. A. Metalli, S. A. Produscia, S. A. Ricuperi Metallifei, Prodotti Vitoc e della Vetrooock.",1,0,"Industrial, technical & construction trades"
"Manufatti in cemento, tubi in cemento",1,0,"Industrial, technical & construction trades"
elettricità (produzione distribuzione),1,0,"Industrial, technical & construction trades"
ossidi metallici,1,0,"Industrial, technical & construction trades"
rappresentante carboni,1,0,"Industrial, technical & construction trades"
carbone e legna ingrosso (dettaglio),1,0,"Industrial, technical & construction trades"
fibre vegetali ed affini legna,1,0,"Industrial, technical & construction trades"
Lavorazione di Sughero in genere,1,0,"Industrial, technical & construction trades"
legnami e pali da costruzi,1,0,"Industrial, technical & construction trades"
Carbone e Legna (Dettaglio),1,0,"Industrial, technical & construction trades"
 officina meccanica e metallurgica,1,0,"Industrial, technical & construction trades"
officina meccanica e saldatura,1,0,"Industrial, technical & construction trades"
 acque gassaste,1,0,"Industrial, technical & construction trades"
"Addizionatori, Agricole, Utensili, Enologiche, da Scrivere",1,0,"Industrial, technical & construction trades"
Industria Acque Gassate,1,0,"Industrial, technical & construction trades"
Ingegnero,1,0,"Industrial, technical & construction trades"
Fornaci,1,0,"Industrial, technical & construction trades"
Laterizi Materiale per costruzioni edilizie,1,0,"Industrial, technical & construction trades"
elettricità e idraulica e gas,1,0,"Industrial, technical & construction trades"
