canonical_label,frequency,cluster_id,category_name
Not clear,3,0,Medical professions
Modern,3,0,Medical professions
physical education,3,0,Education & academic institutions
scientific and teaching,3,0,Education & academic institutions
English language,3,0,Education & academic institutions
Surgery,3,0,Medical professions
Address,3,0,Medical professions
Doctor,3,0,Medical professions
Unknown/Corrupted term,3,0,Medical professions
collection,3,0,Medical professions
Education/Languages,3,0,Education & academic institutions
Urban sanitation,3,0,"Governance, civic administration & institutional titles"
curios,3,0,Medical professions
French language,3,0,Education & academic institutions
fishing,3,0,Medical professions
applied,3,0,Medical professions
academic profession,3,0,Education & academic institutions
Religious Institution,3,0,Religious & civic institutions
Archive profession,2,0,"Governance, civic administration & institutional titles"
Archive protocol,2,0,"Governance, civic administration & institutional titles"
Typing schools,2,0,Education & academic institutions
Publication,2,0,"Visual, decorative arts & antiques"
assistance,2,0,Medical professions
Medical Profession,2,0,Medical professions
Mathematics,2,0,Education & academic institutions
Veterinary profession,2,0,Medical professions
Philology,2,0,Education & academic institutions
Restoration,2,0,Medical professions
Philosophy,2,0,Education & academic institutions
Philately,2,0,"Visual, decorative arts & antiques"
Pediatrician,2,0,Medical professions
Personal name,2,0,Medical professions
dental practice,2,0,Medical professions
Residential Canons,2,0,Medical professions
general medicine,2,0,Medical professions
(Individual Name),2,0,Medical professions
Architecture,2,0,Education & academic institutions
Newsstand,2,0,"Visual, decorative arts & antiques"
cinema,2,0,Medical professions
church,2,0,Religious & civic institutions
industry,2,0,Medical professions
Alpine Colony,2,0,"Governance, civic administration & institutional titles"
Paper,2,0,Medical professions
Statistics,2,0,Education & academic institutions
Individual,2,0,Medical professions
optics,2,0,Medical professions
optometry,2,0,Medical professions
overpass,2,0,Medical professions
neurology,2,0,Medical professions
newsstand,2,0,Medical professions
not applicable,2,0,Medical professions
"(unclear, possibly a trade)",2,0,Medical professions
History,2,0,Education & academic institutions
pianos,2,0,Medical professions
police station,2,0,"Governance, civic administration & institutional titles"
public health services,2,0,"Governance, civic administration & institutional titles"
Decorator,2,0,Medical professions
Guesthouse,2,0,Medical professions
theater,2,0,"Visual, decorative arts & antiques"
Laboratory,2,0,Medical professions
Local Address,2,0,Medical professions
(not specified),2,0,Medical professions
schools,2,0,Medical professions
Butchery,2,0,Medical professions
Library,2,0,Medical professions
Language,2,0,Medical professions
Jams,2,0,Medical professions
Film production,2,0,"Visual, decorative arts & antiques"
Italian literature,2,0,Medical professions
teachers' association,1,0,Medical professions
clergy,1,0,Religious & civic institutions
clinic,1,0,Medical professions
Aquaculture,1,0,Medical professions
Actress,1,0,Medical professions
vocational training institute,1,0,Education & academic institutions
war veterans association,1,0,"Governance, civic administration & institutional titles"
bar,1,0,Medical professions
choir,1,0,Medical professions
(details),1,0,Medical professions
(Unclear),1,0,Medical professions
aqueducts,1,0,Medical professions
(formerly Pardo and Bassani),1,0,Medical professions
usher,1,0,"Governance, civic administration & institutional titles"
category XXII,1,0,Medical professions
category VII,1,0,Medical professions
category IX,1,0,Medical professions
Archival profession,1,0,"Governance, civic administration & institutional titles"
Archive,1,0,"Governance, civic administration & institutional titles"
timekeeping,1,0,Industrial & electrical trades
terraces,1,0,Medical professions
turner,1,0,Medical professions
university,1,0,Education & academic institutions
university architecture institute,1,0,Education & academic institutions
university institute of architecture,1,0,Education & academic institutions
university library,1,0,Education & academic institutions
Academic Institution,1,0,Education & academic institutions
unspecified,1,0,Medical professions
unspecified individual,1,0,Medical professions
unspecified location,1,0,Medical professions
canal,1,0,Medical professions
calculator,1,0,Medical professions
hospitality,1,0,Medical professions
horse racing,1,0,Medical professions
heirs,1,0,Medical professions
hur,1,0,Medical professions
nobility,1,0,Medical professions
noble service,1,0,Medical professions
individual name,1,0,Medical professions
nursing school,1,0,Medical professions
nursing (Red Cross),1,0,Medical professions
Alberoni,1,0,Medical professions
Alpine Club,1,0,"Governance, civic administration & institutional titles"
orthopedic,1,0,Medical professions
Alpine club,1,0,"Governance, civic administration & institutional titles"
paper representative,1,0,Medical professions
injected palli,1,0,Medical professions
neuro-medicine,1,0,Medical professions
medical institution,1,0,Medical professions
lead,1,0,Medical professions
locality,1,0,Medical professions
marine hospice,1,0,Medical professions
municipal cemetery,1,0,"Governance, civic administration & institutional titles"
interpreter Basilica of San Marco,1,0,Medical professions
modifier,1,0,Medical professions
nephew,1,0,Medical professions
mining research,1,0,Medical professions
miscellaneous,1,0,Medical professions
Address/location,1,0,Medical professions
public housing institute,1,0,Medical professions
public square,1,0,Medical professions
radiology,1,0,Medical professions
dermatologist,1,0,Medical professions
saintly man,1,0,Religious & civic institutions
school,1,0,Medical professions
dermatology,1,0,Medical professions
region,1,0,Medical professions
education,1,0,Medical professions
Animal housing,1,0,Medical professions
driving school,1,0,Medical professions
divers,1,0,Medical professions
provincial exhibition institute,1,0,Medical professions
garage,1,0,Medical professions
planning,1,0,Medical professions
police,1,0,Medical professions
philatelic,1,0,"Visual, decorative arts & antiques"
general medicine hospital,1,0,Medical professions
prison,1,0,Medical professions
preschools,1,0,Medical professions
preservation,1,0,Medical professions
framing,1,0,Medical professions
St. Zaccaria,1,0,Medical professions
Giovanni Indri,1,0,Medical professions
Geriatric institution,1,0,Medical professions
Geography,1,0,Education & academic institutions
Geographic location,1,0,Medical professions
General Medicine - Civil Hospital,1,0,Medical professions
Gazzera Alta,1,0,Medical professions
Funeral Articles,1,0,Medical professions
Heritage,1,0,"Governance, civic administration & institutional titles"
Heritage Preservation,1,0,"Governance, civic administration & institutional titles"
Heritage Preservation Division,1,0,"Governance, civic administration & institutional titles"
Latin Literature,1,0,Education & academic institutions
Bacteriology Lab,1,0,Medical professions
Knight,1,0,Medical professions
Juvenile court,1,0,"Governance, civic administration & institutional titles"
Literature,1,0,Medical professions
Library management,1,0,Medical professions
Hotel Management,1,0,Medical professions
Home Nursing Assistance,1,0,Medical professions
Historical research,1,0,Medical professions
Italian Literature,1,0,Education & academic institutions
Internal Pharmacy,1,0,Medical professions
Internal Medicine,1,0,Medical professions
Infirmary,1,0,Medical professions
Civil Procedure,1,0,"Governance, civic administration & institutional titles"
Civil Hospital,1,0,Medical professions
Civic Hospital Management,1,0,Medical professions
Circular Reclamation,1,0,Medical professions
Cast. 3133,1,0,Medical professions
Category VIII,1,0,Medical professions
Chemistry,1,0,Medical professions
Cecchetti Pradel Company,1,0,Medical professions
Educational shows,1,0,Education & academic institutions
Education/Pedagogy,1,0,Education & academic institutions
Education/Mathematics,1,0,Education & academic institutions
Education/Literature,1,0,Education & academic institutions
Eye specialists,1,0,Medical professions
External Pharmacy,1,0,Medical professions
Elementary education,1,0,Education & academic institutions
ENT specialist,1,0,Medical professions
Custodial services,1,0,"Governance, civic administration & institutional titles"
Criminal Procedure,1,0,"Governance, civic administration & institutional titles"
Criminal Law,1,0,"Governance, civic administration & institutional titles"
Court,1,0,"Governance, civic administration & institutional titles"
Dermatologist,1,0,Medical professions
Divination,1,0,Medical professions
Divers,1,0,Medical professions
Dermatology,1,0,Medical professions
Demography,1,0,Education & academic institutions
Deli,1,0,Medical professions
Stamps,1,0,Medical professions
Special application,1,0,Medical professions
Spa/Resort,1,0,Medical professions
Society,1,0,Medical professions
Social prevention,1,0,Medical professions
Surrogates,1,0,Medical professions
Student,1,0,Medical professions
Shooting Sports Union,1,0,"Governance, civic administration & institutional titles"
Seafront,1,0,Medical professions
Scientific services,1,0,Medical professions
Scientific institution,1,0,Medical professions
Science education,1,0,Education & academic institutions
San Marco (likely a reference to a location or institution),1,0,Medical professions
Saint Lucis direction,1,0,Medical professions
Russian Language,1,0,Education & academic institutions
Rowing club,1,0,Medical professions
Semiotics,1,0,Education & academic institutions
Water basin,1,0,Medical professions
Watches,1,0,Industrial & electrical trades
Veterinary science,1,0,Medical professions
Veterans Association,1,0,Medical professions
Venice,1,0,Medical professions
address (location),1,0,Medical professions
address,1,0,Medical professions
Zincography,1,0,"Visual, decorative arts & antiques"
Venereal Disease Specialist,1,0,Medical professions
Theological Canons,1,0,Religious & civic institutions
Theaters,1,0,"Visual, decorative arts & antiques"
Unknown/Geographical location,1,0,Medical professions
Various representations,1,0,Medical professions
Usher,1,0,"Governance, civic administration & institutional titles"
Unknown/Unclear,1,0,Medical professions
Unknown profession,1,0,Medical professions
University institute,1,0,Medical professions
Typing School,1,0,Education & academic institutions
Romanian Language,1,0,Education & academic institutions
Obstetrics,1,0,Medical professions
Obstetric Clinic,1,0,Medical professions
Nursing home,1,0,Medical professions
Newspapers and Magazines,1,0,Medical professions
New (or New establishment),1,0,Medical professions
Neon Signage,1,0,Medical professions
Natural sciences,1,0,Education & academic institutions
Panels,1,0,Medical professions
Orthopedic institute,1,0,Medical professions
Ophthalmologist,1,0,Medical professions
Marine Hospital,1,0,Medical professions
Modern Trunks,1,0,Medical professions
Mining research,1,0,Medical professions
Mineralogy and Geology,1,0,Education & academic institutions
Mercer,1,0,Medical professions
Military profession,1,0,Medical professions
Romance Linguistics,1,0,Education & academic institutions
Radiology Lab,1,0,Medical professions
Radio Broadcasting,1,0,Medical professions
Racehorses,1,0,Medical professions
Punta Sabbioni,1,0,Medical professions
Pulmonologist,1,0,Medical professions
Public square,1,0,Medical professions
Rare books,1,0,Medical professions
Rhodium,1,0,Medical professions
Religious Foundation,1,0,Religious & civic institutions
Religion,1,0,Religious & civic institutions
Recycling,1,0,Medical professions
Physics,1,0,Education & academic institutions
Phonola radio,1,0,Medical professions
Pest Control,1,0,Industrial & electrical trades
Pension/Boarding house,1,0,Medical professions
Pens,1,0,Medical professions
Pediatric Specialist,1,0,Medical professions
Plaques,1,0,Medical professions
Playing Cards,1,0,Medical professions
Police station,1,0,Medical professions
Trattorias,184,1,"Restaurants, cafés & retail shops"
Grocery store,148,1,"Restaurants, cafés & retail shops"
butcher,115,1,"Restaurants, cafés & retail shops"
Bar,112,1,"Restaurants, cafés & retail shops"
Venetian specialties,104,1,"Restaurants, cafés & retail shops"
Trattoria,102,1,"Restaurants, cafés & retail shops"
café,99,1,"Restaurants, cafés & retail shops"
bakery,78,1,"Restaurants, cafés & retail shops"
tavern,77,1,"Restaurants, cafés & retail shops"
tobacco shop,75,1,Wholesale & agricultural suppliers
Grocery store (detailed),72,1,"Restaurants, cafés & retail shops"
Bottler,70,1,"Restaurants, cafés & retail shops"
Taverns,65,1,"Restaurants, cafés & retail shops"
barber,64,1,"Fashion, textiles & personal goods retail"
Barbers,60,1,"Fashion, textiles & personal goods retail"
hardware store,58,1,Industrial & electrical trades
jewelry store,47,1,"Fashion, textiles & personal goods retail"
grocery,42,1,"Restaurants, cafés & retail shops"
wholesale produce,39,1,Wholesale & agricultural suppliers
wholesale wine,38,1,Wholesale & agricultural suppliers
liquor store,36,1,"Restaurants, cafés & retail shops"
delicatessen,33,1,"Restaurants, cafés & retail shops"
Restaurant,31,1,"Restaurants, cafés & retail shops"
Bakery,29,1,"Restaurants, cafés & retail shops"
Café,28,1,"Restaurants, cafés & retail shops"
Pastry Shop,23,1,"Restaurants, cafés & retail shops"
Bookstore,22,1,"Visual, decorative arts & antiques"
Grocery Stores,21,1,"Restaurants, cafés & retail shops"
printing establishment,17,1,"Visual, decorative arts & antiques"
pharmacies,16,1,"Restaurants, cafés & retail shops"
grocery store,16,1,"Restaurants, cafés & retail shops"
shoe factory,15,1,Industrial & electrical trades
coffee roasting,14,1,"Restaurants, cafés & retail shops"
Deli (store),13,1,"Restaurants, cafés & retail shops"
pastry shop,12,1,"Restaurants, cafés & retail shops"
Fishmonger,12,1,"Restaurants, cafés & retail shops"
Butcher,12,1,"Restaurants, cafés & retail shops"
Wholesale fruits and vegetables,12,1,Wholesale & agricultural suppliers
wholesaler,12,1,Wholesale & agricultural suppliers
restaurant,11,1,"Restaurants, cafés & retail shops"
Retail,10,1,"Restaurants, cafés & retail shops"
Rotisserie,10,1,"Restaurants, cafés & retail shops"
Ice cream shop,10,1,"Restaurants, cafés & retail shops"
restaurants,10,1,"Restaurants, cafés & retail shops"
Tobacco shop,9,1,Wholesale & agricultural suppliers
Newspaper retailer,9,1,"Visual, decorative arts & antiques"
Hotel and restaurant,9,1,"Restaurants, cafés & retail shops"
Fruit vendor,8,1,"Restaurants, cafés & retail shops"
Furniture store,8,1,Industrial & electrical trades
Grocery,7,1,"Restaurants, cafés & retail shops"
Stationery store,7,1,"Visual, decorative arts & antiques"
Wine wholesaler,7,1,Wholesale & agricultural suppliers
pastry shops,7,1,"Restaurants, cafés & retail shops"
Bazaar,6,1,"Restaurants, cafés & retail shops"
trattoria,6,1,"Restaurants, cafés & retail shops"
wine wholesaler,5,1,Wholesale & agricultural suppliers
poultry shop,5,1,"Restaurants, cafés & retail shops"
liquor manufacturer,5,1,"Restaurants, cafés & retail shops"
breweries,5,1,"Restaurants, cafés & retail shops"
food retail,4,1,"Restaurants, cafés & retail shops"
Wine trade,4,1,"Restaurants, cafés & retail shops"
bakers' association,4,1,"Restaurants, cafés & retail shops"
brewery,4,1,"Restaurants, cafés & retail shops"
Coffee Importers,4,1,Wholesale & agricultural suppliers
ice cream shop,4,1,"Restaurants, cafés & retail shops"
Perfume Shop,3,1,"Fashion, textiles & personal goods retail"
hairdresser,3,1,"Fashion, textiles & personal goods retail"
hat shop,3,1,"Fashion, textiles & personal goods retail"
Grocer,3,1,"Restaurants, cafés & retail shops"
merchant,3,1,"Restaurants, cafés & retail shops"
furniture store,3,1,Industrial & electrical trades
Wholesale Fish,3,1,Wholesale & agricultural suppliers
Coffee roasting,3,1,"Restaurants, cafés & retail shops"
Dairy wholesaler,3,1,Wholesale & agricultural suppliers
Wholesale,3,1,Wholesale & agricultural suppliers
commerce casino,3,1,"Restaurants, cafés & retail shops"
butcher shop,3,1,"Restaurants, cafés & retail shops"
confectionery,3,1,"Restaurants, cafés & retail shops"
Shoe Factory,3,1,Industrial & electrical trades
Coffee Roasting,3,1,"Restaurants, cafés & retail shops"
printing house,3,1,"Visual, decorative arts & antiques"
Retail trade,3,1,"Restaurants, cafés & retail shops"
café-pastry shop,2,1,"Restaurants, cafés & retail shops"
cashier,2,1,"Restaurants, cafés & retail shops"
bottling company,2,1,"Restaurants, cafés & retail shops"
Wholesale trade,2,1,Wholesale & agricultural suppliers
Wholesale cured meats,2,1,Wholesale & agricultural suppliers
Retail store,2,1,"Restaurants, cafés & retail shops"
fish wholesaler,2,1,Wholesale & agricultural suppliers
farm,2,1,"Restaurants, cafés & retail shops"
food retailers,2,1,"Restaurants, cafés & retail shops"
Notions Store,2,1,"Fashion, textiles & personal goods retail"
Street name,2,1,"Restaurants, cafés & retail shops"
Party Supplies,2,1,"Restaurants, cafés & retail shops"
Soft Drink Manufacturer,2,1,"Restaurants, cafés & retail shops"
optical commerce,2,1,"Restaurants, cafés & retail shops"
newspaper retail,2,1,"Visual, decorative arts & antiques"
Grocery Retail,2,1,"Restaurants, cafés & retail shops"
Hardware Store,2,1,Industrial & electrical trades
Grocery Wholesale,2,1,Wholesale & agricultural suppliers
Liquor (factory and storage),2,1,"Restaurants, cafés & retail shops"
Liquor retailer,2,1,"Restaurants, cafés & retail shops"
Café Bar,2,1,"Restaurants, cafés & retail shops"
merchants' association,2,1,"Restaurants, cafés & retail shops"
wineries,2,1,"Restaurants, cafés & retail shops"
Beauty salons,2,1,"Fashion, textiles & personal goods retail"
cutlery shop,1,1,"Restaurants, cafés & retail shops"
street name,1,1,"Restaurants, cafés & retail shops"
cloth merchant,1,1,"Restaurants, cafés & retail shops"
stationery and bookstore,1,1,"Visual, decorative arts & antiques"
soda factory,1,1,"Restaurants, cafés & retail shops"
shipping store,1,1,"Restaurants, cafés & retail shops"
cooperative grocery,1,1,"Restaurants, cafés & retail shops"
shirt shop,1,1,"Restaurants, cafés & retail shops"
shop,1,1,"Restaurants, cafés & retail shops"
confectioner,1,1,"Restaurants, cafés & retail shops"
shoe and boot supply,1,1,"Restaurants, cafés & retail shops"
coffee importers,1,1,Wholesale & agricultural suppliers
coffee and colonial goods,1,1,"Restaurants, cafés & retail shops"
coffee shop,1,1,"Restaurants, cafés & retail shops"
carpet store,1,1,"Restaurants, cafés & retail shops"
wholesale,1,1,Wholesale & agricultural suppliers
vegetable seller,1,1,"Restaurants, cafés & retail shops"
barber shop,1,1,"Fashion, textiles & personal goods retail"
warehouse,1,1,"Restaurants, cafés & retail shops"
wholesale charcuterie,1,1,Wholesale & agricultural suppliers
wholesale confectionery,1,1,Wholesale & agricultural suppliers
wholesale food,1,1,Wholesale & agricultural suppliers
wholesale wines,1,1,Wholesale & agricultural suppliers
wine shop,1,1,"Restaurants, cafés & retail shops"
wholesalers,1,1,Wholesale & agricultural suppliers
articles retailer,1,1,"Restaurants, cafés & retail shops"
wine cellars,1,1,"Restaurants, cafés & retail shops"
wine merchant,1,1,"Restaurants, cafés & retail shops"
bookstore,1,1,"Visual, decorative arts & antiques"
cereals wholesaler,1,1,Wholesale & agricultural suppliers
university bookstore,1,1,"Visual, decorative arts & antiques"
hotel-restaurant,1,1,"Restaurants, cafés & retail shops"
hotel and restaurant,1,1,"Restaurants, cafés & retail shops"
pastry shop and bar,1,1,"Restaurants, cafés & retail shops"
pearl merchant,1,1,"Restaurants, cafés & retail shops"
pastry chef,1,1,"Restaurants, cafés & retail shops"
paper wholesaler,1,1,Wholesale & agricultural suppliers
oyster seller,1,1,"Restaurants, cafés & retail shops"
grocery wholesaler,1,1,Wholesale & agricultural suppliers
grocery trade,1,1,"Restaurants, cafés & retail shops"
grocery (doctor),1,1,"Restaurants, cafés & retail shops"
paper wholesale,1,1,"Restaurants, cafés & retail shops"
grain wholesaler,1,1,Wholesale & agricultural suppliers
newspaper retailer,1,1,"Restaurants, cafés & retail shops"
local specialties,1,1,"Restaurants, cafés & retail shops"
livestock dealer,1,1,"Restaurants, cafés & retail shops"
liquor wholesaler,1,1,Wholesale & agricultural suppliers
liquor factory,1,1,"Restaurants, cafés & retail shops"
electronics store,1,1,Industrial & electrical trades
luggage retailer,1,1,"Restaurants, cafés & retail shops"
retail stores,1,1,"Restaurants, cafés & retail shops"
restaurant and café,1,1,"Restaurants, cafés & retail shops"
fruit preserves wholesaler,1,1,Wholesale & agricultural suppliers
printing office,1,1,"Restaurants, cafés & retail shops"
florist,1,1,"Restaurants, cafés & retail shops"
food wholesaler,1,1,Wholesale & agricultural suppliers
antiques and bookstore,1,1,"Visual, decorative arts & antiques"
Gift Shop,1,1,"Restaurants, cafés & retail shops"
General store,1,1,"Restaurants, cafés & retail shops"
General Merchandise,1,1,"Restaurants, cafés & retail shops"
Hat Shop,1,1,"Fashion, textiles & personal goods retail"
Hardware store,1,1,Industrial & electrical trades
Hairdresser,1,1,"Fashion, textiles & personal goods retail"
"Grocery, Pastry",1,1,"Restaurants, cafés & retail shops"
Grocery supplies,1,1,"Restaurants, cafés & retail shops"
Bar/Café,1,1,"Restaurants, cafés & retail shops"
Grocery and Dairy,1,1,"Restaurants, cafés & retail shops"
Barber,1,1,"Fashion, textiles & personal goods retail"
Grocery Store,1,1,"Restaurants, cafés & retail shops"
Grocery (detailed),1,1,"Restaurants, cafés & retail shops"
Barber | Fishmonger,1,1,"Restaurants, cafés & retail shops"
Food Cooperative,1,1,"Restaurants, cafés & retail shops"
Florist,1,1,"Restaurants, cafés & retail shops"
Fruit Seller,1,1,"Restaurants, cafés & retail shops"
Fried food shop,1,1,"Restaurants, cafés & retail shops"
Bakery and bar,1,1,"Restaurants, cafés & retail shops"
Jewelry Store,1,1,"Fashion, textiles & personal goods retail"
Lumber wholesaler,1,1,Wholesale & agricultural suppliers
Lottery Stands,1,1,"Restaurants, cafés & retail shops"
Lighting shop,1,1,Industrial & electrical trades
Hotel/Restaurant,1,1,"Restaurants, cafés & retail shops"
Hotel and Restaurant,1,1,"Restaurants, cafés & retail shops"
Innkeeper,1,1,"Restaurants, cafés & retail shops"
Boat Shop,1,1,"Restaurants, cafés & retail shops"
Coffee Management,1,1,"Restaurants, cafés & retail shops"
Coffee Services,1,1,"Restaurants, cafés & retail shops"
Coffee Shop,1,1,"Restaurants, cafés & retail shops"
Coffee and Restaurant Trade,1,1,"Restaurants, cafés & retail shops"
Coffee company,1,1,"Restaurants, cafés & retail shops"
Café/Circle,1,1,"Restaurants, cafés & retail shops"
Café management,1,1,"Restaurants, cafés & retail shops"
Café and bar,1,1,"Restaurants, cafés & retail shops"
Brewery,1,1,"Restaurants, cafés & retail shops"
Catering service,1,1,"Restaurants, cafés & retail shops"
Exclusive distributors,1,1,"Restaurants, cafés & retail shops"
Favaro Veneto,1,1,"Restaurants, cafés & retail shops"
Dairy Wholesaler,1,1,"Restaurants, cafés & retail shops"
Curiosities Dealer,1,1,"Restaurants, cafés & retail shops"
Distributor,1,1,"Restaurants, cafés & retail shops"
Bicycle sales,1,1,"Restaurants, cafés & retail shops"
Tavern,1,1,"Restaurants, cafés & retail shops"
Sugar Factory,1,1,"Restaurants, cafés & retail shops"
Salons,1,1,"Restaurants, cafés & retail shops"
Rubber Warehouse,1,1,"Restaurants, cafés & retail shops"
Wine Wholesaler,1,1,Wholesale & agricultural suppliers
Wine Tavern,1,1,"Restaurants, cafés & retail shops"
Wholesale produce,1,1,Wholesale & agricultural suppliers
Wholesale food,1,1,Wholesale & agricultural suppliers
Wholesale Grocer,1,1,Wholesale & agricultural suppliers
Wine and liquor wholesaler,1,1,Wholesale & agricultural suppliers
Wine and food distribution,1,1,"Restaurants, cafés & retail shops"
Wine commerce,1,1,"Restaurants, cafés & retail shops"
Trattoria (Restaurant),1,1,"Restaurants, cafés & retail shops"
Vegetarian restaurants,1,1,"Restaurants, cafés & retail shops"
Pastry and Liquor,1,1,"Restaurants, cafés & retail shops"
Optical shop,1,1,"Restaurants, cafés & retail shops"
Marelli dealer,1,1,Industrial & electrical trades
Mills and Pasta Factory,1,1,"Restaurants, cafés & retail shops"
Merchants,1,1,"Restaurants, cafés & retail shops"
Merchandise Laboratory,1,1,"Restaurants, cafés & retail shops"
Pastry shop,1,1,"Restaurants, cafés & retail shops"
Pawn Shop,1,1,"Restaurants, cafés & retail shops"
Retail Stores,1,1,"Restaurants, cafés & retail shops"
Restaurant/Catering,1,1,"Restaurants, cafés & retail shops"
Restaurant group,1,1,"Restaurants, cafés & retail shops"
Restaurant and Hotel,1,1,"Restaurants, cafés & retail shops"
Plant nursery,1,1,"Restaurants, cafés & retail shops"
Perfume shop,1,1,"Restaurants, cafés & retail shops"
Men's shirt shop,239,2,"Fashion, textiles & personal goods retail"
Men's clothing,102,2,"Fashion, textiles & personal goods retail"
Seamstress,83,2,"Fashion, textiles & personal goods retail"
footwear,71,2,"Fashion, textiles & personal goods retail"
household goods,70,2,"Fashion, textiles & personal goods retail"
Seamstresses,63,2,"Fashion, textiles & personal goods retail"
haberdashery,52,2,"Fashion, textiles & personal goods retail"
lingerie and knitwear,43,2,"Fashion, textiles & personal goods retail"
leather and footwear manufacturing,41,2,"Fashion, textiles & personal goods retail"
tailor,41,2,"Fashion, textiles & personal goods retail"
textiles,39,2,"Fashion, textiles & personal goods retail"
toys,34,2,"Fashion, textiles & personal goods retail"
women's hairdressers,28,2,"Fashion, textiles & personal goods retail"
textiles and yarns,25,2,"Fashion, textiles & personal goods retail"
Stationery,24,2,"Fashion, textiles & personal goods retail"
Clothing,23,2,"Fashion, textiles & personal goods retail"
Second-Hand Goods,23,2,"Fashion, textiles & personal goods retail"
Knitwear,20,2,"Fashion, textiles & personal goods retail"
stationery,20,2,"Fashion, textiles & personal goods retail"
Textiles,19,2,"Fashion, textiles & personal goods retail"
Millinery,19,2,"Fashion, textiles & personal goods retail"
men's tailor,18,2,"Fashion, textiles & personal goods retail"
women's tailoring,17,2,"Fashion, textiles & personal goods retail"
yarns and related,17,2,"Fashion, textiles & personal goods retail"
laundry and ironing,16,2,"Fashion, textiles & personal goods retail"
upholstery,15,2,"Fashion, textiles & personal goods retail"
shoe manufacturing,14,2,"Fashion, textiles & personal goods retail"
Fabrics,14,2,"Fashion, textiles & personal goods retail"
Fashion,14,2,"Fashion, textiles & personal goods retail"
Men's Tailoring,14,2,"Fashion, textiles & personal goods retail"
Tailoring,14,2,"Fashion, textiles & personal goods retail"
hosiery,13,2,"Fashion, textiles & personal goods retail"
Linen and textiles,13,2,"Fashion, textiles & personal goods retail"
Women's Hairdresser,13,2,"Fashion, textiles & personal goods retail"
Laundries,13,2,"Fashion, textiles & personal goods retail"
Furniture,12,2,"Fashion, textiles & personal goods retail"
Hat shops,12,2,"Fashion, textiles & personal goods retail"
Used Furniture,11,2,"Fashion, textiles & personal goods retail"
upholsterer,11,2,"Fashion, textiles & personal goods retail"
ready-made clothing,11,2,"Fashion, textiles & personal goods retail"
Women's tailoring,10,2,"Fashion, textiles & personal goods retail"
Lace and embroidery,9,2,"Fashion, textiles & personal goods retail"
carpets,8,2,"Fashion, textiles & personal goods retail"
Bookbinding,8,2,"Fashion, textiles & personal goods retail"
Children's clothing,8,2,"Fashion, textiles & personal goods retail"
leather goods,8,2,"Fashion, textiles & personal goods retail"
Lingerie and knitwear,8,2,"Fashion, textiles & personal goods retail"
Household Goods,7,2,"Fashion, textiles & personal goods retail"
