occupation,frequency,canonical_label
Agrumi,14,citrus fruits
Apparecchi e materiale radio,14,radio equipment
Caffe (torrefazione),14,coffee roasting
Calzaturifici,14,shoe manufacturing
Carpentieri,14,carpentry
Carta,14,paper
Frutta secca,14,dried fruit
Vallicultura,14,agriculture
calzaturificio,14,shoe factory
mercerie,14,haberdashery
fiori,14,flowers
Barbiere,14,barber
lavanderia e stireria,14,laundry and ironing
ottica ingegneria fotografia,14,optical engineering photography
cantiere navale,14,shipyard
LOCANDE,13,inns
FOTOGRAFIA,13,Photography
Carboni - Legna,13,Coal and wood
Cinema,13,Cinema
Coltellinai e Arrotini,13,Cutlers and sharpeners
Friggitorie e commestibili cotti,13,Frying and cooked foods
Ghiaccio,13,Ice
Lavanderie meccaniche,13,Laundries
Olii minerali,13,Mineral oils
Pastifici,13,Pasta manufacturers
Quadri - riproduzioni ed oggetti artistici,13,Art reproductions
Specialisti veneziane,13,Venetian specialists
salumi (negozio),13,Deli (store)
Affitti Appartamenti,13,Apartment rentals
Arciprete-parroco,13,Clergy
pittrice,12,Female painter
Articoli Fotografici e affini,12,Photography articles
Biancheria e affini,12,Linen and textiles
Cappellerie,12,Hat shops
Confezioni varie,12,Various packaging
Dolciumi,12,Confectionery
Impermeabili,12,Raincoats
Insegne e cartelli reclame,12,Signs and advertising
Librerie,12,Bookstore
Mode,12,Fashion
Ferramenta in Genere,12,Hardware
Petrolio,12,Oil
Sartorie e confezioni per uomo,12,Men's Tailoring
Stoffe e Tessuti,12,Fabrics
Tubazioni industriali,12,Industrial Piping
pittore decoratore,12,Painter decorator
farmacia,12,Pharmacy
ingegnere,12,Engineering
oreficeria,12,Goldsmith
Latteria,12,Dairy
parrucchiere per signora,12,Women's Hairdresser
Architetto,12,Architect
Società MARE,12,Shipping Company
SCIENTIFICA E MAGISTRALE,12,Scientific and Educational
Consolati,11,Consulates
BICROMIE TRICROMIE FOTOLITO,11,Printing Services
scultore,11,Sculptor
Marmi,11,Marble
Mobili,11,Furniture
MOBILI USATI,11,Used Furniture
Polliccerie,11,Tailoring
Pesce,11,Fishmonger
Prodotti farmaceutici,11,Pharmaceutical Products
Falegname,11,Carpenter
Sarta,11,Seamstress
manifatture,11,manufacturing
sarta da uomo,11,men's tailor
VISITOSI GUIDO,11,unknown
IL GAZZETTINO,11,newspaper
Vanoni Ezio,10,individual business
Abiti confezionati,10,ready-made clothing
Autotrasporti,10,transportation
Calze,10,hosiery
Combustibili solidi,10,solid fuels
Fornaci da calce e laterizi,10,lime and brickworks
Pellett erie (fabbriche),10,factories
Ristoranti,10,restaurants
Vetri artistici,10,artistic glass
ristorante,10,restaurant
Macelleria,10,Butcher
ferramenta e colori,10,hardware and paint
Vicario,10,vicar
tappezziere,10,upholsterer
pensione,10,boarding house
dentista,10,dentist
ACCADEMIA di Belle Arti e Liceo Artistico,10,art academy
Scuole Elementari,10,elementary schools
PARROCCHIE E SUCCURSALI,10,parishes and branches
Vice Presidente,9,vice president
Deputato,9,deputy
Meccanica,9,mechanics
Costruzioni edili,9,Construction trade
Alberghi,9,Hotels
Combustibili liquidi,9,Fuel supplier
(vendita),9,sales
Morocicli,9,Motorcycles
Società di navigazione,9,Shipping company
Società mobiliari e agricole,9,Real estate and agriculture
ARMAZIONI MARITTIME,9,Maritime services
Vetri,9,Glass
frutta e verdura (grossista),9,Wholesale fruits and vegetables
Rettore,9,Rector
Alimentari (dett.),9,Grocery store
vice direttore,9,Deputy director
elettricista e idraulico,9,Electrician and plumber
Insegnante Accademia di Belle Arti,9,Art academy teacher
orologeria,9,Watchmaking
noleggio imbarcazioni,9,Boat rental
professore,9,Professor
caffè,9,café
Compra-vendita immobili,9,Real estate agency
tipografia,9,Printing
giornali (rivendita),9,Newspaper retailer
albergo e ristorante,9,Hotel and restaurant
Consiglio Direttivo,9,Executive board
Comitato esecutivo,8,Executive committee
Uffici Centrali,8,Central offices
Economo,8,Government/civic institution
Medico,8,Medical profession
Componenti il Consiglio Direttivo,8,Government/civic institution
Articoli di Gomma e affini,8,Rubber products
Bandai e Lattonieri,8,Metalworkers
Case di Spedizioni,8,Shipping company
Cornici,8,Picture frames
Droghe,8,Pharmaceuticals
Frutta,8,Fruit vendor
Gelaterie,8,Ice cream shop
Grammofoni e dischi,8,Phonographs and records
Legatorie di libri,8,Bookbinding
Lubrificanti,8,Lubricants
Merletti e ricami,8,Lace and embroidery
Ombrelli,8,Umbrellas
Trasporti,8,Transportation
Vetro,8,Glass
albergo,8,Hotel
Tabaccheria,8,Tobacco shop
locanda,8,Inn
mediatore,8,Broker
dettaglio,8,Retail
fabbro ferraio e meccanico,8,blacksmith and mechanic
parroco,8,Parish priest
Agenzia Nazionale Stampa Associata,8,national press agency
Componente,7,component
OPERA NAZIONALE PER LA PROTEZIONE E ASSISTENZA DEGLI INVALIDI DI GUERRA,7,war invalid assistance
Category: Acqua - Gas - Elettricità,7,utilities
Attività varie,7,various activities
Acquisto e conduzione,7,purchasing and management
Articoli Sanitari e Affini,7,Medical supplies
Articoli Tecnici,7,technical articles
Carbone,7,coal
Ferri e metalli usati,7,used iron and metals
Lavanderie e stirerie,7,laundries
MOBILI ARTISTICI,7,artistic furniture
Navi,7,ships
Pasticcerie ed affini,7,pastry shops
Pesce conserva,7,Canned Fish
apparecchi e materiale radio,7,radio equipment
Riscaldamento e fumisterie,7,heating and plumbing
Strumenti musicali,7,musical instruments
Tappeti,7,carpets
"Terraglie, Porcellane e affini",7,Ceramics
Commercialista,7,accountant
Cartoleria,7,Stationery store
Impresa edile,7,Construction company
autotrasporti,7,Transportation services
tessuti filati,7,Textile manufacturing
tessuti,7,Textiles
lingerie e maglierie,7,Lingerie and knitwear
compravendita immobili,7,Real estate
sartoria e confezioni per signora,7,Women's tailoring
confezioni varie,7,Various clothing
ing.,7,Engineer
CINEMA S. Margherita,7,Cinema
vini (grossista),7,Wine wholesaler
vicario,7,Vicar
libreria,7,Bookstore
Soc. An. d'Acquisto di materiali,7,Purchasing society
Assistente incaricato,7,Assistant
Cooperatore,7,Cooperator
Commissione del Listino,7,Price commission
Membro,6,Member
Commissario,6,Commissioner
Membro effettivo,6,active member
Sindaci,6,Mayors
SEZIONE FILATELICA VENEZIANA DEL CIRCOLO ARTISTICO,6,Philatelic section
Agenzie e d'affari,6,Agencies and business
Hotel,6,Hotel
Apparecchiature elettriche automatiche,6,Automatic electrical equipment
Carbone e Legna,6,coal and wood
Conterie e Perle,6,Beads and Trimmings
Costruttori edili,6,Construction Trade
Fonderie Meccaniche,6,Mechanical Foundries
Ghiacciaie,6,Ice Suppliers
Imprese di Costruzioni,6,Construction Companies
"Incisori, cesellatori sbozzatori",6,Engravers and Sculptors
Macchine calcolatrici,6,Calculating Machines
Macchine da cucire e accessori,6,Sewing Machines and Accessories
refrattari e laterizi,6,Refractories and Bricks
Mediatori,6,brokers
Officine elettromeccaniche,6,Electromechanical Workshops
Olii combustibili,6,fuel oils
Pelli,6,Leather Trade
Seterie,6,Silk Trade
Tessili,6,Textiles
TRASPORTI FLUVIALI E LAGUNARI,6,River and Lagoon Transport
falegnameria,6,Carpentry
agenzia marittima,6,Shipping Agency
Ostetrica,6,Midwifery
rappresentante prodotti chimici,6,Chemical Products Representative
pellicceria,6,Fur Trade
elettricità idraulica e gas,6,Electricity and Gas
frutta e verdura,6,fruits and vegetables
Vice Direttore,6,deputy director
Società industriale,6,industrial company
Alimentari (Dett.),6,grocery store
ASSOCIAZIONE TRA GLI AGRICOLTORI DELLA PROVINCIA DI VENEZIA,6,agricultural association
Agenzia - INTREV,6,agency
Membri supplenti,6,substitute members
Dirigente,5,manager
ASSOCIAZIONE FRA PROPRIETARI DI FABBRICATI DELLA PROVINCIA DI VENEZIA,5,property owners association
Provveditore agli studi (reggente),5,education administrator
Assistente,5,assistant
Tesoriere,5,treasurer
Solesin,5,Solesin (location)
SOCIETA' CANOTTIERI BUCIUNTORO,5,rowing club
Category: Vetro e Ceramica,5,glass and ceramics
Argenterie,5,silverware
Articoli Funebri,5,funeral services
LA VELOCE..,5,unspecified business
Bazar,5,Bazaar
Birrerie,5,breweries
Candele,5,candles
Carta Cartoni ed affini,5,paper and cardboard
Carta da macero,5,waste paper
Confezioni per Bambini,5,Children's clothing
Crine vegetali,5,vegetable fibers
Disinfezioni,5,disinfection services
Facchini pubblici,5,Porters
Fornitori di bordo,5,Ship Suppliers
Materassai,5,Mattress makers
Mediatori e sensali marittimi,5,Maritime brokers
Metano,5,Natural gas
Minerali,5,Minerals
Perle d'ogni tipo a lume,5,Pearls
Pubblicità,5,Advertising
Rosticcerie,5,Rotisserie
Uova,5,Eggs
Utensili,5,Tools
Medicina Generale,5,General medicine
Spedizioni e trasporti,5,Shipping and transport
Panificio,5,Bakery
Oggetti artistici,5,Art objects
Ingegnere,5,Engineering
Banco di Sicilia,5,Bank
salumi,5,Cured meats
vini,5,Wines
oggetti usati,5,Second-hand goods
mobili (negozio),5,Furniture store
Ispettore Capo,5,Chief inspector
 grossista,5,wholesaler
stoffe e tessuti,5,fabrics and textiles
legnami e pali da costruzioni,5,lumber and construction
"mercerie, filati e affini",5,haberdashery and yarn
polleria,5,poultry shop
alimentari (dett),5,grocery store
Ferrovie dello Stato,5,State Railways
notaio,5,Notary
trasporti marittimi fluviali e terrestri,5,Maritime and Land Transport
radio (riparazioni),5,radio repair
radio e radiogrammofoni,5,radio equipment
Calonificio Veneziano,5,Venetian hat factory
bar pasticceria,5,pastry shop
antichità belle arti,5,antiques and fine arts
Bottiglieria,5,liquor store
Avv.,5,legal profession
giocattoli,5,toys
Applicati,5,applied arts
CIRCOLO ARTISTICO DI VENEZIA,5,artistic circle
presso Camera del Lavoro,4,labor chamber
ASSOCIAZIONE DEI PANIFICATORI DI VENEZA E PROVINCIA,4,bakers' association
SPORT OLIMPICI,4,Olympic sports
Fid. Prov.,4,provincial federation
Municipio,4,municipality
Macchine per ufficio,4,office machines
Chimica,4,chemistry
Category: Provvianza e Credito,4,Banking
GUÏDA COMMERCIALE DI VENEZIA E PROVINCIA,4,Commercial Directory
Articoli Igienici,4,Hygiene Products
Caffe (importatori),4,Coffee Importers
Carburanti Olii ed affini,4,Fuels and Oils
Cartiere,4,Paper Mills
Catrame,4,Tar
Falegnamerie,4,Carpentry
Filande,4,Silk Factories
FOTOMATERIALE,4,Photographic Materials
Frigoriferi,4,Refrigeration
Guami,4,Textiles
IMPERMEABILI,4,Waterproofing
Lavori manovalanza,4,Labor Services
Macchine contabili,4,Accounting Machines
Meccanuficio,4,Mechanical Engineering
Manipolazione carboni,4,Coal Handling
Materiale fotografico,4,Photography Supplies
Metalli usati,4,Scrap Metals
Officine meccaniche metallurgiche e costruzioni in ferro,4,Mechanical Workshops
Ottiche (Industria),4,Optics Industry
Pantofolai,4,Slippers
articoli in vetro,4,Glass Products
pellami,4,Leather Goods
profumi,4,Perfumes
Rimorchatori,4,Shipping company
Saccherie ed affini,4,Sack manufacturing
Saponi comuni medicinali e profumati,4,Soap manufacturing
Semi oleosi,4,Oilseeds
Spedizioni e Trasporti,4,Shipping and transport
Stracci,4,Rags
Strucchi,4,Cosmetics
Sughero,4,Cork
Terrrazzi,4,Terraces
Tintorie e pulliture a secco,4,Dyeing and dry cleaning
"Valigerie, pelletterie articoli da viaggio",4,Luggage and leather goods
Vetrerie in genere,4,Glassware
Zucchero,4,Sugar
vini (commercio enologico),4,Wine trade
Ristorante,4,Restaurant
Sindaco,4,Mayor
Banco di Roma vice direttore,4,Banking institution
strumenti musicali,4,Musical instruments
ferramenta e metalli,4,Hardware and metals
rosticceria,4,Rotisserie
importazioni ed esportazioni varie,4,Import/export
filati e affini,4,yarn and fibers
drogheria,4,Grocery
sarto,4,Tailor
fotografo,4,Photographer
rappresentante tessuti,4,fabric representative
grossista,4,wholesaler
acque gassate,4,carbonated water
rappresentante varie,4,general representative
Archivista,4,archivist
legatoria di libri,4,bookbinding
Impresa Edile,4,construction company
liquori (fabbrica e deposito),4,liquor manufacturer
mosaici,4,mosaics
alimentari (gross.),4,grocery
articoli fotografici,4,photographic articles
Falegnameria,4,carpentry
sartoria,4,tailoring
malattie polmonari,4,pulmonary diseases
imprese ed appalti vari,4,contracting and enterprises
Sarto da uomo,4,men's tailor
gelateria,4,ice cream shop
Ospedale Civile,4,civil hospital
navi,4,shipping company
Decoratore e pittore,4,decorator and painter
birreria,4,brewery
colori e vernici,4,paints and varnishes
 gioielleria,4,jewelry
Società Cooperativa Lavori e Recuperi Marittimi e Fluviali A. r. l.,4,maritime cooperative
Vetreria,4,glassworks
Comandante,4,commander
Ispettori di l.a cl.,4,Government/civic institution
Personale degli Uffici - Segreteria della Sezione di Economia e Commercio,4,Government/civic institution
Applicata,4,Unknown
Economia politica,4,Economic profession
Lingua tedesca,4,Education/language instruction
Lettore,4,Education/language instruction
Lettrice,4,Education/language instruction
"CAMERA DI COMMERCIO,  INDUSTRIA ED AGRICOLTURA",4,Chamber of Commerce
Figura disegnata,4,Art profession
Comm. Agg.,3,Unknown
Ricevitore,3,Government/civic institution
Comitato di Venezia,3,Government/civic institution
Zincografia,3,Printing/graphic arts
Category: Attività Marittime ed Aeree,3,Shipping company
Acque gassate,3,Beverage industry
Acque minerali,3,Beverage industry
Alluminio,3,Manufacturing trade
Argentatura e doratura,3,Manufacturing trade
"Armi, munizioni, proiettili",3,Arms and ammunition
Aromi per dolci,3,Food industry
Bandiere,3,Manufacturing trade
Bilancie,3,Manufacturing trade
Bottiglierie,3,Beverage industry
Calderai,3,Metalworker
Calzinerci,3,Hosiery
Canapa e Lino,3,Hemp and Linen
Carta da impacco,3,Packing Paper
Casse e Arredi Mortuari,3,Funeral Supplies
Case Editrici,3,Publishing Houses
Copertoni,3,Tires
Cordami e Spaghi,3,Ropes and Twines
Corredi sposa,3,Bridal Accessories
Vetrerie,3,Glassware
Esportazioni,3,Exports
Espurgo pozzi neri,3,Sewage Services
Filati all'ingrosso,3,Wholesale Yarns
Fiori artificiali,3,Artificial Flowers
Fiori in vetro,3,Glass Flowers
Fumisti,3,Chimney Sweeps
Ghisa,3,Cast Iron
Granaglie,3,Grains
Lamiere,3,Sheet Metal
Libreria,3,Bookstore
Materiali,3,Materials
Metalli greggi e lavorati,3,Raw and Processed Metals
MOBILI LACCATI,3,Lacquered Furniture
Motori marini,3,Marine Engines
Navi in legno,3,Wooden Ships
Navigazione fluviale,3,Shipping company
Olii,3,Oils
Ortaggi e legumi,3,Vegetables
Ortaggi,3,Agriculture
Pelle tterie ed affini (negozi),3,Leather goods
Pesce e crostacei,3,Fish and seafood
Picchettaggio o verniciature piroseffi,3,Painting services
Pietra artificiale,3,Artificial stone
Pittore decoratore,3,Painter decorator
Pittori decoratori,3,Decorative painters
Prodotti antisettifughi,3,Antiseptic products
Profumi e affini,3,Perfumes
articoli elettrici,3,Electrical Goods
Recuperi marittimi,3,Maritime recovery
Riparazioni calzature e cappelli,3,Shoe and hat repairs
Sciroppi,3,Syrups
Smalti,3,Enamels
S. A.,3,Corporation
Tessiture seriche per l'arredamento,3,Silk weaving
Trasporti fluviali,3,River transport
Vetrate artistiche,3,Stained glass
Società mobiliare e agricola,3,Agricultural company
mobili (fabbriche),3,Furniture manufacturing
carbone e legna (grossista),3,Coal and wood wholesaler
Sartoria e confezioni per signora,3,Women's tailoring
attuario,3,Actuary
articoli di gomma,3,Rubber products
marmi,3,Marbles
radio,3,Radio equipment
fertilizzanti e anticrittogamici,3,Fertilizers
sartoria e confezioni per uomo,3,Tailoring for men
gioielleria,3,jewelry store
fotografie,3,photography
filati,3,yarn
Specialità Veneziane,3,Venetian specialties
uova,3,eggs
calze,3,hosiery
mobili usati,3,second-hand furniture
friggitore e commestibili cotti,3,fried foods
mobili,3,furniture
trebbiatura,3,threshing
pesca marittima,3,fishing
detersivi,3,detergents
officina meccanica e metallurgica,3,mechanical workshop
chirurgo,3,surgeon
confezioni,3,packaging
Modisteria,3,millinery
Giovanni e Paolo,3,religious institution/clergy
chincaglierie,3,curios
Alimentari (gross.),3,grocery
biancheria e affini,3,linens
 pasticceria,3,pastry shop
Condirettore,3,co-director
cereali,3,cereals
arciprete,3,archpriest
Pasticceria,3,pastry shop
Insegnante,3,Teacher
Farmacia,3,Pharmacy
Profumeria,3,Perfume Shop
pesce (ingrosso),3,Wholesale Fish
medico chirurgo,3,Surgeon
rappresentante apparecchi e materiale radio,3,Radio Equipment Sales
caffe (esercizi),3,Café
commercio,3,Trade
Articoli Casalinghi,3,Household Goods
Rappresentanze Varie,3,Various Representations
Pretore della Pretura Civile e Penale,3,Civil and Criminal Judge
Calzaturificio,3,Shoe Factory
Perito,3,Expert
moderna,3,Modern
Arciprete,3,Archpriest
saponi,3,Soap
Articoli casalinghi,3,Household Goods
Ispettore,3,Inspector
"terraglie, porcellane",3,Ceramics
essicazione frutta ed erbaggi,3,Fruit and Vegetable Drying
materiali refrattari e laterizi,3,Refractory Materials
acquisto fabbricati e aziende agricole,3,Real Estate and Agricultural Purchases
compra-vendita immobili,3,Real Estate Brokerage
Vetria 17,3,Glass Company
giornali,3,newspapers
carburanti,3,fuels
Fabbro Ferrario e Meccanico,3,blacksmith and mechanic
construction enterprise,3,construction trade
MUNICIPIO,3,municipality
Capo Divisione,3,department head
Ispett. Capo,3,chief inspector
CONSORZIO DI BONIFICA DESE SUPERIORE,3,land reclamation consortium
Rappresentanza del Consiglio di Facoltà,3,faculty council representation
Personale degli Uffici - Segreteria della Sezione di Lingue e letterature straniere,3,office staff - foreign languages
Applicato,3,applied
Biblioteca,3,library
Ragioneria generale ed applicata,3,accounting
Geografia economica,3,economic geography
Lingua inglese,3,English language
Lingua francese,3,French language
Avventizi di Terza categoria,3,temporary workers
"SCIENTIFICA E MAGISTRALE,",3,scientific and teaching
Educazione fisica,3,physical education
Amministratore,3,administrator
CASINO DI COMMERCIO,3,commerce casino
coll.,3,collection
Giornalista professionista,3,professional journalist
Tipografia,3,printing house
Titolare Procuratore,3,Legal profession
Segretario Generale,2,Government/civic institution
V. Comm.,2,Government/civic institution
Comm. Capo,2,Government/civic institution
Comm.,2,Government/civic institution
Ispettore Compartimentale,2,Government/civic institution
Corpo del Genio Civile,2,Construction trade
ASSOCIAZIONE ESERCENTI PUBBLICI ESERCIZI DELLA PROV. DI VENEZIA,2,Business association
Direttore Amm.,2,Government/civic institution
Sindaco Revisore,2,Government/civic institution
Direttore Tecnico Prov. per il Tiro a Volo,2,Government/civic institution
Collaboratore Tecnico FIGB,2,Technical profession
Altri Consolati aventi giurisdizione sulla Regione Veneta,2,Government/civic institution
ISTITUTO VITTORIO ALFIERI,2,Educational institution
ACCademia di Belle Arti e Liceo Artistico,2,Educational institution
Sovrintendente,2,Government/civic institution
Direttrice,2,Government/civic institution
IST. PROVINCIALE DEGLI ESPOSTI,2,Social services
SOCIETA ITALIANA DEGLI AUTORI ED EDITORI,2,Copyright organization
signor,2,Individual
Direttore responsabile,2,Government/civic institution
Vice Segretario,2,Government/civic institution
Applicati di Prima,2,Government/civic institution
Applicati di Seconda,2,Government/civic institution
Scultore,2,Artist
Osp. Civile,2,government/civic institution
GABINETTI DENTISTICI,2,dental practice
Category: Comunicazioni interne,2,internal communications
Acciai,2,steel industry
Accordatori pianoforti,2,piano tuners
Aceto,2,vinegar
Acquarelli e fotografie,2,watercolor and photography
Acquisto,2,purchasing
Foto reportage,2,photojournalism
Agenzia Marittima,2,shipping agency
Anonima di Navigazione,2,shipping company
Agenzie di pubblicità,2,advertising agency
Agenzie di viaggio e turismo,2,travel agency
Alcool,2,alcohol
Approvvigionamenti,2,supplies
Armatori,2,shipowners
Articoli Elettrici,2,electrical goods
Articoli Sportivi,2,sporting goods
Attività Immobiliari in genere,2,Real estate
Birra,2,Beverage industry
Bitumi,2,bitumen
Liquori,2,liquors
Cantine,2,wineries
Carburanti,2,fuels
Carburo di calcio,2,calcium carbide
Carni,2,meats
Cartoline illustrate,2,illustrated postcards
Arti Grafiche,2,Graphic Arts
Caviale,2,Caviar
Cementi,2,Cement
Cinghie di Cuoio,2,Leather Belts
COLORI - VERNICI - SMALTI,2,Paints and Coatings
Confezioni per Signora,2,Women's Clothing
Confezioni per Uomo,2,Men's Clothing
fdm. Navagero 34,2,Unknown
Costruzioni e riparazioni navali,2,Shipbuilding and Repairs
(eomerscio),2,Unknown
Elettrodi,2,Electrodes
Estintori da incendio,2,Fire Extinguishers
Elettrotecnica,2,Electrical Engineering
Essicazione frutta ed erbaggi,2,Fruit and Vegetable Drying
COPERTURE - RIVESTIMENTI - TUBAZIONI,2,Coverings and Tubing
Fertilizzanti e anticrittogamici,2,Fertilizers and Pesticides
Fibre vegetali ed affini,2,Plant Fibers
Filatelico,2,Philately
Forniture enti vari,2,Supplies for Various Entities
Idraulica e sanitaria,2,Plumbing and Sanitation
Forniture navali e industriali,2,Naval and Industrial Supplies
"Imprese Lavori, Commercio Legnami, Forniture, Demolizioni, Costruzioni in Legno, Appalti",2,Construction and Timber Trade
sviluppo e stampa,2,Development and Printing
FOTO,2,Photography
Frutta e verdura conservate,2,Canned Fruits and Vegetables
Gas,2,Gas company
Gelateria,2,Ice cream shop
Impianti elettrici,2,Electrical installations
Imprese immobiliari,2,Real estate
Isolanti termici ed acustici,2,Thermal and acoustic insulation
Istituti di Bellezza,2,Beauty salons
Istituti d'informazioni e di investigazioni,2,Information and investigation services
Lane e crine,2,Wool and hair
Latte (grossisti),2,Dairy wholesaler
Lavorazione droghe,2,Drug processing
Lavori portuali,2,Port works
Legna per cellulosa,2,Wood for pulp
Legname compensato,2,Plywood
Liqouri (dettaglio),2,Liquor retailer
Lucido de scarpe (fabbriche),2,Shoe polish manufacturing
Macchine agricole,2,Agricultural machinery
Addizionatrici,2,Adding Machines
