page,page_num,layout_type,ad_type,category
page_137,137,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_138,138,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_139,139,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_140,140,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_141,141,SIMPLE_LAYOUT,NO_AD,SIMPLE_LAYOUT (auto NO_AD)
page_142,142,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_143,143,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_144,144,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_145,145,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_146,146,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_147,147,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_148,148,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_149,149,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_150,150,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_151,151,COMPLEX_LAYOUT,OTHER_UNPARSED,COMPLEX_LAYOUT: OTHER_UNPARSED
page_152,152,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_153,153,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_154,154,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_155,155,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_156,156,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_157,157,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_158,158,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_159,159,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_160,160,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_161,161,,,UNCLASSIFIED
page_162,162,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_163,163,COMPLEX_LAYOUT,OTHER_UNPARSED,COMPLEX_LAYOUT: OTHER_UNPARSED
page_164,164,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_165,165,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_166,166,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_167,167,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_168,168,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_169,169,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_170,170,,,UNCLASSIFIED
page_171,171,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_172,172,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_173,173,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_174,174,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_175,175,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_176,176,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_177,177,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_178,178,COMPLEX_LAYOUT,,COMPLEX_LAYOUT: None
page_179,179,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_180,180,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_181,181,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_182,182,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_183,183,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_184,184,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_185,185,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_186,186,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_187,187,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_188,188,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_189,189,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_190,190,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_191,191,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_192,192,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_193,193,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_194,194,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_195,195,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_196,196,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_197,197,COMPLEX_LAYOUT,OTHER_UNPARSED,COMPLEX_LAYOUT: OTHER_UNPARSED
page_198,198,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_199,199,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_200,200,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_201,201,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_202,202,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_203,203,SIMPLE_LAYOUT,NO_AD,SIMPLE_LAYOUT (auto NO_AD)
page_204,204,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_205,205,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_206,206,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_207,207,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_208,208,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_209,209,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_210,210,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_211,211,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_212,212,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_213,213,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_214,214,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_215,215,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_216,216,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_217,217,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_218,218,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_219,219,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_220,220,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_221,221,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_222,222,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_223,223,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_224,224,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_225,225,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_226,226,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_227,227,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_228,228,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_229,229,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_230,230,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_231,231,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_232,232,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_233,233,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_234,234,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_235,235,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_236,236,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_237,237,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_238,238,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_239,239,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_240,240,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_241,241,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_242,242,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_243,243,COMPLEX_LAYOUT,OTHER_UNPARSED,COMPLEX_LAYOUT: OTHER_UNPARSED
page_244,244,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_245,245,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_246,246,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_247,247,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_248,248,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_249,249,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_250,250,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_251,251,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_252,252,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_253,253,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_254,254,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_255,255,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_256,256,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_257,257,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_258,258,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_259,259,COMPLEX_LAYOUT,OTHER_UNPARSED,COMPLEX_LAYOUT: OTHER_UNPARSED
page_260,260,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_261,261,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_262,262,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_263,263,COMPLEX_LAYOUT,,COMPLEX_LAYOUT: None
page_264,264,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_265,265,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_266,266,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_267,267,COMPLEX_LAYOUT,OTHER_UNPARSED,COMPLEX_LAYOUT: OTHER_UNPARSED
page_268,268,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_269,269,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_270,270,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_271,271,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_272,272,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_273,273,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_274,274,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_275,275,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_276,276,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_277,277,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_278,278,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
