Name,Address,Location,Category,Role,Profession,Additional Info,page_num,source_file,section,civic_num,civic_lett,sestiere_parsed,parish_parsed,sestiere_implied,match_note,location_cleaned,fail_reason,nom_classification,nominatim_query,nominatim_flagged,matched_lat,matched_lon,match_confidence,geocoding_tier,Journal,is_provincia,matched_parish,matched_sestiere,matched_lett,all_doors
Zennaril Ing. Antonio,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Membri effettivi,-,Divisione III.B,43,page_43_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Sabbadin Rag. Giordano,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Membri effettivi,-,Divisione III.B,43,page_43_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Venchierutti Avv. Iginio,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Membri supplenti,-,Divisione III.B,43,page_43_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Francesconi Ing. Carlo,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Membri supplenti,-,Divisione III.B,43,page_43_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Fano Avv. Luciano,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Membri effettivi,-,Agregati per la risoluzione dei ricorsi in materia di tributi locali,43,page_43_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Chiestiura Corona Michele,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Membri effettivi,-,Agregati per la risoluzione dei ricorsi in materia di tributi locali,43,page_43_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Guerriero Dr. Anello,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Membri supplenti,-,Divisione III.B,43,page_43_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Penzo Ing. Felice,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Membri supplenti,-,Divisione III.B,43,page_43_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Capisani Dario,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Segretario,-,Divisione III.B,43,page_43_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Siragusa Dr. Ciro,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Membri effettivi,-,In sede giuridizionale,43,page_43_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Beltrame Dr. Gregorio,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Membri effettivi,-,In sede giuridizionale,43,page_43_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Frascella Avv. Giuseppe,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Membri effettivi,-,In sede giuridizionale,43,page_43_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Sabbadin Rag. Giordano,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Membri effettivi,-,In sede giuridizionale,43,page_43_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Bandarin rag. Giordano,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Membro supplente,-,In sede giuridizionale,43,page_43_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Spaziantie Dr. Domenico,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Segretario,-,In sede giuridizionale,43,page_43_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Frascino dott. Jerasino,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Presidente,-,Membri della I.a Sezione,43,page_43_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Alberi rag. Giovanni,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Membri effettivi,-,Membri della I.a Sezione,43,page_43_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Adami ing. Mario,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Membri effettivi,-,Membri della I.a Sezione,43,page_43_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Giurii Umberto,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Membri effettivi,-,Membri della I.a Sezione,43,page_43_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Orsoni Angelo,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Membri effettivi,-,Membri della I.a Sezione,43,page_43_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Velatta ing. Massimo,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Membri supplenti,-,Membri della I.a Sezione,43,page_43_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
RigoBon Pietro,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Membri supplenti,-,Membri della I.a Sezione,43,page_43_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Sindaco,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Membro effettivo,-,Divisione III.B,44,page_44_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Medico Provinciale,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Membro effettivo,-,Divisione III.B,44,page_44_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Ing. Capo del Genio Civile,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Membro effettivo,-,Divisione III.B,44,page_44_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Comandante Prov. dei Vigili del Fuoco,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Membro effettivo,-,Divisione III.B,44,page_44_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Francesco Baldassari,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,GIUNTA PROV. AMMINISTRATIVA,esperto elettrotecnico,Divisione III.B,44,page_44_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Amedeo Solesin,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Membro effettivo,rappresentante esercenti cinema e teatri,Divisione III.B,44,page_44_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Ing. Nicola Mascaro,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Membro supplente,-,Divisione III.B,44,page_44_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Ing. Pietro Scheiari,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Membro supplente,esperto elettrotecnico,Divisione III.B,44,page_44_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Daniele Romano,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Segretario,-,Divisione III.B,44,page_44_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Il Prefetto,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Presidente,-,Divisione III.B,44,page_44_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
L'Intendente di Finanza,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Membro di diritto,-,Divisione III.B,44,page_44_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
L'Ingegnere Capo del Genio Civile,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Membro di diritto,-,Divisione III.B,44,page_44_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Nicolassi dr. Umberto,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Rappresentante,Federaz. Cooperative,Divisione III.B,44,page_44_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Penzo Antonietta,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Segretario,-,Divisione III.B,44,page_44_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Presidente del Tribunale Civile e Penale,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Membro,-,Divisione III.B,44,page_44_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
Medico Provinciale,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Membro,-,Divisione III.B,44,page_44_semantic.csv,government,,,,,False,"Manually geocoded via Nominatim lookup: Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,45.4326886,12.3318999,manual_nominatim,9,,,,,,
