Name,Address,Location,Category,Role,Profession,Additional Info,Notes,Political Party,page_num,source_file,section,civic_num,civic_lett,sestiere_parsed,parish_parsed,sestiere_implied,match_note,location_cleaned,fail_reason,nom_classification,nominatim_query,nominatim_flagged,matched_lat,matched_lon,match_confidence,geocoding_tier,matched_parish,matched_sestiere,matched_lett,all_doors
Rofraè Luigi,Via Durando 1,"P. II""",,Cancelliere dirigente,CIMITERI COMUNALI,",",,,49,page_49_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
"Gasparini Pietro, Angelini Giulio, Manzoni Umberto",Via Durando 1,"P. II""",,Tiscieri,CIMITERI COMUNALI,",",,,49,page_49_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Vianello dott. Domenico,Via Durando 1,"P. II""",,Direttore capo Divisione,CIMITERI COMUNALI,",",,,49,page_49_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Volpato cav. dott. Guerrino,S. Angelo,"P. II""",,Collettore dirigente,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Ponti Giovanni,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Lizier Pietro,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Gatto Eugenio,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Tommasini Raffaele,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Candiani Antonio,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Spanio Angelo,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Grandesso Michele,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Zenoni Pietro Rosa,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Zuliani Giovanni,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Zecchini Luigi,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Pavannini Giovanni,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Spinola Romano,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Regazzo Arturo,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Petragnoli Pio,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Santi Maria,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
De Piante Giovanni,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
D'Este Ida,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Arata Luigi,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Nordio Emilia,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Ferro Giuliano,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Leonardi Pietro,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Gherizza Ferdinando,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Sabbadin Luigi,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Mezzalira Anita,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Borin Ignio,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Orlandini Adolfo,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Pellissato Pietro,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Oliviero Carlo,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Gaddi Giuseppe,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Moressa Leone,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Braico vich Lucia,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Ermola Angelo,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Sonzogno Nino,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Riva Serafino,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
De Filippi Tito,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Guadagnin Giuseppe,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Sivo li Giuseppe,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Turcato Giuseppe,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
De Bei Umberto,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Tonetti Giovanni,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Vespignani Arcangelo,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Vallenari Ugo,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Vecchi Giuseppe,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Zille Ester,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Crosara Carlo,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Beccari Antonio,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Ball'Osso Dante,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Barbini Arturo,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Marterra Ferruccio,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Izzo Carlo,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
De Grandi Romeo,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Rotelli Ugo,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Gavagnin Armando,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Luzzato Gino,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Contursi Luis i Gaetano,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Viola di Campalto Guido,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Marcello Alessandro,S. Angelo,"P. II""",,Consigliere Comunale,CIMITERI COMUNALI,",",,,50,page_50_semantic.csv,government,,,SAN MARCO,L'Angelo,True,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Dr. Antonio Vianello,San Lorenzo 3385,"P. II""",,Membro,CIMITERI COMUNALI,",",,,52,page_52_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,False,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Ing. Lorenzo Merlin,Viale 4 Novembre 91,"P. II""",,Membro,CIMITERI COMUNALI,",",,,52,page_52_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,False,no_civic_number,inside_venice,,False,,,no_civic_number,,,,,
Gambarin prof. Giovanni,Via XXII Marzo n. 2032,Palazzo Camera di Commercio,,Appalto: Società 'Trezza di Verona,Commissario Straordinario,,,,53,page_53_semantic.csv,government,,,,,False,"Nominatim failed: query=Palazzo Camera di Commercio, Venezia, Italy | type=nan class=nan",,no_civic_number,inside_venice,"Palazzo Camera di Commercio, Venezia, Italy",False,,,no_civic_number,,,,,
Marchignoli ing. Luigi,Calle degli Avvocati n. 207,Palazzo Camera di Commercio,,Provveditore al Porto (Reggente),Commissariato di S. Elena,,,,53,page_53_semantic.csv,government,,,,,False,"Nominatim failed: query=Palazzo Camera di Commercio, Venezia, Italy | type=nan class=nan",,no_civic_number,inside_venice,"Palazzo Camera di Commercio, Venezia, Italy",False,,,no_civic_number,,,,,
