Name,Address,Location,Category,Role,Profession,Additional Info,Notes,Political Party,page_num,source_file,section,civic_num,civic_lett,sestiere_parsed,parish_parsed,sestiere_implied,match_note,location_cleaned,fail_reason,nom_classification,nominatim_query,nominatim_flagged,matched_lat,matched_lon,match_confidence,geocoding_tier
ADAMO STEFANO SAPIEHA,S. Maria Nuova e S. Francesca Rom,,,,,Arc. Cracovia,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
EDOARDO MOONEY,S. Susanna,,,,,Arc. di Detroit,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
GIOVANNI BATTISTA NASALLI-ROCCA DI CORNELIANO,S. Maria in Traspontina,,,,,Arc. di Bologna,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
GIULIO SALEIGE,Arc. di Tolosa,,,,,",",,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
GIACOMO CARLO MC GUIGAN,Sta. Maria del Popolo,,,,,Arc. Toronto,,,36,page_36_semantic.csv,religious,,,SAN POLO,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
ALESSANDRO VERDE,S. Maria in Cosmedin,,,,,",",,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
SAMUELE STRITCH,S. Agnese fuori le mura,,,,,Arc. di Chicago,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
GIUSEPPE ERNESTO VAN ROEY,S. Maria in Aracoeli,,,,,Arc. di Malines,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
AUGUSTO HLOND,S. Maria della Pace,,,,,Arc. di Gnesua e Posnania,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
PIETRO SEGURA Y SAENZ,S. Maria in Trastevere,,,,,Arc. di Siviglia,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
AGOSTINO PARRADO Y GARCIA,S. Agostino,,,,,Arc. di Granata,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
ALFREDO IDELFONSO SCHUSTER,Santi Silvestro e Martino ai Monti,,,,,Arc. di Milano,,,36,page_36_semantic.csv,religious,,,,San Silvestro,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
EMANUELE CONCALVES CEREJEIRA,Santi Marcellino e Pietro,,,,,Patriarca di Lisbona,,,36,page_36_semantic.csv,religious,,,,San Pietro,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
LUIGI LAVITRANO,S. Silvestro in Capite,,,,,Arc. di Palermo,,,36,page_36_semantic.csv,religious,,,,San Silvestro,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
EMILIO ROQUES,S. Balbina,,,,,Arc. di Rennes,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
GIOVANNI DE JONG,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,,Arc. di Utrecht,,",",,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
CARLO CARMELO DE VASCONCELLOS MOTTA,S. Pancrazio,,,,,Arc. di S. Paolo del Brasile,,,36,page_36_semantic.csv,religious,,,,,False,"Nominatim failed: query=Chiesa di San Pancrazio, Venezia, Italy | type=place_of_worship class=amenity",,no_civic_number,inside_venice,"Chiesa di San Pancrazio, Venezia, Italy",False,,,nominatim_failed,
RAFFAELLO CARLO ROSSI,ORDINE DEI DIACONI,,,Segret. della S. Congregazione Concistoriale,,tit. di S. Prassede,,,37,page_37_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
PIETRO PETIT DE JULLEVILLE,S. Maria in Aquiro,,,Arce di Rouen,,ORDINE DEI DIACONI,,,37,page_37_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
ACHILLE LIENART,S. Maria in Aquiro,,,Vescovo di Lilla,,tit. di S. Sisto,,,37,page_37_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
PIETRO FUMASONI BIONDI,S. Croce in Gerusalemme,,,Prefetto della Congregazione di Propaganda Fide,, Cancellierte dell'Ateneo di Propaganda Fide,,,37,page_37_semantic.csv,religious,,,SANTA CROCE,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
MAURILIO FOSSATI,S. Croce in Gerusalemme,,,Arc. di Torino,,tit. di S. Marcello,,,37,page_37_semantic.csv,religious,,,SANTA CROCE,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
RODRIGO VILLENEUVE,S. Maria degli Angeli,,,Arc. di Quebec,,ORDINE DEI DIACONI,,,37,page_37_semantic.csv,religious,,,,,False,"Nominatim failed: query=Chiesa di Santa Maria degli Angeli, Venezia, Italy | type=place_of_worship class=amenity",,no_civic_number,inside_venice,"Chiesa di Santa Maria degli Angeli, Venezia, Italy",False,,,nominatim_failed,
NORMANNO GILROY,SS. Quattro Coronaji,,,Arc. Sydney,,ORDINE DEI DIACONI,,,37,page_37_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
CLEMENTE DE GOUVELA,S. Pietro in Vincoli,,,Arc. di Lorenzo Marques,,ORDINE DEI DIACONI,,,37,page_37_semantic.csv,religious,,,,San Pietro,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
EMANUELE CELESTINO SUHARD,S. Pietro in Vincoli,,,Arc. di Parigi,,tit. di S. Onofrio,,,37,page_37_semantic.csv,religious,,,,San Pietro,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
GIACOMO DE BARROS CAMARA,SS. Bonifacio e Alessio,,,Arc. di S. Sebastiano de Rio de Janeiro,,ORDINE DEI DIACONI,,,37,page_37_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
GIACOMO LUIGI COPELLO,SS. Bonifacio e Alessio,,,Arc. di Buenos Ayres,,tit. di S. Girolamo degli Schiavoni,,,37,page_37_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
ENRICO PLA Y DENIEL,"tit, S. Pietro in Montorio",,,Arc. di Toledo,,ORDINE DEI DIACONI,,,37,page_37_semantic.csv,religious,,,,San Pietro,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
EMANUELE ARTEAGA Y BETANCOURT,"tit, S. Pietro in Montorio",,,Arc. di S. Cristoforo - Avana,,tit. di S. Lorenzo in Lucina,,,37,page_37_semantic.csv,religious,,,,San Pietro,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
ADOMAITo GIOVANNI PIAZZA dei Carmelitani Scalzi,"tit, S. Pietro in Montorio",,,Patriarca di Venezia,,tit. di S. Prasso,,,37,page_37_semantic.csv,religious,,,,San Pietro,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
GIUSEPPE FRINGS,S. Giovanni a Porta Latina,,,Arc. di Colonia,,ORDINE DEI DIACONI,,,37,page_37_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
GUALBERTO GIOVANNI GUEVARA,S. Giovanni a Porta Latina,,,Arc. di Lima,,tit. S. Eusebio,,,37,page_37_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
PIETRO GERLIER,"tit, della SS. Trinità al Monte Pincio",,,Arc. di Lione,,ORDINE DEI DIACONI,,,37,page_37_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
BERNARDO GRIFFIN,SS. Andrea e Gregorio al Monte Celio,,,Arc. di Westminster,,ORDINE DEI DIACONI,,,37,page_37_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
EMANUELE ARCE Y OCHOTORENA,"SS. Vitale, Gervasio e Protaso",,,Arc. di Tarragona,,ORDINE DEI DIACONI,,,37,page_37_semantic.csv,religious,,,,Santi Gervasio e Protasio,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
GIUSEPPE MINDSZENTY,"SS. Vitale, Gervasio e Protaso",,,Arc. di Strigonia,,tit. S. Stefano al Monte Celio,,,37,page_37_semantic.csv,religious,,,,Santi Gervasio e Protasio,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
ERNESTO RUFFINI,Santa Sabina,,,Arc. di Berlino,,ORDINE DEI DIACONI,,,37,page_37_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
CORRADO VON PREYSING,Santa Sabina,,,Vescovo di Berlino,,tit. di S. Agata dei Goti,,,37,page_37_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
TOMMASO TIEN,S. Maria in Via,,,Vicario Ap. di Tsing-Tao,,ORDINE DEI DIACONI,,,37,page_37_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
DI JORIO mons. ALBERTO,S. Maria in Via,,,Sostituto ed Archivista,,ORDINE DEI DIACONI,,,37,page_37_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
Avv. Enrico De Nicola,,,,Capo provvisorio dello Stato,,,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
Dr. Alcide De Gasperi,,,,Pres. del Consiglio,Min. dell'Interno,Dem. Crist.,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
Dr. Pietro Nenni,,,,ESTERI,,Socialista,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
Avv. Fausto Gullo,,,,GRAZIA E GIUSTIZIA,,Comunista,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
Dr. Mauro Scoccimarro,,,,FINANZE,,Comunista,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
Dr. Giov. Battista Bertone,,,,TESORO,,Dem. Crist.,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
Avv. Cipriano Facchinetti,,,,GUERRA,,Repubblicano,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
Dr. Giuseppe Michieli,,,,MARINA DA GUERRA,,Dem. Crist.,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
Avv. Salvatore Aldisio,,,,MARINA MERCANTILE,,Dem. Crist.,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
Avv. Mario Cingolani,,,,AERONAUTICA,,Dem. Crist.,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
Dr. Guido Gonella,,,,PUBBLICA ISTRUZIONE,,Dem. Crist.,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
Ing. Giuseppe Romita,,,,LAVORI PUBBLICI,,Socialista,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
Ing. Giacomo Ferrari,,,,TRASPORTI,,Comunista,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
Avv. Prof. Antonio Segni,,,,AGRICOLTURA,,Dem. Crist.,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
Avv. Mario Scelba,,,,POSTE E TELECOMUNICAZIONI,,Dem. Crist.,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
Prof. Rodolfo Morandi,,,,INDUSTRIA E COMMERCIO,,Socialista,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
Ludovico D'Aragona,,,,LAVORO E PREVIDENZA SOCIALE,,Socialista,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
Dr. Emilio Sereni,,,,ASSISTENZA POST-BELLICA,,Comunista,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
Dr. Pietro Campilli,,,,COMMERCIO CON L'ESTERO,,Dem. Crist.,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
Dr. Cino Macrelli,,,,Ministri senza portafoglio,,Repubblicano,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
PAOLO CAPPA,,,,PRESIDENZA DEL CONSIGLIO,,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
GIUSEPPE PELLA,,,,AFFARI ESTERI,,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
GIUSEPPE BRUSASCA,,,,AFFARI ESTERI,,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
GIUSEPPE LUPIS,,,,ITALIANI ALL’ESTERO,,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
ANGELO CORSI,,,,INTERNO,,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
ACHILLE MARAZZA,,,,GRAZIA E GIUSTIZIA,,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
SALVATORE SCOCCA,,,,FINANZE,,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
RAFFAELE PIO PETRILLI,,,,TESORO,,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
VINCENZO CAVALLARI,,,,DANNI DI GUERRA,,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
GIUSEPPE MONTALBANO,,,,MARINA MERCANTILE,,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
VITO MARIO STAMPACCHIA,,,,MARINA DA GUERRA,,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
GIOSUÈ FIORENTINO,,,,AERONAUTICA,,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
GIUSEPPE BELLUSCI,,,,PUBBLICA ISTRUZIONE,,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
PIER CARLO RESTAGNO,,,,LAVORI PUBBLICI,,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
ANGELO RAFFAELE JERVOLINO,,,,TRASPORTI,,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
VELIO SPANO,,,,AGRICOLTURA E FORESTE,,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
ROBERTO TREMELLONI,,,,INDUSTRIA E COMMERCIO,,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
GENNARO CASSIANI,,,,LAVORO E PREVIDENZA SOCIALE,,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
GIUSEPPE CHIOSTERGI,,,,COMMERCIO ESTERO,,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
LUIGI DE FILPO,,,,POSTE E TELECOMUNICAZIONI,,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,,no_civic_number,inside_venice,,False,,,nominatim_failed,
Dott. Gregorio Notarianni,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Prefetto,,,,,42,page_42_semantic.csv,government,,,,,False,"Nominatim failed: query=Palazzo del Governo, Venezia, Italy | type=public class=building",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,,,nominatim_failed,
Dott. Lorenzo Salazar,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Vice Prefetto vicario,,,,,42,page_42_semantic.csv,government,,,,,False,"Nominatim failed: query=Palazzo del Governo, Venezia, Italy | type=public class=building",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,,,nominatim_failed,
Dott. Domenico Dal Cortivo,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Vice Prefetto ispettore,,,,,42,page_42_semantic.csv,government,,,,,False,"Nominatim failed: query=Palazzo del Governo, Venezia, Italy | type=public class=building",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,,,nominatim_failed,
Dott. Gaetano Marfisa,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Capo di Gabinetto,Vice Prefetto ispett.,,,,42,page_42_semantic.csv,government,,,,,False,"Nominatim failed: query=Palazzo del Governo, Venezia, Italy | type=public class=building",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,,,nominatim_failed,
Dott. Celestino De Bonis,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Addetto,Consigliere di l. classe,,,,42,page_42_semantic.csv,government,,,,,False,"Nominatim failed: query=Palazzo del Governo, Venezia, Italy | type=public class=building",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,,,nominatim_failed,
Rag. Paolo Vasquez,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Addetto,I. Ragioniere,,,,42,page_42_semantic.csv,government,,,,,False,"Nominatim failed: query=Palazzo del Governo, Venezia, Italy | type=public class=building",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,,,nominatim_failed,
Dott. Filipponi Vincenzo,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Ufficio Stampa,,,,,42,page_42_semantic.csv,government,,,,,False,"Nominatim failed: query=Palazzo del Governo, Venezia, Italy | type=public class=building",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,,,nominatim_failed,
Dott. Serrao Francesco Antonio,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Ufficio Stampa,,,,,42,page_42_semantic.csv,government,,,,,False,"Nominatim failed: query=Palazzo del Governo, Venezia, Italy | type=public class=building",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,,,nominatim_failed,
Dott. Gian Luigi Gualandi,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Servizi elettorali,V. Prefetto Ispett.,,,,42,page_42_semantic.csv,government,,,,,False,"Nominatim failed: query=Palazzo del Governo, Venezia, Italy | type=public class=building",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,,,nominatim_failed,
Germanico Ravenna,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Economato,,,,,42,page_42_semantic.csv,government,,,,,False,"Nominatim failed: query=Palazzo del Governo, Venezia, Italy | type=public class=building",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,,,nominatim_failed,
Dott. Gregorio Beltrame,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Capo divisione,,,,,42,page_42_semantic.csv,government,,,,,False,"Nominatim failed: query=Palazzo del Governo, Venezia, Italy | type=public class=building",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,,,nominatim_failed,
Rag. Paolo Vasquez,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Dirigente,I. Ragioniere,,,,42,page_42_semantic.csv,government,,,,,False,"Nominatim failed: query=Palazzo del Governo, Venezia, Italy | type=public class=building",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,,,nominatim_failed,
Dott. Domenico Dal Cortivo,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Capo Divisione,Vice Prefetto Ispett.,,,,42,page_42_semantic.csv,government,,,,,False,"Nominatim failed: query=Palazzo del Governo, Venezia, Italy | type=public class=building",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,,,nominatim_failed,
Dott. Ciro Siragusa,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Capo Divisione,Consigliere di I. cl.,,,,42,page_42_semantic.csv,government,,,,,False,"Nominatim failed: query=Palazzo del Governo, Venezia, Italy | type=public class=building",,no_civic_number,inside_venice,"Palazzo del Governo, Venezia, Italy",False,,,nominatim_failed,
