occupation,frequency,cluster_id
Carbone e legna,2,0
carbone e legna (dettagli),2,0
carbone e legna (dett.),2,0
impianti di riscaldamento,2,0
Carbone e legna (dettaglio),2,0
liquori (fabrica e deposito),2,0
bandaio e lattoniere,2,0
rappresentante materiali edili,2,0
combustibili liquidi ed affini,2,0
Legnami e pali da costruzione,2,0
officina elettromeccanica,2,0
impianti telefonici,2,0
Cicli e Motocicli,2,0
industria chimica,2,0
Società Cementi Armati Centrifugati,2,0
cicli e motoveicoli,2,0
coal and firewood,2,0
Generatori Acetilene brevettati,2,0
esperto elettrotecnico,2,0
Impresa impianti elettrici industriali,1,0
UFFICIO TECNICO IMPOSTE DI FABBRICAZIONE,1,0
Combustibili e Carburanti,1,0
Abiti riparazioni,1,0
Accessori per auto e lubrificanti,1,0
Fabbrica Acque Gassate - “Chabeso”,1,0
FABBRICA ACQUE GASSATE,1,0
Automobili,1,0
"BAULI moderni, solidi, leggeri ed eleganti",1,0
Avvolgimento Motori,1,0
Benzina,1,0
Carboni Fossili e Legna da ardere,1,0
Commercio Carboni e Legna da ardere,1,0
carboni o legna da ardere,1,0
"Cavi sotto piumo per energia ad alta e bassa tensione, Cavi telefonici di qualunque tipo, Cavetti sottopiombo per impianti interni, Fili « Corde rame » e alluminio isolati, Cordoncini luce-Cavetti sterlinanti, Accessori per cavi, Offerte, Listini",1,0
Cavi elettrotelefonici recupero e posa,1,0
Cementi armati,1,0
"Compressori, Trapani, Smerigliatrici, Martelli pneumatici",1,0
Concimi azotati,1,0
Costruzioni stradali e ferroviarie,1,0
"Officina elettrogalvanica, Argentatura, Ramatura, Biancatura, Ossidatura",1,0
"FABBRICA - Cucine economiche, Stufe - Letti - Reti - Brande Turche",1,0
Negozi: Bottega dell'Elettricità,1,0
(fabbriche),1,0
d’ingresso ferroviari,1,0
Elettrochimica,1,0
Elettrodomestica,1,0
Elettrogalvanica,1,0
"Impianti e Forniture Industriali e Civili, Riscaldamenti Moderni, Idraulici, Sanitari, Elettricità ed affini",1,0
Falegnameria e Meccanica,1,0
STABILIMENTO ELETTRO - MECCANICO PER LA LAVORAZIONE DEL LEGNO,1,0
Ferro battuto,1,0
Ferro e derivati,1,0
Ferro e metalli da fondere,1,0
Forniture meccaniche,1,0
Fotindustria,1,0
Gemme per veicoli,1,0
"IMPIANTI E FORNITURE INDUSTRIALI E CIVILI, IN RISCALDAMENTI MODERNI, IDRAULICI, SANITARI, ELETTRICITÀ ED AFFINI, OFFICINA ELETTROME CANICA, SALDATURA AUTOGENA",1,0
IMBALLAGGI IN LEGNO,1,0
Impianti costruzioni elettriche,1,0
Impianti riscaldamento,1,0
Impianti Telefonici Automatici interni,1,0
Fornitura per lavori ed opera edilizia stradali,1,0
manutenzione strade ferrate,1,0
costruzioni ferroviarie,1,0
Porto Industriale,1,0
"Impresa Costruzioni Edilizie, Lavori edilizi in cemento armato, ferro e legno",1,0
Installazioni elettriche ed idrauliche e vendita materiale elettrico,1,0
Lavorazione materie plastiche,1,0
Lavorazione marmi,1,0
Legna (ingrosso),1,0
"Carboni fossili, Ligniti legna da ardere",1,0
Macchine e accessori,1,0
"Impresa Edile, Costruzioni In Cemento",1,0
Materiali da costruzione,1,0
Manufatti in cemento,1,0
Materiale ferroviario,1,0
Materiali plastici,1,0
Materiali radio elettrici,1,0
Materiali siderurgici,1,0
Materiali tecnici e per la ricostruzione,1,0
Materie resìnose,1,0
Meccanica di precisione,1,0
Metalli lavorati e bronzi,1,0
Premiato Mobilificio,1,0
ARREDAMENTI NEGOZI,1,0
Motori,1,0
Officine per carica accumulatori,1,0
Officine industria alluminio,1,0
Officina Meccanica e Fabbrile con Torneria,1,0
Officine meccaniche e saldature,1,0
selciatura e pavimentazione stradale,1,0
per L'industria Mineraria ed agricola,1,0
Prodotti industriali,1,0
Recordi ferroviari,1,0
"Riparazioni radiorecivitori normali e speciali - altoparlanti - microfoni, pick ups, ecc.",1,0
Radiomeccanica,1,0
rappresentante te colori e prodotti chimici,1,0
rappresentante i prodotti chimici,1,0
Ricerche minerarie,1,0
Riparazioni impianti tecnici e igienici,1,0
Riparazioni riavvolgimenti macchine elettriche,1,0
Riscaldamento e termosifoni,1,0
Rottami metallici,1,0
Scaldabagni elettrici,1,0
Fabbrica Timbri in Gomma,1,0
COMPRESSORI D’ARIA,1,0
TRAPANI ELETTRICI,1,0
Tubi in cemento,1,0
Tubi in ferro e acciaio,1,0
Adriatica Costruzioni Edilizie,1,0
Raffineria e Depositi,1,0
alluminio,1,0
Officina Meccanica Metallurgica e Costruzioni in Ferro,1,0
Carbone e legna (grossista),1,0
Officina meccanica,1,0
eletricista,1,0
lavorazione dzoghe,1,0
materiali refrattari e laterizi. Prodotti chimici,1,0
materiale per construzioni edilizie,1,0
prodotti chimici commercio,1,0
legnami e pali da costruzione,1,0
officina meccanica metallurgica e construzioni in ferro,1,0
costruttore edile,1,0
liquori fabbrica e depositi,1,0
officina meccanica metal. lurgica e costruzioni in ferro,1,0
cicli e motocicli (posto per noleggio riparazioni),1,0
Impianti Elettro-Industriali,1,0
Elettricità Idraulica e Gas,1,0
strumenti musicali e materiele radio,1,0
carbone e legnai dettagli,1,0
"Articoli sanitari, Articoli di gomma, tecnici ed industriali, l'nper. meschi Pirelli, Buetti Berni e delle migliori Marche, Forniture complete per,Ambulatori""",1,0
fonderia meccanica,1,0
"prodotti chimici, petrolio e benzina, marmi e cemento * * * * * * colori e vernici, ferramenta e metalli, carburo di calcio,",1,0
acque minerali,1,0
La Radio-elettrica,1,0
Magazzino Ferro,1,0
impresa di costruzioni e falegnameria,1,0
officina meccanica e saldature,1,0
mobili in ferro (fabbrica),1,0
macchine contabili calcolatrici,1,0
elettricisti idraulica gas,1,0
legnami e pelli da costruzioni,1,0
"di Belle, Ferrer e Zacchiroli M., carbone e legna (grossista)",1,0
rappresento macchine,1,0
riscaldamento e fumisteria,1,0
guarnizioni isolanenti,1,0
isolamenti termici ed acustici,1,0
"Materiale per costruzioni edilizie, Leggere e rapide",1,0
Materiale per costruzioni edilizie,1,0
Acque Gassate,1,0
"Fabbrica Vetri, Ditta",1,0
rappresentanti carboni,1,0
articoli tecnici combustibili solidi e liquidi,1,0
Printe. Uff. Impianti Elettrici e di Segnalamento,1,0
"galvanizzatore, cesellatore",1,0
Impianti elettrici di luce,1,0
gas (industria),1,0
tubazioni industriali,1,0
materiali radio elettrici,1,0
timbri di gomma in metallo e incisioni,1,0
ferri e metalli usati,1,0
tornitore 2362,1,0
elettricità idraulica gas,1,0
macchine elettrica industriali e motori,1,0
impianti frigoriferi,1,0
impianti condizionamento d'aria,1,0
fabbro ferruic meccanico,1,0
pittunzionii industriali,1,0
 carbone e legna (dettaglio),1,0
ferramenta metalli,1,0
Carbone e legna (vendita al dettaglio),1,0
Apparecchi o materiale radio,1,0
ferramenta,1,0
manipolazione carboni FF. SS.,1,0
elettricista idraulica e gas,1,0
Combustibili solidi e liquidi,1,0
Rappresentanze di prodotti chimici,1,0
Industria,1,0
Generatori Accellene Brevettati,1,0
fornaci da calce e laterizi,1,0
carbone e legna (det. taglio),1,0
Ass. fra Proprietari di Fabbricati,1,0
Offlcina Elettromeccanica,1,0
carbone e legna (det- taglio),1,0
fabbro ferrajo e mecrtnico,1,0
officina fabbrile,1,0
fabhro ferraio e meccanico,1,0
Ferri e Metalli Usati,1,0
rappresentante macchine,1,0
magil'na (fabbrica),1,0
levame e pali da costruzioni,1,0
"Appareohgl per saldatura e taglio osalacetilenici, Riduttori di presslone, Impiantì di distrlbufione gas compressl, Rappresentanti per il Veneto: Soc. Rapprentazne Generali, S. Molse.",1,0
lubrificanti,1,0
idraulica-sanitaria,1,0
 idraulica e gas,1,0
impresa edile riscaldamento fumisteria,1,0
fabbrica e deposito,1,0
prodotti e sottoprodotti petroliferi,1,0
Radio e radiogrammofoni,1,0
Elettricista idraulica e gas,1,0
rappresentante-prodotti chimii,1,0
rapprsentate macchinari,1,0
fabbrica,1,0
metalli minuti,1,0
"frigoriferi, officina meccanica e metallurgica",1,0
comm. e lavorazione,1,0
fabbricati e aziende agricole,1,0
rappresentante materiale elettrico,1,0
carbone legna legnam & pali da costruzioni,1,0
prov. servizio impianti sport,1,0
 industria,1,0
rappresentante macchineri,1,0
Imballaggi in legno,1,0
Fonderia meccanica,1,0
macchine a motori,1,0
legnami e palia da costruzioni,1,0
"Costruzioni ed impianti elettrici idraulici sanitari e gas, Officina riparazioni, Venezia materiale",1,0
"armi, munizioni, proiettili",1,0
Studio Radio e Elettrotecnico,1,0
"cicli e motocicli (accessori, riparazioni, vendite)",1,0
Lagenitmi e pali da costruzioni,1,0
fornica di calce e laterizi,1,0
Magazzino Deposito Materiali da Costruzioni,1,0
Materiali per l’Edilizia,1,0
cicli e motocicli (noleggio nolecizio riparazioni),1,0
fabbro e meccanico,1,0
fabre ferraio e meccanico,1,0
minerali,1,0
lubrificanti bitumi,1,0
Fabbro ferraio meccanico,1,0
"Officina Elettromeccanica, Saldatura Autogena",1,0
ricerche minerarie,1,0
elettricista idraulico,1,0
"legnami e pali da costruzioni, (grossista)",1,0
carbone e legname (dettaglio),1,0
Fabbrica Timbri - Studio Incisioni,1,0
Impresa Edile Falegnameria,1,0
Macchine Utensili e Utensileria,1,0
Industrie laterizi e affini,1,0
Importazione Esportazione Commercio Prodotti del suolo e del Findustrie,1,0
officina di Motoeicli,1,0
"inco,re, coestelatore, sbalzatore, timbri di gom- ma e metallo",1,0
cinema (produzione film stabii-,1,0
Disinfestazioni con gas tossici,1,0
impresa di costruzioni,1,0
"Apparecchi di tutte le Marche, Dueomi Duenti, Amplificatori, Impianti Cine, Negozio e Laboratorio",1,0
 benzina,1,0
Fabbrica,1,0
industries boschive,1,0
elettricista,1,0
"Sez, Materiale Trazione",1,0
terramatta e metalía,1,0
radiomeccanica,1,0
mobili (fabbrica),1,0
Prefabbricati,1,0
impianti di riscaldamento elettricità idraulica e gas,1,0
materiale per costruzione,1,0
 acque minerali,1,0
legno carboni (grossisti),1,0
carburanti olii ed affnii,1,0
gas (industrie),1,0
apparecchi elettromeccanici,1,0
prodotti industriali,1,0
fonderia,1,0
elettromeccanica,1,0
legna per cellulose,1,0
Fornace da calce e laterizi,1,0
Fonderia p'eceuenca,1,0
olii minerali,1,0
Fornacci da calce e laterizi,1,0
Molini e Pastificio,1,0
ghiaerio (fabbrica),1,0
industria laterizi,1,0
ingegner costrzeni al Neon,1,0
lavori poruuali materiali per costruzioni,1,0
"Costruzioni edili, civili e industriali, industri inoshiva",1,0
"Ufficio di Venezia, Sezioni: Stabilimento Grandi Motori, Ferriere Piemontesi, Industrie Metallurgiche ed Accialerie, Fonderie Ghisa, Materiale Ferroviario, S. A. Metalli, S. A. Produscia, S. A. Ricuperi Metallifei, Prodotti Vitoc e della Vetrooock.",1,0
"Manufatti in cemento, tubi in cemento",1,0
elettricità (produzione distribuzione),1,0
ossidi metallici,1,0
rappresentante carboni,1,0
carbone e legna ingrosso (dettaglio),1,0
fibre vegetali ed affini legna,1,0
Lavorazione di Sughero in genere,1,0
legnami e pali da costruzi,1,0
Carbone e Legna (Dettaglio),1,0
 officina meccanica e metallurgica,1,0
officina meccanica e saldatura,1,0
 acque gassaste,1,0
"Addizionatori, Agricole, Utensili, Enologiche, da Scrivere",1,0
Industria Acque Gassate,1,0
Ingegnero,1,0
Fornaci,1,0
Laterizi Materiale per costruzioni edilizie,1,0
elettricità e idraulica e gas,1,0
Premiata Fonderia Artistica Maccanica con Laboratorio Bronzi,1,0
friggitore e commestibili,1,0
stoffe,1,0
officina industria alluminio,1,0
officina meccanici metalurgla e costruzioni in ferro,1,0
ferro battuto,1,0
Fabbro Ferrario e Une-celnino,1,0
carbonaio e legna (dettaglio),1,0
elettrotecnica,1,0
materiali radio electri,1,0
macchine sutenili nuove e do canzone,1,0
Divisione tecnologica,1,0
Ingegnere igienista,1,0
Tecnica industriale e commerciale,1,0
di Scienza delle costruzioni,1,0
per Mineralogia e geologia,1,0
Tecnologia dei materiali e tecnica delle costruzioni,1,0
Chimica generale ed applicata,1,0
"impianti tecnici, Estimo ed esercizio professionale",1,0
Meccanica razionale e statistica grafica,1,0
"Fisica, Fisica tecnica",1,0
dommatica,1,0
"Scuole ginnasiali e Liceo classico, Istituto tecnico industriale",1,0
"Istituto Coletti con scuole per meccanici, falegnami-calzolai",1,0
FORNITURE COMPLETE,1,0
Costruzioni Meccaniche,1,0
"VETRI DIFFUSORI PRISMATICI PER ILLUMINAZIONE, PROIETTORI E RIFLETTORI PER ILLUMINAZIONE, PUBBLICA, INDUSTRIALE, STABILIMENTI E UFFICI, RAPPRESENTANTE S. A. SUPER LUX",1,0
"IMPIANTI ELETTRICI DI QUAL SIASI TIPO, LAMPADARI, COMPLESSI ILLUMINANTI, APPARECCHI E MATERIALE ELETTRICO, PROIETTORI, VETRI DIFFUSORI PRISMATICI,",1,0
IMBALLAGGIA DI LEGNO PER QUALSIASI INDUSTRIA PAGLIA DI LEGNO PER IMBALLE DEPOSITO DI VENEZIA,1,0
S. A. Commercio Carboni e affini,1,0
carbone e legna (grossosta),1,0
fabbro ferrario e meccanico,1,0
elettricità industriale e gas,1,0
stoffe per mobili,1,0
"Forniture Statali, Parastatali e Private, Costruzioni Elettriche Centrali, Sottostazioni di Trasformazione e smistamento. Cabine di Trasformazione e di Manovra, Officine carica accumulatori. Linee per trasporto energia per alta e bassa tensione. Per trazioni o telefoniche in genere. Impianti di bordo: Da guerra e mercantili, industriali di luce o forza motricc., Domestici, Di segnalazione. In serie e ad intensità costante, Telefoni, Teatrali, Ospedalieri. Segnalamenti Terrestri e Marittimi. Acustici o luminosi. Macchinari Elettrici, Riparazioni, Riavvolgimenti.",1,0
mobili fabbriche,1,0
fabbro ferraio e mecca-nico,1,0
Impianti di illuminazione a gas vari,1,0
cicli e motocicli vendita,1,0
carbone e legna (grossi sta),1,0
"commmercio e lavorazione, Stabilimento : Murano, Fondamenta Manin numero 78",1,0
stoffe per arredamenti,1,0
industria bostchiva,1,0
impianti elettrici,1,0
commercio e lavorazione,1,0
carbone importatori e produttori,1,0
factories,1,0
Coltellerie IN GENERE - ARROTATURA RASOI,1,0
Elettricista,1,0
rappresentante macchinari,1,0
fabbro ferraro e meccanico,1,0
Fabbrica Acque Gassate,1,0
Empoilo Materiale Elettfi.,1,0
 pelli e materiale per costruzioni edilizie,1,0
Fabbrica S. Baseggio 1124,1,0
pali in cemento armato,1,0
cement con- truction e mandauti di calce,1,0
elettricita idraulica e gas,1,0
Legname Compensato,1,0
prodotti siderurgici e metallurgici,1,0
materiali ferrosi da riutilizzo,1,0
radio e accessorii,1,0
elettricità ed idraulica,1,0
rivieditori zenergi ni Monopolio,1,0
grossisti combustibili e solidi,1,0
Tecniche dell'incisione,1,0
Matematica e fisica,1,0
Camicerie da uomo,239,1
Macellerie,54,1
Profumerie,49,1
"Oreficerie, Gioiellerie",42,1
Manifattura pellami e calzature,41,1
Lingerie e maglierie,41,1
Tessuti,38,1
Calzature,37,1
sarto da uomo,37,1
Scatole,36,1
Orologerie,35,1
Mercerie,34,1
calzature,32,1
bottiglieria,29,1
Parrucchieri per signora,28,1
Giocattoli,27,1
"Fiori, piante e sementi",25,1
tessuti confezioni filati,25,1
latteria,25,1
cartoleria,23,1
Abbigliamento,22,1
Maglierie,19,1
profumeria,18,1
Sartorie e confezioni per signora,17,1
 filati e affini,17,1
Calzaturifici,14,1
calzaturificio,14,1
lavanderia e stireria,14,1
Biancheria e affini,13,1
Cappellerie,12,1
Confezioni varie,12,1
Librerie,12,1
Sartorie e confezioni per uomo,12,1
Stoffe e Tessuti,12,1
parrucchiere per signora,12,1
Polliccerie,11,1
Macelleria,11,1
manifatture,11,1
sarta da uomo,11,1
Abiti confezionati,10,1
giornali (rivendita),9,1
Merletti e ricami,8,1
lingerie e maglierie,8,1
Lavanderie e stirerie,7,1
Cartoleria,7,1
tessuti filati,7,1
tessuti,7,1
sartoria e confezioni per signora,7,1
confezioni varie,7,1
Confezioni per Bambini,6,1
Macchine da cucire e accessori,6,1
Tessili,6,1
pellicceria,6,1
Tesoriere,5,1
Utensili,5,1
filati e affini,5,1
stoffe e tessuti,5,1
"mercerie, filati e affini",5,1
Bottiglieria,5,1
giocattoli,5,1
Cartiere,4,1
profumi,4,1
Saponi comuni medicinali e profumati,4,1
Tintorie e pulliture a secco,4,1
"Valigerie, pelletterie articoli da viaggio",4,1
sartoria e confezioni per uomo,4,1
rappresentante tessuti,4,1
sartoria,4,1
Sarto da uomo,4,1
 gioielleria,4,1
Calzinerci,3,1
Canapa e Lino,3,1
Filati all'ingrosso,3,1
Libreria,3,1
Pelle tterie ed affini (negozi),3,1
Prodotti antisettifughi,3,1
Profumi e affini,3,1
Riparazioni calzature e cappelli,3,1
Sartoria e confezioni per signora,3,1
gioielleria,3,1
filati,3,1
detersivi,3,1
confezioni,3,1
biancheria e affini,3,1
Profumeria,3,1
Calzaturificio,3,1
Confezioni per Uomo,2,1
Lucido de scarpe (fabbriche),2,1
Manifatture e tessuti,2,1
Sacchetti di carta,2,1
Sartoria civile e militare,2,1
Segherie,2,1
Soffierie,2,1
Pellicceria,2,1
Sartoria e confezioni per uomo,2,1
merceria,2,1
cereria e prodotti affini,2,1
pelletterie,2,1
 cartoleria,2,1
rappresentante calzature,2,1
"oreficeria, gioielleria",2,1
rappresentante tessuti confezioni,2,1
rappresentante profumi,2,1
Manifatture,2,1
sartoria da uomo,2,1
sartoria uomo,2,1
confezioni per bambini,2,1
merletti e ricami,2,1
Riparazioni calzature e capelli,2,1
"fiori, piante e sementi",2,1
rappresentante articoli casalinghi,2,1
maglieria (negozio),2,1
giornali rivendita,2,1
abbigliamento,2,1
"Mercerie, Filati e Affini",2,1
"Fiori, Piante e Sementi",2,1
Sarto,2,1
Camicerie,1,1
Abbigliamento per bambini e ragazzi,1,1
Magazzini della Gomma,1,1
Biancheria per Signora,1,1
Calzoleria,1,1
Camicie da uomo,1,1
Carte e Stracci per Cartiere,1,1
CANCELLERIA CARTA E CARTONI,1,1
Confezioni per Signora,1,1
Copisterie,1,1
"Stabilimento Serico Velluti, Soprarizzi, Broccati, Damaschi per Arredamento e chiesa. Passamanterie.",1,1
Commercio Filande per la trattatura della seta,1,1
Lanerìe e seterie,1,1
"Ricami artisti a mano, Laboratorio proprio, Negozio di vendita",1,1
FABBRICA,1,1
Modelli abiti signora,1,1
Confezioni Pelliccerie,1,1
Prodotti coloranti,1,1
Prodotti tessili,1,1
Lavorazione profumerie,1,1
"Biancheria fine per signora finita e su commissioni, Corredi, Ricami a mano, di fronte Hotel Bonvecchiati",1,1
Deposito stoffe,1,1
Utensili e utensileria in genere,1,1
maglieria,1,1
Pellicce e Confezioni per Signora,1,1
carpenterie,1,1
cotoleria,1,1
linge rie e maglierie,1,1
Parrucchiere per signora,1,1
Merceria,1,1
maglierie negozio,1,1
lingerie,1,1
rappresentante cicli e accessori,1,1
Succ. Ditta Perissinotto Giuseppe di Nicola Qualsiasi lavoro in fiori,1,1
parrucchiere per signora e berbiere,1,1
carta e stracci per cartiere,1,1
pelle (lavor.e commercio),1,1
confezioni Varie,1,1
abiti confezioni,1,1
calzificio,1,1
macellaeria,1,1
calzaturaio,1,1
micelleria,1,1
Uff. di Magazzino,1,1
Abbigliamento per Bambini e Ragazzi,1,1
Sarto Da Uomo,1,1
Parrucchiere per Signora,1,1
cartoleria profumeria,1,1
coltelleria e arrotini,1,1
drogherie,1,1
macchine da cucire e accessori,1,1
calzaturifico,1,1
pizzi e ricami,1,1
"« Biasetto », mercerie, fliati e affini",1,1
mercegie pellicceria,1,1
profumeria e parrucchiere per signora,1,1
"orificeria, gioielleria",1,1
carrozzeria,1,1
 Tessuti,1,1
"Mercerie, filati e affini",1,1
Lavanderia e Stireria,1,1
manifattura,1,1
Confezioni per signora,1,1
perle (lavorie i commercio),1,1
"Alla Città di Scbio, Tessuti",1,1
Abbigliamento uomo,1,1
pelletterie (negozio),1,1
Tipografia; Cartoleria,1,1
Confezioni,1,1
Mobili (negozio); Cartoleria,1,1
Lingerie e maglie-ig.,1,1
Mod.; Pellicerie,1,1
lanerie e seterie,1,1
maniffatura e,1,1
faiegrieria,1,1
Pelletterie,1,1
 gioieileria,1,1
pellicceria tessuti,1,1
lavaderia e stierira,1,1
"rappresentante, filati",1,1
"articoli casalinghi, cartoleria",1,1
"merceire, filati e affini",1,1
lingería e maglierie mercerie filati,1,1
"confezioni per uomo, impermanefili lingerie e maglierie",1,1
mercerie filati,1,1
cererie e prodotti affini,1,1
"Confezioni Pellicceria, Deposito Pelli",1,1
"detergenti, saponi, affini",1,1
sartola confezioni per uomo,1,1
"Rappresentante tessuti, confezioni, liniti",1,1
"Specialità venoziane, pelletterie",1,1
"Legnime, mercerie, filat e affini",1,1
calzaturficio,1,1
"Magasin de Paris, Sartoria, Confezioni e Lingerie di Lusso",1,1
stoffine e tessuti,1,1
vendita di saponi,1,1
perle (produtt. e commercio),1,1
mercerie e filati,1,1
"mercerie, afiat e affini",1,1
manifatture tessuti,1,1
"cartoleria, libreria",1,1
"terrazze porcellane, detersivi, saponi, affini (vendita)",1,1
fiori piante e sementi,1,1
modista,1,1
parruccchiere per signora,1,1
tappeti (negozio),1,1
Sarto da Uomo,1,1
Rappresentante tessuti,1,1
"prodotti antisettícu-genici, inchiostri",1,1
sarta; e a confezioni per bambini,1,1
mercerie filati ed affini,1,1
lavanderia e stalleria,1,1
maglieria biancheria (negozio),1,1
forniture,1,1
"cartoleria, tabaccheria",1,1
"merce nelia, filati e affini",1,1
"merce-ria, filati e affini",1,1
"argenteria, oreficeria, gioiellerie",1,1
"orologeria, oreficeria, gioielleri",1,1
"perle (produtt, e commercio)",1,1
tintoria puliture a secco,1,1
ab. bigliamento,1,1
Tessuti stampati e arti etici,1,1
Ditta Cecchetti Pradel & C.,1,1
Sartoria e Confezioni per Signore,1,1
Cartoleria Chinaglierie,1,1
Maglieria (negozio),1,1
Tossenti filati,1,1
Laboratorio Fiale,1,1
"seterie, merletti e ricami",1,1
"Ferramenta, Utensileria, Articoli casalinghi",1,1
rappresentante articoli casalinghici,1,1
pelle (lavor. e commercio),1,1
concerie e pelli,1,1
coltelleria,1,1
modelli abiti signore,1,1
Manifattura Tabacchi,1,1
tintoria e pulitura a secco,1,1
saddlery,1,1
perfumery,1,1
laundry and ironing,1,1
sewing goods,1,1
dressmaker,1,1
barbiere | Pescheria,1,1
sartoria e confezioni,1,1
lavanderia e stirerie,1,1
Giornali (rivendita),1,1
lingerie e maglieric,1,1
profumi e affini (fab. brcia),1,1
sarto a uomo,1,1
Laboratorio di Merceologia e Museo merceologico,1,1
Imballaggi,1,1
Ditta Cecchiotti,1,1
Industria editoriale San Fantin,1,1
scatole carta cartoni ed affini,1,1
"stoffe, tessuti, lingerie e maglierie",1,1
Stoffe per arredamenti,1,1
Colletlico Italialee,1,1
"Guanti, Pizzi, Ricami a mano, Esportazione",1,1
Articoli imballaggi di cellulosa,1,1
 tessuti seterie e affini,1,1
abiti confezionati,1,1
stoffe tessuti,1,1
macchine per cucire,1,1
articoli igienici,1,1
argenteria orologeria,1,1
"stoffe per arredamenti, tendeaggi e tappezzi, Filiali a Roma, Milano, Torino, Firenze",1,1
tendaggi e tappeti,1,1
Stampa,1,1
sartoria e confezioni per signorа,1,1
lavandera e stireira,1,1
Stole e tessuti,1,1
botigli°eria,1,1
Mercerie filati e affini,1,1
Fiori piante e sementi,1,1
 pelletterie,1,1
 confezioni,1,1
gioiellera (rivendita),1,1
parrucchiera per signora,1,1
"mercierie, lingere, maglierie ed affini",1,1
Forniture complete mobili e accessori per ufficio,1,1
Forniture,1,1
Presidente,44,2
Consigliere,39,2
Segretario,35,2
Direttore,34,2
Consigliere Municipale,24,2
Consiglieri,17,2
rappresentante,17,2
Membri effettivi,17,2
Consiglio di Amministrazione,15,2
Arciprete-parroco,13,2
Deputato,10,2
Vicario,10,2
Vice Presidente,9,2
Rettore,9,2
vice direttore,9,2
