page,page_num,score_winner,score_winner_score,llm_winner,llm_winner_score,agree,score_gap,scores_tied,selection_method
page_42,42,page_42_semantic_2.csv,84.29,page_42_semantic_1.csv,71.1,False,13.19,True,SCORE_TIED_RECENCY
page_43,43,page_43_semantic_2.csv,76.79,page_43_semantic_2.csv,57.75,True,19.04,True,SCORE_TIED_RECENCY
page_44,44,page_44_semantic_3.csv,74.86,page_44_semantic_2.csv,34.22,False,40.64,True,SCORE_TIED_RECENCY
page_45,45,page_45_semantic_3.csv,79.78,page_45_semantic_2.csv,59.75,False,20.03,False,SCORE_CLEAR
page_46,46,page_46_semantic_3.csv,63.38,page_46_semantic_1.csv,56.77,False,6.61,True,SCORE_TIED_RECENCY
page_47,47,page_47_semantic_3.csv,61.29,page_47_semantic_2.csv,52.6,False,8.69,True,SCORE_TIED_RECENCY
page_48,48,page_48_semantic_3.csv,75.1,page_48_semantic_3.csv,52.16,True,22.94,True,SCORE_TIED_RECENCY
page_49,49,page_49_semantic_3.csv,75.16,page_49_semantic_2.csv,56.54,False,18.62,True,SCORE_TIED_RECENCY
page_50,50,page_50_semantic_3.csv,78.76,page_50_semantic_2.csv,59.64,False,19.12,True,SCORE_TIED_RECENCY
page_51,51,page_51_semantic_3.csv,72.03,page_51_semantic_2.csv,45.86,False,26.17,True,SCORE_TIED_RECENCY
page_52,52,page_52_semantic_2.csv,80.31,page_52_semantic_3.csv,62.45,False,17.86,True,SCORE_TIED_RECENCY
page_53,53,page_53_semantic_3.csv,78.22,page_53_semantic_3.csv,57.35,True,20.87,False,SCORE_CLEAR
page_54,54,page_54_semantic_2.csv,77.87,page_54_semantic_2.csv,57.76,True,20.11,False,SCORE_CLEAR
page_55,55,page_55_semantic_3.csv,75.01,page_55_semantic_2.csv,54.06,False,20.95,True,SCORE_TIED_RECENCY
page_56,56,page_56_semantic_2.csv,78.01,page_56_semantic_1.csv,60.81,False,17.2,True,SCORE_TIED_RECENCY
page_57,57,page_57_semantic_3.csv,76.85,page_57_semantic_3.csv,56.68,True,20.17,False,SCORE_CLEAR
page_58,58,page_58_semantic_2.csv,85.01,page_58_semantic_1.csv,57.91,False,27.1,False,SCORE_CLEAR
page_59,59,page_59_semantic_3.csv,61.07,page_59_semantic_2.csv,24.18,False,36.89,True,SCORE_TIED_RECENCY
page_60,60,page_60_semantic_3.csv,79.95,page_60_semantic_3.csv,65.82,True,14.13,False,SCORE_CLEAR
page_61,61,page_61_semantic_2.csv,78.27,page_61_semantic_1.csv,58.08,False,20.19,True,SCORE_TIED_RECENCY
page_62,62,page_62_semantic_3.csv,61.58,page_62_semantic_2.csv,40.02,False,21.56,True,SCORE_TIED_RECENCY
page_63,63,page_63_semantic_2.csv,84.95,page_63_semantic_3.csv,65.72,False,19.23,False,SCORE_CLEAR
page_64,64,page_64_semantic_2.csv,77.63,page_64_semantic_3.csv,57.42,False,20.21,True,SCORE_TIED_RECENCY
page_65,65,page_65_semantic_2.csv,78.64,page_65_semantic_3.csv,60.83,False,17.81,True,SCORE_TIED_RECENCY
page_66,66,page_66_semantic_3.csv,75.96,page_66_semantic_2.csv,55.04,False,20.92,True,SCORE_TIED_RECENCY
page_67,67,page_67_semantic_3.csv,72.49,page_67_semantic_1.csv,49.42,False,23.07,True,SCORE_TIED_RECENCY
page_68,68,page_68_semantic_3.csv,77.79,page_68_semantic_2.csv,57.49,False,20.3,False,SCORE_CLEAR
page_69,69,page_69_semantic_3.csv,78.34,page_69_semantic_1.csv,60.32,False,18.02,False,SCORE_CLEAR
page_70,70,page_70_semantic_3.csv,75.45,page_70_semantic_3.csv,51.06,True,24.39,False,SCORE_CLEAR
page_71,71,page_71_semantic_3.csv,74.65,page_71_semantic_3.csv,56.6,True,18.05,False,SCORE_CLEAR
page_72,72,page_72_semantic_2.csv,74.54,page_72_semantic_1.csv,54.2,False,20.34,False,SCORE_CLEAR
page_73,73,page_73_semantic_2.csv,72.76,page_73_semantic_2.csv,50.92,True,21.84,False,SCORE_CLEAR
page_74,74,page_74_semantic_3.csv,77.66,page_74_semantic_3.csv,58.32,True,19.34,False,SCORE_CLEAR
page_75,75,page_75_semantic_3.csv,78.65,page_75_semantic_3.csv,60.15,True,18.5,False,SCORE_CLEAR
page_76,76,page_76_semantic_3.csv,73.79,page_76_semantic_1.csv,52.78,False,21.01,True,SCORE_TIED_RECENCY
page_77,77,page_77_semantic_2.csv,76.22,page_77_semantic_1.csv,53.58,False,22.64,False,SCORE_CLEAR
page_78,78,page_78_semantic_2.csv,76.44,page_78_semantic_2.csv,55.65,True,20.79,True,SCORE_TIED_RECENCY
page_79,79,page_79_semantic_3.csv,78.62,page_79_semantic_3.csv,59.18,True,19.44,False,SCORE_CLEAR
page_80,80,page_80_semantic_3.csv,77.19,page_80_semantic_1.csv,54.88,False,22.31,False,SCORE_CLEAR
page_81,81,page_81_semantic_3.csv,78.14,page_81_semantic_1.csv,57.41,False,20.73,False,SCORE_CLEAR
page_82,82,page_82_semantic_3.csv,74.93,page_82_semantic_3.csv,52.74,True,22.19,True,SCORE_TIED_RECENCY
page_83,83,page_83_semantic_3.csv,75.36,page_83_semantic_3.csv,51.5,True,23.86,True,SCORE_TIED_RECENCY
page_84,84,page_84_semantic_2.csv,75.91,page_84_semantic_1.csv,58.61,False,17.3,True,SCORE_TIED_RECENCY
page_85,85,page_85_semantic_3.csv,73.75,page_85_semantic_3.csv,53.81,True,19.94,True,SCORE_TIED_RECENCY
page_86,86,page_86_semantic_2.csv,87.22,page_86_semantic_1.csv,67.89,False,19.33,False,SCORE_CLEAR
page_87,87,page_87_semantic_2.csv,79.05,page_87_semantic_2.csv,58.55,True,20.5,False,SCORE_CLEAR
page_88,88,page_88_semantic_3.csv,77.72,page_88_semantic_1.csv,55.91,False,21.81,False,SCORE_CLEAR
page_89,89,page_89_semantic_3.csv,76.28,page_89_semantic_1.csv,52.97,False,23.31,False,SCORE_CLEAR
page_90,90,page_90_semantic_3.csv,78.66,page_90_semantic_1.csv,57.86,False,20.8,False,SCORE_CLEAR
page_91,91,page_91_semantic_2.csv,77.94,page_91_semantic_1.csv,56.21,False,21.73,True,SCORE_TIED_RECENCY
page_92,92,page_92_semantic_3.csv,77.53,page_92_semantic_1.csv,55.52,False,22.01,True,SCORE_TIED_RECENCY
page_93,93,page_93_semantic_3.csv,73.81,page_93_semantic_1.csv,47.94,False,25.87,True,SCORE_TIED_RECENCY
page_94,94,page_94_semantic_3.csv,77.49,page_94_semantic_3.csv,55.36,True,22.13,False,SCORE_CLEAR
page_95,95,page_95_semantic_3.csv,76.77,page_95_semantic_3.csv,55.88,True,20.89,False,SCORE_CLEAR
page_96,96,page_96_semantic_2.csv,72.9,page_96_semantic_1.csv,48.24,False,24.66,False,SCORE_CLEAR
page_97,97,page_97_semantic_3.csv,77.08,page_97_semantic_1.csv,56.52,False,20.56,True,SCORE_TIED_RECENCY
page_98,98,page_98_semantic_2.csv,78.12,page_98_semantic_1.csv,58.14,False,19.98,True,SCORE_TIED_RECENCY
page_99,99,page_99_semantic_2.csv,76.67,page_99_semantic_1.csv,56.8,False,19.87,True,SCORE_TIED_RECENCY
page_100,100,page_100_semantic_2.csv,73.79,page_100_semantic_3.csv,53.68,False,20.11,False,SCORE_CLEAR
page_101,101,page_101_semantic_2.csv,73.25,page_101_semantic_2.csv,54.92,True,18.33,False,SCORE_CLEAR
page_102,102,page_102_semantic_3.csv,75.25,page_102_semantic_3.csv,54.48,True,20.77,False,SCORE_CLEAR
page_103,103,page_103_semantic_3.csv,72.16,page_103_semantic_1.csv,53.71,False,18.45,False,SCORE_CLEAR
page_104,104,page_104_semantic_2.csv,73.59,page_104_semantic_1.csv,48.04,False,25.55,False,SCORE_CLEAR
page_105,105,page_105_semantic_3.csv,70.42,page_105_semantic_3.csv,43.28,True,27.14,True,SCORE_TIED_RECENCY
page_106,106,page_106_semantic_3.csv,74.31,page_106_semantic_1.csv,23.43,False,50.88,True,SCORE_TIED_RECENCY
page_107,107,page_107_semantic_3.csv,69.19,page_107_semantic_1.csv,54.39,False,14.8,True,SCORE_TIED_RECENCY
page_108,108,page_108_semantic_2.csv,78.6,page_108_semantic_3.csv,62.6,False,16.0,False,SCORE_CLEAR
page_109,109,page_109_semantic_2.csv,74.71,page_109_semantic_1.csv,59.3,False,15.41,False,SCORE_CLEAR
page_110,110,page_110_semantic_2.csv,85.97,page_110_semantic_3.csv,74.05,False,11.92,False,SCORE_CLEAR
page_111,111,page_111_semantic_2.csv,76.96,page_111_semantic_1.csv,60.36,False,16.6,True,SCORE_TIED_RECENCY
page_112,112,page_112_semantic_2.csv,80.39,page_112_semantic_3.csv,67.04,False,13.35,True,SCORE_TIED_RECENCY
page_113,113,page_113_semantic_2.csv,81.35,page_113_semantic_3.csv,65.68,False,15.67,True,SCORE_TIED_RECENCY
page_114,114,page_114_semantic_3.csv,78.69,page_114_semantic_3.csv,59.66,True,19.03,True,SCORE_TIED_RECENCY
page_115,115,page_115_semantic_2.csv,78.63,page_115_semantic_3.csv,59.9,False,18.73,False,SCORE_CLEAR
page_116,116,page_116_semantic_3.csv,80.92,page_116_semantic_3.csv,65.37,True,15.55,False,SCORE_CLEAR
page_117,117,page_117_semantic_3.csv,80.15,page_117_semantic_3.csv,61.62,True,18.53,True,SCORE_TIED_RECENCY
page_118,118,page_118_semantic_3.csv,78.97,page_118_semantic_2.csv,60.04,False,18.93,True,SCORE_TIED_RECENCY
page_119,119,page_119_semantic_3.csv,80.83,page_119_semantic_2.csv,63.86,False,16.97,True,SCORE_TIED_RECENCY
page_120,120,page_120_semantic_2.csv,80.41,page_120_semantic_3.csv,62.53,False,17.88,True,SCORE_TIED_RECENCY
page_121,121,page_121_semantic_3.csv,81.82,page_121_semantic_3.csv,66.08,True,15.74,True,SCORE_TIED_RECENCY
page_122,122,page_122_semantic_3.csv,76.13,page_122_semantic_2.csv,53.2,False,22.93,True,SCORE_TIED_RECENCY
page_123,123,page_123_semantic_2.csv,79.18,page_123_semantic_1.csv,63.38,False,15.8,True,SCORE_TIED_RECENCY
page_124,124,page_124_semantic_3.csv,76.18,page_124_semantic_3.csv,56.79,True,19.39,False,SCORE_CLEAR
page_125,125,page_125_semantic_2.csv,74.75,page_125_semantic_1.csv,53.79,False,20.96,True,SCORE_TIED_RECENCY
page_126,126,page_126_semantic_2.csv,75.53,page_126_semantic_3.csv,51.42,False,24.11,False,SCORE_CLEAR
page_127,127,page_127_semantic_2.csv,72.47,page_127_semantic_1.csv,49.54,False,22.93,False,SCORE_CLEAR
page_128,128,page_128_semantic_3.csv,79.51,page_128_semantic_3.csv,62.59,True,16.92,True,SCORE_TIED_RECENCY
page_129,129,page_129_semantic_3.csv,76.38,page_129_semantic_1.csv,45.4,False,30.98,False,SCORE_CLEAR
page_130,130,page_130_semantic_1.csv,75.08,page_130_semantic_1.csv,50.2,True,24.88,False,SINGLE
page_131,131,page_131_semantic_3.csv,67.64,page_131_semantic_1.csv,26.1,False,41.54,True,SCORE_TIED_RECENCY
page_132,132,page_132_semantic_2.csv,71.35,page_132_semantic_2.csv,49.84,True,21.51,False,SCORE_CLEAR
page_133,133,page_133_semantic_2.csv,73.86,page_133_semantic_3.csv,51.98,False,21.88,True,SCORE_TIED_RECENCY
page_134,134,page_134_semantic_3.csv,76.27,page_134_semantic_2.csv,54.2,False,22.07,False,SCORE_CLEAR
page_135,135,page_135_semantic_3.csv,77.58,page_135_semantic_1.csv,55.17,False,22.41,False,SCORE_CLEAR
page_136,136,page_136_semantic_2.csv,76.0,page_136_semantic_3.csv,54.12,False,21.88,False,SCORE_CLEAR
page_137,137,page_137_semantic_2.csv,74.22,page_137_semantic_3.csv,52.0,False,22.22,False,SCORE_CLEAR
page_138,138,page_138_semantic_3.csv,77.27,page_138_semantic_1.csv,62.34,False,14.93,False,SCORE_CLEAR
page_139,139,page_139_semantic_3.csv,76.78,page_139_semantic_3.csv,62.38,True,14.4,False,SCORE_CLEAR
page_140,140,page_140_semantic_2.csv,74.8,page_140_semantic_1.csv,52.42,False,22.38,True,SCORE_TIED_RECENCY
page_141,141,page_141_semantic_3.csv,76.94,page_141_semantic_2.csv,56.46,False,20.48,True,SCORE_TIED_RECENCY
page_142,142,page_142_semantic_3.csv,81.21,page_142_semantic_1.csv,65.06,False,16.15,True,SCORE_TIED_RECENCY
page_143,143,page_143_semantic_2.csv,80.97,page_143_semantic_3.csv,60.89,False,20.08,True,SCORE_TIED_RECENCY
page_144,144,page_144_semantic_3.csv,75.62,page_144_semantic_1.csv,53.2,False,22.42,True,SCORE_TIED_RECENCY
page_145,145,page_145_semantic_3.csv,74.57,page_145_semantic_1.csv,50.34,False,24.23,True,SCORE_TIED_RECENCY
page_146,146,page_146_semantic_3.csv,78.78,page_146_semantic_3.csv,59.3,True,19.48,True,SCORE_TIED_RECENCY
page_147,147,page_147_semantic_3.csv,79.24,page_147_semantic_1.csv,60.49,False,18.75,True,SCORE_TIED_RECENCY
page_148,148,page_148_semantic_3.csv,74.89,page_148_semantic_3.csv,50.92,True,23.97,True,SCORE_TIED_RECENCY
page_149,149,page_149_semantic_3.csv,77.05,page_149_semantic_3.csv,56.1,True,20.95,True,SCORE_TIED_RECENCY
page_150,150,page_150_semantic_3.csv,75.36,page_150_semantic_3.csv,51.46,True,23.9,True,SCORE_TIED_RECENCY
page_151,151,page_151_semantic_2.csv,75.68,page_151_semantic_1.csv,48.16,False,27.52,False,SCORE_CLEAR
page_152,152,page_152_semantic_3.csv,79.0,page_152_semantic_3.csv,59.12,True,19.88,False,SCORE_CLEAR
page_153,153,page_153_semantic_2.csv,76.05,page_153_semantic_3.csv,54.85,False,21.2,True,SCORE_TIED_RECENCY
page_154,154,page_154_semantic_2.csv,76.74,page_154_semantic_1.csv,57.04,False,19.7,True,SCORE_TIED_RECENCY
page_155,155,page_155_semantic_2.csv,78.58,page_155_semantic_2.csv,59.16,True,19.42,True,SCORE_TIED_RECENCY
page_156,156,page_156_semantic_3.csv,81.78,page_156_semantic_1.csv,65.64,False,16.14,True,SCORE_TIED_RECENCY
page_157,157,page_157_semantic_2.csv,79.74,page_157_semantic_3.csv,54.69,False,25.05,True,SCORE_TIED_RECENCY
page_158,158,page_158_semantic_3.csv,72.76,page_158_semantic_3.csv,47.58,True,25.18,True,SCORE_TIED_RECENCY
page_159,159,page_159_semantic_2.csv,79.31,page_159_semantic_3.csv,60.56,False,18.75,True,SCORE_TIED_RECENCY
page_160,160,page_160_semantic_2.csv,76.51,page_160_semantic_1.csv,53.08,False,23.43,True,SCORE_TIED_RECENCY
page_161,161,page_161_semantic_1.csv,65.0,page_161_semantic_1.csv,50.0,True,15.0,False,SINGLE
page_162,162,page_162_semantic_3.csv,77.18,page_162_semantic_3.csv,56.18,True,21.0,True,SCORE_TIED_RECENCY
page_163,163,page_163_semantic_2.csv,75.55,page_163_semantic_1.csv,53.08,False,22.47,False,SCORE_CLEAR
page_164,164,page_164_semantic_3.csv,78.99,page_164_semantic_3.csv,59.96,True,19.03,True,SCORE_TIED_RECENCY
page_165,165,page_165_semantic_3.csv,80.17,page_165_semantic_1.csv,61.5,False,18.67,True,SCORE_TIED_RECENCY
page_166,166,page_166_semantic_3.csv,77.06,page_166_semantic_2.csv,55.86,False,21.2,True,SCORE_TIED_RECENCY
page_167,167,page_167_semantic_1.csv,81.56,page_167_semantic_3.csv,60.38,False,21.18,False,SCORE_CLEAR
page_168,168,page_168_semantic_2.csv,77.44,page_168_semantic_1.csv,55.17,False,22.27,True,SCORE_TIED_RECENCY
page_169,169,page_169_semantic_2.csv,77.21,page_169_semantic_1.csv,56.14,False,21.07,True,SCORE_TIED_RECENCY
page_170,170,page_170_semantic_1.csv,67.04,page_170_semantic_1.csv,50.1,True,16.94,False,SCORE_CLEAR
page_171,171,page_171_semantic_3.csv,76.04,page_171_semantic_1.csv,52.1,False,23.94,True,SCORE_TIED_RECENCY
page_172,172,page_172_semantic_2.csv,76.07,page_172_semantic_3.csv,53.08,False,22.99,False,SCORE_CLEAR
page_173,173,page_173_semantic_3.csv,74.76,page_173_semantic_1.csv,50.98,False,23.78,True,SCORE_TIED_RECENCY
page_174,174,page_174_semantic_2.csv,79.01,page_174_semantic_1.csv,60.16,False,18.85,True,SCORE_TIED_RECENCY
page_175,175,page_175_semantic_2.csv,78.59,page_175_semantic_3.csv,56.79,False,21.8,True,SCORE_TIED_RECENCY
page_176,176,page_176_semantic_3.csv,76.99,page_176_semantic_3.csv,55.74,True,21.25,True,SCORE_TIED_RECENCY
page_177,177,page_177_semantic_3.csv,75.26,page_177_semantic_3.csv,51.86,True,23.4,True,SCORE_TIED_RECENCY
page_178,178,page_178_semantic_2.csv,80.02,page_178_semantic_1.csv,61.49,False,18.53,True,SCORE_TIED_RECENCY
page_179,179,page_179_semantic_3.csv,78.91,page_179_semantic_1.csv,58.82,False,20.09,True,SCORE_TIED_RECENCY
page_180,180,page_180_semantic_3.csv,79.35,page_180_semantic_1.csv,59.07,False,20.28,True,SCORE_TIED_RECENCY
page_181,181,page_181_semantic_3.csv,75.91,page_181_semantic_1.csv,53.38,False,22.53,False,SCORE_CLEAR
page_182,182,page_182_semantic_3.csv,74.59,page_182_semantic_3.csv,51.16,True,23.43,True,SCORE_TIED_RECENCY
page_183,183,page_183_semantic_2.csv,76.6,page_183_semantic_3.csv,55.38,False,21.22,True,SCORE_TIED_RECENCY
page_184,184,page_184_semantic_2.csv,79.19,page_184_semantic_3.csv,58.97,False,20.22,True,SCORE_TIED_RECENCY
page_185,185,page_185_semantic_2.csv,77.7,page_185_semantic_3.csv,57.17,False,20.53,True,SCORE_TIED_RECENCY
page_186,186,page_186_semantic_3.csv,74.07,page_186_semantic_3.csv,48.66,True,25.41,True,SCORE_TIED_RECENCY
page_187,187,page_187_semantic_3.csv,76.85,page_187_semantic_1.csv,54.66,False,22.19,True,SCORE_TIED_RECENCY
page_188,188,page_188_semantic_3.csv,79.0,page_188_semantic_3.csv,58.82,True,20.18,True,SCORE_TIED_RECENCY
page_189,189,page_189_semantic_3.csv,76.68,page_189_semantic_3.csv,55.63,True,21.05,True,SCORE_TIED_RECENCY
page_190,190,page_190_semantic_2.csv,77.75,page_190_semantic_3.csv,56.79,False,20.96,True,SCORE_TIED_RECENCY
page_191,191,page_191_semantic_2.csv,78.3,page_191_semantic_3.csv,58.68,False,19.62,True,SCORE_TIED_RECENCY
page_192,192,page_192_semantic_3.csv,73.59,page_192_semantic_3.csv,48.38,True,25.21,True,SCORE_TIED_RECENCY
page_193,193,page_193_semantic_3.csv,73.92,page_193_semantic_3.csv,49.04,True,24.88,True,SCORE_TIED_RECENCY
page_194,194,page_194_semantic_3.csv,79.02,page_194_semantic_1.csv,60.05,False,18.97,True,SCORE_TIED_RECENCY
page_195,195,page_195_semantic_2.csv,78.42,page_195_semantic_3.csv,55.14,False,23.28,True,SCORE_TIED_RECENCY
page_196,196,page_196_semantic_3.csv,74.86,page_196_semantic_2.csv,52.7,False,22.16,True,SCORE_TIED_RECENCY
page_197,197,page_197_semantic_3.csv,74.29,page_197_semantic_2.csv,49.8,False,24.49,True,SCORE_TIED_RECENCY
page_198,198,page_198_semantic_2.csv,78.04,page_198_semantic_1.csv,56.67,False,21.37,True,SCORE_TIED_RECENCY
page_199,199,page_199_semantic_2.csv,79.2,page_199_semantic_1.csv,60.18,False,19.02,True,SCORE_TIED_RECENCY
page_200,200,page_200_semantic_3.csv,76.69,page_200_semantic_3.csv,55.6,True,21.09,False,SCORE_CLEAR
page_201,201,page_201_semantic_2.csv,79.32,page_201_semantic_3.csv,60.58,False,18.74,True,SCORE_TIED_RECENCY
page_202,202,page_202_semantic_2.csv,75.9,page_202_semantic_3.csv,49.72,False,26.18,False,SCORE_CLEAR
page_203,203,page_203_semantic_2.csv,79.61,page_203_semantic_3.csv,61.76,False,17.85,True,SCORE_TIED_RECENCY
page_204,204,page_204_semantic_3.csv,79.25,page_204_semantic_1.csv,62.67,False,16.58,False,SCORE_CLEAR
page_205,205,page_205_semantic_2.csv,79.34,page_205_semantic_3.csv,60.3,False,19.04,True,SCORE_TIED_RECENCY
page_206,206,page_206_semantic_2.csv,76.46,page_206_semantic_1.csv,55.38,False,21.08,True,SCORE_TIED_RECENCY
page_207,207,page_207_semantic_2.csv,74.83,page_207_semantic_2.csv,50.26,True,24.57,False,SCORE_CLEAR
page_208,208,page_208_semantic_3.csv,77.67,page_208_semantic_1.csv,56.18,False,21.49,False,SCORE_CLEAR
page_209,209,page_209_semantic_2.csv,77.47,page_209_semantic_3.csv,53.08,False,24.39,True,SCORE_TIED_RECENCY
page_210,210,page_210_semantic_2.csv,76.81,page_210_semantic_1.csv,55.94,False,20.87,True,SCORE_TIED_RECENCY
page_211,211,page_211_semantic_2.csv,80.36,page_211_semantic_1.csv,62.32,False,18.04,True,SCORE_TIED_RECENCY
page_212,212,page_212_semantic_2.csv,75.08,page_212_semantic_2.csv,51.32,True,23.76,False,SCORE_CLEAR
page_213,213,page_213_semantic_2.csv,75.62,page_213_semantic_1.csv,53.2,False,22.42,False,SCORE_CLEAR
page_214,214,page_214_semantic_3.csv,79.24,page_214_semantic_1.csv,60.85,False,18.39,True,SCORE_TIED_RECENCY
page_215,215,page_215_semantic_3.csv,76.7,page_215_semantic_3.csv,55.49,True,21.21,False,SCORE_CLEAR
page_216,216,page_216_semantic_3.csv,73.41,page_216_semantic_3.csv,49.04,True,24.37,True,SCORE_TIED_RECENCY
page_217,217,page_217_semantic_2.csv,72.65,page_217_semantic_3.csv,46.06,False,26.59,False,SCORE_CLEAR
page_218,218,page_218_semantic_3.csv,76.04,page_218_semantic_3.csv,52.1,True,23.94,True,SCORE_TIED_RECENCY
page_219,219,page_219_semantic_2.csv,76.74,page_219_semantic_1.csv,55.46,False,21.28,True,SCORE_TIED_RECENCY
page_220,220,page_220_semantic_2.csv,75.96,page_220_semantic_2.csv,53.52,True,22.44,False,SCORE_CLEAR
page_221,221,page_221_semantic_3.csv,73.65,page_221_semantic_2.csv,44.94,False,28.71,True,SCORE_TIED_RECENCY
page_222,222,page_222_semantic_3.csv,78.84,page_222_semantic_1.csv,58.4,False,20.44,False,SCORE_CLEAR
page_223,223,page_223_semantic_3.csv,80.07,page_223_semantic_3.csv,61.78,True,18.29,True,SCORE_TIED_RECENCY
page_224,224,page_224_semantic_3.csv,74.87,page_224_semantic_1.csv,50.92,False,23.95,True,SCORE_TIED_RECENCY
page_225,225,page_225_semantic_3.csv,75.28,page_225_semantic_2.csv,52.6,False,22.68,True,SCORE_TIED_RECENCY
