profession,frequency,cluster_id,category_name
'IRC s.a.r.I.,1,0,Industrial & construction trades
Società mineraria immobile,1,0,Industrial & construction trades
Deposito: Cannaregio Abazzia,1,0,
Soc. per Az. Rossi Tranquillo,1,0,Industrial & construction trades
Società Autorimessa Roma,1,0,Industrial & construction trades
Società Autotrasporti Saturnia,1,0,"Transport, maritime & communications"
Società Bunieraggi,1,0,"Transport, maritime & communications"
esplorug pozzi neri,1,0,
Ditta Cecchetti Pradel & C.,1,0,Industrial & construction trades
Ame-ricana nel Petrolio,1,0,Industrial & construction trades
Società Italo-Oriental d’idrogenco,1,0,Industrial & construction trades
Prov. Servizio Impianti Sportivi,1,0,"Institutions, press & sport"
OCCASIONI - CAMBI - RICOMISSIONI - NOLEGGI,1,0,"General commerce, real estate & advertising"
"Comando Militare Mar., Autorità dell'Alto Adriatico, Arsenale",1,0,"Government, military & public administration"
 Club Alpino Italiano,1,0,"General commerce, real estate & advertising"
Rialto 198,1,0,
(Società per la Gestione),1,0,Industrial & construction trades
Commissariato S. Polo e Santi Croce,1,0,"Government, military & public administration"
Soc. Naz. Trasporti e Fratelli Gondrano,1,0,"Transport, maritime & communications"
Capo Stazione,1,0,"Government, military & public administration"
Ufficci Marshe,1,0,
Comando Militare Maritt Aut. dell'Alto Adriatico,1,0,"Government, military & public administration"
ved. di Zanco Attilio fu Sebastiano,1,0,
 Imposte Comunlo del Comune,1,0,"General commerce, real estate & advertising"
 Ispet. di l. Gl. Sez. Lavori di Venezia,1,0,"General commerce, real estate & advertising"
Capo Uff. Stampa e Propag.,1,0,"Institutions, press & sport"
presso la Corte d’Appello,1,0,"Legal, economic & administrative professions"
Premiate Cantine,1,0,Retail trade & consumer goods
"VENEZIA s. Focn, 1079",1,0,
Consigliere Banca Veneta Mezzana a Gretti e Conti Correnti,1,0,Governance & administrative titles
Galleria gG. Franchetti alla Ca D’Oro,1,0,Religious & civic institutions
"Uff. Stazione di Cura,  Soggiorno,  Turismo",1,0,"Government, military & public administration"
Sezione Città,1,0,"Government, military & public administration"
Sezione Estuario e Marghera,1,0,"Government, military & public administration"
Castello (II),1,0,
" Ponte delle Maravegie,  Sezione di Lido,  Via Malamocco, , ",1,0,"General commerce, real estate & advertising"
" Rio Terra S. Giuseppe di Castello, , ",1,0,"General commerce, real estate & advertising"
COMITATO OLIMPICO NAZIONALE ITALIANO,1,0,"Institutions, press & sport"
Fed. It. di Atletica Leggera (FIDAL),1,0,"Institutions, press & sport"
Unione Velocipedistica It (UVI),1,0,"Institutions, press & sport"
"Com. Reg., Fed. It. Canottaggio (FIC)",1,0,"Institutions, press & sport"
"Studio di Ragiione ria, Consulenza ed Assistenza Tributaria. Telef. 28.042.",1,0,"Legal, economic & administrative professions"
gestione Magnarin Giuseppe,1,0,Industrial & construction trades
Vice Pres. Società Canottieri Bucintoro,1,0,"Institutions, press & sport"
Soprintendenza ai Monumenti Medioevali e moderni del Veneto Orientale,1,0,"Government, military & public administration"
Capo Divisione Soprintendenza ai Monumenti Mediovali e Moderni del Veneto Orientale,1,0,"Government, military & public administration"
Succ. a G. B. Trapolino,1,0,
Società Cattolica di Assicurazione Verona,1,0,Industrial & construction trades
Cantiere Navale,1,0,"Transport, maritime & communications"
gestione S. A. ICSA,1,0,Industrial & construction trades
Ponte della Canonica,1,0,
Category: Ospitalità,1,0,"General commerce, real estate & advertising"
"Pres, Arciconfratermita di San Cristoforo e Compagnia della Misericordia",1,0,Religious & civic institutions
dell'Unione,1,0,"Legal, economic & administrative professions"
ag. capo Stazione Marittima,1,0,"Transport, maritime & communications"
"Marghera, Via Fratelli Bandiere",1,0,
 Medioevali e Moderni del Veneto Orientale,1,0,"General commerce, real estate & advertising"
Deputazione Borsa valori,1,0,"Legal, economic & administrative professions"
Padova,1,0,
UNIONE REGIONALE CAMERE DI COMMERCIO DELLE VENEZIE,1,0,"Legal, economic & administrative professions"
Commissariato di S. Marco,1,0,"Government, military & public administration"
Commissariato di Cannaregio,1,0,"Government, military & public administration"
Commissariato di S. Polo e S. Croce,1,0,"Government, military & public administration"
Commissariato di Dorsoduro,1,0,"Government, military & public administration"
 r. t. trasporti marittimi,1,0,"General commerce, real estate & advertising"
ACCADEMIA di Belle Arti e Liceo Artistico,13,1,Education & academic institutions
SCUOLA GRANDE DI SAN ROCCO,4,1,Religious & civic institutions
ISTITUTO VITTORIO ALFIERI,2,1,Education & academic institutions
Soc. in N. Coll. Filippo Campesan & F.llì,2,1,Industrial & construction trades
Laboratorio Scuola per Falegnami,1,1,Education & academic institutions
Scuola: « G. Gozzi »,1,1,Education & academic institutions
Scuola: « Giacinto Gallina »,1,1,Education & academic institutions
Scuola: S. Maria Formosa,1,1,Education & academic institutions
Scuola: Luigi Cadorna,1,1,Education & academic institutions
Scuola Michele Renier,1,1,Education & academic institutions
Scuola Armando Diaz,1,1,Education & academic institutions
Scuola Alfredo Oriani,1,1,Education & academic institutions
Scuola A. Scarsellini,1,1,Education & academic institutions
Scuola E. De Amicis,1,1,Education & academic institutions
Scuola Diedo,1,1,Education & academic institutions
Scuola Giudecca,1,1,Education & academic institutions
Scuola Marghera,1,1,Education & academic institutions
Scuola Catene,1,1,Education & academic institutions
Scuola Villabona,1,1,Education & academic institutions
Scuola Chirignago,1,1,Education & academic institutions
Scuola Asseggiano,1,1,Education & academic institutions
Scuola Ca Emiliani,1,1,Education & academic institutions
Scuola Malcontenta,1,1,Education & academic institutions
Scuola Carpenedo,1,1,Education & academic institutions
Scuola « Ugo Foscolo »,1,1,Education & academic institutions
SCUOLA MAGISTRALE RICONOSCIUTA,1,1,Education & academic institutions
SCUOLA MEDIA PARIFICATA,1,1,Education & academic institutions
ISTITUTO ITALIANO RAVA',1,1,Education & academic institutions
ISTITUTO SUORE DI NEVERS,1,1,Education & academic institutions
ISTITUTO DELLE SUORE DEL S. CUORE,1,1,Education & academic institutions
COLLEGIO ARMENO « M. RAPHAEL »,1,1,Education & academic institutions
Istituto Artigianelli,1,1,Education & academic institutions
Accademia di Belle Arti,1,1,Education & academic institutions
Succ: Fratelli Scarpa,1,1,Education & academic institutions
Istituto Zambler,1,1,Education & academic institutions
Insegnante,1,1,Education & academic institutions
Istituto Univers,1,1,Education & academic institutions
Istituto U.r..straria Architettura,1,1,Education & academic institutions
Procuratore della Scuola Mer-letti di Murano,1,1,Education & academic institutions
prof. Istituto Universitario di Architettura,1,1,Education & academic institutions
 Rettore Istituto Crovani e Guglielmo Marconi,1,1,Education & academic institutions
Instituto Universitario di Architett.,1,1,Education & academic institutions
Instituto Universitario Architett.,1,1,Education & academic institutions
Studio Radio e Elettrotecnico,1,1,Education & academic institutions
Insegnante Accademia di Belle Arti,1,1,Education & academic institutions
Istituto Aut. per le case popolari,1,1,Education & academic institutions
Scuola Infermiere della Croce Rossa Italiana,1,1,Education & academic institutions
Istituto Universitario di Architett.,1,1,Education & academic institutions
ISTITUTO CONVITTO « G. MARCONI »,1,1,Education & academic institutions
SCUOLA MERLETTI DI BURANO REGINA ELENA,1,1,Education & academic institutions
SCUOLA ARICCONFRATERNITA DI SAN CRISTOFORO E COMPAGNIA DELLA MISERICORDIA,1,1,Religious & civic institutions
"Scuole ginnasiali e Liceo classico, Istituto tecnico industriale",1,1,Education & academic institutions
"Istituto Coletti con scuole per meccanici, falegnami-calzolai",1,1,Education & academic institutions
Direttore Istituto Universitario di Archit.,1,1,Education & academic institutions
panificio. SS.,53,2,Retail trade & consumer goods
 gioielleria,6,2,Retail trade & consumer goods
Alimentari (Dett.),6,2,Retail trade & consumer goods
 grossista,5,2,Retail trade & consumer goods
trattoria,4,2,Retail trade & consumer goods
falegname,4,2,Retail trade & consumer goods
 cartoleria,4,2,Retail trade & consumer goods
grossista,4,2,Retail trade & consumer goods
 pasticceria,4,2,Retail trade & consumer goods
Abbigliamento,3,2,Retail trade & consumer goods
 giornali,3,2,Retail trade & consumer goods
 affini (vendita),3,2,Retail trade & consumer goods
 confezioni,3,2,Retail trade & consumer goods
 chincaglierie,3,2,Retail trade & consumer goods
panificio,3,2,Retail trade & consumer goods
sarta da uomo,3,2,Retail trade & consumer goods
 saponi,3,2,Retail trade & consumer goods
Supplente,3,2,Education & academic institutions
 pelletterie,2,2,Retail trade & consumer goods
negozio,2,2,Retail trade & consumer goods
rivendita,2,2,Retail trade & consumer goods
calzature,2,2,Retail trade & consumer goods
 (grossista),2,2,Retail trade & consumer goods
 cesellatore,2,2,Retail trade & consumer goods
 noleggio riparazioni),2,2,Retail trade & consumer goods
 trattoria,2,2,Retail trade & consumer goods
latteria,2,2,Retail trade & consumer goods
 giocattoli,2,2,Retail trade & consumer goods
tabaccheria,2,2,Retail trade & consumer goods
", MACELLO COMUNALE",2,2,"Government, military & public administration"
"Gruppo: Caffé, bar, bottigliere, birrierc",1,2,Retail trade & consumer goods
 Qualsiasi lavoro in fiori,1,2,Retail trade & consumer goods
corredi,1,2,Retail trade & consumer goods
 negozio,1,2,Retail trade & consumer goods
chinaglieie,1,2,Retail trade & consumer goods
macelleria (introduttore Ac. stime),1,2,Retail trade & consumer goods
profumeria,1,2,Retail trade & consumer goods
"alimentari, (dett.)",1,2,Retail trade & consumer goods
cartoleria profumeria,1,2,Retail trade & consumer goods
uova,1,2,Retail trade & consumer goods
ingrosso,1,2,Retail trade & consumer goods
dettuanaglio,1,2,Retail trade & consumer goods
Piedi,1,2,Retail trade & consumer goods
 Tessuti,1,2,Retail trade & consumer goods
"Ditta,",1,2,Industrial & construction trades
cinema (sale di proiezione e gestione),1,2,"Visual, decorative & graphic arts"
 Noleggi,1,2,Retail trade & consumer goods
alimentari (dett.),1,2,Retail trade & consumer goods
perle (product. e commercio),1,2,Retail trade & consumer goods
 bottiglieria. (esercizi),1,2,Retail trade & consumer goods
confezionisti,1,2,Retail trade & consumer goods
autorimessa,1,2,Industrial & construction trades
 (commercio),1,2,Retail trade & consumer goods
 cm. fezione,1,2,Retail trade & consumer goods
frutta e verdura,1,2,Retail trade & consumer goods
rettore,1,2,Education & academic institutions
fraganai,1,2,Retail trade & consumer goods
caffè (esercizi),1,2,Retail trade & consumer goods
stireria,1,2,Retail trade & consumer goods
 Fori perle,1,2,Retail trade & consumer goods
porcellane,1,2,Retail trade & consumer goods
commercio,1,2,Retail trade & consumer goods
 gioieileria,1,2,Retail trade & consumer goods
 erane vegetale,1,2,Retail trade & consumer goods
(edicola),1,2,Retail trade & consumer goods
salumi (negozio),1,2,Retail trade & consumer goods
 glati,1,2,Retail trade & consumer goods
alimentari,1,2,Retail trade & consumer goods
 liquori,1,2,Retail trade & consumer goods
 calcolatrice,1,2,Retail trade & consumer goods
parrucchiere per signora,1,2,Retail trade & consumer goods
 manifature,1,2,Retail trade & consumer goods
dolciumi,1,2,Retail trade & consumer goods
 mercerie,1,2,Retail trade & consumer goods
grossisti,1,2,Retail trade & consumer goods
libreria,1,2,Retail trade & consumer goods
 Agrumi,1,2,Retail trade & consumer goods
essicazione frutta ed erbaggi,1,2,Retail trade & consumer goods
confezioni iliati,1,2,Retail trade & consumer goods
 affini (vendi-ta),1,2,Retail trade & consumer goods
 liquori (fabbrica e deposito),1,2,Retail trade & consumer goods
 ingrosso,1,2,Retail trade & consumer goods
rosticceria,1,2,Retail trade & consumer goods
parruccchiere per signora,1,2,Retail trade & consumer goods
bottiglieria,1,2,Retail trade & consumer goods
 frutta alimentari,1,2,Retail trade & consumer goods
Fruttiera Francesco,1,2,Retail trade & consumer goods
materassai,1,2,Retail trade & consumer goods
legumi,1,2,Retail trade & consumer goods
 vini rappresentante generi alimentari,1,2,Retail trade & consumer goods
cinema (produzione film stabii-,1,2,"Visual, decorative & graphic arts"
gerogi alì mentari (dett.),1,2,Retail trade & consumer goods
 grassi,1,2,Retail trade & consumer goods
 benzina,1,2,Retail trade & consumer goods
 drogheria,1,2,Retail trade & consumer goods
corieettine e pele,1,2,Retail trade & consumer goods
artic. commestibili (commercio),1,2,Retail trade & consumer goods
 espressi telegrammi,1,2,Retail trade & consumer goods
 frutta e verdura,1,2,Retail trade & consumer goods
"agrumi, essicazione frutta ed erbaggi",1,2,Retail trade & consumer goods
Telef: ab. bigliamento,1,2,Retail trade & consumer goods
Compra Vendita Caffè e Ristoranti,1,2,Retail trade & consumer goods
Calzature,1,2,Retail trade & consumer goods
Droghiere,1,2,Retail trade & consumer goods
fuoro,1,2,Retail trade & consumer goods
perle (lavoro,1,2,Retail trade & consumer goods
cappelleria,1,2,Retail trade & consumer goods
 confizioni,1,2,Retail trade & consumer goods
 munizioni,1,2,Retail trade & consumer goods
Manifattura Tabacchi,1,2,Industrial & construction trades
Latte (grossista),1,2,Retail trade & consumer goods
confezioni,1,2,Retail trade & consumer goods
 specialità veneziane articoli sportivi,1,2,Retail trade & consumer goods
 vini (gros. s] sta),1,2,Retail trade & consumer goods
petrolio,1,2,Retail trade & consumer goods
" ""Frutta e verdura",1,2,Retail trade & consumer goods
 cinghialerie,1,2,Retail trade & consumer goods
ditta,1,2,Industrial & construction trades
Cairampane trattoria,1,2,Retail trade & consumer goods
(dettaglio),1,2,Retail trade & consumer goods
 alimentari,1,2,Retail trade & consumer goods
pozzî niedai,1,2,Retail trade & consumer goods
 aggiunto,1,2,Retail trade & consumer goods
 Traslochi,1,2,Retail trade & consumer goods
 edicola,1,2,Retail trade & consumer goods
Ditta,1,2,Retail trade & consumer goods
 Compra-vendita,1,2,Retail trade & consumer goods
ristorante,1,2,Retail trade & consumer goods
abiti confezionati,1,2,Retail trade & consumer goods
(negozio),1,2,Retail trade & consumer goods
 vendita),1,2,Retail trade & consumer goods
barbiere,1,2,Retail trade & consumer goods
 Calze,1,2,Retail trade & consumer goods
albergo e ristorante,1,2,Retail trade & consumer goods
caffè (torrefazione),1,2,Retail trade & consumer goods
 vendita immobili,1,2,Retail trade & consumer goods
(gab. inetti di posa),1,2,Retail trade & consumer goods
Ristorante,1,2,Retail trade & consumer goods
bottiglieriа,1,2,Retail trade & consumer goods
 cuoi ed affini,1,2,Retail trade & consumer goods
detàglian- ti legna e charbonc,1,2,Retail trade & consumer goods
grossisti spettaclli medicinali,1,2,Medical professions
parroco S. Maria del Rosario (Gesuitati),167,3,Religious & civic institutions
Presidente,20,3,Governance & administrative titles
Consolati,13,3,"Government, military & public administration"
S.A.,13,3,Industrial & construction trades
Arciprete-parroco,13,3,Religious & civic institutions
"Solesin,",12,3,
Torcello,7,3,
Attuari,7,3,"Legal, economic & administrative professions"
sarta,7,3,Retail trade & consumer goods
Comm. Agg.,4,3,Governance & administrative titles
Fid. Prov.,4,3,Governance & administrative titles
Municipio,4,3,"Government, military & public administration"
da A. Joggna,4,3,
prof.,3,3,Education & academic institutions
Parroco,3,3,Religious & civic institutions
", MUNICIPIO",3,3,"Government, military & public administration"
Mensile,3,3,"Institutions, press & sport"
V. Comm.,2,3,Governance & administrative titles
perito,2,3,"Legal, economic & administrative professions"
cavaliere,2,3,Governance & administrative titles
dett.,2,3,Retail trade & consumer goods
arciprete,2,3,Religious & civic institutions
Geom.,2,3,"Legal, economic & administrative professions"
parroco,2,3,Religious & civic institutions
Soc. AGESPIDE,2,3,Industrial & construction trades
Comandante,2,3,"Government, military & public administration"
S. Angelo,1,3,Religious & civic institutions
Vetrocke,1,3,
V. Comm. Agg.,1,3,Governance & administrative titles
Comm.,1,3,Governance & administrative titles
 Silvestro,1,3,Religious & civic institutions
 govvp,1,3,Religious & civic institutions
Fed. It. Pugilato (FIP),1,3,"Institutions, press & sport"
Fed. It. Scherma (FIS),1,3,"Institutions, press & sport"
Fed. It. Sport Equestri (FISE),1,3,"Institutions, press & sport"
Sede,1,3,
Osp. Civ.,1,3,Medical professions
 Alberoni,1,3,Religious & civic institutions
Categoria VIII,1,3,
fram. Santi 3,1,3,
Vice Pres.,1,3,Governance & administrative titles
Presidente ,1,3,Governance & administrative titles
(abbigra),1,3,Retail trade & consumer goods
Enego,1,3,
tenente,1,3,"Government, military & public administration"
"Antonio,",1,3,
bar,1,3,Retail trade & consumer goods
polleria,1,3,Retail trade & consumer goods
gros.,1,3,Retail trade & consumer goods
Forossitti,1,3,
Tenenzia,1,3,"Government, military & public administration"
s. r. l.,1,3,Industrial & construction trades
 Dese,1,3,Religious & civic institutions
Numero 5576-A,1,3,
S. Marziale,1,3,Religious & civic institutions
RICHMAR,1,3,
Brendole,1,3,
Litugi Achieri,1,3,
 (gross),1,3,Religious & civic institutions
 chinicalgile,1,3,Religious & civic institutions
S. Maria del Carmelo,1,3,Religious & civic institutions
S. Pantalon,1,3,Religious & civic institutions
(eredi),1,3,
 chimico del La..,1,3,Religious & civic institutions
pal. Patriarcale,1,3,Religious & civic institutions
 juors,1,3,Religious & civic institutions
sqiurero,1,3,
orologeria,1,3,Retail trade & consumer goods
t'atoria,1,3,
Santa Maria Formosa 4778,1,3,
Director,1,3,Governance & administrative titles
 molino,1,3,Religious & civic institutions
Soc. a.r. l.,1,3,Industrial & construction trades
Titto,1,3,
Diret. agt.,1,3,Governance & administrative titles
Orologeria,1,3,Retail trade & consumer goods
Radio,1,3,Retail trade & consumer goods
 radio,1,3,Religious & civic institutions
S. Marco,1,3,
ortagagi,1,3,Retail trade & consumer goods
(Cronometriosta),1,3,
 (dett.),1,3,Religious & civic institutions
Arcprete,1,3,Religious & civic institutions
arcirepe,1,3,Religious & civic institutions
D'allefitanni,1,3,
Navagero 34,1,3,
Ann. Castellan G. & Santon A.,1,3,
Duro 3188-29,1,3,
 orologeria,1,3,Religious & civic institutions
Barbiere,1,3,Retail trade & consumer goods
Orologiaio,1,3,Retail trade & consumer goods
Fotografo,1,3,"Visual, decorative & graphic arts"
Lari,1,3,
ispett.,1,3,"Government, military & public administration"
Sarto,1,3,Retail trade & consumer goods
Cap.,1,3,"Government, military & public administration"
n. r. 1.,1,3,
del Genio Civile,1,3,"Government, military & public administration"
infe.,1,3,
in translator biz,1,3,
Fidibus against mosquitoes,1,3,Advertisement-dominated content
 Prodalta,1,3,Religious & civic institutions
 latteria,1,3,Religious & civic institutions
 Perito,1,3,Religious & civic institutions
 rdm,1,3,Religious & civic institutions
G. V,1,3,
maestro,1,3,Education & academic institutions
M 40,1,3,
Sarta,1,3,Retail trade & consumer goods
Conchiapje,1,3,
Patrimonio,1,3,"Legal, economic & administrative professions"
Cav. Uff.,1,3,Governance & administrative titles
Telefono,1,3,
Merceologia,1,3,"Legal, economic & administrative professions"
Merceologia (id.),1,3,"Legal, economic & administrative professions"
" Arsenal°, , ",1,3,Religious & civic institutions
biblica,1,3,Religious & civic institutions
morale e sacra pastorale,1,3,Religious & civic institutions
"Presidente,",1,3,Governance & administrative titles
Domenicani,1,3,Religious & civic institutions
Bimesile,1,3,"Institutions, press & sport"
Bce salutariameta,1,3,
(interno Municipio),1,3,"Government, military & public administration"
Dursto Militare,1,3,"Government, military & public administration"
S. A.,1,3,Industrial & construction trades
 olii,1,3,Religious & civic institutions
