Name,Address,Location,Role,Profession,Additional Info,page,location_cleaned
Rag. Mondini Gino,Calle Larga S. Marco 374,,Direttore Provinciale,ASSOCIAZIONE FRA PROPRIETARI DI FABBRICATI DELLA PROVINCIA DI VENEZIA,",",69,False
Dott. Alberto Zaia,Calle Larga S. Marco 374,,Sindaco Revisore,ASSOCIAZIONE FRA PROPRIETARI DI FABBRICATI DELLA PROVINCIA DI VENEZIA,",",69,False
Rag. Riccardo Gnocchi,Calle Larga S. Marco 374,,Sindaco Revisore,ASSOCIAZIONE FRA PROPRIETARI DI FABBRICATI DELLA PROVINCIA DI VENEZIA,",",69,False
Sig. Giorgio Bassato,Calle Larga S. Marco 374,,Sindaco Revisore,ASSOCIAZIONE FRA PROPRIETARI DI FABBRICATI DELLA PROVINCIA DI VENEZIA,",",69,False
Walter Ravazzolo,Calle Larga S. Marco 374,,Delegato sportivo prov.,ASSOCIAZIONE FRA PROPRIETARI DI FABBRICATI DELLA PROVINCIA DI VENEZIA,",",69,False
Marco Pescante,Calle Larga S. Marco 374,,Direttore Tecnico Provinciale per l'attività Nautica,ASSOCIAZIONE FRA PROPRIETARI DI FABBRICATI DELLA PROVINCIA DI VENEZIA,",",69,False
Antonio Scalabrin,Calle Larga S. Marco 374,,Direttore Tecnico Prov. per il Tiro a Volo,ASSOCIAZIONE FRA PROPRIETARI DI FABBRICATI DELLA PROVINCIA DI VENEZIA,",",69,False
Giuseppe Drudi,Calle Larga S. Marco 374,,Direttore Tecnico Prov. per il Tiro a Volo, Caccia e Pesca,",",69,False
Egidio De Zotts,Calle Larga S. Marco 374,,Direttore Tecnico Prov. per l'Atletica Leggera e Tiro alla Fune,ASSOCIAZIONE FRA PROPRIETARI DI FABBRICATI DELLA PROVINCIA DI VENEZIA,",",69,False
Aldo Cetti,Calle Larga S. Marco 374,,Direttore Tecnico Prov. per il Tamburello - Palla a volo e Pallone a bracciale,ASSOCIAZIONE FRA PROPRIETARI DI FABBRICATI DELLA PROVINCIA DI VENEZIA,",",69,False
Ruggero Pillon,Calle Larga S. Marco 374,,Direttore Tecnico Prov. FIGB,ASSOCIAZIONE FRA PROPRIETARI DI FABBRICATI DELLA PROVINCIA DI VENEZIA,",",69,False
Ferruccio Di Giulio,Calle Larga S. Marco 374,,Collaboratore Tecnico FIGB,ASSOCIAZIONE FRA PROPRIETARI DI FABBRICATI DELLA PROVINCIA DI VENEZIA,",",69,False
Tullio Semenzato,Calle Larga S. Marco 374,,Collaboratore Tecnico FIGB,ASSOCIAZIONE FRA PROPRIETARI DI FABBRICATI DELLA PROVINCIA DI VENEZIA,",",69,False
Silvio Adami,Calle Larga S. Marco 374,,Presidente Gruppo Prov. Arbitri della F. I G. B.,ASSOCIAZIONE FRA PROPRIETARI DI FABBRICATI DELLA PROVINCIA DI VENEZIA,",",69,False
Guido Cocoon,Calle Larga S. Marco 374,,Commissario,ASSOCIAZIONE FRA PROPRIETARI DI FABBRICATI DELLA PROVINCIA DI VENEZIA,"Federazione Prov. Filodrammatiche, ",69,False
