value,n_rows
PORTO MARGHERA,11
SUDDIVISIONE DEGLI UFFICI,11
Attività varie,10
Meccanica,10
Personale degli Uffici - Segreteria della Sezione di Lingue e letterature straniere,10
Ospedale Civile,10
Alimentari (Dett.),10
Altri Consolati aventi giurisdizione sulla Regione Veneta,10
impresa edile,9
scultore,9
Attuari,9
Membro effettivo,9
trattoria,9
dettaglio,9
ostetrica,9
DIREZIONE SERVIZI DI IGIENE E DI ASSISTENZA PUBBLICA,9
Costruzioni edili,9
Comitato esecutivo,8
Carta - Cartoni Cancelloria,8
SOCIETA' CANOTTIERI BUCIUNTORO,8
filati,8
Soc. Industriale es. Marco,8
Consigliere Municipale,8
Consiglio Direttivo,8
Giornalista professionista,8
DIREZIONE BELLE ARTI DEL COMUNE,7
riparazioni,7
falegname,7
Category: Acqua - Gas - Elettricità,7
CONSORZIO DI BONIFICA DESE SUPERIORE,7
sarta,7
confezioni,6
"Uffici Finanziari di Mirano,",6
Venezia,6
gioielleria,6
da A. Joggna,6
Fid. Prov.,6
SEZIONE FILATELICA VENEZIANA DEL CIRCOLO ARTISTICO,6
Vice Direttore,6
Società Cementi Armati Centrifugati,6
Ispettore Capo,5
Category: Provvianza e Credito,5
Commissione del Listino,5
Category: Attività Marittime ed Aeree,5
GUÏDA COMMERCIALE DI VENEZIA E PROVINCIA,5
professore,5
Category: Vetro e Ceramica,5
'IRC s.a.r.I.,5
presso Camera del Lavoro,5
cartoleria,5
"INTENDENZA DI FINANZA,",5
Vice Presidente,5
farmacista,5
Azienda Idroelettrica,5
Ditta Cecchetti Pradel & C.,5
Chimica,4
SCUOLA GRANDE DI SAN ROCCO,4
tabaccheria,4
Parroco,4
Municipio,4
pasticceria,4
Mensile,4
Figura disegnata,4
affini (vendita),4
Abbigliamento,4
parroco,4
Personale degli Uffici - Segreteria della Sezione di Economia e Commercio,4
panificio,4
Lingua tedesca,4
SPORT OLIMPICI,4
Comm. Agg.,4
Mediatore,4
sarta da uomo,4
Società Cooperativa Lavori e Recuperi Marittimi e Fluviali A. r. l.,4
Economia politica,4
"CAMERA DI COMMERCIO,  INDUSTRIA ED AGRICOLTURA",4
vendite),4
saponi,4
Soc. AGESPIDE,4
Soc. in N. Coll. Filippo Campesan & F.llì,4
(grossista),3
latteria,3
Tribunale Civile e Penale,3
Questura,3
Lingua francese,3
dett.,3
Cappellano,3
chincaglierie,3
Lingua inglese,3
mercerie,3
Economo,3
prof.,3
Diritto del lavoro,3
Educazione fisica,3
vicario,3
negozio,3
avvocato,3
pelletterie,3
dottore,3
Geografia economica,3
Biblioteca,3
articoli da viaggio,3
vendita),3
giocattoli,3
CASINO DI COMMERCIO,3
"Consigliere,",3
Category: Comunicazioni interne,3
,3
giornali,3
MACCHINE AGRICOLE DI PRIMARIE MARCHE,3
", MUNICIPIO",3
Tesoriere,3
Commissario,3
Avvocato,3
Ispett. Capo,3
dr.,3
4. Circolo di Venezia,3
COMANDO AREOPORTO,3
piante e sementi,3
Osp. Civile,3
Soc. Montedison per l'industria chimica,3
Squadra Mobile,3
Via dell'Industria 2.,3
Supplente,3
Ufficio Politico,3
Società ITMA,3
Pittrice,3
pittore decoratore,3
Fabbro Ferrario e Meccanico,3
(commercio),2
rettore,2
mobili,2
Deputato dell'Amministrazione della Provincia,2
Contabilita di Stato,2
barbiere,2
Ferrovie dello Stato,2
frutta e verdura,2
ispett.,2
carbone e legna,2
Comandante,2
calzolaio,2
", MACELLO COMUNALE",2
"Applicato,",2
noleggio riparazioni),2
Pittura,2
Società Esplorug pozzi neri,2
elettricità (produzione distribuzione),2
Sarta,2
"S. Giovanni Laterano, ,",2
teatro,2
Porto Marghera,2
officina meccanica e metallurgica,2
alimentari (dett.),2
Filati e affini,2
Architetto,2
del Genio Civile,2
esperto elettrotecnico,2
"di Elementi di architettura e rilievo dei monumenti,",2
DIREZIONE LAVORI E SERVIZI PUBBLICI,2
Geom.,2
medico chirurgo,2
Lingua spagnola,2
arciprete,2
Politica economica e finanziaria,2
"Titolare Procuratore,",2
Ornato disegnato,2
name,2
Ufficio del Registro,2
dolciumi,2
Ten. Col. G. N.,2
5. Circolo di Mestre,2
farmacia,2
I. Ragioniere,2
mediatore,2
orologeria,2
S. E. P. R. A. L.,2
parrucchiere per signora,2
Segreteria,2
Amministratore,2
mobilere,2
S. Donà Piave,2
alimentari,2
Esportazioni,2
Ragioneria generale ed applicata,2
"DIREZIONE LOTTO,",2
Biblioteca Marciana,2
(dettaglio),2
Deputato,2
Divisione I.a,2
Società di assicurazioni,2
Capitano di P.S. in S.P.E.,2
Diritto processuale civile,2
maestro,2
caffè (esercizi),2
V. Comm.,2
Comm. Capo,2
Diritto amministrativo,2
commercialista,2
Lingua e letteratura tedesca,2
Lingua e letteratura spagnola,2
Comm.,2
porcellane,2
Lingua e letteratura francese,2
consigliere effettivo,2
"Direttore,",2
Incisioni,2
Rettore,2
dentista,2
av.,2
Ragionieri capi sezione,2
cesellatore,2
Category: Ospitalità,2
Comm. Agg. dirigente,2
Medico Chirurgo,2
Conduttore,2
Marghera,2
sarto da uomo,2
SOCIETA ITALIANA DEGLI AUTORI ED EDITORI,2
Assistente,2
ingrosso,2
articoli casalinghi,2
Medico,2
rivendita,2
importazioni ed esportazioni varie,2
GABINETTI DENTISTICI,2
pensione,2
Condirettore,2
tessuti filati,2
ISTITUTO VITTORIO ALFIERI,2
perito,2
riproduzioni ed oggetti artistici,2
Treporti,2
calzature,2
QUERINI STAMPALIA,2
ISTIT. MAGISTRALE PARIFICATO,2
Milano,2
Sindaco,2
bar,2
Lettere (ginnasio),2
Bimestrale,2
materiale per costruzioni edilizie,2
lettere (ginnasio),2
Ispettore,2
cavaliere,2
Sovrintendente,2
tessuti,2
Figura e ornato modellato,2
Via Cavomr.,2
ditta,2
"Dott. Medicina,",2
Ispett. Reg.,1
Cincovallazione numero 2,1
Camera ricorso Legione Territ. Guardia di Finanza,1
riproduzioni quadri,1
Mdico-Direttore,1
Sarto da uomo,1
Direttore Medico,1
interni,1
M 40,1
Direttrice,1
presso la Corte d’Appello,1
in translator biz,1
e,1
Merceria,1
Capo Uff. Stampa e Propag.,1
pozzî niedai,1
legnami e palii da costruzioni,1
Vice segretaria,1
photoengraving,1
G. V,1
ripiazionli,1
Capo Div. Direzione Ragioneria e tributi,1
lavorazione marmi,1
Ispet. di l. Gl. Sez. Lavori di Venezia,1
vini (gros. s] sta),1
Imposte Comunlo del Comune,1
arciprete Basllica San Marco,1
petrolio,1
lume,1
farmacie S. tomaclasse numero 241,1
Consulente Ordinario,1
"""Frutta e verdura",1
Prodalta,1
tubi in ferro,1
Mobili di qualsiasi Tipo,1
Rappresentanze varie,1
ved. di Zanco Attilio fu Sebastiano,1
S. Capu di Stato Magg.,1
Primo Segretario Uffici Centrali dell'Amministrazione della Provincia,1
cinghialerie,1
Medico Aggiunto,1
Perito,1
rdm,1
Ing.,1
Canonici residenziali (arcidiacono prima dignità),1
fale riprendime,1
Fidibus against mosquitoes,1
Comando Vigili,1
Stabilimento I. N. A.,1
Castello (II),1
"Ispettore Onorario, prof. Amedeo Gottardi",1
Perito industriale,1
Capo uff. Agrario,1
Cancellista capo,1
Vice tesoriere,1
Vice Economo,1
"Asilo e Morioni n. S. Francesco della Vigna, numero 2951",1
V. Comm. Agg.,1
Medico Provinciale,1
"anche per Giudecca, ,",1
Commissariato di Dorsoduro,1
Commissariato di Castello,1
"anche per S. Polo, ,",1
Commissariato di S. Polo e S. Croce,1
Commissariato di Cannaregio,1
"Uffici Centrali, Aiutanti tecnici",1
Capo uff. Tecnico,1
"UFFICIO PROVINCIALE DEL TESORO,",1
"ISPETTORATO COMPARTIMENTALE DELLE IMPOSTE DIRETTE,",1
"ISPETTORATO COMPARTIMENTALE DELLE TASSE E DELLE IMPOSTE INDIRETTE SUGLI AFFARI,",1
"UFFICIO DEL REGISTRO ATTI CIVILI,",1
"UFFICIO REGISTRO ATTI GIUDIZIARI E CONCESSIONI GOVERNATIVE,",1
"UFFICIO DEL REGISTRO SUCCESSIONI E DEMANIO,",1
"UFFICIO IMPOSTA IN SURROGAZIONE,",1
"UFFICIO IMPOSTA GENERALE SULL'ENTRATA,",1
"Conservatore,",1
"UFFICIO TECNICO ERARIALE,",1
"UFFICIO TECNICO IMPOSTE DI FABBRICAZIONE,",1
"DIREZIONE SUPERIORE DI DOGANA,",1
"ISPETTORATO COMPARTIMENTALE DELLE DOGANE,",1
"Direttore chimico,",1
Vice rag. capo,1
Commissariato di S. Marco,1
Maggiore di P.S. in S.P.E.,1
Cannaregio (III),1
Riva del Carbon,1
presso Italian,1
presso ditta 'Jessurum',1
presso Albergo Danieli,1
Ponte della Canonica,1
Vetrocke,1
S. Angelo,1
Cassa di Spedizioni,1
Divisione III.a,1
Rio del Pontelungo,1
Mazzorbo di Burano,1
Segretario-Economo,1
"4130""",1
Mercati,1
Santa Croce (IV),1
presso Adriatica di Navigazione,1
Via Torre Belfredo,1
Deputazione Borsa valori,1
Direttore Scuola Infermiere,1
Ispettrice Regionale della Infermiere Volontarie,1
"Presidente: Angelo Furian,",1
"Assistenza infermi a domicilio,  diurna e notturna.",1
Padova,1
UNIONE REGIONALE CAMERE DI COMMERCIO DELLE VENEZIE,1
ISTITUTO NAZIONALE PER IL COMMERCIO ESTERO,1
Commissario Straordinario,1
"Segretario,",1
"Direttore sanitario,",1
"Direttore amministrativo,",1
Divisione II.a,1
"Presidente,",1
Seconda Divisione,1
(sidewalk frames),1
Architettura disegno geometrico e prospettiva,1
Direttore aggiunto Banca di Napoli,1
Prov. Servizio Impianti Sportivi,1
Fed. Ginnastica d'Italia (FGDI),1
Fed. It. di Atletica Leggera (FIDAL),1
COMITATO OLIMPICO NAZIONALE ITALIANO,1
Conchiapje,1
impianti elettrici,1
Agente principale della Società Autori ed Editori della Agenzia di Venezia,1
gestione S. A. ICSA,1
gestione S. A. ICSA.,1
rappresentanze varie,1
albergo e ristorante,1
Consigliere (TELVE),1
cicli e motocicli (gorgesterio noleggio riparazioni),1
fuoro,1
perle (lavoro,1
cappelleria,1
"Com. Reg., Fed. It. Canottaggio (FIC)",1
Scuole Elementari,1
Invest. Legione Territ. Guardia di Finanza,1
officina meccanica e saldatura,1
Scuole di Avviamento Professionale tipo industriale,1
confizioni,1
"Istituto Coletti con scuole per meccanici, falegnami-calzolai",1
legumi secchi,1
acque gassaste,1
bottiglieriа,1
Ispt.,1
"Scuole ginnasiali e Liceo classico, Istituto tecnico industriale",1
Fotografa,1
cihincaglieria,1
Macchine Contabili,1
Unione Velocipedistica It (UVI),1
Fed. It. Pugilato (FIP),1
Insegnante Accademia di Belle Arti,1
Legname Compensato,1
pellic-erie manifatture fiutate,1
Sede,1
Calze,1
stoffe,1
Pres. Zonale,1
Agente della Soc. Fabbriclio Riunite Neon,1
presso Lega Reg.,1
Calzature,1
Fed. It Gioco Calcio (FIGC),1
Fed. It. Hockey su Ghiaccio,1
Falegname,1
Fed. It. Pattinaggio su Ghiaccio,1
"Pres. Reg., Fed. It. Sport Invernali (FISI)",1
Droghiere,1
Cantiere Navale,1
Lari,1
Unione It. Tiro a Segno (UITS),1
Fed. It. Sport Equestri (FISE),1
Barbiere,1
Orologiaio,1
Fed. It. Scherma (FIS),1
Rappresentante Generi Alimentari,1
Chinagiuliere,1
Medicina Generale,1
Ristorante,1
Scopaio,1
Malattie Polmonari,1
"Rappresentante Auto, Cicli ed Accessori",1
Articoli Casalinghi,1
Fotografo,1
Ispett. Sanità,1
OCCASIONI - CAMBI - RICOMISSIONI - NOLEGGI,1
Veneta Marina,1
Sezione Estuario e Marghera,1
articoli in vetro,1
vetri artistici,1
vetrerie in genere e lampadari,1
vetrerie in genere lampadari,1
Capo Stazione,1
Latte (grossista),1
Mechitaristi,1
Benedettini,1
"Uff. Stazione di Cura,  Soggiorno,  Turismo",1
SAN ANDREA APOSTOLO,1
Divisione tecnologica,1
Sezione Città,1
Sezione Terraferma,1
Natività di Maria Vergine,1
Patrimonio,1
Soc. Naz. Trasporti e Fratelli Gondrano,1
Sezione Amministrativa,1
SANTA MARIA DEL CARMINE,1
SS. GERVASIO E PROTASIO,1
V. Direttore del A. C.N.I.L.,1
mobili (negozio),1
falegname.,1
infe.,1
no noleggio riparnazioni),1
Arredamento e temi,1
Comando Militare Maritt Aut. dell'Alto Adriatico,1
Geometra principale del Genio Civile,1
vetro lavorazioni,1
cost.,1
specialità veneziane articoli sportivi,1
Domenicani,1
Commissariato S. Polo e Santi Croce,1
Minori Cappuccini,1
Prosindaco del Municipio,1
Sarto,1
Servi di Maria,1
Frati Minori,1
Capo Tecnico,1
Ingegnero,1
Cap.,1
Sapone,1
Suaege,1
n. r. 1.,1
Guardia di Finanza,1
"Via Caneve, 5",1
munizioni,1
Vice Direttore Manifattura Tabacchi,1
Cannaregio 4462,1
"Comando Militare Mar., Autorità dell'Alto Adriatico, Arsenale",1
Assistente del Genio Civile,1
Club Alpino Italiano,1
"Saldature ossigena ed etetrliche, impianti riscaldamento, Sanitari, Acquedotto",1
Aiuto della Div. Dermosifilopatia degli Ospedali Civili Riuniti,1
impianti terrestri e navali,1
maioliche artistiche,1
Istituto Aut. per le case popolari,1
Rialto 198,1
(fabbriche),1
Medioevali e Moderni del Veneto Orientale,1
(Società per la Gestione),1
Scuola Infermiere della Croce Rossa Italiana,1
Malattia Polmonari e Radiologia,1
Manifattura Tabacchi,1
Istituto Universitario di Architett.,1
Ufficci Marshe,1
Amm.vo,1
"DOGANA,",1
Storia delle dottrine economiche,1
Lingua serbo-croata,1
Lingua e letteratura russa,1
Filologia germanica,1
Lingua e letteratura inglese,1
Scuola E. De Amicis,1
Geografia,1
Storia della filosofia,1
Pedagogia,1
Filosofia,1
Lingua e letteratura latina,1
Glottologia romanza,1
Lingua russa,1
Lingua rumena,1
Diritto e procedura penale,1
Scuola A. Scarsellini,1
Laboratorio di Politica economica e finanziari,1
Scuola Alfredo Oriani,1
Diritto civile,1
Elementi di diritto e procedura penale,1
Tecnica amministrativi delle aziende industriali,1
Tecnica commerciale e bancaria,1
Elementi di diritto processuale civile,1
"Ragioneria generale applicata, Economia aziendale",1
Scuola Armando Diaz,1
Scuola Michele Renier,1
Scuola: Luigi Cadorna,1
Laboratorio di Merceologia e Museo merceologico,1
Laboratorio di Geografia economica,1
Scuola: S. Maria Formosa,1
Laboratorio di Economia politica — Francesco Ferrera,1
Scuola Diedo,1
Scuola Giudecca,1
Filologia romanza,1
Scuola Marghera,1
Diritto della navigazione,1
Matematica generale e di Matematica finanziaria,1
Tecnica bancaria e professionale,1
Scuola « Ugo Foscolo »,1
Scuola Carpenedo,1
Istituzioni di diritto pubblico,1
Scuola Malcontenta,1
Scuola Ca Emiliani,1
specialità vetraiera,1
Scuola Asseggiano,1
Merceologia,1
Istituzioni di diritto privato,1
Demografia generale,1
Diritto aeronautico,1
Statistica economica,1
Storia economica (incar.),1
Scuola Chirignago,1
Statistica (incar.),1
Ragioneria generale ed applicata (id.),1
Diritto pubblico (id.),1
Scuola Villabona,1
Diritto privato (incar.),1
Scienze delle ze e diritto finanziario (incar.),1
Scuola Catene,1
Merceologia (id.),1
Economia politica (id.),1
Matematica finanziaria (id.),1
Lingua e letteratura italiana,1
Storia,1
Scuola: « Giacinto Gallina »,1
Laboratorio di Scienza delle finanze e diritto finanziario,1
Diritto internazionale,1
di Elementi di composizione,1
"per Carattei; distributivi degli edifici, Urbanistica,",1
"per Disegno dal vero,",1
"di Composizione architettonica,",1
di Scienza delle costruzioni,1
"Ponte delle Maravegie,  Sezione di Lido,  Via Malamocco, ,",1
Scienze naturali chimica e geografia,1
Letteratura Italiana e storia,1
Letteratura italiana e storia,1
"Rio Terra S. Giuseppe di Castello, ,",1
"Via Briati 9, ,",1
Storia dell'arte,1
"Arsenal°, ,",1
"Cannaregio 1105, ,",1
"di architettura degli interni, arredamento e decorazione",1
di Disegno dal vero,1
"Direttto: Prof. dr. ing.,",1
di Elementi di architettura e rilievo dei monumenti,1
di Storia dell’arte e storia e stili dell’architettura. Caratteri stilistici e costruttivi dei monumenti,1
"di Analisi matematica e geometria analitica, Fisica, Fisica tecnica",1
di Meccanica razionale e statica grafica,1
di Chimica generale ed applicata,1
"di Scienza delle costruzioni, Restauro dei monumenti",1
Matematica e fisica,1
Scultura,1
Decorazione,1
Tecniche dell'incisione,1
Anatomia,1
Plastica Ornamentale,1
Storia dell’arte,1
Architettura,1
religione,1
Laboratorio Scuola per Operai Elettromeccanici,1
Laboratorio Scuola per Falegnami,1
"per Elementi costruttivi,",1
"Gr. uff, dr. arch.,",1
"Primo Ragioniere con funzioni di Direttore Amministrativo,",1
Scuola: « G. Gozzi »,1
Biblioteca di consultazione per artigiani e piccoli industriali (aperto tutti i giorni feriali nelle ore d’Ufficio),1
"di Scienza delle costruzioni,",1
"per Mineralogia e geologia,",1
"per Tecnologia dei materiali e tecnica delle costruzioni,",1
"per Chimica generale ed applicata,",1
Ufficio Commissionario Industrie e Artigiane con Mostre campionarie permanenti di prodotti tipici dell’artigianato e delle piccole industrie venete,1
Sezione Autonoma di Credito per le Piccole Industrie e l’Artigianato,1
"per impianti tecnici, Estimo ed esercizio professionale,",1
"per Meccanica razionale e statistica grafica,",1
"per Fisica, Fisica tecnica,",1
Ufficio di assistenza economica,1
"per Caratteri stilistici e costruttivi dei monumenti,",1
"per Matere i radiche,",1
"per Letteratura italiana,",1
"per Storia dell'arte e storia e stili dell'arch.,",1
"per Architettura degli interni, arredamento e decorazione,",1
"per Applicazioni di geometria descrittiva, Elementi di composizione,",1
"per Igiene edilizia,",1
"per analisi matematica e geometria analitica (2.0 anno),",1
"per Analisi matematica e geometria analitica (1.0 anno), Topografia e costruzioni stradali,",1
"per Composizione architettonica,",1
Corsi vari di istruzione professionale per artigiani e operai in tutto il Veneto,1
"per Restauro dei monumenti,",1
"per Plastica ornamentale,",1
"per Decorazione,",1
"per Geometria descrittiva ed elementi di protettiva,",1
Direttore dell’Osservatorio,1
Tecnica del commercio internazionale,1
Ragioniere Capo,1
Capo dell'Ispettorato,1
Deputato alla Costituente,1
Assistente bibliotecario,1
Archivista contabile,1
Direttore Regionale,1
Segretario Regionale,1
Membro emeriti,1
Sezioni Provinciali Proprietari Conduttori,1
Proprietari con beni affittati,1
Affittuari Conduttori,1
Dirigente di aziende,1
Ispettore Regionale,1
"Piazza Oberdan, 3",1
Segretario Provinciale,1
Ispettore Regionale per il Veneto,1
Sezione specializzata di Zootecnia,1
materiali da costruzione,1
Sezione specializzata di Ortofrutticoltura,1
Esperto,1
Membro effettivo; Commissario straordinario per la Presidenza,1
Ispettore Compartimentale,1
Capo di Gruppo o Categoria,1
arte antica,1
SCUOLA MERLETTI DI BURANO REGINA ELENA,1
orologie,1
prodotti siderurgici e metallurgici,1
materiali ferrosi da riutilizzo,1
THE BERLITZ SCHOOL OF LANGUAGES,1
COLLEGIO ARMENO « M. RAPHAEL »,1
vetro e ceramica,1
radio e accessorii,1
"Primo Assistente,",1
Capo Divisione,1
"Ufficio Idrografico,",1
"Capo Ufficio,",1
Vice Segret. Direttore Generale,1
"1. Procuratore,",1
Segretario Direttore generale,1
"Procuratore Capo,",1
Titolare Procuratore,1
SCUOLA ARICCONFRATERNITA DI SAN CRISTOFORO E COMPAGNIA DELLA MISERICORDIA,1
Ufficio Distrettuale della II. DD.,1
Ufficio Distrettuale delle II. DD.,1
OSSERVATORIO GEOFISICO DEL SEMINARIO PATRIARCALE,1
Ornato modellato,1
BIBLIOTECA DEL SEMINARIO PATRIARCALE,1
Cav. Uff.,1
I. f. Ufficiale,1
Comandante Militare Marittimo Autonomo dell’Alto Adriatico,1
Aiutante di Bandiera,1
Cap. di Corv.,1
BIBLIOTECA RR. PP. ARMENI MECHITARISTI,1
Col. A. N.,1
govvp,1
Coa'diutore principale,1
", TENENZA MESTRE",1
", TENENZA MARGHERA",1
Col. Pilota,1
aggiunto,1
Sovraintendente,1
Direttore onor.,1
stode.,1
Consiglio di amministrazione,1
custode,1
elettricità ed idraulica,1
cuoi ed affini,1
Storia Ec. Ebraico,1
Telefono,1
Legazione di Columbia,1
Roma,1
dommatica,1
Britain,1
Equatore,1
Gran Bretagna,1
Haiti,1
Lussemburgo,1
Perù,1
Paraguay,1
U.S.A.,1
via Boccaccio 45,1
Economato,1
Archivio e Affari generali,1
"latino, greco (liceo)",1
rivieditori zenergi ni Monopolio,1
Storia economica,1
filosofia,1
sacra liturgia,1
Diritto commerciale,1
Diritto Canonico,1
Statistica,1
biblica,1
"italiano (liceo), Storia",1
"Patrologia, Arte, Eloquenza",1
Tecnica industriale e commerciale,1
Scienza delle finanze e diritto finanziario,1
Scienze e Matematica,1
"Francese, Matematica",1
Economie e politica agraria,1
Columbia,1
Ambasciata del Cile,1
morale e sacra pastorale,1
Console N. N.,1
grossisti combustibili e solidi,1
detàglian- ti legna e charbonc,1
ISTITUTO DELLE SUORE DEL S. CUORE,1
grossisti spettaclli medicinali,1
Gruppo Ristoranti trattorie,1
"Gruppo: Caffé, bar, bottigliere, birrierc",1
ISTITUTO SUORE DI NEVERS,1
Gruppo: Osterie,1
mobilere-arredatore,1
installatore d'impianti,1
zignografo,1
elettromeccanico,1
capo mastro,1
COLLEGIO S. GIUSEPPE,1
fabbro meccanico,1
ISTITUTO CAVANIS,1
elettricista,1
fotografo,1
ISTITUTO CONVITTO « G. MARCONI »,1
fabbro,1
elettrotecnico,1
Silvestro,1
Lavoratore,1
ISTITUTO ZAMBLER,1
ISTITUTO « A. MANZONI »,1
Caccia e Pesca,1
ISTITUTO ITALIANO RAVA',1
SCUOLA MEDIA PARIFICATA,1
SCUOLA MAGISTRALE RICONOSCIUTA,1
Segretario Generale dell’Associazione Regionale Per gli Industriali,1
Via D. Manin 41,1
Dirett. Il Rep. Poste c. Telegrafi,1
Marsala,1
Serramenti ed Affissi,1
Strada Nuova,1
Officina per Costruzioni Meccaniche di Alta Precisione,1
perle (product. e commercio),1
Comm. Amministrativo,1
Corpo del Genio Civile,1
Direttore Banco di Napoli,1
RICHMAR,1
Via F.lli Bandierine,1
Noleggi,1
Professore,1
Direttore locale,1
Ditta,1
Segnalazioni,1
Presid. fra dirigenti di Azien. de Industriali,1
Primo Geometra Ufficio Tecnico dell’Amministrazione della,1
Tecnic Comp. gnia della Vela,1
Vice Pretore,1
materiale refrattari e lustri,1
avventurina,1
Comandante Comando Gruppo Agenti P. Sicurezza,1
Uff. pagat. Legione Territ. Guardia di Finanza,1
Segretario Tribunale dei Minorenni,1
ferramenta metalli,1
Conduttore pin,1
carbone e legna (dettaglio),1
Compra-vendita,1
autorimessa,1
Brendole,1
bottiglieria. (esercizi),1
(eserciyi),1
confezionisti,1
Via Spalti,1
Sopinterdenza ai Monumenti Megloeevali e Moderni del Veneto Orientale,1
Via Galuppi,1
Rk. PP. Armeni Mechitaristi,1
Min. dell'Interno,1
Geometra principale del,1
filiati e affini,1
Viale Stazione presso Autostimesa Standa,1
Bazar,1
cinema (sale di proiezione e gestione),1
impresa edile Trasporti,1
"Ditta,",1
"Tenente, Guardia di Finanza",1
Sarta da uomo,1
Numero 5576-A,1
P.le Stazione,1
Economo Provinciale,1
gestione dr. Gastone Machi,1
Leggere e rapide,1
Tessuti,1
Dettaglio,1
riproduzioni di oggetti artistici,1
Medio acg. dr. Ulisse Camalfi. Consulente ordinario dr. Tancredi Cortei,1
e Figli (ditta),1
Piedi,1
gestione Solferini Olga in Becher,1
gestione tCSAn,1
Vice comm. Agg. dirigente Commissariato di,1
gestione SPES,1
Capo Servizio Sezione Marittima scrittura,1
Accademia di Belle Arti,1
color e vernici,1
Direzione S. Lucia,1
ferramenta e colori,1
Direttore Consorzio Agrario Cooperativo,1
S. Marziale,1
gestione I. C. S. A.,1
gestione ICSA,1
gestione Magnarin Giuseppe,1
gestione IOSA,1
GECAO,1
gestione Fain,1
gestione Furlan Giovanni,1
gestione ENIC,1
gestione Gaetano Domenichini,1
Aiutante Magg. della Guardia di Finanza,1
"C, Reparto Uff. personale Ferrovie dello Stato, Direzione",1
"Fabbrica: Tolentini, Negozio: S. Giovanni Grisostomo, 5787",1
Istituto Univers,1
elettricità idraulica e gas,1
"posseggio, noleggio, riparazioni",1
specialità veneziane,1
decoratore,1
Dursto Militare,1
commercio,1
della Prev. Sociale,1
Insegnante,1
noleggio imbarcazioni,1
Arcademia di Belle Arti e Licoe Artist.,1
Maniftuacro Tabacchi,1
Fori perle,1
Direttore Gener.,1
chinicalgile,1
Cairampane trattoria,1
Mercerie dell'Orologio,1
(gabinetti di posa),1
pres Lega R:9,1
Ass. Commercianti,1
"piazza, Paolucci 5",1
Rialto 1364,1
Sindaco effettivo,1
erane vegetale,1
gioieileria,1
Tutti i prodotti ZAMPIRONI sono di massima fiducia,1
"VENEZIA s. Focn, 1079",1
Vendite),1
dell'Unione,1
"VENEZIA - Via XXII Marzo, 2288 - Telefono 25-889",1
Addetto Sviarda Naobile,1
SS. Pietro e Caterina,1
S. Pantalon,1
vicacio,1
Banca Popolare di Novara,1
S. Maria del Carmelo,1
Del Circolo Artistico,1
stireria,1
