value,n_rows
P. Alfonso Berengo Morte,1
Don Giovanni Maria Pasa,1
Superiora,1
Rettore Spirituale,1
Medico dirigente,1
"a Saccomani m: fdm, S. Girolamo 3101.",1
a Pane Quotidiano m. S. Zaccaria 4224.,1
S. Lorenzo 4978,1
Rio Terra Farsetti 1848,1
Campo Nazario Sauro 980,1
Receve tutti i giorni meno i festivi dalle ore 9 alle 12,1
Consigliere delegato,1
OPERA PIA « G. B. GIUSTINIAN » RICOVERO CRONICI,1
Medico direttore,1
Medico di Sez.,1
"OPERA PIA « ZUANE CONTARINI » Administration""",1
Ispettore generale,1
Segretario ff.,1
San Marco,1
Cannaregio,1
Dorsoduro,1
San Polo e Santa Croce,1
direttore responsabile,1
Comitato di Amministrazione,1
Presidente Onorario,1
Assistente alla direzione biblioteca,1
Contabile,1
Primo restauratore,1
Restauratore,1
Vedi cartoteche,1
Fotografo,1
Sovraintendente,1
SOPRINTENDENZA ALLE GALLERIE ED ALLE OPERE D’ARTE,1
GALLERIA « G. FRANCHETTI » ALLA CA' D’ORO,1
Conservatore,1
MUSEO ORIENT,1
SOPRINT. ALLE ANTICHITA’ PADOVA MUSEO ARCHEOLOGICO,1
Funzionario concetto,1
Bililot,1
Ajutanti,1
"bimestrale, direttore responsabile,",1
settimanale,1
Commiss,1
DIstributore capo,1
Guardian Grande,1
Guardiano ai Mattin,1
Reggente la Cancellaria,1
Cappelano,1
Mensile Direttore responsabile,1
Arc. di Lione,1
Sotto Capo Ufficio Contabilità,1
"Capo della Sezione, Sezione Materiale e Trazione",1
"Specialista Malattie Veneree e della Pelle, Consultazioni: ore 10 o 12,  e 15 • 18,",1
"Tribunela Civile e Penale, Rialto 186",1
TELVE E,1
Ospetale Civile,1
Preside Iss. Magistrale Parificato,1
vini,1
"Negozi: Mercerie del Capitello 4151, Sottoportico delle Acque 568",1
Merce.rle San Zulian,1
"giocattoli porcellane,",1
"Fazzoletti,  Tessuti, , ,",1
"Negozi di vendita, ,",1
"gestione S. A. ICSA, teatro San Luca",1
"filati, ,",1
(X),1
"e commercio),",1
"Uf. Cont'avvenzioni,",1
"filanti, ,",1
"Prosindono,",1
"Sopr. dei Monumenti Medievali e Moderni del Veneto Orientale,",1
"Agricole,  Utensili,  Enologiche,  da Scrivere,  ecc., ,",1
"VENEZIA - Via XXII Marzo, 2288 - Telefono 25-889",1
Uff.,1
Palazzo Ducale,1
"(fabbrica),  prodotti chimici,  carta da imqacco",1
Ponte Canonica,1
"Azienda Idroelettrica,  Centrale Termoelettrica, ,",1
di Economia e Commercio,1
"ingegner costrzeni al Neon, ,",1
"Lido Via Vesponte,",1
"S. Marco 153-A,",1
Esperto malariologo,1
SS. AposiOIi i,1
S. M. Elisahet- te 22,1
"fluviali e terrestri,",1
"Banca di Roma,",1
"ostetria,",1
già Suce Guetta Società An.,1
di Bruno Sbrissa,1
"carburanti,  forniture navali,  combustibili, ,",1
"cartoleria, ,",1
"S. Lucia,",1
", San Polo 3015, Castello 1779, Lido Gran Viale 27",1
"Apparecchi di tutte le Marche, Dueomi Duenti, Amplificatori, Impianti Cine, Negozio e Laboratorio: Ponte di Rialto, 14 (angolo Palazzo X Sau), ,",1
"candele profumate,",1
carburnati olii ed affini,1
Autotrasporti,1
Agoni,1
Via delo Pila 1» Via Filii Bandiera Q.,1
"Merceria Capitolio, ,",1
"trasporti postali, ,",1
"marmellate, ,",1
"Occasioni,  Cambi,  Ricostruzioni,  Noleggi, , , ,",1
"Museo, Archeologico,",1
"Presidente Ass. dei Commercianti,",1
Segretario generale,1
"development and printing,",1
"Forniture Marittime per Alberghiere,  Albo Esportatori n. 81,  Ufficio Deposito"",",1
"Aredamento Completo,  Negozio di Vendita : ditta: Mostra Permanento 58. Fosa,  calle Zancani 2433,",1
"Direzione S. Lucia,",1
Capo del Corpo Civile,1
"Stazione di Venezia,  S. Lucia",1
Biblio. Marciana,1
Piazza Umberto I,1
Via San Donà 7,1
"Federazione Prov. Lavoratori della Terra V. 3., le Cà Matteotti 4314",1
Esposizione Biennale Inter. d'Arte,1
Via Pescheria,1
"Consigliere diret. Unioni del Circolo Artistico,  S. Marco Palazzo ex Prigioni",1
Via Chiesa numero 13,1
La macchina per l'ufficio moderno,1
"foto illustrative e pubblicitarie, ,",1
(I),1
(II),1
(III),1
(IV),1
COMMERCIO ESTERO,1
(VI),1
(VII),1
(VIII),1
"benzina,",1
"Terrestrial and Fluvial Transports,  Warehouse for Goods Deposit,  Moving with special trucks or vans,",1
Vice Segretario gen.,1
"pelletterie, ,",1
Dirigente incaricato,1
"TEPL. VE,",1
Ufficio Contravvenzioni,1
Esattore dell'imposta di soggiorno,1
Gerente,1
Capo Div.,1
"Ponte Storto,",1
Segretario Capo Sezione,1
Direttore giardini pubblici,1
Ufficiale sanitario medico capo,1
Medico ispettore del servizio sanitario,1
Medico vic\ ispettore del servizio sanitario,1
Ufficio,1
Ispettore servizi di annona,1
Vice ispettore di annona,1
Ingegnere igienista,1
Segretario capo sezione,1
Direttore veterinario,1
Veterinario assistente,1
"numero 26054,",1
confezioni S. Marco 1469.70,1
"Soc. An,  di Spedizia.,",1
Banca Commerciale italiana,1
Assistente visitatrice,1
Direttore del Dispensario,1
"articoli di viaggio, , ,",1
gabinetti di posa,1
"filati e affini, , ,",1
tagliani,1
esercizi,1
"detergenti,  saponi,  affini, , commercio",1
oggetti artistici,1
SS. Gervasio e Protasio,1
"gioielleria,",1
"Termo-telefono,  Acqua corrente",1
"lane cot- ne,  fibre vegetali ed affini,",1
"oggetti artistici,",1
"(commercio e lavorazione),",1
S. Giuseppe di Castello,1
Odorico Soc. per Az.,1
"«Duse», , ,",1
Medico Provinciale,1
Veterinarî prov.,1
I.o Segretario,1
Capo Ragioniere,1
"Santa Maria Formosa"", Insegnante, Accademia di Belle Arti",1
"officina meccanica e metallurgica, ,",1
"toti giornali, ,",1
"Cortinaggi, ,",1
"Accademia di Belle Arti, ,",1
"Istituto Universitario di Architettura, ,",1
"chincagliere, , ,",1
ing. cav,1
consumocio,1
"(grossista),",1
Scalzi,1
Direzione S. Lucia,1
Banco di Sicilia,1
UPSEA,1
"brificanti,",1
filati e affini,1
Prefetto,1
Vice Prefetto vicario,1
Vice Prefetto ispettore,1
Capo di Gabinetto,1
"aratici casalinghi, ,",1
Servizi elettorali,1
Economato,1
Capo divisione,1
"articoli da viaggio ombrelli,  articoli sportivi,",1
"Ispett. 2,  Clas. Off",1
vicario,1
"=""""",1
Cassa di Risparmio,1
"vicerie,  cinghialerie,",1
rappresentante generi alimentari,1
"accessori,  riparazioni,  vendite",1
"cav. not., IV Rep. Poste e Telegrafi,",1
"Istituto Federale delle Casse di Risparmio delle Venezie,",1
Farmacista,1
"tribunale mustropolanzio; presidi uff. catechistico diocesano; presidi. comm. per soluzione cesi di coscienza,  camere residenziale,",1
"Affini, ,",1
"quadri, ditta,",1
"Impianti di distribuzione gas compressi,  Rappresentanti per il Veneto: Soc. Rappresentanze Generali,",1
"Lummeuto di Moda,  Arte e Spot, Conduttore R. Cacran,",1
"dischi, ,",1
"Demolizioni,  Costruzioni in Legno,  Appalti, ,",1
"impianti di riscaldamento,  Impianti sanitari,  Termosifoni ed Apparecchi Elettrici, , ,",1
Targhe - Distintivi - Medaglie,1
Prefettura,1
torrefazione,1
3635.,1
"materaile da costruzione,  dinamicci,  fabbrica fiammiferi, ,",1
"Lido, Via Malamocco 91., Introduet. Statiune ed esercizio malceleire, marcellerie,",1
cilici e motocicli,1
"ricuperi navali, ,",1
"ippotrasporti, , ,",1
Primo ingegnere,1
"importazioni ed exportazioni varie, , ,",1
Primo geometra,1
Economo Proviliziale,1
"Milano,  Torino,  Firenze",1
"Dependueza Splendido, ,",1
"Vermouth,  Oili, Aosta",1
"Officina Elettromeccanica,  Saldatura Autogena",1
Soc. a re spon. limit.,1
"cav.,",1
"Uffici in tutte le principali Citta Italiane,  Succursale in New York (U.S.A.),",1
"riparazioni garantiti,",1
"Frutta,  Verdura, ,",1
"Ing. Cav. Uff. Rag. Goffredo, Presidente,",1
"Chimenti Michele,",1
.,1
"rappresentante, ,",1
"e deposito), ,",1
"profumeria, ,",1
Esposizione Biennale Int. d’Arte,1
cartoleria e oggetti di cancelleria,1
),1
"vernice), , ,",1
"fumisteria, , ,",1
Rappresentante,1
Comandante (Questura),1
Segreterio,1
S. Rocco Calle Roverette Case Popolari,1
Membro effettivo Comm. Straordinario,1
Vice Segretario Generale,1
Primo Segretario,1
Ragioniere capo,1
"(ass. vetri, cristalli e stucchi)",1
Autero trasporti,1
(IX),1
(XI),1
Segretari capi: Segreteria,1
Vicario Ap. di Tsing-Tao,1
Ispettore Capo Uff. Scritture,1
Capo Ufficio Statistica: Proo Capo,1
gestione ICSA,1
Ricevitore Capo,1
Capo di Stato Magg.,1
S.Capo di Stato Maggiore,1
Ufficio Naviglio,1
Ufficio Telecomunicazioni,1
Ufficio Giustizia Disciplina,1
Uff. Matricola,1
Sostituto ed Archivista,1
Ten. Col. G. N.,1
(XII),1
Ten. Col. A. N.,1
Ten. Col,1
Vescovo di Berlino,1
Col. Medico,1
Ten. Col. Medico,1
Col. di Porto,1
Arc. di Berlino,1
Arc. di Strigonia,1
Magg.,1
Cap.,1
Col.,1
Ispettore Capo Uff. Visite,1
Ispettore Capo di giro,1
Direttore locale,1
galvanizzatore,1
Intendente,1
ESTERI,1
Direttore di Ragioneria,1
Pres. del Consiglio,1
1.o Procuratore titolare,1
Capo provvisorio dello Stato,1
Ais,1
