Name,Address,Location,Additional Info,page
Gonfo,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Fossalta di Piave,492
Gorgo,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Fossalta di Portogruaro,492
GRISOLERA,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,37,492
GRUARO,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,38,492
Isiata,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,S. Donà di Piave,492
JESOLO,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,39,492
Lampol,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Fossalta di Piave,492
Largan,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Grisolera,492
Lido di Jesolo,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Jesolo,492
Liettoli,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Campolongo Maggiore,492
Lison,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Portogruaro,492
Livenzuola,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Grisolera,492
Loncuro,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Annone Veneto,492
Losson della Battaglia,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Meolo,492
Lugo,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Campagna Lupia,492
Lughetto,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Campagna Lupia,492
Longo,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Campagna Lupia,492
Lova,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Campagna Lupia,492
Lugugnana,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Portogruaro,492
Maerne,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Martellago,492
Malafesta,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,S. Michele al Tagliamento,492
Marano,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Mira,492
MARCON,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,41,492
MARTELLAGO,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,41,492
Marrugion,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Pramaggiore,492
Mella'ndo,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Pianiga,492
MEOLO,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,42,492
MIRA,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,44,492
MIRANO,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,47,492
Moniego,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Noale,492
Monsolo,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Cona,492
MUSILE DI PIAVE,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,51,492
Musseta,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,S. Donà di Piave,492
NOALE,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,52,492
Noghiera,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Ceggia,492
NOVENTA DI PIAVE,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,54,492
Oltrebrussa,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Annone Veneto,492
Orgnano,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Spinea,492
Oriago,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Mira,492
Palazzetto,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,S. Donà di Piave,492
Paluda,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Grisolera,492
Palu dello Salasi,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Musile,492
Paludello,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Musile,492
Paludello,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Stra,492
Passarella di Sotto,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Jesolo,492
Passarella,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,S. Donà di Piave,492
Pezzolettè,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Cona,492
PIANIGA,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,56,492
Portegandi,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,S. Michele del Quarto,492
PORTOGRUARO,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,57,492
Portovecchio,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Portogruaro,492
Prabello,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Pramaggiore,492
Pra d'Arcà,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Ceggia,492
Pra di Levada,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Ceggia,492
Pradipozzo,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Portogruaro,492
Pradì,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,S. Michel. al Tagliamento,492
PRAMAGGIORE,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,62,492
Pratirotuvi,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,S. Michelè al Tagliamento,492
Premarce,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Campagnogara,492
Pruzzolo,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Campagnogara,492
Revedoli,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Grisolera,492
Rivale,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Pianiga,492
Rivanzanzana,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Ceggia,492
Roheagno,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Salzano,492
Ronche,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Fossalta di Piave,492
Rossignano,Ca­lleva (S. Maria di Sala),Additional Info: DELLA PROVINCIA DI VENEZIA,Spinea,492
