Name,Role,Location,Address,Profession,Additional Info,page
Schenett.ing cav. uff. Giuseppe,Sostituto capo sezione,Ispett. Pte,Fondamenta S. Lucia,,",",61
Bolognin Ing. Carlo,Ispettori Pll,Giurisdizione: Stazioni di Venezia S. Lucia e Venezia Marittima,Fondamenta S. Lucia,,",",61
Servage rag. cav. uff. Tiziano,Ispettori Pll,Giurisdizione: Stazioni di Venezia S. Lucia e Venezia Marittima,Fondamenta S. Lucia,,",",61
Sacco ing. Francesco,Ispettore di ILa classe,Giurisdizione: Stazioni di Venezia S. Lucia e Venezia Marittima,Fondamenta S. Lucia,,",",61
Peretti ing. comm. Ubaldino,Capo della sezione,Ispettore Capo,Fondamenta S. Lucia,,",",61
Frezzini ing cav. uff. Ferdinando,Ispettori Capi,Giurisdizione: Stazioni di Venezia S. Lucia e Venezia Marittima,Fondamenta S. Lucia,,",",61
Padoan ing. cav. uff. Italo,Ispettori Capi,Giurisdizione: Stazioni di Venezia S. Lucia e Venezia Marittima,Fondamenta S. Lucia,,",",61
Ghirotti ing. cav. Giovanni,Ispettori Principali,Giurisdizione: Stazioni di Venezia S. Lucia e Venezia Marittima,Fondamenta S. Lucia,,",",61
Palese ing. cav. uff. Augusto,Ispettori Principali,Giurisdizione: Stazioni di Venezia S. Lucia e Venezia Marittima,Fondamenta S. Lucia,,",",61
Zennari ing. Antonio,Ispettori d. I.a cl.,Giurisdizione: Stazioni di Venezia S. Lucia e Venezia Marittima,Fondamenta S. Lucia,,",",61
Bruno ing. Domenico,Ispettori d. I.a cl.,Giurisdizione: Stazioni di Venezia S. Lucia e Venezia Marittima,Fondamenta S. Lucia,,",",61
Curti ing Giuseppe,Ispettori d. I.a cl.,Giurisdizione: Stazioni di Venezia S. Lucia e Venezia Marittima,Fondamenta S. Lucia,,",",61
Mescacorti ing. Pietro,Ispettori d. I.a cl.,Giurisdizione: Stazioni di Venezia S. Lucia e Venezia Marittima,Fondamenta S. Lucia,,",",61
Fabris dr. Ing. Guido,Capo dell'ufficio,Ispettore Capo,Fondamenta S. Lucia,,",",61
Bianchi dr. ing. Luigi,Ramo I.: Ispettore I. Classe,Giurisdizione: Stazioni di Venezia S. Lucia e Venezia Marittima,Fondamenta S. Lucia,,",",61
Patti dr. ing. Giuseppe,Ramo II: Ispettore 2.a Classe,Giurisdizione: Stazioni di Venezia S. Lucia e Venezia Marittima,Fondamenta S. Lucia,,",",61
Puello dr. ing. Arturo,Ispettore I Classe,Giurisdizione: Stazioni di Venezia S. Lucia e Venezia Marittima,Fondamenta S. Lucia,,",",61
Melis dr. ing. Francesco,Capo I. Riparto,Ispettore II. classe,Fondamenta S. Lucia,,",",61
