Name,Address,Location,Category,Role,Profession,Additional Info,Journal,Notes,Political Party,page_num,source_file,section,civic_num,civic_lett,sestiere_parsed,parish_parsed,sestiere_implied,matched_lat,matched_lon,matched_parish,matched_sestiere,matched_lett,all_doors,match_confidence,match_note,geocoding_tier,location_cleaned
Rova dr. Adriano,San Stae 1957,,,Ragioniere capo,,,,,,44,page_44_semantic.csv,government,1957.0,,SANTA CROCE,,True,45.44159052554339,12.329843461274372,San Cassiano,SANTA CROCE,,,exact_sestiere_implied_from_landmark,"num=1957, sestiere=SANTA CROCE (implied_from_landmark), single door",2,False
Taromba dr. Alessandro,S. Croce Campo dell Lana 690,,,Medico Direttore,,,,,,45,page_45_semantic.csv,government,690.0,,SANTA CROCE,,False,45.44007871016221,12.32244259961908,San Simeone Profeta,SANTA CROCE,,"[{""lett"": """", ""lat"": 45.440079, ""lon"": 12.322443}, {""lett"": ""A"", ""lat"": 45.440076, ""lon"": 12.322464}]",exact_sestiere_main_entrance_direct,"num=690, sestiere=SANTA CROCE (direct), used unlettered row; 2 letter variants exist",2,False
Linzoir dr. Giovanni,S. Croce Campo dell Lana 690,,,Medico aiuto,,,,,,45,page_45_semantic.csv,government,690.0,,SANTA CROCE,,False,45.44007871016221,12.32244259961908,San Simeone Profeta,SANTA CROCE,,"[{""lett"": """", ""lat"": 45.440079, ""lon"": 12.322443}, {""lett"": ""A"", ""lat"": 45.440076, ""lon"": 12.322464}]",exact_sestiere_main_entrance_direct,"num=690, sestiere=SANTA CROCE (direct), used unlettered row; 2 letter variants exist",2,False
Tursi prof. Angiolo,S. Croce Campo dell Lana 690,,,Presidente,,,,,,45,page_45_semantic.csv,government,690.0,,SANTA CROCE,,False,45.44007871016221,12.32244259961908,San Simeone Profeta,SANTA CROCE,,"[{""lett"": """", ""lat"": 45.440079, ""lon"": 12.322443}, {""lett"": ""A"", ""lat"": 45.440076, ""lon"": 12.322464}]",exact_sestiere_main_entrance_direct,"num=690, sestiere=SANTA CROCE (direct), used unlettered row; 2 letter variants exist",2,False
Pancino dr. Giuseppe,S. Croce Campo dell Lana 690,,,Segretario,,,,,,45,page_45_semantic.csv,government,690.0,,SANTA CROCE,,False,45.44007871016221,12.32244259961908,San Simeone Profeta,SANTA CROCE,,"[{""lett"": """", ""lat"": 45.440079, ""lon"": 12.322443}, {""lett"": ""A"", ""lat"": 45.440076, ""lon"": 12.322464}]",exact_sestiere_main_entrance_direct,"num=690, sestiere=SANTA CROCE (direct), used unlettered row; 2 letter variants exist",2,False
Battain dr. Domenico,S. Croce Campo dell Lana 690,,,Direttore Sanitario,,,,,,45,page_45_semantic.csv,government,690.0,,SANTA CROCE,,False,45.44007871016221,12.32244259961908,San Simeone Profeta,SANTA CROCE,,"[{""lett"": """", ""lat"": 45.440079, ""lon"": 12.322443}, {""lett"": ""A"", ""lat"": 45.440076, ""lon"": 12.322464}]",exact_sestiere_main_entrance_direct,"num=690, sestiere=SANTA CROCE (direct), used unlettered row; 2 letter variants exist",2,False
,Campo Tana 2124-c,Castello,,(II),,,,,,49,page_49_semantic.csv,government,2124.0,C,CASTELLO,,False,45.43315032913489,12.35200461462186,San Martino,CASTELLO,,"[{""lett"": """", ""lat"": 45.43315, ""lon"": 12.352005}, {""lett"": ""B"", ""lat"": 45.433151, ""lon"": 12.351962}, {""lett"": ""A"", ""lat"": 45.433153, ""lon"": 12.351933}]",exact_sestiere_main_entrance_direct,"num=2124, sestiere=CASTELLO (direct), used unlettered row; 3 letter variants exist",2,False
,S. Trovasto 1184-B,Dorsoduro,,(V),,,,,,49,page_49_semantic.csv,government,1184.0,B,DORSODURO,,False,45.43174640211488,12.325856539756694,Santi Gervasio e Protasio,DORSODURO,,,exact_sestiere_direct,"num=1184, sestiere=DORSODURO (direct), single door",1,False
,"S. Croce, S. Giacomo dall’Orto 1743",p. II,,Sezioni,,"Sez,  dei canali, ",,,,49,page_49_semantic.csv,government,1743.0,,SANTA CROCE,San Giacomo dell'Orio,False,45.4392755419867,12.332223723400157,San Cassiano,SANTA CROCE,A,"[{""lett"": ""A"", ""lat"": 45.439276, ""lon"": 12.332224}, {""lett"": """", ""lat"": 45.439304, ""lon"": 12.332169}, {""lett"": """", ""lat"": 45.44157, ""lon"": 12.328707}, {""lett"": """", ""lat"": 45.44157, ""lon"": 12.328707}]",approximate_sestiere_first_variant_direct,"num=1743, sestiere=SANTA CROCE (direct), no letter match; used first of 4 variants",3,False
Fiorese cav. uff. Gaetano,S. Silvestro Riva del Vin 1098,S. Silvestro,,Appalto: Società 'Trezza di Verona,Direttore,,,,,50,page_50_semantic.csv,government,1098.0,,,San Silvestro,False,45.43719941555865,12.33365471537797,San Silvestro,SAN POLO,,"[{""lett"": """", ""lat"": 45.437199, ""lon"": 12.333655}, {""lett"": ""A"", ""lat"": 45.437169, ""lon"": 12.33359}, {""lett"": ""B"", ""lat"": 45.437179, ""lon"": 12.33361}]",exact_sestiere_main_entrance_derived_from_parish,"num=1098, sestiere=SAN POLO (derived_from_parish), used unlettered row; 3 letter variants exist",2,False
Parocco Giulio,S. Silvestro Riva del Vin 1098,S. Silvestro,,Appalto: Società 'Trezza di Verona,Segretario,,,,,50,page_50_semantic.csv,government,1098.0,,,San Silvestro,False,45.43719941555865,12.33365471537797,San Silvestro,SAN POLO,,"[{""lett"": """", ""lat"": 45.437199, ""lon"": 12.333655}, {""lett"": ""A"", ""lat"": 45.437169, ""lon"": 12.33359}, {""lett"": ""B"", ""lat"": 45.437179, ""lon"": 12.33361}]",exact_sestiere_main_entrance_derived_from_parish,"num=1098, sestiere=SAN POLO (derived_from_parish), used unlettered row; 3 letter variants exist",2,False
Toscan rag. Luigi,S. Silvestro Riva del Vin 1098,S. Silvestro,,Appalto: Società 'Trezza di Verona,Ragioniere,,,,,50,page_50_semantic.csv,government,1098.0,,,San Silvestro,False,45.43719941555865,12.33365471537797,San Silvestro,SAN POLO,,"[{""lett"": """", ""lat"": 45.437199, ""lon"": 12.333655}, {""lett"": ""A"", ""lat"": 45.437169, ""lon"": 12.33359}, {""lett"": ""B"", ""lat"": 45.437179, ""lon"": 12.33361}]",exact_sestiere_main_entrance_derived_from_parish,"num=1098, sestiere=SAN POLO (derived_from_parish), used unlettered row; 3 letter variants exist",2,False
Zanetti Federico,S. Silvestro Riva del Vin 1098,S. Silvestro,,Appalto: Società 'Trezza di Verona,Ispettore Contabile,,,,,50,page_50_semantic.csv,government,1098.0,,,San Silvestro,False,45.43719941555865,12.33365471537797,San Silvestro,SAN POLO,,"[{""lett"": """", ""lat"": 45.437199, ""lon"": 12.333655}, {""lett"": ""A"", ""lat"": 45.437169, ""lon"": 12.33359}, {""lett"": ""B"", ""lat"": 45.437179, ""lon"": 12.33361}]",exact_sestiere_main_entrance_derived_from_parish,"num=1098, sestiere=SAN POLO (derived_from_parish), used unlettered row; 3 letter variants exist",2,False
Canzoso Gino,S. Silvestro Riva del Vin 1098,S. Silvestro,,Appalto: Società 'Trezza di Verona,Cassiere,,,,,50,page_50_semantic.csv,government,1098.0,,,San Silvestro,False,45.43719941555865,12.33365471537797,San Silvestro,SAN POLO,,"[{""lett"": """", ""lat"": 45.437199, ""lon"": 12.333655}, {""lett"": ""A"", ""lat"": 45.437169, ""lon"": 12.33359}, {""lett"": ""B"", ""lat"": 45.437179, ""lon"": 12.33361}]",exact_sestiere_main_entrance_derived_from_parish,"num=1098, sestiere=SAN POLO (derived_from_parish), used unlettered row; 3 letter variants exist",2,False
Jandi Umberto,S. Silvestro Riva del Vin 1098,S. Silvestro,,Appalto: Società 'Trezza di Verona,Ispettore Capo,,,,,50,page_50_semantic.csv,government,1098.0,,,San Silvestro,False,45.43719941555865,12.33365471537797,San Silvestro,SAN POLO,,"[{""lett"": """", ""lat"": 45.437199, ""lon"": 12.333655}, {""lett"": ""A"", ""lat"": 45.437169, ""lon"": 12.33359}, {""lett"": ""B"", ""lat"": 45.437179, ""lon"": 12.33361}]",exact_sestiere_main_entrance_derived_from_parish,"num=1098, sestiere=SAN POLO (derived_from_parish), used unlettered row; 3 letter variants exist",2,False
Tempesta Costantino,S. Silvestro Riva del Vin 1098,S. Silvestro,,Appalto: Società 'Trezza di Verona,Vice Ispettore,,,,,50,page_50_semantic.csv,government,1098.0,,,San Silvestro,False,45.43719941555865,12.33365471537797,San Silvestro,SAN POLO,,"[{""lett"": """", ""lat"": 45.437199, ""lon"": 12.333655}, {""lett"": ""A"", ""lat"": 45.437169, ""lon"": 12.33359}, {""lett"": ""B"", ""lat"": 45.437179, ""lon"": 12.33361}]",exact_sestiere_main_entrance_derived_from_parish,"num=1098, sestiere=SAN POLO (derived_from_parish), used unlettered row; 3 letter variants exist",2,False
Col Gr. uff. Cesar Timossi,"S. Angelo, Corte dell'Albero, 3880",S. Silvestro,,Appalto: Società 'Trezza di Verona,,,,,,50,page_50_semantic.csv,government,3880.0,,SAN MARCO,L'Angelo,True,45.43537575071917,12.33044502869534,Santo Stefano,SAN MARCO,,,exact_sestiere_implied_from_landmark,"num=3880, sestiere=SAN MARCO (implied_from_landmark), single door",2,False
Avv. Arduino Ceruti,"S. Angelo, Corte dell'Albero, 3880",S. Silvestro,,Appalto: Società 'Trezza di Verona,,,,,,50,page_50_semantic.csv,government,3880.0,,SAN MARCO,L'Angelo,True,45.43537575071917,12.33044502869534,Santo Stefano,SAN MARCO,,,exact_sestiere_implied_from_landmark,"num=3880, sestiere=SAN MARCO (implied_from_landmark), single door",2,False
Dr. Armando Settentrini,"S. Angelo, Corte dell'Albero, 3880",S. Silvestro,,Appalto: Società 'Trezza di Verona,,,,,,50,page_50_semantic.csv,government,3880.0,,SAN MARCO,L'Angelo,True,45.43537575071917,12.33044502869534,Santo Stefano,SAN MARCO,,,exact_sestiere_implied_from_landmark,"num=3880, sestiere=SAN MARCO (implied_from_landmark), single door",2,False
Dr. Ing. Mario Pavanini,"S. Angelo, Corte dell'Albero, 3880",S. Silvestro,,Appalto: Società 'Trezza di Verona,,,,,,50,page_50_semantic.csv,government,3880.0,,SAN MARCO,L'Angelo,True,45.43537575071917,12.33044502869534,Santo Stefano,SAN MARCO,,,exact_sestiere_implied_from_landmark,"num=3880, sestiere=SAN MARCO (implied_from_landmark), single door",2,False
Dr. Piero Pellegrinetti,"S. Angelo, Corte dell'Albero, 3880",S. Silvestro,,Appalto: Società 'Trezza di Verona,,,,,,50,page_50_semantic.csv,government,3880.0,,SAN MARCO,L'Angelo,True,45.43537575071917,12.33044502869534,Santo Stefano,SAN MARCO,,,exact_sestiere_implied_from_landmark,"num=3880, sestiere=SAN MARCO (implied_from_landmark), single door",2,False
Dr. Ing. Franco Gususo,"S. Angelo, Corte dell'Albero, 3880",S. Silvestro,,Appalto: Società 'Trezza di Verona,,,,,,50,page_50_semantic.csv,government,3880.0,,SAN MARCO,L'Angelo,True,45.43537575071917,12.33044502869534,Santo Stefano,SAN MARCO,,,exact_sestiere_implied_from_landmark,"num=3880, sestiere=SAN MARCO (implied_from_landmark), single door",2,False
Dr. Comm. Francesco Mussi,"S. Angelo, Corte dell'Albero, 3880",S. Silvestro,,Appalto: Società 'Trezza di Verona,,,,,,50,page_50_semantic.csv,government,3880.0,,SAN MARCO,L'Angelo,True,45.43537575071917,12.33044502869534,Santo Stefano,SAN MARCO,,,exact_sestiere_implied_from_landmark,"num=3880, sestiere=SAN MARCO (implied_from_landmark), single door",2,False
Asperti comm. rag. Pietro,"S. Angelo, Corte dell'Albero, 3880",S. Silvestro,,Appalto: Società 'Trezza di Verona,Direttore,,,,,50,page_50_semantic.csv,government,3880.0,,SAN MARCO,L'Angelo,True,45.43537575071917,12.33044502869534,Santo Stefano,SAN MARCO,,,exact_sestiere_implied_from_landmark,"num=3880, sestiere=SAN MARCO (implied_from_landmark), single door",2,False
Dr. Giovanni Vianello,"S. Angelo, Corte dell'Albero, 3880",S. Silvestro,,Appalto: Società 'Trezza di Verona,Vice Direttore,,,,,50,page_50_semantic.csv,government,3880.0,,SAN MARCO,L'Angelo,True,45.43537575071917,12.33044502869534,Santo Stefano,SAN MARCO,,,exact_sestiere_implied_from_landmark,"num=3880, sestiere=SAN MARCO (implied_from_landmark), single door",2,False
Dr. Ing. Emmanuele Bonzio,"S. Angelo, Corte dell'Albero, 3880",S. Silvestro,,Appalto: Società 'Trezza di Verona,Vice Direttore Amministrativo,,,,,50,page_50_semantic.csv,government,3880.0,,SAN MARCO,L'Angelo,True,45.43537575071917,12.33044502869534,Santo Stefano,SAN MARCO,,,exact_sestiere_implied_from_landmark,"num=3880, sestiere=SAN MARCO (implied_from_landmark), single door",2,False
Fattovich Dr. Silvio,"S. Angelo, Corte dell'Albero, 3880",S. Silvestro,,Appalto: Società 'Trezza di Verona,V. Direttore Tecnico,,,,,50,page_50_semantic.csv,government,3880.0,,SAN MARCO,L'Angelo,True,45.43537575071917,12.33044502869534,Santo Stefano,SAN MARCO,,,exact_sestiere_implied_from_landmark,"num=3880, sestiere=SAN MARCO (implied_from_landmark), single door",2,False
Iofoco cap. cav. Attilio,"S. Angelo, Corte dell'Albero, 3880",S. Silvestro,,Appalto: Società 'Trezza di Verona,Capo movimento,,,,,50,page_50_semantic.csv,government,3880.0,,SAN MARCO,L'Angelo,True,45.43537575071917,12.33044502869534,Santo Stefano,SAN MARCO,,,exact_sestiere_implied_from_landmark,"num=3880, sestiere=SAN MARCO (implied_from_landmark), single door",2,False
Dr. Ing. Luigi Canal,"S. Angelo, Corte dell'Albero, 3880",S. Silvestro,,Appalto: Società 'Trezza di Verona,Capo Cantiere,,,,,50,page_50_semantic.csv,government,3880.0,,SAN MARCO,L'Angelo,True,45.43537575071917,12.33044502869534,Santo Stefano,SAN MARCO,,,exact_sestiere_implied_from_landmark,"num=3880, sestiere=SAN MARCO (implied_from_landmark), single door",2,False
,"S. Marco, Riva Schiavoni 4129",S. Silvestro,,Appalto: Società 'Trezza di Verona,Ufficio Deposito,Uff. Informazioni,,,,51,page_51_semantic.csv,government,4129.0,,SAN MARCO,San Silvestro,False,45.43606747725688,12.334378811191463,San Luca,SAN MARCO,,,exact_sestiere_direct,"num=4129, sestiere=SAN MARCO (direct), single door",1,False
,"S. Marco, Riva Schiavoni 4129",S. Silvestro,,Appalto: Società 'Trezza di Verona,Cantiero Navale,S. Elena,,,,51,page_51_semantic.csv,government,4129.0,,SAN MARCO,San Silvestro,False,45.43606747725688,12.334378811191463,San Luca,SAN MARCO,,,exact_sestiere_direct,"num=4129, sestiere=SAN MARCO (direct), single door",1,False
Gestito dalla Ditta A. L.,San Marco 4102,S. Silvestro,,Appalto: Società 'Trezza di Verona,SERVIZIO COMUNALE DELLE PUBBLICHE AFFISSIONI,P. I.,,,,51,page_51_semantic.csv,government,4102.0,,SAN MARCO,San Silvestro,False,45.43584343625279,12.334244191767214,San Luca,SAN MARCO,,,exact_sestiere_direct,"num=4102, sestiere=SAN MARCO (direct), single door",1,False
Ing. Lorenzo Merlin,"Castello 4779, Venezia",,,Membro per l'industria,ENTE PROVINCIALE PER IL TURISMO DI VENEZIA,,,,,52,page_52_semantic.csv,government,4779.0,,CASTELLO,,False,45.436297485025406,12.341139330125465,San Zaccaria,CASTELLO,,,exact_sestiere_direct,"num=4779, sestiere=CASTELLO (direct), single door",1,False
Dr. Antonio Ca' Zorzi,"S. Polo 2766, Venezia",,,Membro per l'agricoltura,ENTE PROVINCIALE PER IL TURISMO DI VENEZIA,,,,,52,page_52_semantic.csv,government,2766.0,,SAN POLO,,False,45.43618310662337,12.329015834575252,Santa Maria Gloriosa,SAN POLO,,"[{""lett"": """", ""lat"": 45.436183, ""lon"": 12.329016}, {""lett"": ""A"", ""lat"": 45.436196, ""lon"": 12.328856}]",exact_sestiere_main_entrance_direct,"num=2766, sestiere=SAN POLO (direct), used unlettered row; 2 letter variants exist",2,False
Dr. Guido Calò,"San Marco 1879, Venezia",,,Membro per il lavoro,ENTE PROVINCIALE PER IL TURISMO DI VENEZIA,,,,,52,page_52_semantic.csv,government,1879.0,,SAN MARCO,,False,45.434547420430135,12.33415091549839,Santa Maria Zobenigo,SAN MARCO,,,exact_sestiere_direct,"num=1879, sestiere=SAN MARCO (direct), single door",1,False
Dr. Antonio Ca' Zorzi,"San Marco 1879, Venezia",,,Appalto: Società 'Trezza di Verona,"Presidente, ",,,,,52,page_52_semantic.csv,government,1879.0,,SAN MARCO,,False,45.434547420430135,12.33415091549839,Santa Maria Zobenigo,SAN MARCO,,,exact_sestiere_direct,"num=1879, sestiere=SAN MARCO (direct), single door",1,False
Dr. Luigi Pagani,Castello numero 3809,,,Appalto: Società 'Trezza di Verona,"V. Presidente, ",,,,,52,page_52_semantic.csv,government,3809.0,,CASTELLO,,False,45.43442534372807,12.34658868453206,San Giovanni Bragora,CASTELLO,,,exact_sestiere_direct,"num=3809, sestiere=CASTELLO (direct), single door",1,False
Avv. Celeste Bastianetto,Campo San Angelo 3832,,,Appalto: Società 'Trezza di Verona,ENTE PROVINCIALE PER IL TURISMO DI VENEZIA,,,,,52,page_52_semantic.csv,government,3832.0,,,L'Angelo,False,45.435530169770175,12.32574094456086,San Pantaleone,DORSODURO,,,exact_sestiere_derived_from_parish,"num=3832, sestiere=DORSODURO (derived_from_parish), single door",2,False
Sig. Narciso Bianchin,Campo San Angelo 3832,,,Appalto: Società 'Trezza di Verona,Membro,,,,,52,page_52_semantic.csv,government,3832.0,,,L'Angelo,False,45.435530169770175,12.32574094456086,San Pantaleone,DORSODURO,,,exact_sestiere_derived_from_parish,"num=3832, sestiere=DORSODURO (derived_from_parish), single door",2,False
Dr. Gio B. Casellati,S. Marco 3955,,,Appalto: Società 'Trezza di Verona,ENTE PROVINCIALE PER IL TURISMO DI VENEZIA,,,,,52,page_52_semantic.csv,government,3955.0,,SAN MARCO,,False,45.43566134931556,12.332567595352494,San Luca,SAN MARCO,,,exact_sestiere_direct,"num=3955, sestiere=SAN MARCO (direct), single door",1,False
Dr. Antonio Giordani,S. Marco 1757,,,Appalto: Società 'Trezza di Verona,ENTE PROVINCIALE PER IL TURISMO DI VENEZIA,,,,,52,page_52_semantic.csv,government,1757.0,,SAN MARCO,,False,45.4346959808007,12.336053939073016,San Marco,SAN MARCO,,,exact_sestiere_direct,"num=1757, sestiere=SAN MARCO (direct), single door",1,False
Prof. Enrico Marchettano,S. Marco 2207,,,Appalto: Società 'Trezza di Verona,ENTE PROVINCIALE PER IL TURISMO DI VENEZIA,,,,,52,page_52_semantic.csv,government,2207.0,,SAN MARCO,,False,45.43197665579209,12.334886550847106,Santa Maria Zobenigo,SAN MARCO,,,exact_sestiere_direct,"num=2207, sestiere=SAN MARCO (direct), single door",1,False
