profession,frequency,cluster_id,category_name,likely_ad_propagation
Vice Direttore Manifattura Tabacchi,1,2,Administration & directorship,False
V. Direttore del A. C.N.I.L.,1,2,Administration & directorship,False
Direttore aggiunto Banca di Napoli,1,2,Administration & directorship,False
Dirigente di aziende,1,2,Administration & directorship,False
"Direttto: Prof. dr. ing.,",1,2,Administration & directorship,False
"Primo Ragioniere con funzioni di Direttore Amministrativo, ",1,2,Administration & directorship,False
Direttore dell’Osservatorio,1,2,Administration & directorship,False
 Direttore,1,2,Administration & directorship,False
Mdico-Direttore,1,2,Administration & directorship,False
Presidente del Casinò di Commercio,1,2,Administration & directorship,False
"Direttore, ",1,2,Administration & directorship,False
Personale degli Uffici - Segreteria della Sezione di Economia e Commercio,4,3,Economic administration (academic),False
"CAMERA DI COMMERCIO,  INDUSTRIA ED AGRICOLTURA",4,3,Provincial and state institutions,False
Economo,3,3,Administration & directorship,False
Geografia economica,3,3,Economic administration (academic),False
Economia politica,3,3,Economic administration (academic),False
CASINO DI COMMERCIO,3,3,Civic associations & clubs,False
commercialista,2,3,Legal & accounting,False
Politica economica e finanziaria,2,3,Economic administration (academic),False
importazioni ed esportazioni varie,1,3,General goods trade,False
Economo Provinciale,1,3,Administration & directorship,False
Ass. Commercianti,1,3,Economic administration (academic),False
commercio,1,3,General goods trade,False
 importazioni ed esportazioni varie,1,3,Economic administration (academic),False
Uff. Prov. Statistica Economica Agricola,1,3,Economic administration (academic),False
economo,1,3,Administration & directorship,False
Economato,1,3,Economic administration (academic),False
Storia economica,1,3,Economic administration (academic),False
Tecnica industriale e commerciale,1,3,Economic administration (academic),False
Economie e politica agraria,1,3,Economic administration (academic),False
Tecnica del commercio internazionale,1,3,Economic administration (academic),False
Tecnica bancaria e professionale,1,3,Economic administration (academic),False
Merceologia,1,3,Economic administration (academic),False
Statistica economica,1,3,Economic administration (academic),False
Storia economica (incar.),1,3,Economic administration (academic),False
Merceologia (id.),1,3,Economic administration (academic),False
Economia politica (id.),1,3,Economic administration (academic),False
Storia delle dottrine economiche,1,3,Economic administration (academic),False
Tecnica commerciale e bancaria,1,3,Economic administration (academic),False
"Ragioneria generale applicata, Economia aziendale",1,3,Economic administration (academic),False
Laboratorio di Merceologia e Museo merceologico,1,3,Economic administration (academic),False
Laboratorio di Geografia economica,1,3,Economic administration (academic),False
Laboratorio di Economia politica — Francesco Ferrera,1,3,Economic administration (academic),False
Laboratorio di Politica economica e finanziari,1,3,Economic administration (academic),False
Segretario-Economo,1,3,Economic administration (academic),False
Esportazioni,1,3,Economic administration (academic),False
ISTITUTO NAZIONALE PER IL COMMERCIO ESTERO,1,3,Economic administration (academic),False
segretario Istituto Univers. di Economia e Commercio,1,3,Economic administration (academic),False
scultore,8,4,Visual and decorative arts,False
"di Elementi di architettura e rilievo dei monumenti, ",2,4,Visual and decorative arts,False
Scultore,1,4,Visual and decorative arts,False
architetto,1,4,Visual and decorative arts,False
"di Scienza delle costruzioni, ",1,4,Visual and decorative arts,False
"per Tecnologia dei materiali e tecnica delle costruzioni, ",1,4,Visual and decorative arts,False
"per Caratteri stilistici e costruttivi dei monumenti, ",1,4,Visual and decorative arts,False
"per Storia dell'arte e storia e stili dell'arch., ",1,4,Visual and decorative arts,False
"per Architettura degli interni, arredamento e decorazione, ",1,4,Visual and decorative arts,False
"per Applicazioni di geometria descrittiva, Elementi di composizione, ",1,4,Visual and decorative arts,False
"per Igiene edilizia, ",1,4,Visual and decorative arts,False
"per Composizione architettonica, ",1,4,Visual and decorative arts,False
"per Restauro dei monumenti, ",1,4,Visual and decorative arts,False
"per Plastica ornamentale, ",1,4,Visual and decorative arts,False
"per Decorazione, ",1,4,Visual and decorative arts,False
"per Geometria descrittiva ed elementi di protettiva, ",1,4,Visual and decorative arts,False
"per Elementi costruttivi, ",1,4,Visual and decorative arts,False
"per Carattei; distributivi degli edifici, Urbanistica, ",1,4,Visual and decorative arts,False
"per Disegno dal vero, ",1,4,Visual and decorative arts,False
"di Composizione architettonica, ",1,4,Visual and decorative arts,False
di Scienza delle costruzioni,1,4,Visual and decorative arts,False
Scultura,1,4,Visual and decorative arts,False
materiali da costruzione,1,4,Visual and decorative arts,False
Architettura,1,4,Visual and decorative arts,False
Architettura disegno geometrico e prospettiva,1,4,Visual and decorative arts,False
Ingegneri,32,5,Technical/engineering professions,False
Geometra,23,5,Technical/engineering professions,False
Ragioniere,22,5,Legal & accounting,False
Figura disegnata,4,5,Technical/engineering professions,False
cavaliere,2,5,Technical/engineering professions,False
I. Ragioniere,2,5,Legal & accounting,False
esperto elettrotecnico,2,5,Technical/engineering professions,False
Ornato disegnato,2,5,Technical/engineering professions,False
Figura e ornato modellato,2,5,Technical/engineering professions,False
Lavoratore,1,5,Technical/engineering professions,False
Perito industriale,1,5,Technical/engineering professions,False
ragioniere,1,5,Technical/engineering professions,False
di Indri Giovanni,1,5,Technical/engineering professions,False
industirale,1,5,Technical/engineering professions,False
Piedi,1,5,Technical/engineering professions,False
Corpo del Genio Civile,1,5,Technical/engineering professions,False
Insegnante,1,5,Technical/engineering professions,False
Incisioni,1,5,Technical/engineering professions,False
Ingegn. Primo n° 7,1,5,Technical/engineering professions,False
Orologeria,1,5,Technical/engineering professions,False
 Incisioni,1,5,Technical/engineering professions,False
gerogi alì mentari (dett.),1,5,Technical/engineering professions,False
Orologiaio,1,5,Technical/engineering professions,False
Fotografo,1,5,Technical/engineering professions,False
Sarto,1,5,Technical/engineering professions,False
Ingegnero,1,5,Technical/engineering professions,False
del Genio Civile,1,5,Technical/engineering professions,False
Geometra principale del Genio Civile,1,5,Technical/engineering professions,False
maestro,1,5,Technical/engineering professions,False
ingegnere,1,5,Technical/engineering professions,False
"per Matere i radiche, ",1,5,Technical/engineering professions,False
"Cartotecnica, Tipografa",1,5,Technical/engineering professions,False
photoengraving,1,5,Technical/engineering professions,False
aggiusta maturittima rimorchiatore,1,5,Technical/engineering professions,False
esperto scienze guerriere,1,5,Technical/engineering professions,False
Tecniche dell'incisione,1,5,Technical/engineering professions,False
Ornato modellato,1,5,Technical/engineering professions,False
CIMITERI COMUNALI,139,6,Government offices / State administration,False
Concessionario esclusivo: Rag. Cleto Rossini,124,6,Sales representatives / Commercial agents,False
MEDICI DELLA PROVINCIA,120,6,Medical professions,False
AFFITTAVOLI,54,6,Real estate & rentals,False
Agenzia P. Bortoluzzi,49,6,Sales representatives / Commercial agents,False
PARROCCHIE E SUCCURSALI,29,6,Religious & civic institutions,False
Agenzia Nazionale Stampa Associata,18,6,"Institutions, press and political parties",False
numero. 920,17,6,Address fragments / non-profession,True
OPERA NAZIONALE PER LA PROTEZIONE E ASSISTENZA DEGLI INVALIDI DI GUERRA,16,6,Provincial and state institutions,False
Consolati,13,6,Government offices / State administration,False
IL MATTINO DEL POPOLO,11,6,"Institutions, press and political parties",False
Vanoni Ezio,10,6,Address fragments / non-profession,False
avv.,8,6,Legal & accounting,True
CONSORZIO DI BONIFICA DESE SUPERIORE,7,6,Provincial and state institutions,False
Category: Provvianza e Credito,4,6,Economic administration (academic),False
Ospedale Civile,3,6,Medical professions,False
Supplente,3,6,Education,False
QUERINI STAMPALIA,2,6,Civic associations & clubs,False
Osp. Civile,2,6,Medical professions,False
Soc. AGESPIDE,2,6,Government offices / State administration,False
Soc. in N. Coll. Filippo Campesan & F.llì,2,6,Government offices / State administration,False
", MACELLO COMUNALE",2,6,Government offices / State administration,False
presso ditta 'Jessurum',1,6,Textile and tailoring,False
"Assistenza infermi a domicilio,  diurna e notturna.",1,6,Government offices / State administration,False
presso Lega Reg.,1,6,Civic associations & clubs,False
IspetL Sanità,1,6,Government offices / State administration,False
dirett. Cro-nici,1,6,Government offices / State administration,False
Osp. Civ.,1,6,Government offices / State administration,False
loc. Gaggio,1,6,Government offices / State administration,False
Riceve dalle ore 15 alle ore 18,1,6,Government offices / State administration,False
"Via XXII, marzo",1,6,Address fragments / non-profession,False
Surrogati,1,6,Government offices / State administration,False
Alessandro e Auiorio,1,6,Government offices / State administration,False
"Uff. Supelivo - Addetto, Legione Ferr. della Guardia di Finanza",1,6,Government offices / State administration,False
"Di vetterti Aumn, Istibuto Prov. degli Esposanti",1,6,Government offices / State administration,False
"Velluti, Soprarizzo, Broccati, Damascoti Per Ammobramento, Chiese Passamenterie",1,6,Government offices / State administration,False
Ass. Naz. Combattenti,1,6,Government offices / State administration,False
Forossitti,1,6,Government offices / State administration,False
P.le Stazione,1,6,Address fragments / non-profession,False
gestione SPES,1,6,Government offices / State administration,False
 Noleggi,1,6,Government offices / State administration,False
Via F.lli Bandierine,1,6,Government offices / State administration,False
Via Galuppi,1,6,Government offices / State administration,False
Via Spalti,1,6,Government offices / State administration,False
Comandante Comando Gruppo Agenti P. Sicurezza,1,6,Government offices / State administration,False
Uff. pagat. Legione Territ. Guardia di Finanza,1,6,Government offices / State administration,False
Ferrovie dello Stato,1,6,Government offices / State administration,False
ved. Bianchi,1,6,Government offices / State administration,False
 della Prev. Sociale,1,6,Government offices / State administration,False
pres Lega R:9,1,6,Government offices / State administration,False
Banca Popolare di Novara,1,6,Government offices / State administration,False
Addetto Sviarda Naobile,1,6,Government offices / State administration,False
ed L. Merline e C.,1,6,Government offices / State administration,False
Ferrovie de lo Stato,1,6,Government offices / State administration,False
Cimiteri Comunali,1,6,Government offices / State administration,False
Gazzera Alta 158,1,6,Government offices / State administration,False
Cannareguo 1984-85.,1,6,Government offices / State administration,False
Ass. dei Commercianti,1,6,Government offices / State administration,False
Dirett. Macello Comunale,1,6,Government offices / State administration,False
Sindaco Assist. Naz. Combattenti,1,6,Government offices / State administration,False
Altri Stazione,1,6,Government offices / State administration,False
succ. di Gaio Ernengildo,1,6,Government offices / State administration,False
Soc. per Az. Rossi Tranquillo,1,6,Government offices / State administration,False
esplorug pozzi neri,1,6,Government offices / State administration,False
 Invest. Legione Territ. Guardia di Finanza,1,6,Government offices / State administration,False
Ispett. Sanità,1,6,Government offices / State administration,False
Ufficci Marshe,1,6,Government offices / State administration,False
 Camera ricorso Legione Territ. Guardia di Finanza,1,6,Government offices / State administration,False
Ispett. Reg.,1,6,Government offices / State administration,False
Ass. Naz . Reduci,1,6,Government offices / State administration,False
 Uff. Regionale di Coordinamento,1,6,Government offices / State administration,False
pozzî niedai,1,6,Government offices / State administration,False
"Uff. Stazione di Cura,  Soggiorno,  Turismo",1,6,Government offices / State administration,False
morale e sacra pastorale,1,6,Government offices / State administration,False
 Traslochi,1,6,Government offices / State administration,False
Dursto Militare,1,6,Government offices / State administration,False
Succ. a G. B. Trapolino,1,6,Government offices / State administration,False
gestione tCSAn,1,6,Government offices / State administration,False
Maggiore di P.S. in S.P.E.,1,6,Government offices / State administration,False
Medicina generale,217,7,Medical professions,False
Farmacista,123,7,Medical professions,False
Farmacisti,46,7,Medical professions,False
Veterinario,27,7,Medical professions,False
Gabinettl dentistici,21,7,Medical professions,False
medicina generale,15,7,Medical professions,False
ostetrica,7,7,Medical professions,False
farmacista,5,7,Medical professions,False
dottore,3,7,Medical professions,False
dr.,3,7,Medical professions,False
Medico,2,7,Medical professions,False
"Dott. Medicina,",2,7,Medical professions,False
dentista,2,7,Medical professions,False
medico chirurgo,2,7,Medical professions,False
MEDICO CHIRURGO,1,7,Medical professions,False
Specialista Malattie Pelle e Veneree,1,7,Medical professions,False
Medico Chirurgo,1,7,Medical professions,False
"Medicina interna, Specialista Malattie Polmonari",1,7,Medical professions,False
Medicina Interna,1,7,Medical professions,False
Docente malattie del bambini,1,7,Medical professions,False
 Medio acg. dr. Ulisse Camalfi. Consulente ordinario dr. Tancredi Cortei,1,7,Medical professions,False
Clinica,1,7,Medical professions,False
farmacia,1,7,Medical professions,False
"Gr. uff, dr. arch., ",1,7,Medical professions,False
Medico Chirurgo Ostetrico,1,7,Medical professions,False
Specialista Malattie Lattanti e Bambini,1,7,Medical professions,False
dott.,1,7,Medical professions,False
Medicina Generale,1,7,Medical professions,False
medico pediatra,1,7,Medical professions,False
colonnello medico,1,7,Medical professions,False
Anatomia,1,7,Medical professions,False
Arciprete-parroco,13,8,Religious & civic institutions,False
professore,5,8,Religious & civic institutions,False
vicario,3,8,Religious & civic institutions,False
Parroco,3,8,Religious & civic institutions,False
", MUNICIPIO",3,8,Religious & civic institutions,False
Deputato,2,8,Religious & civic institutions,False
Assistente,2,8,Religious & civic institutions,False
Sindaco,2,8,Religious & civic institutions,False
Rettore,2,8,Religious & civic institutions,False
Deputato dell'Amministrazione della Provincia,2,8,Religious & civic institutions,False
parroco,2,8,Religious & civic institutions,False
" Titolare Procuratore, ",2,8,Religious & civic institutions,False
"Primo Assistente, ",1,8,Religious & civic institutions,False
Sovrintendente,1,8,Religious & civic institutions,False
"Ispettore Onorario, prof. Amedeo Gottardi",1,8,Governance and leadership titles,False
deputato Amminist. della Provincia,1,8,Religious & civic institutions,False
Ispettore Istituto Aut. per le case popolari,1,8,Provincial and state institutions,False
Professore,1,8,Religious & civic institutions,False
Conduttore,1,8,Religious & civic institutions,False
soprintendente,1,8,Religious & civic institutions,False
Segretario Ispet. Ispt. Circoscrizione Doganale,1,8,Religious & civic institutions,False
presidi,1,8,Religious & civic institutions,False
Vicario S. Andrea Apostolo,1,8,Religious & civic institutions,False
Vice Ispet. di Zona,1,8,Religious & civic institutions,False
Prosindaco del Municipio,1,8,Religious & civic institutions,False
Assistente del Genio Civile,1,8,Religious & civic institutions,False
Primo Segretario Uffici Centrali dell'Amministrazione della Provincia,1,8,Religious & civic institutions,False
"Conservatore, ",1,8,Religious & civic institutions,False
Sezioni Provinciali Proprietari Conduttori,1,8,Religious & civic institutions,False
Proprietari con beni affittati,1,8,Religious & civic institutions,False
Affittuari Conduttori,1,8,Religious & civic institutions,False
Membro effettivo; Commissario straordinario per la Presidenza,1,8,Religious & civic institutions,False
Canonici residenziali (arcidiacono prima dignità),1,8,Religious & civic institutions,False
(interno Municipio),1,8,Religious & civic institutions,False
V. Presidente Ass. Inquilini e Senza Tetto,1,8,Religious & civic institutions,False
 Titolare Procuratore,1,8,Religious & civic institutions,False
Sovraintendente,1,8,Religious & civic institutions,False
Amministratore,1,8,Religious & civic institutions,False
Vice Prefetto ispett.,1,8,Religious & civic institutions,False
V. Prefetto Ispett.,1,8,Religious & civic institutions,False
Vice Prefetto Ispett.,1,8,Religious & civic institutions,False
ACCADEMIA di Belle Arti e Liceo Artistico,13,9,Education,False
SCUOLA GRANDE DI SAN ROCCO,4,9,Religious & civic institutions,False
Educazione fisica,3,9,Education,False
Laboratorio Scuola per Falegnami,1,9,Education,False
Scuola: « G. Gozzi »,1,9,Education,False
Scuola: « Giacinto Gallina »,1,9,Education,False
Scuola: S. Maria Formosa,1,9,Education,False
Scuola: Luigi Cadorna,1,9,Education,False
Scuola Michele Renier,1,9,Education,False
Scuola Armando Diaz,1,9,Education,False
Scuola Alfredo Oriani,1,9,Education,False
Scuola A. Scarsellini,1,9,Education,False
Scuola E. De Amicis,1,9,Education,False
Scuola Diedo,1,9,Education,False
Scuola Giudecca,1,9,Education,False
Scuola Marghera,1,9,Education,False
Scuola Catene,1,9,Education,False
Scuola Villabona,1,9,Education,False
Scuola Chirignago,1,9,Education,False
Scuola Asseggiano,1,9,Education,False
Scuola Ca Emiliani,1,9,Education,False
Scuola Malcontenta,1,9,Education,False
Scuola Carpenedo,1,9,Education,False
Scuola « Ugo Foscolo »,1,9,Education,False
SCUOLA MAGISTRALE RICONOSCIUTA,1,9,Education,False
SCUOLA MEDIA PARIFICATA,1,9,Education,False
COLLEGIO ARMENO « M. RAPHAEL »,1,9,Education,False
Accademia di Belle Arti,1,9,Education,False
Procuratore della Scuola Mer-letti di Murano,1,9,Education,False
Insegnante Accademia di Belle Arti,1,9,Education,False
Scuola Infermiere della Croce Rossa Italiana,1,9,Education,False
SCUOLA MERLETTI DI BURANO REGINA ELENA,1,9,Education,False
SCUOLA ARICCONFRATERNITA DI SAN CRISTOFORO E COMPAGNIA DELLA MISERICORDIA,1,9,Education,False
"Scuole ginnasiali e Liceo classico, Istituto tecnico industriale",1,9,Education,False
"Istituto Coletti con scuole per meccanici, falegnami-calzolai",1,9,Education,False
MACCHINE PER SCRIVERE - DUPLICATORI - ACCESSORI,385,10,Office & mechanical equipment (ad-dominated),False
Macchine per scrivere - Calcolatrici - Duplicatori,362,10,Office & mechanical equipment (ad-dominated),False
Duplicatori,51,10,Office & mechanical equipment (ad-dominated),False
Forniture compiete MOBILI e ACCESSORI per UFFICIO,46,10,Office & mechanical equipment (ad-dominated),False
BICROMIE TRICROMIE FOTOLITO,19,10,Visual and decorative arts,False
 filati e affini,19,10,Office & mechanical equipment (ad-dominated),False
dettaglio,9,10,General retail shops,False
Category: Vetro e Ceramica,5,10,Office & mechanical equipment (ad-dominated),False
 filati,4,10,Office & mechanical equipment (ad-dominated),False
 giornali,3,10,Office & mechanical equipment (ad-dominated),False
filati e affini,3,10,Office & mechanical equipment (ad-dominated),False
 affini (vendita),3,10,Office & mechanical equipment (ad-dominated),False
 confezioni,3,10,Office & mechanical equipment (ad-dominated),False
GABINETTI DENTISTICI,2,10,Medical professions,False
filati,2,10,Office & mechanical equipment (ad-dominated),False
rivendita,2,10,General retail shops,False
tessuti filati,2,10,Office & mechanical equipment (ad-dominated),False
 riproduzioni ed oggetti artistici,2,10,Office & mechanical equipment (ad-dominated),False
 articoli da viaggio,2,10,Office & mechanical equipment (ad-dominated),False
 noleggio riparazioni),2,10,Office & mechanical equipment (ad-dominated),False
 giocattoli,2,10,Office & mechanical equipment (ad-dominated),False
 Caccia e Pesca,1,10,Office & mechanical equipment (ad-dominated),False
pittrici,1,10,Office & mechanical equipment (ad-dominated),False
 cicli e accessori,1,10,Office & mechanical equipment (ad-dominated),False
 vernici,1,10,Office & mechanical equipment (ad-dominated),False
 spec. Vernizione,1,10,Office & mechanical equipment (ad-dominated),False
 tessuti,1,10,Office & mechanical equipment (ad-dominated),False
corredi,1,10,Textile and tailoring,False
stuccchi edile,1,10,Office & mechanical equipment (ad-dominated),False
uova,1,10,Food & grocery retail,False
"serramenti, mobili",1,10,Office & mechanical equipment (ad-dominated),False
gabinetti di posa),1,10,Office & mechanical equipment (ad-dominated),False
esercizi,1,10,Office & mechanical equipment (ad-dominated),False
 Dettaglio,1,10,Office & mechanical equipment (ad-dominated),False
 Tessuti,1,10,Office & mechanical equipment (ad-dominated),False
Leggere e rapide,1,10,Office & mechanical equipment (ad-dominated),False
color e vernici,1,10,Office & mechanical equipment (ad-dominated),False
 filiati e affini,1,10,Office & mechanical equipment (ad-dominated),False
 Segnalazioni,1,10,Office & mechanical equipment (ad-dominated),False
 Serramenti ed Affissi,1,10,Office & mechanical equipment (ad-dominated),False
autorimessa,1,10,Office & mechanical equipment (ad-dominated),False
 cm. fezione,1,10,Office & mechanical equipment (ad-dominated),False
Articoli Tecnici,1,10,Office & mechanical equipment (ad-dominated),False
rettore,1,10,Office & mechanical equipment (ad-dominated),False
articoli casalinghi,1,10,Office & mechanical equipment (ad-dominated),False
(edicola),1,10,Office & mechanical equipment (ad-dominated),False
dolciumi,1,10,Office & mechanical equipment (ad-dominated),False
 Lavorazione 'Acurata,1,10,Office & mechanical equipment (ad-dominated),False
 vetrerie e oggetti artistici,1,10,Office & mechanical equipment (ad-dominated),False
 spazzole,1,10,Office & mechanical equipment (ad-dominated),False
 oggetti artistici,1,10,Office & mechanical equipment (ad-dominated),False
 smalti ecc.,1,10,Office & mechanical equipment (ad-dominated),False
confezioni iliati,1,10,Office & mechanical equipment (ad-dominated),False
 affini (vendi-ta),1,10,Office & mechanical equipment (ad-dominated),False
 stampe,1,10,Office & mechanical equipment (ad-dominated),False
 Grande Salone per banchetti e Rinfreschi,1,10,Office & mechanical equipment (ad-dominated),False
 Forniture,1,10,Office & mechanical equipment (ad-dominated),False
Fabbrica Timbri - Studio Incisioni,1,10,Office & mechanical equipment (ad-dominated),False
 mobili,1,10,Office & mechanical equipment (ad-dominated),False
cristali e spechi,1,10,Office & mechanical equipment (ad-dominated),False
 fotografi,1,10,Office & mechanical equipment (ad-dominated),False
vele e bandiere,1,10,Office & mechanical equipment (ad-dominated),False
"Lavori Fotografici, Fotomateriale",1,10,Office & mechanical equipment (ad-dominated),False
"Laboratorio Cornici ed Affini, Vetri, Specchi, Cristalli, Quadri",1,10,Office & mechanical equipment (ad-dominated),False
corieettine e pele,1,10,Office & mechanical equipment (ad-dominated),False
articoli fotografici,1,10,Office & mechanical equipment (ad-dominated),False
 espressi telegrammi,1,10,Office & mechanical equipment (ad-dominated),False
Articoli Casalinghi,1,10,Office & mechanical equipment (ad-dominated),False
 confizioni,1,10,Office & mechanical equipment (ad-dominated),False
OCCASIONI - CAMBI - RICOMISSIONI - NOLEGGI,1,10,Office & mechanical equipment (ad-dominated),False
 munizioni,1,10,Office & mechanical equipment (ad-dominated),False
 maioliche artistiche,1,10,Office & mechanical equipment (ad-dominated),False
confezioni,1,10,Textile and tailoring,False
