Category,recovered_value,status
ORGANIZATION,pittore,recovered_from_additional_info
ORGANIZATION,cartoleria,recovered_from_additional_info
ORGANIZATION,trattoria,recovered_from_additional_info
ORGANIZATION,pittore,recovered_from_additional_info
ORGANIZATION,minerial,recovered_from_additional_info
ORGANIZATION,rappresentante-prodotti chimii,recovered_from_additional_info
ORGANIZATION,casa editrice,recovered_from_additional_info
ORGANIZATION,lavaderia e stierira,recovered_from_additional_info
ORGANIZATION,osteria,recovered_from_additional_info
ORGANIZATION,rapprsentate macchinari,recovered_from_additional_info
ORGANIZATION,alimentari gross.,recovered_from_additional_info
ORGANIZATION,rappresentante penni alimentari,recovered_from_additional_info
ORGANIZATION,legnami e pali da costruzioni,recovered_from_additional_info
ORGANIZATION,Consigliere Isttautiz Aut. per le case poplari,recovered_from_additional_info
ORGANIZATION,bandaio lattoniere,recovered_from_additional_info
Business,colori e vernici,recovered_from_additional_info
Business,Lungomare Malamocco,recovered_from_additional_info
Business,compravendita immobili,recovered_from_additional_info
Business,Molini e Pastificio,recovered_from_additional_info
Business,liquori (fabrica e deposito),recovered_from_additional_info
Business,compra vendita immobili,recovered_from_additional_info
Business,spedizioni e trasporti,recovered_from_additional_info
Business,impresa pompe funebri,recovered_from_additional_info
Business,spedizioni e trasporti,recovered_from_additional_info
Business,"cereali (grossista), olii commestibili (commecio)",recovered_from_additional_info
Business,navi (demolizione),recovered_from_additional_info
Business,acquisto costruzioni immobili,recovered_from_additional_info
Business,Società immobiliare,recovered_from_additional_info
Business,compra.vendita immobili,recovered_from_additional_info
Business,caffè (surrogati),recovered_from_additional_info
Business,compra-vendita immobili,recovered_from_additional_info
Business,reprezntanze varie,recovered_from_additional_info
Business,vetroflex,recovered_from_additional_info
Business,"caffè (eserzio), Castello 4565",recovered_from_additional_info
Business,cereria e prodotti affini,recovered_from_additional_info
Business,Società immobiliare,recovered_from_additional_info
Business,minio,recovered_from_additional_info
Business,ghiaerio (fabbrica),recovered_from_additional_info
Business,Soc. An. Condizione Immobilit,recovered_from_additional_info
Business,acquisto costruzioni immobili,recovered_from_additional_info
Business,attività immobiliare,recovered_from_additional_info
Business,industria laterizi,recovered_from_additional_info
Business,Soc. An. Condizione Immobilit,recovered_from_additional_info
Business,"impianti elettrici di qualsiasi tipo, Lampadari, Compresi illuminanti, Apparecchi o materiale elettrico, Proiettori, Vetrof diffusori primidali Holophane Fidenza. Rappresentante della Società e Compagnia Elettrotecnica Italian., ""Fidenza"". Soc. An. Vetraria, a Dueic (Termoconvettori e Termareatori eletrtic) ol A.E.R.); Apparecchiature Elettroe Razionali, Materiale per installazione m°, Agente della Soc. Fabbriche Rumci >Neon >, Venezia",recovered_from_additional_info
Business,vetre. rie in genere e lampadari,recovered_from_additional_info
Business,lavori poruuali materiali per costruzioni,recovered_from_additional_info
Business,"Costruzioni edili, civili e industriali, industri inoshiva",recovered_from_additional_info
Business,"Ufficio di Venezia, Sezioni: Stabilimento Grandi Motori, Ferriere Piemontesi, Industrie Metallurgiche ed Accialerie, Fonderie Ghisa, Materiale Ferroviario, S. A. Metalli, S. A. Produscia, S. A. Ricuperi Metallifei, Prodotti Vitoc e della Vetrooock.",recovered_from_additional_info
Business,compra.vendita immobili,recovered_from_additional_info
Religious,Arciprete,recovered_from_additional_info
religious,levita,recovered_from_additional_info
bottling,"Venezia - Via XXII Marzo, 2288, Telephone: 25-889",recovered_from_additional_info
chemistry,"Venezia - Via XXII Marzo, 2288, Telephone: 25-889",recovered_from_additional_info
pharmacist,"Venezia - Via XXII Marzo, 2288, Telephone: 25-889",recovered_from_additional_info
accountant,"Venezia - Via XXII Marzo, 2288, Telephone: 25-889",recovered_from_additional_info
tailor,"Venezia - Via XXII Marzo, 2288, Telephone: 25-889",recovered_from_additional_info
representations,various,recovered_from_additional_info
cork,"Venezia - Via XXII Marzo, 2288, Telephone: 25-889",recovered_from_additional_info
butchery,"Venezia - Via XXII Marzo, 2288, Telephone: 25-889",recovered_from_additional_info
butchery,"Venezia - Via XXII Marzo, 2288, Telephone: 25-889",recovered_from_additional_info
wines,logs,recovered_from_additional_info
factory,shoes,recovered_from_additional_info
millinery,"Venezia - Via XXII Marzo, 2288, Telephone: 25-889",recovered_from_additional_info
furs,"Venezia - Via XXII Marzo, 2288, Telephone: 25-889",recovered_from_additional_info
expert,"Venezia - Via XXII Marzo, 2288, Telephone: 25-889",recovered_from_additional_info
tailor,"Venezia - Via XXII Marzo, 2288, Telephone: 25-889",recovered_from_additional_info
products,Mestre,recovered_from_additional_info
footwear,"Venezia - Via XXII Marzo, 2288, Telephone: 25-889",recovered_from_additional_info
bottling,"Venezia - Via XXII Marzo, 2288, Telephone: 25-889",recovered_from_additional_info
Commerce,tabaccheria | Vie Macello,recovered_from_additional_info
Commerce,sarto da uomo,recovered_from_additional_info
Military,Comando Milit. Maritt. Art. dell'Alto Adriatico | Arsenale,recovered_from_additional_info
Commerce,pelami e cuoio,recovered_from_additional_info
Commerce,osteria,recovered_from_additional_info
Commerce,alimentari (dett.),recovered_from_additional_info
Commerce,giornali (distribuzione),recovered_from_additional_info
Craftsmanship,falegname,recovered_from_additional_info
Craftsmanship,Metall d'Arte,recovered_from_additional_info
Commerce,trattoria,recovered_from_additional_info
Commerce,latteria,recovered_from_additional_info
Commerce,sciroppi liguori,recovered_from_additional_info
Craftsmanship,decoratore e pittore,recovered_from_additional_info
Commerce,negozio imbacazioni,recovered_from_additional_info
Finance,Attuario,recovered_from_additional_info
Education,Vice Direttore Istituto Vittorio Alfierl,recovered_from_additional_info
Commerce,barbiere | Pescheria,recovered_from_additional_info
Commerce,graunoche e legna (dettagilo) | S. Polo,recovered_from_additional_info
Craftsmanship,sarta,recovered_from_additional_info
Craftsmanship,sartoria e confezioni,recovered_from_additional_info
Craftsmanship,parrucchiere per signora,recovered_from_additional_info
Footwear,calzaturificio,recovered_from_additional_info
Hospitality,locanda,recovered_from_additional_info
Commerce,osteria,recovered_from_additional_info
Commerce,trattoria | Burano Treporti,recovered_from_additional_info
Healthcare,medicina generale,recovered_from_additional_info
Municipal,Ispett. Contabile Am,recovered_from_additional_info
Commerce,osteria | Murase fdm. Navagero,recovered_from_additional_info
Retail,bazar,recovered_from_additional_info
Representation,rappresentante macchinarl,recovered_from_additional_info
Associational,Consigliere del Circlo Fi,recovered_from_additional_info
Retail,giocattoli,recovered_from_additional_info
Retail,lingerie e maglierie,recovered_from_additional_info
Hospitality,lavanderia e stirerie,recovered_from_additional_info
Commerce,alimentari (dett.),recovered_from_additional_info
Commerce,alimentari (d.t.),recovered_from_additional_info
Commerce,promumerla,recovered_from_additional_info
Insurance,assicurazioni,recovered_from_additional_info
Second-hand,oggetti usati,recovered_from_additional_info
profession,"Geriatrico del Seminario Patriarcale, Santa Maria della Salute",recovered_from_additional_info
Commercial,lingerie e maglieric,recovered_from_additional_info
furniture,artistic,recovered_from_additional_info
Commercial,giornali (distribuzione),recovered_from_additional_info
Commercial,carbone e legna (grossosta),recovered_from_additional_info
Commercial,fabbro ferrario e meccanico,recovered_from_additional_info
Commercial,pittore,recovered_from_additional_info
ORGANIZATION,Colletlico Italialee,recovered_from_additional_info
ORGANIZATION,gelateria,recovered_from_additional_info
ORGANIZATION,medicina generale,recovered_from_additional_info
Business,"stoffe per arredamenti, tendeaggi e tappezzi, Filiali a Roma, Milano, Torino, Firenze",recovered_from_additional_info
millinery,"Venezia - Via XXII Marzo, 2288, Telephone: 25-889",recovered_from_additional_info
furniture,factories,recovered_from_additional_info
Commerce,libreria,recovered_from_additional_info
Commercial,"s. 8. a r. 1., lavori manovalanza",recovered_from_additional_info
ORGANIZATION,Mercerie,recovered_from_additional_info
ORGANIZATION,medicina generale,recovered_from_additional_info
Commerce,barbiere,recovered_from_additional_info
Construction,cralrature,recovered_from_additional_info
