category_value,override_name,cluster_id,default_name_would_have_been
Albergo,"Food, grocery & hospitality trade",2.0,general retail
pensione,"Food, grocery & hospitality trade",2.0,general retail
Pensione,"Food, grocery & hospitality trade",2.0,general retail
o. pensione,"Food, grocery & hospitality trade",2.0,general retail
Uova,"Food, grocery & hospitality trade",2.0,general retail
uova,"Food, grocery & hospitality trade",2.0,general retail
Zucchero,"Food, grocery & hospitality trade",2.0,general retail
polleria,"Food, grocery & hospitality trade",2.0,general retail
Vallicultura,"Food, grocery & hospitality trade",2.0,general retail
vallicultura,"Food, grocery & hospitality trade",2.0,general retail
Ghiaccio,"Food, grocery & hospitality trade",2.0,general retail
ghiaccio,"Food, grocery & hospitality trade",2.0,general retail
Ghiacciaie,"Food, grocery & hospitality trade",2.0,general retail
Barili,"Food, grocery & hospitality trade",2.0,general retail
Droghe,"Food, grocery & hospitality trade",2.0,general retail
Ortaggi,"Food, grocery & hospitality trade",2.0,general retail
Aceto,"Food, grocery & hospitality trade",2.0,general retail
Alcool,"Food, grocery & hospitality trade",2.0,general retail
Carni,"Food, grocery & hospitality trade",2.0,general retail
Caviale,"Food, grocery & hospitality trade",2.0,general retail
dolciumi,"Food, grocery & hospitality trade",2.0,general retail
Case di Cura,"Legal, financial & administrative professions ",2.0,general retail
Geometra,"Legal, financial & administrative professions ",2.0,general retail
Geometre,"Legal, financial & administrative professions ",2.0,general retail
Geomera,"Legal, financial & administrative professions ",2.0,general retail
ostetrica,"Legal, financial & administrative professions ",2.0,general retail
Ostetrica,"Legal, financial & administrative professions ",2.0,general retail
perito,"Legal, financial & administrative professions ",2.0,general retail
dentista,"Legal, financial & administrative professions ",2.0,general retail
Dentista,"Legal, financial & administrative professions ",2.0,general retail
Medico,"Legal, financial & administrative professions ",2.0,general retail
medico,"Legal, financial & administrative professions ",2.0,general retail
medico generale,"Legal, financial & administrative professions ",4.0,"Legal, financial & administrative professions "
Medicina,"Legal, financial & administrative professions ",2.0,general retail
chirurgo,"Legal, financial & administrative professions ",2.0,general retail
medico chirurgo,"Legal, financial & administrative professions ",2.0,general retail
stomatologo,"Legal, financial & administrative professions ",2.0,general retail
oculista,"Legal, financial & administrative professions ",2.0,general retail
veterinario,"Legal, financial & administrative professions ",2.0,general retail
Veterinario,"Legal, financial & administrative professions ",2.0,general retail
notaio,"Legal, financial & administrative professions ",2.0,general retail
attuario,"Legal, financial & administrative professions ",2.0,general retail
Attuario,"Legal, financial & administrative professions ",2.0,general retail
Cassiere,"Legal, financial & administrative professions ",2.0,general retail
Ragiionere,"Legal, financial & administrative professions ",2.0,general retail
Economo,"Legal, financial & administrative professions ",2.0,general retail
malattie nervose,"Legal, financial & administrative professions ",2.0,general retail
dermosifilopatica,"Legal, financial & administrative professions ",2.0,general retail
dermosifilopata,"Legal, financial & administrative professions ",2.0,general retail
dermatologo,"Legal, financial & administrative professions ",2.0,general retail
otorinolaringoiatra,"Legal, financial & administrative professions ",2.0,general retail
ortopedico,"Legal, financial & administrative professions ",2.0,general retail
radiologo,"Legal, financial & administrative professions ",2.0,general retail
radiogiologo,"Legal, financial & administrative professions ",2.0,general retail
Pediatra,"Legal, financial & administrative professions ",2.0,general retail
osteitrico,"Legal, financial & administrative professions ",2.0,general retail
ostetrico,"Legal, financial & administrative professions ",2.0,general retail
ostetia,"Legal, financial & administrative professions ",2.0,general retail
Clinica Ostetrica,"Legal, financial & administrative professions ",2.0,general retail
malatte polmonari,"Legal, financial & administrative professions ",2.0,general retail
pharmacy,"Legal, financial & administrative professions ",2.0,general retail
Squerì,"Transport, shipping & maritime trades",2.0,general retail
Navi,"Transport, shipping & maritime trades",2.0,general retail
navi,"Transport, shipping & maritime trades",2.0,general retail
Rimorchatori,"Transport, shipping & maritime trades",2.0,general retail
Recuperi marittimi,"Transport, shipping & maritime trades",2.0,general retail
ricuperi marittimi,"Transport, shipping & maritime trades",2.0,general retail
Messaggerie,"Transport, shipping & maritime trades",2.0,general retail
Morocicli,"Transport, shipping & maritime trades",2.0,general retail
falegname,"Decorative arts, photography, antiques & artisan crafts",2.0,general retail
Cornici,"Decorative arts, photography, antiques & artisan crafts",2.0,general retail
Vetri,"Decorative arts, photography, antiques & artisan crafts",2.0,general retail
vetri,"Decorative arts, photography, antiques & artisan crafts",2.0,general retail
Vetria 17,"Decorative arts, photography, antiques & artisan crafts",2.0,general retail
vetria,"Decorative arts, photography, antiques & artisan crafts",2.0,general retail
Vetreria,"Decorative arts, photography, antiques & artisan crafts",2.0,general retail
vetreria,"Decorative arts, photography, antiques & artisan crafts",2.0,general retail
pittrice,"Decorative arts, photography, antiques & artisan crafts",2.0,general retail
ottica,"Decorative arts, photography, antiques & artisan crafts",2.0,general retail
terraglie,"Decorative arts, photography, antiques & artisan crafts",2.0,general retail
Vetri neutri,"Decorative arts, photography, antiques & artisan crafts",2.0,general retail
Strti da uomo,"Textiles, clothing",2.0,general retail
sarta,"Textiles, clothing",2.0,general retail
Sarte,"Textiles, clothing",2.0,general retail
Sarta,"Textiles, clothing",2.0,general retail
sarto,"Textiles, clothing",2.0,general retail
barbiere,"Textiles, clothing",2.0,general retail
Barbieri,"Textiles, clothing",2.0,general retail
Barbiere,"Textiles, clothing",2.0,general retail
barbieri,"Textiles, clothing",2.0,general retail
mercerie,"Textiles, clothing",2.0,general retail
Seterie,"Textiles, clothing",2.0,general retail
oreficeria,"Textiles, clothing",2.0,general retail
Argenterie,"Textiles, clothing",2.0,general retail
Modisterie,"Textiles, clothing",2.0,general retail
Modisteria,"Textiles, clothing",2.0,general retail
modisteria,"Textiles, clothing",2.0,general retail
CARTA,"Textiles, clothing",2.0,general retail
Carta,"Textiles, clothing",2.0,general retail
carta,"Textiles, clothing",2.0,general retail
fiori,"Textiles, clothing",2.0,general retail
Fiori,"Textiles, clothing",2.0,general retail
Perle,"Textiles, clothing",2.0,general retail
Mode,"Textiles, clothing",2.0,general retail
mode,"Textiles, clothing",2.0,general retail
orologeria,"Textiles, clothing",2.0,general retail
libreria,"Textiles, clothing",2.0,general retail
Pelli,"Textiles, clothing",2.0,general retail
pellami,"Textiles, clothing",2.0,general retail
pellami e cuoi,"Textiles, clothing",2.0,general retail
Bazar,"Textiles, clothing",2.0,general retail
IMPERMEABILI,"Textiles, clothing",2.0,general retail
Pantofolai,"Textiles, clothing",2.0,general retail
Ombrelli,"Textiles, clothing",2.0,general retail
Filande,"Textiles, clothing",2.0,general retail
setorie e lanerie,"Textiles, clothing",2.0,general retail
Lane e crine,"Textiles, clothing",2.0,general retail
Telerie,"Textiles, clothing",2.0,general retail
Stracci,"Textiles, clothing",2.0,general retail
Sementi,"Textiles, clothing",2.0,general retail
calze,"Textiles, clothing",2.0,general retail
valigerie,"Textiles, clothing",2.0,general retail
Refrettari,"Chemicals, fuel, construction materials & raw materials",2.0,general retail
Petrolio,"Chemicals, fuel, construction materials & raw materials",2.0,general retail
Catrame,"Chemicals, fuel, construction materials & raw materials",2.0,general retail
Semi oleosi,"Chemicals, fuel, construction materials & raw materials",2.0,general retail
Sughero,"Chemicals, fuel, construction materials & raw materials",2.0,general retail
Acciai,"Chemicals, fuel, construction materials & raw materials",2.0,general retail
Bitumi,"Chemicals, fuel, construction materials & raw materials",2.0,general retail
Gas,"Chemicals, fuel, construction materials & raw materials",2.0,general retail
Zolfo,"Chemicals, fuel, construction materials & raw materials",2.0,general retail
Ghisa,"Chemicals, fuel, construction materials & raw materials",2.0,general retail
Olii,"Chemicals, fuel, construction materials & raw materials",2.0,general retail
Bandiere,"Chemicals, fuel, construction materials & raw materials",2.0,general retail
trebbiatura,"Chemicals, fuel, construction materials & raw materials",2.0,general retail
Coltellinai e Arrotini,"Office equipment, electrical, mechanical & industrial trades",2.0,general retail
coltellinaio e arrotino,"Office equipment, electrical, mechanical & industrial trades",2.0,general retail
ing.,"Office equipment, electrical, mechanical & industrial trades",2.0,general retail
Frigoriferi,"Office equipment, electrical, mechanical & industrial trades",2.0,general retail
Bilancie,"Office equipment, electrical, mechanical & industrial trades",2.0,general retail
Calderai,"Office equipment, electrical, mechanical & industrial trades",2.0,general retail
Lamiere,"Office equipment, electrical, mechanical & industrial trades",2.0,general retail
radio,"Office equipment, electrical, mechanical & industrial trades",2.0,general retail
pianoforti,"Office equipment, electrical, mechanical & industrial trades",2.0,general retail
Tipografie,"Office equipment, electrical, mechanical & industrial trades",2.0,general retail
tipografia,"Office equipment, electrical, mechanical & industrial trades",2.0,general retail
Tipografia,"Office equipment, electrical, mechanical & industrial trades",2.0,general retail
STABILIMENTO GRAFICO,"Office equipment, electrical, mechanical & industrial trades",2.0,general retail
Zincografia,"Office equipment, electrical, mechanical & industrial trades",2.0,general retail
Giornali,"Office equipment, electrical, mechanical & industrial trades",2.0,general retail
giornali,"Office equipment, electrical, mechanical & industrial trades",2.0,general retail
Materassai,"Real estate, construction & business services",2.0,general retail
Terrrazzi,"Real estate, construction & business services",2.0,general retail
murari,"Real estate, construction & business services",2.0,general retail
rettore,Institutions/companies,2.0,general retail
Cinema,"Culture, entertainment & leisure",2.0,general retail
cinema,"Culture, entertainment & leisure",2.0,general retail
Teatri,"Culture, entertainment & leisure",2.0,general retail
Filatelico,"Culture, entertainment & leisure",2.0,general retail
parroco,Religious institutions & clergy,2.0,general retail
Parroco,Religious institutions & clergy,2.0,general retail
Arciprete,Religious institutions & clergy,2.0,general retail
arciprete,Religious institutions & clergy,2.0,general retail
pm. Patriarcale,Religious institutions & clergy,2.0,general retail
arpicprete Basilica di San Marco,Religious institutions & clergy,3.0,Institutions/companies
arciprete Basilica di S. Marco,Religious institutions & clergy,3.0,Institutions/companies
parroco S. Maria Elisabetta di Lido,Religious institutions & clergy,3.0,Institutions/companies
"parroco, S. Giacomo dall’Orio",Religious institutions & clergy,3.0,Institutions/companies
parroco S. Maria del Gi glio,Religious institutions & clergy,3.0,Institutions/companies
parroco Treporti,Religious institutions & clergy,3.0,Institutions/companies
Purroco San Polo Apostolo,Religious institutions & clergy,3.0,Institutions/companies
Parocco,Religious institutions & clergy,3.0,Institutions/companies
"Geriatrico del Seminario Patriarcale, Santa Maria della Salute",Religious institutions & clergy,3.0,Institutions/companies
Basilica di S. Marco,Religious institutions & clergy,3.0,Institutions/companies
Basilica di San Marco,Religious institutions & clergy,3.0,Institutions/companies
Vescovo Ausiliare,Religious institutions & clergy,4.0,"Legal, financial & administrative professions "
Comunità Israelitica,Religious institutions & clergy,4.0,"Legal, financial & administrative professions "
Cerioniero del Patriarcato,Religious institutions & clergy,4.0,"Legal, financial & administrative professions "
vicario,Religious institutions & clergy,4.0,"Legal, financial & administrative professions "
Vicario,Religious institutions & clergy,4.0,"Legal, financial & administrative professions "
"vicario S. Leone, (S. Lio)",Religious institutions & clergy,4.0,"Legal, financial & administrative professions "
vicario S. Barnaba,Religious institutions & clergy,4.0,"Legal, financial & administrative professions "
Vicario S. Sofia,Religious institutions & clergy,4.0,"Legal, financial & administrative professions "
curato autonomo,Religious institutions & clergy,4.0,"Legal, financial & administrative professions "
Manifesture,"Textiles, clothing",2.0,general retail
Libreria,"Textiles, clothing",2.0,general retail
abbiagliamento,"Textiles, clothing",2.0,general retail
Orologeria,"Textiles, clothing",2.0,general retail
pelliche,"Textiles, clothing",2.0,general retail
ombrelli,"Textiles, clothing",2.0,general retail
perle,"Textiles, clothing",2.0,general retail
Vestiario,"Textiles, clothing",2.0,general retail
Divise,"Textiles, clothing",2.0,general retail
divise,"Textiles, clothing",2.0,general retail
Filanda,"Textiles, clothing",2.0,general retail
lavandiera,"Textiles, clothing",2.0,general retail
Penna,"Textiles, clothing",2.0,general retail
Bottegon,"Textiles, clothing",,
Acqua di colonia,"Textiles, clothing",2.0,general retail
Fibre autarchiche,"Textiles, clothing",2.0,general retail
tessanti,"Textiles, clothing",2.0,general retail
Merletta e cirmi,"Textiles, clothing",2.0,general retail
cappelleria,"Textiles, clothing",2.0,general retail
liagerie,"Textiles, clothing",2.0,general retail
cinzieria,"Textiles, clothing",2.0,general retail
calcature,"Textiles, clothing",2.0,general retail
cralrature,"Textiles, clothing",2.0,general retail
chincaglie,"Textiles, clothing",2.0,general retail
ca-toleria,"Textiles, clothing",2.0,general retail
sa to da uomo,"Textiles, clothing",2.0,general retail
argenteria orologeria,"Textiles, clothing",2.0,general retail
Laboratorio orologeria,"Textiles, clothing",,
orologiaio,"Textiles, clothing",2.0,general retail
oreccheria,"Textiles, clothing",2.0,general retail
orefici,"Textiles, clothing",2.0,general retail
orefaceri,"Textiles, clothing",2.0,general retail
ore-fiseria,"Textiles, clothing",2.0,general retail
orefice'ia,"Textiles, clothing",2.0,general retail
orefacreia,"Textiles, clothing",2.0,general retail
mercer.,"Textiles, clothing",2.0,general retail
merce verie,"Textiles, clothing",2.0,general retail
merce'cie,"Textiles, clothing",2.0,general retail
merce- rie,"Textiles, clothing",2.0,general retail
mererce,"Textiles, clothing",2.0,general retail
micelleria,"Textiles, clothing",2.0,general retail
cartolexia,"Textiles, clothing",2.0,general retail
carta (grossiuita),"Textiles, clothing",2.0,general retail
carta da macera,"Textiles, clothing",2.0,general retail
Cartotecnica,"Textiles, clothing",2.0,general retail
valigeria,"Textiles, clothing",2.0,general retail
pellami e cuoi a,"Textiles, clothing",2.0,general retail
pellami e cuolo,"Textiles, clothing",2.0,general retail
Pellami e cuoi,"Textiles, clothing",2.0,general retail
pellicterie,"Textiles, clothing",2.0,general retail
pelli,"Textiles, clothing",2.0,general retail
pelterie,"Textiles, clothing",2.0,general retail
lavandoria e steria,"Textiles, clothing",2.0,general retail
barberie,"Textiles, clothing",2.0,general retail
parru1chiera,"Textiles, clothing",2.0,general retail
fiati ed affini,"Textiles, clothing",2.0,general retail
Armonium,"Textiles, clothing",2.0,general retail
imbarchi e sbarchi,"Transport, shipping & maritime trades",2.0,general retail
imbarcbi e subarbe,"Transport, shipping & maritime trades",2.0,general retail
squero,"Transport, shipping & maritime trades",2.0,general retail
sguero,"Transport, shipping & maritime trades",2.0,general retail
automoleggio,"Transport, shipping & maritime trades",2.0,general retail
recuperi,"Transport, shipping & maritime trades",2.0,general retail
facchini | publici,"Transport, shipping & maritime trades",2.0,general retail
Marittimi,"Transport, shipping & maritime trades",2.0,general retail
cordami,"Transport, shipping & maritime trades",2.0,general retail
Lloyd’s Agen.,"Transport, shipping & maritime trades",2.0,general retail
Piloti,"Transport, shipping & maritime trades",2.0,general retail
piloti,"Transport, shipping & maritime trades",2.0,general retail
Palombari,"Transport, shipping & maritime trades",2.0,general retail
palombari,"Transport, shipping & maritime trades",2.0,general retail
autoscuola,Institutions/companies,2.0,general retail
nettezza urbana,Institutions/companies,2.0,general retail
consigliere,Institutions/companies,2.0,general retail
scuola,Institutions/companies,2.0,general retail
polizia rifiori,Institutions/companies,2.0,general retail
Municipio,Institutions/companies,2.0,general retail
Recordi ferroviari,Institutions/companies,2.0,general retail
incendiere,Institutions/companies,2.0,general retail
usciere,Institutions/companies,2.0,general retail
l'attrice,"Legal, financial & administrative professions ",2.0,general retail
geometra,"Legal, financial & administrative professions ",2.0,general retail
insegnanter,"Legal, financial & administrative professions ",2.0,general retail
notato,"Legal, financial & administrative professions ",2.0,general retail
notai1o,"Legal, financial & administrative professions ",2.0,general retail
Detective,"Legal, financial & administrative professions ",2.0,general retail
ingg.,"Legal, financial & administrative professions ",2.0,general retail
arw.,"Legal, financial & administrative professions ",2.0,general retail
chirurg,"Legal, financial & administrative professions ",2.0,general retail
rappresantanze varie,"Legal, financial & administrative professions ",2.0,general retail
raprresentante,"Legal, financial & administrative professions ",2.0,general retail
Espurgo pozzi neri,"Real estate, construction & business services",2.0,general retail
murtori,"Real estate, construction & business services",2.0,general retail
macerie,"Real estate, construction & business services",2.0,general retail
petrolio,"Chemicals, fuel, construction materials & raw materials",2.0,general retail
Imballaggii,"Chemicals, fuel, construction materials & raw materials",,
minio,"Chemicals, fuel, construction materials & raw materials",2.0,general retail
Turaccioli,"Chemicals, fuel, construction materials & raw materials",2.0,general retail
calce e laterizzi,"Chemicals, fuel, construction materials & raw materials",2.0,general retail
Calce,"Chemicals, fuel, construction materials & raw materials",2.0,general retail
Ghiaia,"Chemicals, fuel, construction materials & raw materials",2.0,general retail
Gres,"Chemicals, fuel, construction materials & raw materials",,
Cave,"Chemicals, fuel, construction materials & raw materials",2.0,general retail
sughero,"Chemicals, fuel, construction materials & raw materials",2.0,general retail
Insetticidi,"Chemicals, fuel, construction materials & raw materials",2.0,general retail
INSETTICIDI,"Chemicals, fuel, construction materials & raw materials",2.0,general retail
INSETTICIDA,"Chemicals, fuel, construction materials & raw materials",2.0,general retail
Eraclit,"Chemicals, fuel, construction materials & raw materials",2.0,general retail
Rodio,"Chemicals, fuel, construction materials & raw materials",2.0,general retail
Panelli,"Chemicals, fuel, construction materials & raw materials",2.0,general retail
Sego,"Chemicals, fuel, construction materials & raw materials",2.0,general retail
carbonia,"Chemicals, fuel, construction materials & raw materials",2.0,general retail
Nichelatura,"Chemicals, fuel, construction materials & raw materials",2.0,general retail
rigattatoi,"Decorative arts, photography, antiques & artisan crafts",2.0,general retail
bigiotterie,"Decorative arts, photography, antiques & artisan crafts",2.0,general retail
Bigiotterie,"Decorative arts, photography, antiques & artisan crafts",2.0,general retail
Quadri,"Decorative arts, photography, antiques & artisan crafts",2.0,general retail
quadri,"Decorative arts, photography, antiques & artisan crafts",2.0,general retail
cornice,"Decorative arts, photography, antiques & artisan crafts",2.0,general retail
ebanista,"Decorative arts, photography, antiques & artisan crafts",2.0,general retail
Ebanisti,"Decorative arts, photography, antiques & artisan crafts",2.0,general retail
vetroflex,"Decorative arts, photography, antiques & artisan crafts",2.0,general retail
Vetroflex,"Decorative arts, photography, antiques & artisan crafts",2.0,general retail
Plexiglas,"Decorative arts, photography, antiques & artisan crafts",2.0,general retail
Conterie ar-pe-le,"Decorative arts, photography, antiques & artisan crafts",2.0,general retail
"incisore, cesellatore, sbalzatore","Decorative arts, photography, antiques & artisan crafts",2.0,general retail
incisore,"Decorative arts, photography, antiques & artisan crafts",2.0,general retail
Ottonai,"Decorative arts, photography, antiques & artisan crafts",2.0,general retail
hottigliocristai.,"Decorative arts, photography, antiques & artisan crafts",2.0,general retail
Porcellane,"Decorative arts, photography, antiques & artisan crafts",2.0,general retail
Terragliole,"Decorative arts, photography, antiques & artisan crafts",2.0,general retail
Francobolli,"Decorative arts, photography, antiques & artisan crafts",2.0,general retail
Doratura,"Decorative arts, photography, antiques & artisan crafts",2.0,general retail
stucchi,"Decorative arts, photography, antiques & artisan crafts",2.0,general retail
cortele e e perle,"Decorative arts, photography, antiques & artisan crafts",2.0,general retail
carpentire,"Decorative arts, photography, antiques & artisan crafts",2.0,general retail
lapidi marini,"Decorative arts, photography, antiques & artisan crafts",2.0,general retail
Bronzi,"Decorative arts, photography, antiques & artisan crafts",2.0,general retail
bronzi,"Decorative arts, photography, antiques & artisan crafts",2.0,general retail
"cotellajuai, arrottini, minio","Office equipment, electrical, mechanical & industrial trades",2.0,general retail
"elttricità econo, nizatori","Office equipment, electrical, mechanical & industrial trades",2.0,general retail
bandaio e fattirone,"Office equipment, electrical, mechanical & industrial trades",2.0,general retail
bandaio lattoniere,"Office equipment, electrical, mechanical & industrial trades",2.0,general retail
radio e radio; alumunofni,"Office equipment, electrical, mechanical & industrial trades",2.0,general retail
Radio,"Office equipment, electrical, mechanical & industrial trades",2.0,general retail
Telecommunication,"Office equipment, electrical, mechanical & industrial trades",2.0,general retail
Zinografia,"Office equipment, electrical, mechanical & industrial trades",2.0,general retail
accumulatori,"Office equipment, electrical, mechanical & industrial trades",2.0,general retail
Accumulatóri,"Office equipment, electrical, mechanical & industrial trades",2.0,general retail
Aspirapolvere,"Office equipment, electrical, mechanical & industrial trades",2.0,general retail
Stufe,"Office equipment, electrical, mechanical & industrial trades",2.0,general retail
Termometri,"Office equipment, electrical, mechanical & industrial trades",2.0,general retail
tipografa,"Office equipment, electrical, mechanical & industrial trades",2.0,general retail
automatismi,"Office equipment, electrical, mechanical & industrial trades",2.0,general retail
Pianoforti,"Office equipment, electrical, mechanical & industrial trades",2.0,general retail
Strucchi,"Food, grocery & hospitality trade",2.0,general retail
liquori,"Food, grocery & hospitality trade",2.0,general retail
lateria,"Food, grocery & hospitality trade",2.0,general retail
leatarie,"Food, grocery & hospitality trade",2.0,general retail
trattorìa,"Food, grocery & hospitality trade",2.0,general retail
trattorio,"Food, grocery & hospitality trade",2.0,general retail
tratto-ia,"Food, grocery & hospitality trade",2.0,general retail
trattatia,"Food, grocery & hospitality trade",2.0,general retail
ristor ante,"Food, grocery & hospitality trade",2.0,general retail
osterica,"Food, grocery & hospitality trade",2.0,general retail
oste,"Food, grocery & hospitality trade",2.0,general retail
foraggi,"Food, grocery & hospitality trade",2.0,general retail
Foraggi,"Food, grocery & hospitality trade",2.0,general retail
caffe,"Food, grocery & hospitality trade",2.0,general retail
caffe',"Food, grocery & hospitality trade",2.0,general retail
caffe (serezizi),"Food, grocery & hospitality trade",2.0,general retail
contoi e casearia,"Food, grocery & hospitality trade",2.0,general retail
latte,"Food, grocery & hospitality trade",2.0,general retail
Latte,"Food, grocery & hospitality trade",2.0,general retail
pasticciere,"Food, grocery & hospitality trade",2.0,general retail
pasticcera,"Food, grocery & hospitality trade",2.0,general retail
conservere,"Food, grocery & hospitality trade",2.0,general retail
tabachcheria,"Food, grocery & hospitality trade",2.0,general retail
Orzo,"Food, grocery & hospitality trade",2.0,general retail
budella,"Food, grocery & hospitality trade",2.0,general retail
sciroppi liguori,"Food, grocery & hospitality trade",2.0,general retail
levita,"Food, grocery & hospitality trade",2.0,general retail
baccaleria,"Food, grocery & hospitality trade",2.0,general retail
dolciumi (mag osso),"Food, grocery & hospitality trade",2.0,general retail
carni equine,"Food, grocery & hospitality trade",2.0,general retail
Carni equine,"Food, grocery & hospitality trade",2.0,general retail
hotelgieria,"Food, grocery & hospitality trade",2.0,general retail
Molino,"Food, grocery & hospitality trade",2.0,general retail
molino,"Food, grocery & hospitality trade",2.0,general retail
Molini,"Food, grocery & hospitality trade",2.0,general retail
Ghiaccio (tabralerio),"Food, grocery & hospitality trade",2.0,general retail
valli cultura,"Food, grocery & hospitality trade",2.0,general retail
Zuccherifici,"Food, grocery & hospitality trade",2.0,general retail
Coloniali,"Food, grocery & hospitality trade",2.0,general retail
Conserve,"Food, grocery & hospitality trade",2.0,general retail
Malto,"Food, grocery & hospitality trade",2.0,general retail
agrumi,"Food, grocery & hospitality trade",2.0,general retail
nacelleria,"Food, grocery & hospitality trade",2.0,general retail
aimenzanti (dett.),"Food, grocery & hospitality trade",2.0,general retail
macellazione,"Food, grocery & hospitality trade",2.0,general retail
Macellazione,"Food, grocery & hospitality trade",2.0,general retail
macellaia,"Food, grocery & hospitality trade",2.0,general retail
macellaio,"Food, grocery & hospitality trade",2.0,general retail
Bestimare ed esercizio macellere,"Food, grocery & hospitality trade",2.0,general retail
Case da Gioco,"Food, grocery & hospitality trade",2.0,general retail
Filatelica,"Culture, entertainment & leisure",2.0,general retail
Pastore,Religious institutions & clergy,2.0,general retail
Soc. Coop.,,2.0,general retail
S. A.,,2.0,general retail
S.,,2.0,general retail
Soc. An.,,2.0,general retail
Soc per Az,,2.0,general retail
(Ditta),,2.0,general retail
(dett.),,2.0,general retail
(dettaglio),,2.0,general retail
dettaglio,,2.0,general retail
Comm.,,2.0,general retail
comm.,,2.0,general retail
Pres.,,2.0,general retail
per azioni,,2.0,general retail
Esercizi,,2.0,general retail
Esercizio,,2.0,general retail
AGENCY,,2.0,general retail
well executives,,2.0,general retail
soc,,2.0,general retail
Duplicatori,,,
fdm. Navagero 34,,2.0,general retail
Cann. 1671,,2.0,general retail
Cann. 2102,,2.0,general retail
Cann 8971,,2.0,general retail
via Dese,,2.0,general retail
Via Algieri,,2.0,general retail
Ruga Giuffa,,2.0,general retail
C.P. 28,,2.0,general retail
C. P. 46,,2.0,general retail
numero 45,,2.0,general retail
numero 1641,,2.0,general retail
numero 565,,2.0,general retail
numero 572,,2.0,general retail
telefono 24-562,,2.0,general retail
Telef. 53-819,,2.0,general retail
Santa Apneise 909-A,,2.0,general retail
fond. Cavor 13,,2.0,general retail
Gludeco 595,,2.0,general retail
Cast. 3133,,2.0,general retail
S. Moisé,,2.0,general retail
Fond. Convertite,,2.0,general retail
Cavalcavia,,2.0,general retail
Calvacavia,,2.0,general retail
Pal Da Mula,,2.0,general retail
Màghera,,2.0,general retail
Navagero 54,,2.0,general retail
ldm. Domnla Onesta,,2.0,general retail
v. Macello,,2.0,general retail
Cà Vio,,2.0,general retail
2196 A,,2.0,general retail
661-A,,2.0,general retail
"119-A""",,2.0,general retail
"1079""",,2.0,general retail
co 1294,,2.0,general retail
2667 B,,2.0,general retail
O.S.M.,,2.0,general retail
F.I.T.T.V.,,2.0,general retail
S.A.V.I.A.,,2.0,general retail
S.A.F.A.,,2.0,general retail
P. S. in S.P.K.,,2.0,general retail
A.C.S Empale. vile e handli're;,,2.0,general retail
(ANPI),,2.0,general retail
Organiz. (ANT),,2.0,general retail
S. Marco,,3.0,Institutions/companies
Cannaregio,,3.0,Institutions/companies
S. Fantin 1983-A,,3.0,Institutions/companies
Castello,,3.0,Institutions/companies
S. Polo,,3.0,Institutions/companies
S. Marco 3650,,3.0,Institutions/companies
Venezia,,3.0,Institutions/companies
