category,frequency,cluster_id
perle (produtt. e commercio),1,0
mercerie e filati,1,0
"mercerie, afiat e affini",1,0
Produzione e Lavorazione vetro per Soffierie,1,0
manifatture tessuti,1,0
"cartoleria, libreria",1,0
"terrazze porcellane, detersivi, saponi, affini (vendita)",1,0
bottigliecia,1,0
fiori piante e sementi,1,0
modista,1,0
tappeti (negozio),1,0
Sarto da Uomo,1,0
Rappresentante tessuti,1,0
"prodotti antisettícu-genici, inchiostri",1,0
lucido da Scarpe,1,0
sarta; e a confezioni per bambini,1,0
mercerie filati ed affini,1,0
lavanderia e stalleria,1,0
maglieria biancheria (negozio),1,0
forniture,1,0
"merce nelia, filati e affini",1,0
"merce-ria, filati e affini",1,0
"argenteria, oreficeria, gioiellerie",1,0
"saccheria, azzettaii e santi",1,0
"orologeria, oreficeria, gioielleri",1,0
"perle (produtt, e commercio)",1,0
tintoria puliture a secco,1,0
merletti ciconini,1,0
Tessuti stampati e arti etici,1,0
industria laterizi,1,0
Sartoria e Confezioni per Signore,1,0
Cartoleria Chinaglierie,1,0
Maglieria (negozio),1,0
Tossenti filati,1,0
Laboratorio Fiale,1,0
"seterie, merletti e ricami",1,0
reti e articoli da pesca,1,0
"Ferramenta, Utensileria, Articoli casalinghi",1,0
sarda da uomo,1,0
pelle (lavor. e commercio),1,0
concerie e pelli,1,0
tessuti alti,1,0
coltelleria,1,0
modelli abiti signore,1,0
tintoria e pulitura a secco,1,0
Sarto,1,0
falegnamerie,1,0
acqui di colonia,1,0
confezioni,1,0
saddlery,1,0
perfumery,1,0
laundry and ironing,1,0
sewing goods,1,0
dressmaker,1,0
pelami e cuoio,1,0
barbiere | Pescheria,1,0
sartoria e confezioni,1,0
lavanderia e stirerie,1,0
"cordami, spaghi, filati",1,0
Giornali (rivendita),1,0
lingerie e maglieric,1,0
profumi e affini (fab. brcia),1,0
sarto a uomo,1,0
articoli sanitari,1,0
Imballaggi,1,0
Ditta Cecchiotti,1,0
Industria editoriale San Fantin,1,0
scatole carta cartoni ed affini,1,0
"stoffe, tessuti, lingerie e maglierie",1,0
Stoffe per arredamenti,1,0
Colletlico Italialee,1,0
"Guanti, Pizzi, Ricami a mano, Esportazione",1,0
macchine per cucire,1,0
articoli igienici,1,0
"stoffe per arredamenti, tendeaggi e tappezzi, Filiali a Roma, Milano, Torino, Firenze",1,0
Ingrosso Maglierie,1,0
tendaggi e tappeti,1,0
sartoria e confezioni per signorа,1,0
lavandera e stireira,1,0
Stole e tessuti,1,0
botigli°eria,1,0
Fiori piante e sementi,1,0
gioiellera (rivendita),1,0
parrucchiera per signora,1,0
orefeceria gioielleria,1,0
Agenzie di trasporto,323,1
Cantieri Navali,38,1
Noleggio imbarcazioni,28,1
spedizioni e trasporti,23,1
Agenzie marittime,20,1
Recuperi navali,19,1
Cantiere Navale,18,1
Trasporti marittimi con motanavi e motovelieri,18,1
cantiere navale,13,1
Autotrasporti,9,1
Società di navigazione,9,1
noleggio imbarcazioni,9,1
ARMAZIONI MARITTIME,9,1
Trasporti,8,1
autotrasporti,8,1
Case di Spedizioni,8,1
TRASPORTI FLUVIALI E LAGUNARI,6,1
agenzia marittima,6,1
Ferrovie dello Stato,6,1
Fornitori di bordo,5,1
trasporti marittimi fluviali e terrestri,5,1
Mediatori e sensali marittimi,5,1
Spedizioni e trasporti,5,1
Lavori manovalanza,4,1
Spedizioni e Trasporti,4,1
Trasporti fluviali,3,1
Motori marini,3,1
Navigazione fluviale,3,1
importazioni ed esportazioni varie,3,1
pesca marittima,3,1
Agenzia Marittima,2,1
Anonima di Navigazione,2,1
Agenzie di viaggio e turismo,2,1
Armatori,2,1
Costruzioni e riparazioni navali,2,1
Esportazioni,2,1
Forniture navali e industriali,2,1
Lavori portuali,2,1
Navigazione lagunare,2,1
Portabagagli,2,1
Provveditori marittimi,2,1
Riparazioni barche e motori,2,1
Spedizioni e trasporfti,2,1
Agenzia Trasporti,2,1
Trasporti marittimi,2,1
navi (demolizione),2,1
Agenzia marittima,2,1
cantieri navale,2,1
Casa di Spedizioni,2,1
autorasporti,2,1
Trasporti marittimi fluviali e terrestri,2,1
shipping and transportation,2,1
Agenzie di traslochi,1,1
Agenzia Marittima e Casa di Spedizioni,1,1
Agenzie di trasporti,1,1
"""Cantieri Navali""",1,1
Cantiere Navale e Officine Meccaniche,1,1
CANTIERE NAVALE,1,1
Demolizione Navi,1,1
Forniture per imbarcazioni,1,1
Forniture marittime,1,1
provveditoria marittimo,1,1
forniture navali,1,1
"__SECTION__,,Imberchi e sbarchi""",1,1
COSTRUZIONI PONTILI E OPERE PORTUALI,1,1
"Sestri, Agenzia di Padova: Ditta Michele Trappetti. Corso del Popolo, 1, Telefono: 24-587. Motori Diesel ad iniezione meccanica per impianti fissi e marini, Motori a gasogeno.",1,1
Agenzia Marittima e spedizioni internazionali,1,1
di spedizione,1,1
Trasporti aerei,1,1
Trasporti marittimi e fluviali,1,1
Società Adriatica Trasporti Turismo Imbarchi,1,1
TRASPORTI POSTALI,1,1
TRASPORTI SERVIZI PORTUALI,1,1
trasporti fluviali,1,1
costruzioni e riparazioni navali,1,1
provveditorii marittima,1,1
Importazioni ed esportazioni varie,1,1
"Trasporti marittimi, fluviali e terrestri",1,1
Organizzazione Trasporti di qualsiasi tipo,1,1
"Cantieri navali, trasporti marittimi fluviali e terrestri",1,1
mediatrice e sensale marittima,1,1
imprese e opere marittime,1,1
Fornitore Marittime,1,1
Noleggio Imbarcazioni,1,1
Agenzia Traslochi,1,1
ippotrasporti,1,1
Costruzioni Navali,1,1
Trasporti Postali Carcerari,1,1
cantiere navale S. An,1,1
cantiere navale Monigrea,1,1
imprese opere marittime,1,1
casa di spedizione,1,1
Esclusivisti delle rnigliori Marche Nazionali ed Estere,1,1
Negozio l’imbarchaioni,1,1
Agenzia Marittima e Spedizioni Internazionali,1,1
casi di spedizione,1,1
"Soc. Coop. a. r. 1., trasporti",1,1
autotrasport,1,1
Gestione Agenzie Marittime,1,1
trasporti e spedizioni,1,1
importazione ed espor tazione varie,1,1
"di Spedizione, spedizioni e trasporti",1,1
Cantiere navale,1,1
Trasporto,1,1
"Organizzazione Trasporti, spedizioni e trasporti",1,1
autoviatporti,1,1
"Spedizioni Terrestre Marittime e Fluviali per l'Interno e per l'Estero, Filiali o Corrispondenti nelle principali località Italiane ed Estere. Servizi speciali di spedizione a mezzo autocarro e per Lombardia, Piemonte, Liguria, Emilia, Toscana, Lazio, Italia Centrale, Meridionale e Insulare.",1,1
armatore-aganzuia marittima,1,1
cantlere navale,1,1
noloeggio imbarcazioni,1,1
agenzia marittima spdiuzion,1,1
Imbarcbi e sbarchi,1,1
spedizioni,1,1
nolleggno imbarcazioni,1,1
Industrie Navali Officina Meccanicee,1,1
Servizi autotrasporti Industriali di,1,1
Soc. Coop. Autotrasporti cel eri internazionali,1,1
Sindacato Imprese Trasporti Recuperi e Ricostruzioni attivita navale,1,1
"autotrasporti, spedizioni",1,1
Navigazione Fluviale,1,1
Rimorchi navali,1,1
provveditore marittimo,1,1
agenzia aunnitima spedizioni e trasporti,1,1
spedizioni trasporti navigazione,1,1
"Suoc Fratelli Scarpa, Agenzia Marittima e Casa di Spedizioni",1,1
Società di Navigazione Ae-rea,1,1
Agenzia di viaggi e turismo,1,1
trasporti marittimi diurnali e terrestri,1,1
FERRO-VE DELLE STATO,1,1
Comando Milit. Maritt. Art. dell'Alto Adriatico | Arsenale,1,1
"cicità, noleggio imbarcazioni",1,1
nolleggio imbarcazioni,1,1
"SOCIETÀ ADRIATICA TRASPORTI TURISMO IMBARCHI, SBARCHI, (GIÀ SUCO. GUETTA SOC. AN.) UFFICIO VIAGGI E TURISMO,",1,1
cantiere navale ricuperi,1,1
"Costruzione riparazione e motorizzazione Burchi, Bragozzi, Topi, Maone, Peate; Motoscafi di lusso e da trasporto - Arredamento completo del natante",1,1
autotrasporti ricuperi navali,1,1
Agenzia Marittima e casa di spedizioni,1,1
iucoperi navali,1,1
trasporti,1,1
Strti da uomo,101,2
Bar,93,2
Latterie,84,2
sarta,65,2
Refrettari,64,2
Osterie,63,2
Sarte,63,2
Barbieri,60,2
osteria,60,2
Mestre,54,2
Barili,47,2
barbiere,47,2
falegname,37,2
Manifesture,36,2
CARTA,32,2
Tipografie,29,2
Case di Cura,25,2
Geometra,24,2
ostetrica,21,2
Messaggerie,20,2
Liqouri,19,2
bar,19,2
Giornali,18,2
Modisterie,18,2
STABILIMENTO GRAFICO,17,2
Perle,17,2
perito,15,2
Squerì,15,2
Vini,15,2
Osteria,15,2
Agrumi,14,2
Carta,14,2
Vallicultura,14,2
mercerie,14,2
fiori,14,2
Barbiere,14,2
LOCANDE,13,2
Cinema,13,2
Coltellinai e Arrotini,13,2
Ghiaccio,13,2
Dolciumi,12,2
Mode,12,2
Petrolio,12,2
oreficeria,12,2
Latteria,12,2
Sarta,10,2
pensione,10,2
tipografia,10,2
Morocicli,9,2
Vetri,9,2
Cornici,8,2
Droghe,8,2
Ombrelli,8,2
albergo,8,2
orologeria,8,2
dentista,8,2
Navi,7,2
libreria,7,2
Ostetrica,7,2
parroco,6,2
Hotel,6,2
Ghiacciaie,6,2
Pelli,6,2
Seterie,6,2
Bazar,5,2
notaio,5,2
Argenterie,5,2
LA VELOCE..,5,2
Birrerie,5,2
Materassai,5,2
Uova,5,2
pittrice,5,2
vini,5,2
giornali,5,2
ing.,5,2
IMPERMEABILI,4,2
Catrame,4,2
Filande,4,2
Frigoriferi,4,2
Guami,4,2
Pantofolai,4,2
pellami,4,2
Rimorchatori,4,2
Semi oleosi,4,2
Stracci,4,2
Strucchi,4,2
Sughero,4,2
Terrrazzi,4,2
Zucchero,4,2
sarto,4,2
polleria,4,2
navi,4,2
birreria,4,2
Vetria 17,4,2
Vetreria,4,2
Ortaggi,4,2
Bandiere,3,2
Bilancie,3,2
Calderai,3,2
Espurgo pozzi neri,3,2
Ghisa,3,2
Lamiere,3,2
Libreria,3,2
Olii,3,2
Recuperi marittimi,3,2
vetri,3,2
Medico,3,2
attuario,3,2
radio,3,2
calze,3,2
trebbiatura,3,2
chirurgo,3,2
Modisteria,3,2
moderna,3,2
Medicina,3,2
Tipografia,3,2
Acciai,2,2
Aceto,2,2
Alcool,2,2
Soc. Coop.,2,2
Bitumi,2,2
Carni,2,2
Caviale,2,2
fdm. Navagero 34,2,2
(eomerscio),2,2
Filatelico,2,2
Gas,2,2
Lane e crine,2,2
Sementi,2,2
setorie e lanerie,2,2
S. A.,2,2
Telerie,2,2
Vetri neutri,2,2
Zincografia,2,2
Zolfo,2,2
medico,2,2
vallicultura,2,2
Pensione,2,2
S.,2,2
murari,2,2
veterinario,2,2
rettore,2,2
Carpentiere,2,2
pianoforti,2,2
ottica,2,2
valigerie,2,2
stomatologo,2,2
dolciumi,2,2
terraglie,2,2
carta,2,2
mode,2,2
ghiaccio,2,2
coltellinaio e arrotino,2,2
pellami e cuoi,2,2
barbieri,2,2
uova,2,2
Economo,2,2
oculista,2,2
cinema,2,2
malattie nervose,2,2
Presd. Soc.,2,2
tabachcheria,2,2
har,1,2
liquori,1,2
Abat jours,1,2
Accumulatóri,1,2
Acqua di colonia,1,2
Lloyd’s Agen.,1,2
Agricola,1,2
Armonium,1,2
Ottica,1,2
Aspirapolvere,1,2
Telef. 53-819,1,2
Bigiotterie,1,2
Bronzi,1,2
Soc. An.,1,2
Calce,1,2
"119-A""",1,2
telefono 24-562,1,2
2667 B,1,2
Carni equine,1,2
Cave,1,2
Coloniali,1,2
S. Moisé,1,2
AGENCY,1,2
Conserve,1,2
cordami,1,2
Fond. Convertite,1,2
Detective,1,2
Divise,1,2
Doratura,1,2
Ebanisti,1,2
"1079""",1,2
Eraclit,1,2
Fasite,1,2
Soc per Az,1,2
Fibre autarchiche,1,2
C. P. 46,1,2
Foraggi,1,2
Francobolli,1,2
Ghiaia,1,2
Terragliole,1,2
Insetticidi,1,2
Banco,1,2
Ne gropente,1,2
Lievito,1,2
Macellazione,1,2
Bestimare ed esercizio macellere,1,2
Malto,1,2
INSETTICIDA,1,2
prime per celerie,1,2
Molini,1,2
Nichelatura,1,2
Olive,1,2
Palombari,1,2
Panelli,1,2
Pellami e cuoi,1,2
Penna,1,2
Pianoforti,1,2
Piloti,1,2
Porcellane,1,2
recuperi,1,2
Recordi ferroviari,1,2
Phonola radio,1,2
Rodio,1,2
Cast. 3133,1,2
Riserie,1,2
Scopai,1,2
Sego,1,2
Semiotrica,1,2
terrestri,1,2
S.A.F.A.,1,2
Stufe,1,2
Cà Vio,1,2
v. Macello,1,2
Tappezzerie,1,2
Teatri,1,2
Termometri,1,2
Cartotecnica,1,2
Torroni,1,2
Esercizio,1,2
Vestiario,1,2
S.A.V.I.A.,1,2
Vetroflex,1,2
Zuccherifici,1,2
fiati ed affini,1,2
awvoc,1,2
Pastore,1,2
oste,1,2
vet radeo,1,2
Cingalagerie,1,2
cattoria,1,2
macerie,1,2
raprresentante,1,2
tipografa,1,2
lattera,1,2
bronzi,1,2
fattoria,1,2
stucchi,1,2
sguero,1,2
croft (esercizi),1,2
Alla Vida,1,2
o. pensione,1,2
nacelleria,1,2
agrumi,1,2
calcature,1,2
cinzieria,1,2
mosocore,1,2
tessanti,1,2
pelterie,1,2
micelleria,1,2
quadri,1,2
ertaio,1,2
pelli,1,2
buste salate,1,2
cappelleria,1,2
nobili,1,2
Via Algieri,1,2
starchics,1,2
Geomera,1,2
cortele e e perle,1,2
produieni,1,2
carpentire,1,2
chincaglie,1,2
modificatore,1,2
sottoscrira,1,2
matalto neuro-se,1,2
ca-toleria,1,2
sa to da uomo,1,2
trattorio,1,2
ostetrico,1,2
divise,1,2
imbarcbi e subarbe,1,2
chirurg,1,2
par. socio,1,2
caffe',1,2
aimenzanti (dett.),1,2
sa ta,1,2
pasticcera,1,2
orefice'ia,1,2
merce'cie,1,2
chiancigliere,1,2
fale indoperiche,1,2
Tormo,1,2
Merletta e cirmi,1,2
Comm.,1,2
numero 572,1,2
numero 565,1,2
corred di sposa ment-le e rangni,1,2
Albergo,1,2
Marittimi,1,2
Màghera,1,2
patrimenti Ientazioni,1,2
facchini | publici,1,2
palombari,1,2
Geometre,1,2
piloti,1,2
trattatia,1,2
olii,1,2
macellaia,1,2
Navagero 54,1,2
orologiaio,1,2
dermosifilopatica,1,2
Pres.,1,2
jeuta,1,2
radiogiologo,1,2
junioico,1,2
catalfurcicico,1,2
incisore,1,2
pellami e cuolo,1,2
orefaceri,1,2
ingg.,1,2
Cassiere,1,2
Filatelica,1,2
arw.,1,2
Ragiionere,1,2
arciprete,1,2
madura georlua. Le,1,2
ortopedico,1,2
liagerie,1,2
asserioazioni,1,2
ldm. Domnla Onesta,1,2
Municipio,1,2
macellaio,1,2
fabbr. Terrario e mecca. nico,1,2
molino,1,2
Birreria,1,2
pellami e cuoi.,1,2
hotelgieria,1,2
scnure,1,2
merce- rie,1,2
Pediatra,1,2
Tappezziere,1,2
medico chirurgo,1,2
dettaglio,1,2
in melleria,1,2
per azioni,1,2
dolciumi (mag osso),1,2
Calvacavia,1,2
Cavalcavia,1,2
ricuperi marittimi,1,2
lavandiera,1,2
Plexiglas,1,2
(dett),1,2
(dettaglio),1,2
carni equine,1,2
paniiicio,1,2
"f,attoria",1,2
Organiz. (ANT),1,2
autoparosti,1,2
bottiligeria,1,2
Cann 8971,1,2
Mlumlnio,1,2
Gludeco 595,1,2
seterie e lanerie,1,2
pianificato,1,2
cartolexia,1,2
Villuitteur,1,2
DU5E,1,2
ostetrice | Mestre,1,2
articoli somm.a,1,2
minerial,1,2
F.I.T.T.V.,1,2
bandaio lattoniere,1,2
Santa Apneise 909-A,1,2
Cann. 2102,1,2
manutentore,1,2
fond. Cavor 13,1,2
bar.,1,2
valigeria,1,2
P. S. in S.P.K.,1,2
caroleria,1,2
pellami e cuoi a,1,2
coltellaio e arrotino,1,2
ebanista,1,2
scuola,1,2
Fiori,1,2
munitettature,1,2
calsature,1,2
merce verie,1,2
mercer.,1,2
Tappzatore,1,2
orefici,1,2
Parroco,1,2
Generacia,1,2
acciai,1,2
radio e radio; alumunofni,1,2
cofor,1,2
RIECA,1,2
Sottuto,1,2
carta da macera,1,2
vetreria,1,2
Zinografia,1,2
murtori,1,2
C.P. 28,1,2
numero 45,1,2
nettezza urbana,1,2
foraggi,1,2
via Dese,1,2
Clinica Ostetrica,1,2
modisteria,1,2
pm. Patriarcale,1,2
malatte polmonari,1,2
trattorìa,1,2
caleteria,1,2
bigiotterie,1,2
autoscuola,1,2
Quadri,1,2
Orologeria,1,2
l'attrice,1,2
imbarchi e sbarchi,1,2
squero,1,2
rigattatoi,1,2
petrolio,1,2
palii iniettati,1,2
lateria,1,2
vetria,1,2
Cann. 1671,1,2
chiavaleserie,1,2
scaprer,1,2
abbiagliamento,1,2
pelliche,1,2
har. s,1,2
bandaio e fattirone,1,2
Telecommunication,1,2
pasticciere,1,2
dermatologo,1,2
geometra,1,2
lapidi marini,1,2
ostetia,1,2
pubblicità,1,2
consigliere,1,2
oreccheria,1,2
fiamaviera,1,2
osterie,1,2
ne,1,2
carta (grossiuita),1,2
Pal Da Mula,1,2
"cotellajuai, arrottini, minio",1,2
"aricule sanitari, prodotti farmaceutieci",1,2
Met'e,1,2
"elttricità econo, nizatori",1,2
latte,1,2
contoi e casearia,1,2
caffe,1,2
O.S.M.,1,2
comm.,1,2
rag,1,2
acquedotti,1,2
o'clock,1,2
Filanda,1,2
Ghiaccio (tabralerio),1,2
Molino,1,2
Vereie,1,2
vetroflex,1,2
minio,1,2
macellazione,1,2
accumulatori,1,2
numero 1641,1,2
661-A,1,2
tratto-ia,1,2
caffe (serezizi),1,2
ore-fiseria,1,2
sughero,1,2
co 1294,1,2
(dett.),1,2
Arciprete,1,2
calce e laterizzi,1,2
caccia,1,2
perle,1,2
budella,1,2
ombrelli,1,2
arxiv,1,2
rappresantanze varie,1,2
pommerinista,1,2
automatismi,1,2
al bar,1,2
cavalli da corsa,1,2
usciere,1,2
mererce,1,2
Latte,1,2
Esercizi,1,2
baccaleria,1,2
parru1chiera,1,2
hottigliocristai.,1,2
valli cultura,1,2
levita,1,2
various,1,2
logs,1,2
shoes,1,2
calfabricinio,1,2
sciroppi liguori,1,2
Attuario,1,2
bazar,1,2
promumerla,1,2
soc,1,2
incendiere,1,2
Simone,1,2
Nuova,1,2
(Ditta),1,2
"incisore, cesellatore, sbalzatore",1,2
nepote,1,2
hur,1,2
polizia rifiori,1,2
2196 A,1,2
leatarie,1,2
Tuberero,1,2
A.C.S Empale. vile e handli're;,1,2
chianista,1,2
well executives,1,2
Case da Gioco,1,2
Orologi,1,2
Turaccioli,1,2
Conterie ar-pe-le,1,2
to-ba,1,2
notai1o,1,2
barberie,1,2
sagunrO,1,2
professor,1,2
insegnanter,1,2
dermosifilopata,1,2
bodhiie,1,2
conservere,1,2
otorinolaringoiatra,1,2
cornice,1,2
Dentista,1,2
pollc-in,1,2
pellicterie,1,2
carbonia,1,2
argenteria orologeria,1,2
automoleggio,1,2
notato,1,2
radiologo,1,2
pharmacy,1,2
Pres,1,2
Orzo,1,2
Ottonai,1,2
agnuni,1,2
lavandoria e steria,1,2
orefacreia,1,2
(ANPI),1,2
INSETTICIDI,1,2
ristor ante,1,2
cas erni animali,1,2
osterica,1,2
Ruga Giuffa,1,2
osteitrico,1,2
Veterinario,1,2
Radio,1,2
cralrature,1,2
cappelano S. Bingio (Chiesa della Marina).,105,3
Trattoria,22,3
Banco di Roma,16,3
"Venezia - Via XXII Marzo, 2288, Telephone: 25-889",15,3
VISITOSI GUIDO,14,3
CINEMA S. Margherita,12,3
locanda,8,3
S. Marco,4,3
Cannaregio,4,3
S. Fantin 1983-A,4,3
Castello,3,3
S. Polo,3,3
Specialità Veneziane,3,3
S. Marco 3650,3,3
Venezia,2,3
Ponte delle Guglie,2,3
Banco S. Marco,2,3
S. Cassiano,2,3
S. Croce 1051,2,3
Palazzo Giustinian,2,3
Calle Goldoni,2,3
Ca' Foscari,2,3
S. Croce,2,3
VENEZIA,2,3
Direzione S. Lucia,1,3
Strada Nuova,1,3
S. Croce 862,1,3
"S. Marco, 378,,,",1,3
S. Marco 2553,1,3
"S. Marco, 553",1,3
"S. Marco, 2670 A",1,3
"S. Marco, 4611",1,3
"Gran Caffè Bar 900, S. Simeone",1,3
San Marco,1,3
Bottega della Luca,1,3
S. Samuele 3357,1,3
"rag. Severino Sutter, S. Polo 2988",1,3
pt. Sant' Antonino,1,3
Campo S. Maria Formosa,1,3
Internazionale Zamplroni propr. Vianello,1,3
"alluminio, Porto Marghera",1,3
San Luca Calle del Magazen,1,3
"Bottega della Luce, S. Marco, Calle Goldoni 4511",1,3
S. Luca 4371,1,3
San Lio,1,3
"S. Marco 3416""",1,3
Via Torre Belfredo,1,3
Telefono 23.050,1,3
S. Marco 4651,1,3
S. Elena,1,3
S. Polo 1077,1,3
Vetrai 74,1,3
"S. Croce 772, Dorsod. 2727, S. Marco 4578 e Lido, Via Malamocco 91",1,3
"Telefono, 23-257",1,3
S. Fosca 2223,1,3
S. Marco 914,1,3
2288 - Telefono 25-889,1,3
Telefono 42-562,1,3
Unica Premiara Ditta di Palloncini alla Veneziana,1,3
S. Marco 3727,1,3
"Pellestrina, S. Pietro in Volta",1,3
Via Piave,1,3
P.za Umber. I,1,3
S. Marco 4346,1,3
