canonical_label,frequency,cluster_id
artistic glass,2,4
"goldsmithing, jewelry",2,4
pottery,2,4
Neutral glass,2,4
luxury gift items,2,4
Glassblowing,2,4
Murano glass,1,4
silverware and gilding,1,4
precious objects,1,4
fine arts,1,4
engraver,1,4
mosaic artist,1,4
glass beads,1,4
painter decorator,1,4
paintings,1,4
glass products,1,4
glassware,1,4
glassware representative,1,4
glassware representatives,1,4
glassworking,1,4
marine tombstones,1,4
marine paints,1,4
goldsmith,1,4
glass manufacturing,1,4
glass and chandeliers,1,4
glass and mirror trade,1,4
ship painting and varnishing,1,4
stained glass,1,4
Gilding,1,4
Glass Factory,1,4
Glass Production,1,4
Glass and Chandeliers,1,4
Glass and chandelier beads,1,4
Glass manufacturing,1,4
Glass products,1,4
Glassmaking,1,4
Goldsmith,1,4
Gift Items,1,4
Engraving,1,4
Fine Arts,1,4
Fine Arts Academy,1,4
Frame Workshop,1,4
Imitation Jewelry,1,4
Metalwork,1,4
Industrial painting,1,4
Jewelry Production,1,4
Bronze Works,1,4
Art Restoration,1,4
Antiques,1,4
Antiques and Books,1,4
Art Portraits,1,4
Art Supplies,1,4
Art portraits,1,4
Artificial Flowers,1,4
Artistic Furniture,1,4
Artistic Glass,1,4
Artistic Glassworks,1,4
Artistic Objects,1,4
Artistic Portraits,1,4
Artistic ceramics,1,4
Dental prosthetics,1,4
Costume Jewelry,1,4
antique and art office,1,4
art gallery,1,4
art reproduction,1,4
artistic,1,4
artistic craftsmanship,1,4
artistic mills and carpets,1,4
artistic portraits,1,4
Vehicle Gems,1,4
Venetian Art,1,4
costume jewelry,1,4
decorative painters,1,4
decorator and painter,1,4
bronze,1,4
ceramic articles,1,4
ceramics,1,4
ceramics and mosaics,1,4
Porcelain,1,4
Portrait Artists,1,4
Precious Objects,1,4
Paints and Varnishes,1,4
Silverware and Watches,1,4
Sanitary Glass,1,4
Scientific and Pharmaceutical Glass,1,4
grocery,166,5
grocery (retail),71,5
household goods,46,5
wholesale fruits and vegetables,39,5
Commercial,38,5
Wine wholesalers,35,5
Groceries,33,5
Household goods,27,5
Used goods,24,5
various packaging,19,5
Grocery,17,5
Pharmacies,17,5
agriculture,14,5
Pharmaceuticals,12,5
Manufacturing,12,5
wine wholesaler,12,5
Purchasing society,11,5
Real estate and agriculture,9,5
Wholesale fruits and vegetables,9,5
purchasing and management,7,5
Industrial company,6,5
Fur trade,6,5
ship suppliers,5,5
manufacturing,5,5
wholesale grocery,5,5
import/export,4,5
Agriculture,4,5
hygiene products,4,5
Agricultural company,4,5
coffee importers,4,5
Wine trade,4,5
supplies,3,5
medical supplies,3,5
wholesaler,3,5
factory,3,5
groceries,3,5
Wholesale fish,3,5
Waste management,3,5
Food cooperative,3,5
Household items,3,5
Medical products,3,5
Funeral supplies,3,5
Agricultural products,2,5
Commerce,2,5
Industry,2,5
Fuel Supply,2,5
Wholesale cured meats,2,5
pharmaceutical trade,2,5
Supplies for various entities,2,5
Luxury Goods,2,5
ice sales,2,5
pasta production,2,5
commerce,2,5
coal (importers and producers),2,5
food retailers,2,5
fruit and vegetable wholesaler,2,5
Aquaculture,2,5
fish wholesaler,2,5
wholesale food,2,5
Beverage Manufacturer,2,5
Drug processing,2,5
Purchase,2,5
Naval and industrial supplies,2,5
oil company,2,5
Dairy wholesaler,2,5
Retail,2,5
optical trade,2,5
Exports,2,5
Maritime suppliers,2,5
Import/export fruits and vegetables,1,5
fuel company,1,5
wholesale groceries,1,5
wholesale,1,5
wholesale fruits,1,5
wholesale cereals,1,5
fuel supplier,1,5
soft drink industry,1,5
wholesale produce,1,5
factories,1,5
factory and warehouse,1,5
military supply,1,5
wholesale sweets,1,5
shipping supplier,1,5
food preservation industry,1,5
wine and liquor wholesale,1,5
wholesale wood and coal,1,5
food wholesaler,1,5
wholesale wines,1,5
food distributor,1,5
food distribution,1,5
miscellaneous goods,1,5
trading company,1,5
industrial products,1,5
trading,1,5
packaging supplies,1,5
industrial supplies,1,5
paper wholesaler,1,5
packaging industry,1,5
naval supplies,1,5
gas industry,1,5
grocery and dairy,1,5
grocery wholesale,1,5
liquor manufacturer,1,5
perfumes manufacturer,1,5
pharmaceuticals,1,5
grain wholesaler,1,5
pharmaceutical products,1,5
livestock dealer,1,5
Grocery Wholesale,1,5
Grocery Retail,1,5
Household Goods,1,5
Gas industry,1,5
Firewood wholesale,1,5
Fishing Supplies,1,5
Fishing supplies,1,5
Food Exchange,1,5
Food Wholesale,1,5
Fuel Wholesale,1,5
Housewares representative,1,5
Hygiene products,1,5
Manufacturing company,1,5
Import/Export,1,5
Medical Supplies,1,5
Import/Export Trade,1,5
Importation,1,5
Industrial,1,5
Industrial Supplies,1,5
Industrial products,1,5
Bathroom Products,1,5
Agricultural Trade,1,5
Animal Feed,1,5
Drug trade,1,5
Edible Oils Trade,1,5
Dairy production,1,5
Colonial Goods,1,5
Commercial Information,1,5
Consumption Taxes,1,5
Wine Trade,1,5
agricultural equipment,1,5
Wholesale groceries,1,5
animal feed,1,5
arms trade,1,5
Wholesaler,1,5
Wholesale Grains and Oils,1,5
Warehouse,1,5
Warehousing,1,5
Waste Management,1,5
commerce and processing,1,5
complete supplies,1,5
cork processing,1,5
dairy wholesaler,1,5
economical kitchens,1,5
coffee industry,1,5
coal importers and producers,1,5
automotive trade,1,5
beverage factory,1,5
bottling industry,1,5
chemical products representatives,1,5
chemical trade,1,5
cleaning products,1,5
Production distribution,1,5
Perfume manufacturing,1,5
Pearls Trade,1,5
Naval Supplies,1,5
Sugar Factories,1,5
Sugar factory,1,5
Retail trade,1,5
Rice production,1,5
Rope Manufacturing,1,5
Rubber Goods,1,5
religious institution/clergy,112,6
medical profession,97,6
Lawyer,86,6
government/civic institution,71,6
real estate,65,6
Real estate,39,6
insurance,33,6
Real estate companies,32,6
Pharmacist,27,6
Labor,26,6
Nursing homes,25,6
Insurance company,24,6
Surveyor,24,6
legal profession,24,6
midwifery,21,6
architect,21,6
Credit institutions,20,6
bank,19,6
accountant,18,6
Sales representative,17,6
Accountant,17,6
Municipal councilor,17,6
Boarding houses,17,6
expert,15,6
hotel,15,6
company,15,6
Pharmacy,14,6
clergy,12,6
Boarding house,12,6
Government Institution,10,6
Bank,9,6
religious institution,8,6
institutions,8,6
inn,8,6
dentist,8,6
Religious institution,7,6
broker,7,6
Religious Institution,7,6
Government/civic institution,7,6
Midwifery,7,6
general medicine,7,6
Neighborhood,7,6
Notary,6,6
mediators,6,6
Medical profession,6,6
agencies and businesses,6,6
General medicine,6,6
government office,6,6
Real Estate,4,6
Teacher,4,6
cooperative,4,6
Representative,4,6
education,4,6
Medical Profession,4,6
government institution,4,6
Architect,4,6
Director,3,6
secretary,3,6
Business,3,6
surgeon,3,6
President,3,6
academic profession,3,6
banking institution,3,6
vicar,3,6
university,3,6
surveyor,3,6
judge,3,6
Civil and criminal court,3,6
Chimney sweeps,3,6
Castle,3,6
Inspector,3,6
Expert,3,6
Medicine,3,6
radio,3,6
Government/Civic Institution,3,6
Government Position,3,6
real estate company,3,6
pharmacy,2,6
Investigation services,2,6
pharmacist,2,6
Urban sanitation,2,6
labor association,2,6
historical site,2,6
Typing schools,2,6
Legal Profession,2,6
Business agency,2,6
representatives,2,6
chemical profession,2,6
Government,2,6
educational institution,2,6
rector,2,6
dental profession,2,6
assistance,2,6
general practitioner,2,6
banking,2,6
advertising agency,2,6
accounting,2,6
veterinary,2,6
Hotel,2,6
bridge,2,6
University,2,6
military rank,2,6
optician,2,6
Religious institution/clergy,2,6
shoe representative,2,6
Educational institution,2,6
Oculista,2,6
Educational Institution,2,6
medical institution,2,6
prefecture office,1,6
watchmaker,1,6
warehouse office,1,6
national interest bank,1,6
veterinary profession,1,6
veterans association,1,6
national bank secretary,1,6
mining company,1,6
railway police,1,6
real estate agency,1,6
executive,1,6
military service,1,6
military command,1,6
foreign office,1,6
property owners association,1,6
provincial administration,1,6
midwife,1,6
pilots,1,6
hunting,1,6
legal sponsor,1,6
sales representative,1,6
industrial association,1,6
hotel management,1,6
horse racing,1,6
hospital,1,6
parish priest,1,6
gaming houses,1,6
service manager,1,6
labor organization,1,6
school,1,6
industrial representative,1,6
insurance company,1,6
specialist,1,6
representative,1,6
general representation,1,6
usher,1,6
physical culture institute,1,6
government inspector,1,6
sports association,1,6
sports club,1,6
typing school,1,6
pediatrician,1,6
university institution,1,6
government/military institution,1,6
nursing home,1,6
lottery office,1,6
location,1,6
university library,1,6
tax inspectorate,1,6
Government Agency,1,6
Home Goods Representative,1,6
Hotel Management,1,6
Hotel management,1,6
Entertainment industry,1,6
Firefighter,1,6
Medical Institution,1,6
Medical institution,1,6
Mercer,1,6
Insurance Agency,1,6
Insurance Representative,1,6
Insurance association,1,6
Investigation agency,1,6
Laboratory,1,6
Library,1,6
Bank Position,1,6
Civic advisor,1,6
Clergy,1,6
Actuary,1,6
Architecture Institute,1,6
Architecture Professor,1,6
Automobile Club,1,6
Coal Representatives,1,6
Dentist,1,6
Detective,1,6
Director of Police Station,1,6
"Ear, nose, throat specialist",1,6
Education,1,6
Educational Shows,1,6
Decorator,1,6
Dealer,1,6
Commercial agency,1,6
Company,1,6
Corporation,1,6
Counselor,1,6
Court of Mestre,1,6
Military command,1,6
Military district,1,6
administrative officer,1,6
actress,1,6
animal care,1,6
archivist,1,6
association,1,6
University Institution,1,6
University Secretary,1,6
Urban district,1,6
Accounting inspector,1,6
Vice Commissioner,1,6
Water Magistrate,1,6
Water authority,1,6
commercial director,1,6
cultural association,1,6
customs laboratory,1,6
customs office,1,6
decorator,1,6
dermatologist,1,6
designer,1,6
divers,1,6
driving school,1,6
educator,1,6
banking director,1,6
charitable institution,1,6
civic club,1,6
civil engineer,1,6
civil service,1,6
Pest control,1,6
Pharmaceutical Representation,1,6
Pilots,1,6
Police,1,6
Provincial Government,1,6
Public Housing Institute,1,6
Public works,1,6
Museum,1,6
Occupational safety institute,1,6
Offices,1,6
Pawn Agency,1,6
Surgeon,1,6
Telephone Directory,1,6
Theatre Administration,1,6
Real Estate Company,1,6
Rector,1,6
Shepherd,1,6
Insurance agency,1,6
typewriters,144,7
office furniture,80,7
office supplies,76,7
typewriters and calculators,66,7
Printing,43,7
photography,39,7
Paper,32,7
stationery,31,7
Newspapers,20,7
Printing establishment,17,7
Office supplies,17,7
Stationery,17,7
Publishing house,16,7
paper,16,7
optics engineering photography,15,7
cinema,14,7
Cinema,14,7
signs and advertising,12,7
photographic articles,12,7
newspaper sales,11,7
bookbinding,9,7
picture frames,8,7
gramophones and records,8,7
photographic materials,6,7
Photographer,6,7
Paper products,6,7
newspapers,5,7
Recycling,5,7
Optics,5,7
postcards,4,7
office machines,4,7
paper mills,4,7
Photography supplies,4,7
Bookbinding,4,7
photographer,4,7
Publishing,4,7
packaging,3,7
graphic arts,3,7
Rubber stamps,3,7
packaging paper,3,7
photographic items,3,7
Cinematographic machines,2,7
paper industry,2,7
paper representative,2,7
paper trade,2,7
cinematographic equipment,2,7
optics,2,7
Paper bags,2,7
Photography,2,7
Philately,2,7
newsstand,2,7
Photo reportage,2,7
playing cards,1,7
wallpaper and related,1,7
printing and stationery,1,7
printing,1,7
publishing industry,1,7
publishing company,1,7
optics and photography,1,7
household articles,1,7
paper (wholesale),1,7
paper products,1,7
rubber stamps,1,7
newspaper retailer,1,7
philately,1,7
photography equipment,1,7
office equipment,1,7
Film Materials,1,7
Funeral Articles,1,7
Cinema and film rental,1,7
Copy Services,1,7
antique books,1,7
Typewriters,1,7
Wallpaper and related,1,7
bathroom articles,1,7
Photography Industry,1,7
Photography Services,1,7
Photography Supplies,1,7
Photography studio,1,7
Playing cards,1,7
Postal Service,1,7
Publishing House,1,7
Pen,1,7
Newspaper Distribution,1,7
Office Equipment,1,7
Paper Trade,1,7
Paper and Rags for Paper Mills,1,7
Stamps,1,7
Stationery Store,1,7
Stationery and Paper Products,1,7
Rubber Stamps,1,7
Film equipment sales,1,7
trattorias,177,8
butcher,118,8
bar,113,8
trattoria,101,8
café,85,8
tavern,76,8
wine merchant,70,8
taverns,63,8
barber,62,8
barbers,62,8
hardware store,58,8
tobacco shop,50,8
Delicatessen,45,8
jewelry store,44,8
paint store,44,8
bakery,42,8
Bakery,37,8
Tobacco shop,32,8
Liquor store,28,8
Hairdressers,28,8
restaurant,26,8
pastry shop,23,8
artisan business,21,8
Coffee shops,17,8
Restaurant,14,8
pasta makers,13,8
ice cream shop,12,8
Hardware store,12,8
bookstores,12,8
hat shops,12,8
Fishmonger,11,8
Umbrella shop,11,8
Women's hairdresser,11,8
Butcher,10,8
liquor store,10,8
Restaurants,10,8
furniture store,9,8
hotel and restaurant,9,8
hotels,9,8
grocery store,8,8
bookstore,7,8
pastry shops,7,8
Café,6,8
bazaar,5,8
Breweries,5,8
café and pastry,5,8
brewery,5,8
Grocer,4,8
Grocery Store,4,8
Retail Store,3,8
Perfume shop,3,8
Pastry shop,3,8
Coffee shop,3,8
Bookstore,3,8
confectionery,3,8
Coffee Shop,3,8
hairdresser,3,8
Notions store,3,8
hat shop,2,8
Confectionery,2,8
Liquors (retail),2,8
Florist,2,8
Butchery,2,8
coffee shop,2,8
fishmonger,2,8
Ice cream shop,2,8
gift shop,2,8
café-pastry shop,2,8
butcher shop,2,8
furniture (stores),2,8
Beauty institutes,2,8
shoe factory,2,8
Mercerie,2,8
fruit vendor,1,8
furniture store and stationery,1,8
fried food vendor,1,8
merchants' association,1,8
repair shop,1,8
merchant,1,8
merchants,1,8
farm,1,8
fish market,1,8
furniture supplier,1,8
women's hairdresser,1,8
floristry,1,8
wine shop,1,8
pastry,1,8
hotel-restaurant,1,8
pastry chef,1,8
jewelry retail,1,8
knife maker,1,8
paints retailer,1,8
