profession,frequency,cluster_id
Soc. Industriale es. Marco,2,0
Soc. Montedison per l'industria chimica,2,0
" S. Giovanni Laterano, , ",2,0
"DIREZIONE LOTTO,",2,0
Società ITMA,1,0
Assicurazioni Generali,1,0
 Santa Croce (IV),1,0
Mazzorbo di Burano,1,0
Rio del Pontelungo,1,0
Stabilimento I. N. A.,1,0
Riva del Carbon,1,0
presso Albergo Danieli,1,0
presso ditta 'Jessurum',1,0
presso Italian,1,0
presso Adriatica di Navigazione,1,0
Via Torre Belfredo,1,0
"Uffici Finanziari di Mirano,",1,0
" Ufficio Idrografico, ",1,0
Gruppo Ristoranti trattorie,1,0
Gruppo: Osterie,1,0
 Caccia e Pesca,1,0
Corsi vari di istruzione professionale per artigiani e operai in tutto il Veneto,1,0
Sezione Autonoma di Credito per le Piccole Industrie e l’Artigianato,1,0
Ufficio Commissionario Industrie e Artigiane con Mostre campionarie permanenti di prodotti tipici dell’artigianato e delle piccole industrie venete,1,0
Biblioteca di consultazione per artigiani e piccoli industriali (aperto tutti i giorni feriali nelle ore d’Ufficio),1,0
"Asilo e Morioni n. S. Francesco della Vigna, numero 2951",1,0
" anche per Giudecca, , ",1,0
" anche per S. Polo, , ",1,0
Agente principale della Società Autori ed Editori della Agenzia di Venezia,1,0
Fed. Ginnastica d'Italia (FGDI),1,0
Unione It. Tiro a Segno (UITS),1,0
"Pres. Reg., Fed. It. Sport Invernali (FISI)",1,0
Fed. It. Pattinaggio su Ghiaccio,1,0
Fed. It. Hockey su Ghiaccio,1,0
presso Lega Reg.,1,0
Osp. Marino,1,0
dirett. Cro-nici,1,0
"Murano, Venezia",1,0
"Carpenedo, Mestre",1,0
 Venezia,1,0
 Città Giardino,1,0
Divisione S. Lucia,1,0
loc. Gaggio,1,0
Riceve dalle ore 15 alle ore 18,1,0
Ca' Foscari,1,0
Conterie 24,1,0
Capo Stazione l. A. Agg.,1,0
Azienda,1,0
 spec. Vernizione,1,0
"Di vetterti Aumn, Istibuto Prov. degli Esposanti",1,0
Amm. Imposte di Consumo del Comune,1,0
località Dese,1,0
P.le Stazione,1,0
 Viale Stazione presso Autostimesa Standa,1,0
Via F.lli Bandierine,1,0
Via Galuppi,1,0
Via Spalti,1,0
Colonia Alpina S. Marco,1,0
Telefono 34-285,1,0
agenzia nolleggio film,1,0
Agente per l Venetti E. A. Super Lux 8,1,0
ved. Bianchi,1,0
 al Pingrosso,1,0
Ufficio di Venezia,1,0
S. Filippo e Giacomo,1,0
 Parigi,1,0
 della Prev. Sociale,1,0
specialità veneziane,1,0
noleggio imbarcazioni,1,0
pres Lega R:9,1,0
Banca Popolare di Novara,1,0
SS. Pietro e Caterina,1,0
Rialto 1364,1,0
"Alla Nuova Trattoria, di Mario",1,0
Via Velarino,1,0
agenzia d’affari,1,0
Stabilimento : Casa di Pena,1,0
Ferrovie de lo Stato,1,0
Cimiteri Comunali,1,0
Società Anonima,1,0
Societa Canottieri Bucintoro,1,0
Punta Sabbioni,1,0
piazza 22 Marzo,1,0
Gazzera Alta 158,1,0
Direzione Lotto,1,0
informazioni comm.,1,0
Cannareguo 1984-85.,1,0
S. Trovaso. Palazzo Giustiniani,1,0
 Grande Salone per banchetti e Rinfreschi,1,0
 agenzia marittima,1,0
Dirett. Macello Comunale,1,0
Istituto Nazionale per l'Addestramento Professionale Lavoratori dell'Industria,1,0
Autotrasporti,1,0
Ispet. Capo Amm. Imposte Consumo del Comune,1,0
Altri Stazione,1,0
"Lido, Via Malamocco 38",1,0
nomina per Valli in provincia di Venezia e Campagnaluqa,1,0
Palazzo Bonambo,1,0
succ. di Gaio Ernengildo,1,0
Viale S. M. Elisabetta,1,0
Concessionarie Marelli,1,0
 specialità Veneziane,1,0
 Imbarcazioni,1,0
'IRC s.a.r.I.,1,0
Società mineraria immobile,1,0
Deposito: Cannaregio Abazzia,1,0
Soc. per Az. Rossi Tranquillo,1,0
Società Autorimessa Roma,1,0
Società Bunieraggi,1,0
esplorug pozzi neri,1,0
Ditta Cecchetti Pradel & C.,1,0
Ame-ricana nel Petrolio,1,0
Società Italo-Oriental d’idrogenco,1,0
Prov. Servizio Impianti Sportivi,1,0
OCCASIONI - CAMBI - RICOMISSIONI - NOLEGGI,1,0
"Comando Militare Mar., Autorità dell'Alto Adriatico, Arsenale",1,0
 Club Alpino Italiano,1,0
Rialto 198,1,0
(Società per la Gestione),1,0
Commissariato S. Polo e Santi Croce,1,0
Soc. Naz. Trasporti e Fratelli Gondrano,1,0
Capo Stazione,1,0
Ufficci Marshe,1,0
Comando Militare Maritt Aut. dell'Alto Adriatico,1,0
ved. di Zanco Attilio fu Sebastiano,1,0
 Imposte Comunlo del Comune,1,0
 Ispet. di l. Gl. Sez. Lavori di Venezia,1,0
Capo Uff. Stampa e Propag.,1,0
presso la Corte d’Appello,1,0
Premiate Cantine,1,0
"VENEZIA s. Focn, 1079",1,0
Consigliere Banca Veneta Mezzana a Gretti e Conti Correnti,1,0
Galleria gG. Franchetti alla Ca D’Oro,1,0
"Uff. Stazione di Cura,  Soggiorno,  Turismo",1,0
Sezione Città,1,0
Sezione Estuario e Marghera,1,0
Castello (II),1,0
" Ponte delle Maravegie,  Sezione di Lido,  Via Malamocco, , ",1,0
" Rio Terra S. Giuseppe di Castello, , ",1,0
COMITATO OLIMPICO NAZIONALE ITALIANO,1,0
"Studio di Ragiione ria, Consulenza ed Assistenza Tributaria. Telef. 28.042.",1,0
gestione Magnarin Giuseppe,1,0
Vice Pres. Società Canottieri Bucintoro,1,0
Soprintendenza ai Monumenti Medioevali e moderni del Veneto Orientale,1,0
Capo Divisione Soprintendenza ai Monumenti Mediovali e Moderni del Veneto Orientale,1,0
Succ. a G. B. Trapolino,1,0
Società Cattolica di Assicurazione Verona,1,0
Cantiere Navale,1,0
gestione S. A. ICSA,1,0
Ponte della Canonica,1,0
Category: Ospitalità,1,0
"Pres, Arciconfratermita di San Cristoforo e Compagnia della Misericordia",1,0
dell'Unione,1,0
ag. capo Stazione Marittima,1,0
"Marghera, Via Fratelli Bandiere",1,0
 Medioevali e Moderni del Veneto Orientale,1,0
Deputazione Borsa valori,1,0
Padova,1,0
UNIONE REGIONALE CAMERE DI COMMERCIO DELLE VENEZIE,1,0
Commissariato di S. Marco,1,0
Commissariato di Cannaregio,1,0
Commissariato di S. Polo e S. Croce,1,0
Commissariato di Dorsoduro,1,0
 r. t. trasporti marittimi,1,0
Malattie Veneree e della Pelle,1,0
ACCADEMIA di Belle Arti e Liceo Artistico,13,1
SCUOLA GRANDE DI SAN ROCCO,4,1
ISTITUTO VITTORIO ALFIERI,2,1
Soc. in N. Coll. Filippo Campesan & F.llì,2,1
Laboratorio Scuola per Falegnami,1,1
Scuola: « G. Gozzi »,1,1
Scuola: « Giacinto Gallina »,1,1
Scuola: S. Maria Formosa,1,1
Scuola: Luigi Cadorna,1,1
Scuola Michele Renier,1,1
Scuola Armando Diaz,1,1
Scuola Alfredo Oriani,1,1
Scuola A. Scarsellini,1,1
Scuola E. De Amicis,1,1
Scuola Diedo,1,1
Scuola Giudecca,1,1
Scuola Marghera,1,1
Scuola Catene,1,1
Scuola Villabona,1,1
Scuola Chirignago,1,1
Scuola Asseggiano,1,1
Scuola Ca Emiliani,1,1
Scuola Malcontenta,1,1
Scuola Carpenedo,1,1
Scuola « Ugo Foscolo »,1,1
SCUOLA MAGISTRALE RICONOSCIUTA,1,1
SCUOLA MEDIA PARIFICATA,1,1
ISTITUTO ITALIANO RAVA',1,1
ISTITUTO SUORE DI NEVERS,1,1
ISTITUTO DELLE SUORE DEL S. CUORE,1,1
COLLEGIO ARMENO « M. RAPHAEL »,1,1
Istituto Artigianelli,1,1
Accademia di Belle Arti,1,1
Succ: Fratelli Scarpa,1,1
Istituto Zambler,1,1
Insegnante,1,1
Istituto Univers,1,1
Istituto U.r..straria Architettura,1,1
Procuratore della Scuola Mer-letti di Murano,1,1
prof. Istituto Universitario di Architettura,1,1
 Rettore Istituto Crovani e Guglielmo Marconi,1,1
Instituto Universitario di Architett.,1,1
Instituto Universitario Architett.,1,1
Studio Radio e Elettrotecnico,1,1
Insegnante Accademia di Belle Arti,1,1
Istituto Aut. per le case popolari,1,1
Scuola Infermiere della Croce Rossa Italiana,1,1
Istituto Universitario di Architett.,1,1
ISTITUTO CONVITTO « G. MARCONI »,1,1
SCUOLA MERLETTI DI BURANO REGINA ELENA,1,1
SCUOLA ARICCONFRATERNITA DI SAN CRISTOFORO E COMPAGNIA DELLA MISERICORDIA,1,1
"Scuole ginnasiali e Liceo classico, Istituto tecnico industriale",1,1
"Istituto Coletti con scuole per meccanici, falegnami-calzolai",1,1
Direttore Istituto Universitario di Archit.,1,1
panificio. SS.,53,2
 gioielleria,6,2
Alimentari (Dett.),6,2
 grossista,5,2
trattoria,4,2
falegname,4,2
 cartoleria,4,2
grossista,4,2
 pasticceria,4,2
Abbigliamento,3,2
 giornali,3,2
 affini (vendita),3,2
 confezioni,3,2
 chincaglierie,3,2
 saponi,3,2
Supplente,3,2
panificio,2,2
sarta da uomo,2,2
 pelletterie,2,2
negozio,2,2
rivendita,2,2
calzature,2,2
 (grossista),2,2
 cesellatore,2,2
 noleggio riparazioni),2,2
 trattoria,2,2
latteria,2,2
 giocattoli,2,2
tabaccheria,2,2
", MACELLO COMUNALE",2,2
"Gruppo: Caffé, bar, bottigliere, birrierc",1,2
 Qualsiasi lavoro in fiori,1,2
corredi,1,2
 negozio,1,2
chinaglieie,1,2
macelleria (introduttore Ac. stime),1,2
profumeria,1,2
"alimentari, (dett.)",1,2
cartoleria profumeria,1,2
uova,1,2
ingrosso,1,2
dettuanaglio,1,2
Piedi,1,2
 Tessuti,1,2
"Ditta,",1,2
cinema (sale di proiezione e gestione),1,2
 Noleggi,1,2
alimentari (dett.),1,2
perle (product. e commercio),1,2
 bottiglieria. (esercizi),1,2
confezionisti,1,2
autorimessa,1,2
 (commercio),1,2
 cm. fezione,1,2
frutta e verdura,1,2
fraganai,1,2
caffè (esercizi),1,2
stireria,1,2
 Fori perle,1,2
porcellane,1,2
commercio,1,2
 gioieileria,1,2
 erane vegetale,1,2
(edicola),1,2
salumi (negozio),1,2
 glati,1,2
alimentari,1,2
 liquori,1,2
 calcolatrice,1,2
parrucchiere per signora,1,2
 manifature,1,2
dolciumi,1,2
 mercerie,1,2
grossisti,1,2
libreria,1,2
 Agrumi,1,2
essicazione frutta ed erbaggi,1,2
confezioni iliati,1,2
 affini (vendi-ta),1,2
 liquori (fabbrica e deposito),1,2
 ingrosso,1,2
rosticceria,1,2
parruccchiere per signora,1,2
bottiglieria,1,2
 frutta alimentari,1,2
Fruttiera Francesco,1,2
materassai,1,2
legumi,1,2
 vini rappresentante generi alimentari,1,2
cinema (produzione film stabii-,1,2
gerogi alì mentari (dett.),1,2
 grassi,1,2
 benzina,1,2
 drogheria,1,2
corieettine e pele,1,2
artic. commestibili (commercio),1,2
 espressi telegrammi,1,2
 frutta e verdura,1,2
"agrumi, essicazione frutta ed erbaggi",1,2
Telef: ab. bigliamento,1,2
Compra Vendita Caffè e Ristoranti,1,2
Calzature,1,2
Droghiere,1,2
fuoro,1,2
perle (lavoro,1,2
cappelleria,1,2
 confizioni,1,2
 munizioni,1,2
Manifattura Tabacchi,1,2
Latte (grossista),1,2
confezioni,1,2
 specialità veneziane articoli sportivi,1,2
 vini (gros. s] sta),1,2
petrolio,1,2
" ""Frutta e verdura",1,2
 cinghialerie,1,2
ditta,1,2
Cairampane trattoria,1,2
(dettaglio),1,2
 alimentari,1,2
pozzî niedai,1,2
 aggiunto,1,2
 Traslochi,1,2
 edicola,1,2
Ditta,1,2
 Compra-vendita,1,2
ristorante,1,2
abiti confezionati,1,2
(negozio),1,2
 vendita),1,2
barbiere,1,2
 Calze,1,2
albergo e ristorante,1,2
caffè (torrefazione),1,2
 vendita immobili,1,2
(gab. inetti di posa),1,2
Ristorante,1,2
bottiglieriа,1,2
 cuoi ed affini,1,2
detàglian- ti legna e charbonc,1,2
grossisti spettaclli medicinali,1,2
parroco S. Maria del Rosario (Gesuitati),167,3
Attuari,111,3
Presidente,20,3
Consolati,13,3
S.A.,13,3
Arciprete-parroco,13,3
"Solesin,",12,3
Torcello,7,3
sarta,7,3
da A. Joggna,5,3
Comm. Agg.,4,3
Fid. Prov.,4,3
Municipio,4,3
prof.,3,3
Parroco,3,3
", MUNICIPIO",3,3
Mensile,3,3
V. Comm.,2,3
perito,2,3
cavaliere,2,3
dett.,2,3
arciprete,2,3
Geom.,2,3
parroco,2,3
Soc. AGESPIDE,2,3
Comandante,2,3
S. Angelo,1,3
Vetrocke,1,3
V. Comm. Agg.,1,3
Comm.,1,3
 Silvestro,1,3
 govvp,1,3
Fed. It. Pugilato (FIP),1,3
Fed. It. Sport Equestri (FISE),1,3
Osp. Civ.,1,3
 Alberoni,1,3
Categoria VIII,1,3
fram. Santi 3,1,3
Vice Pres.,1,3
Presidente ,1,3
(abbigra),1,3
Enego,1,3
tenente,1,3
"Antonio,",1,3
bar,1,3
polleria,1,3
gros.,1,3
Forossitti,1,3
Tenenzia,1,3
s. r. l.,1,3
 Dese,1,3
Numero 5576-A,1,3
S. Marziale,1,3
RICHMAR,1,3
Brendole,1,3
Litugi Achieri,1,3
 (gross),1,3
 chinicalgile,1,3
S. Maria del Carmelo,1,3
S. Pantalon,1,3
(eredi),1,3
 chimico del La..,1,3
pal. Patriarcale,1,3
 juors,1,3
sqiurero,1,3
orologeria,1,3
t'atoria,1,3
Santa Maria Formosa 4778,1,3
Director,1,3
 molino,1,3
Soc. a.r. l.,1,3
Titto,1,3
Diret. agt.,1,3
Orologeria,1,3
Radio,1,3
 radio,1,3
S. Marco,1,3
ortagagi,1,3
(Cronometriosta),1,3
 (dett.),1,3
Arcprete,1,3
arcirepe,1,3
D'allefitanni,1,3
Navagero 34,1,3
Ann. Castellan G. & Santon A.,1,3
Duro 3188-29,1,3
 orologeria,1,3
Barbiere,1,3
Orologiaio,1,3
Fotografo,1,3
Lari,1,3
ispett.,1,3
Sarto,1,3
Cap.,1,3
n. r. 1.,1,3
del Genio Civile,1,3
infe.,1,3
in translator biz,1,3
Fidibus against mosquitoes,1,3
 Prodalta,1,3
 latteria,1,3
 Perito,1,3
 rdm,1,3
G. V,1,3
maestro,1,3
M 40,1,3
Sarta,1,3
Conchiapje,1,3
Patrimonio,1,3
Cav. Uff.,1,3
Telefono,1,3
Merceologia,1,3
Merceologia (id.),1,3
" Arsenal°, , ",1,3
biblica,1,3
morale e sacra pastorale,1,3
"Presidente,",1,3
Domenicani,1,3
Bimesile,1,3
Bce salutariameta,1,3
(interno Municipio),1,3
Dursto Militare,1,3
S. A.,1,3
 olii,1,3
Suaege,1,3
"DOGANA,",1,3
Categoria IX,1,3
Categoria VII,1,3
Rk. PP. Armeni Mechitaristi,1,3
monista,1,3
Federaz. Cooperative,1,3
orologie,1,3
Anatomia,1,3
San Lio,1,3
Medicina generale,216,4
Rappresentante di case produttrici di medicinali,186,4
Farmacista,90,4
Farmacisti,46,4
Veterinario,27,4
Gabinettl dentistici,21,4
medicina generale,14,4
ostetrica,7,4
farmacista,5,4
dottore,3,4
Ospedale Civile,3,4
dr.,3,4
Medico,2,4
"Dott. Medicina,",2,4
dentista,2,4
medico chirurgo,2,4
"Direttore sanitario,",1,4
"Assistenza infermi a domicilio,  diurna e notturna.",1,4
MEDICO CHIRURGO,1,4
IspetL Sanità,1,4
Medico Chirurgo,1,4
Medicina Interna,1,4
Docente malattie del bambini,1,4
 Medio acg. dr. Ulisse Camalfi. Consulente ordinario dr. Tancredi Cortei,1,4
ed L. Merline e C.,1,4
Clinica,1,4
farmacia,1,4
Ispett. Sanità,1,4
"Direttto: Prof. dr. ing.,",1,4
"Gr. uff, dr. arch., ",1,4
Mdico-Direttore,1,4
Medico Chirurgo Ostetrico,1,4
Specialista Malattie Lattanti e Bambini,1,4
dott.,1,4
Medicina Generale,1,4
medico pediatra,1,4
colonnello medico,1,4
rappresentante dei medici,1,4
rappresentante dei veterinari,1,4
Sezione specializzata di Zootecnia,1,4
Ingegneri,32,5
Archivio di Stato,18,5
"SCIENTIFICA E MAGISTRALE,",17,5
Meccanica,9,5
Chimica,4,5
Personale degli Uffici - Segreteria della Sezione di Economia e Commercio,4,5
"CAMERA DI COMMERCIO,  INDUSTRIA ED AGRICOLTURA",4,5
Economo,3,5
Tribunale Civile e Penale,3,5
Geografia economica,3,5
Economia politica,3,5
Educazione fisica,3,5
commercialista,2,5
Ragioneria generale ed applicata,2,5
Politica economica e finanziaria,2,5
Diritto del lavoro,2,5
Diritto amministrativo,2,5
Diritto processuale civile,2,5
"Applicato, ",2,5
I. Ragioniere,2,5
Divisione I.a,2,5
Bimestrale,2,5
"ISPETTORATO COMPARTIMENTALE DELLE IMPOSTE DIRETTE,",1,5
"ISPETTORATO COMPARTIMENTALE DELLE TASSE E DELLE IMPOSTE INDIRETTE SUGLI AFFARI,",1,5
"UFFICIO TECNICO ERARIALE,",1,5
Ufficio di assistenza economica,1,5
ISTIT. MAGISTRALE PARIFICATO,1,5
Perito industriale,1,5
Asp. Civile,1,5
Sostituto Proc. Tribunale Civile e Penale,1,5
esercizi,1,5
dell' Archivio dello Stato,1,5
Economo Provinciale,1,5
Uff. Prov. Statistica Economica Agricola,1,5
Divisione Ragioneria,1,5
economo,1,5
 scientifica,1,5
 Macchine Contabili,1,5
Divisione tecnologica,1,5
Sezione Terraferma,1,5
Economato,1,5
Archivio e Affari generali,1,5
Storia economica,1,5
Diritto commerciale,1,5
Statistica,1,5
Tecnica industriale e commerciale,1,5
Scienza delle finanze e diritto finanziario,1,5
Economie e politica agraria,1,5
Tecnica del commercio internazionale,1,5
Diritto internazionale,1,5
Diritto della navigazione,1,5
Matematica generale e di Matematica finanziaria,1,5
Tecnica bancaria e professionale,1,5
Istituzioni di diritto pubblico,1,5
Istituzioni di diritto privato,1,5
Demografia generale,1,5
Diritto aeronautico,1,5
Statistica economica,1,5
Storia economica (incar.),1,5
Statistica (incar.),1,5
Ragioneria generale ed applicata (id.),1,5
Diritto pubblico (id.),1,5
Diritto privato (incar.),1,5
Scienze delle ze e diritto finanziario (incar.),1,5
Economia politica (id.),1,5
Matematica finanziaria (id.),1,5
Geografia,1,5
Diritto e procedura penale,1,5
Storia delle dottrine economiche,1,5
Contabilita di Stato,1,5
Diritto civile,1,5
Elementi di diritto e procedura penale,1,5
Tecnica amministrativi delle aziende industriali,1,5
Tecnica commerciale e bancaria,1,5
Elementi di diritto processuale civile,1,5
"Ragioneria generale applicata, Economia aziendale",1,5
Laboratorio di Merceologia e Museo merceologico,1,5
Laboratorio di Geografia economica,1,5
Laboratorio di Economia politica — Francesco Ferrera,1,5
Laboratorio di Politica economica e finanziari,1,5
Laboratorio di Scienza delle finanze e diritto finanziario,1,5
"per Mineralogia e geologia, ",1,5
"per Chimica generale ed applicata, ",1,5
"per impianti tecnici, Estimo ed esercizio professionale, ",1,5
"per Meccanica razionale e statistica grafica, ",1,5
"per Fisica, Fisica tecnica, ",1,5
"per analisi matematica e geometria analitica (2.0 anno), ",1,5
"per Analisi matematica e geometria analitica (1.0 anno), Topografia e costruzioni stradali, ",1,5
"per Carattei; distributivi degli edifici, Urbanistica, ",1,5
"Francese, Matematica",1,5
Scienze e Matematica,1,5
Diritto Canonico,1,5
Esportazioni,1,5
Categoria XXII,1,5
esperto materie amministrative,1,5
esperto scienze guerriere,1,5
ISTITUTO NAZIONALE PER IL COMMERCIO ESTERO,1,5
Divisione II.a,1,5
Divisione III.a,1,5
Maggiore di P.S. in S.P.E.,1,5
Matematica e fisica,1,5
Scienze naturali chimica e geografia,1,5
segretario Istituto Univers. di Economia e Commercio,1,5
Ragioniere,22,6
Consigliere,20,6
Segretario,13,6
vice direttore,13,6
SUDDIVISIONE DEGLI UFFICI,10,6
Comitato esecutivo,8,6
Consiglio Direttivo,8,6
avv.,8,6
Direttore,6,6
presso Camera del Lavoro,5,6
Ispettore Capo,5,6
professore,5,6
Vice Presidente,4,6
Consigliere Municipale,4,6
Tesoriere,3,6
Questura,3,6
vicario,3,6
Commissario,3,6
Ispett. Capo,3,6
Giornalista professionista,3,6
Ufficio Politico,3,6
Mediatore,2,6
Comm. Capo,2,6
consigliere effettivo,2,6
Assistente,2,6
Ragionieri capi sezione,2,6
"Consigliere, ",2,6
Category: Comunicazioni interne,2,6
Sindaco,2,6
Condirettore,2,6
Rettore,2,6
Vice Direttore,2,6
Avvocato,2,6
DIREZIONE LAVORI E SERVIZI PUBBLICI,2,6
" Titolare Procuratore, ",2,6
Capitano di P.S. in S.P.E.,2,6
Deputato,1,6
Deputato dell'Amministrazione della Provincia,1,6
" Capo Ufficio, ",1,6
"Primo Assistente, ",1,6
Direttore Regionale,1,6
Segretario Regionale,1,6
Lavoratore,1,6
Sovrintendente,1,6
Direttore onor.,1,6
Segretario Direttore generale,1,6
Vice Segret. Direttore Generale,1,6
Ragioniere Capo,1,6
Vice rag. capo,1,6
Capo uff. Tecnico,1,6
"Uffici Centrali, Aiutanti tecnici",1,6
Capo uff. Agrario,1,6
Cancellista capo,1,6
Vice tesoriere,1,6
Vice Economo,1,6
"Ispettore Onorario, prof. Amedeo Gottardi",1,6
"Consigliere,",1,6
"Direttore amministrativo, ",1,6
"Segretario, ",1,6
Segretario Tesoriere,1,6
Rappresentante cingalmerie,1,6
Commissariato,1,6
Gerente,1,6
Surrogati,1,6
Rapprcsentanti e A.,1,6
Consigliere Segr.,1,6
condirettore,1,6
Capo Divisione prima,1,6
deputato Amminist. della Provincia,1,6
Procuratore Tribunale dei Minorenni,1,6
"Uff. Supelivo - Addetto, Legione Ferr. della Guardia di Finanza",1,6
Ispettore Istituto Aut. per le case popolari,1,6
Direzione Marittima e Gabinetto,1,6
Ass. Naz. Combattenti,1,6
ragioniere,1,6
commissario,1,6
capitano,1,6
Segretario (gruppo viaggiatori),1,6
Comm. Agg. dirigente,1,6
gestione SPES,1,6
Direttore Consorzio Agrario Cooperativo,1,6
Vice comm. Agg. dirigente Commissariato di,1,6
Professore,1,6
Corpo del Genio Civile,1,6
Comandante Comando Gruppo Agenti P. Sicurezza,1,6
Segretario Tribunale dei Minorenni,1,6
Uff. pagat. Legione Territ. Guardia di Finanza,1,6
Aiutante Magg. della Guardia di Finanza,1,6
Segret. Capo Sez. Amministrativa,1,6
Conduttore,1,6
Giudice,1,6
Vice Direttore Banca di Roma,1,6
Tribunale dei Minorenni,1,6
segretario,1,6
Ass. Commercianti,1,6
Direttore Gener.,1,6
Addetto Sviarda Naobile,1,6
Segretario Ispet. Ispt. Circoscrizione Doganale,1,6
presidi,1,6
" ""Consigliere Municipale""",1,6
Capitano,1,6
Vicario S. Andrea Apostolo,1,6
Vice Ispet. di Zona,1,6
Ingegn. Primo n° 7,1,6
Questore,1,6
Segretario della (FIDAL),1,6
mediatori generali,1,6
mediatore,1,6
Capo Uff.,1,6
Rappresentante e Depositi,1,6
 Direzione S. Lucis,1,6
Capo uff. Amministr.,1,6
Ass. dei Commercianti,1,6
Pres. Reg. della (F.I.S.I.),1,6
Uffici Centrali dell'Amministrazione della Provincia,1,6
Sindaco Assist. Naz. Combattenti,1,6
Tribunale del Minorenni,1,6
Consigliere (TELVE),1,6
 Invest. Legione Territ. Guardia di Finanza,1,6
Capo Tecnico,1,6
 Guardia di Finanza,1,6
Vice Direttore Manifattura Tabacchi,1,6
Prosindaco del Municipio,1,6
Assistente del Genio Civile,1,6
V. Direttore del A. C.N.I.L.,1,6
Direttore aggiunto Banca di Napoli,1,6
Capo Div. Direzione Ragioneria e tributi,1,6
S. Capu di Stato Magg.,1,6
Primo Segretario Uffici Centrali dell'Amministrazione della Provincia,1,6
 Camera ricorso Legione Territ. Guardia di Finanza,1,6
Ispett. Reg.,1,6
 interni,1,6
Ispettore Tecnico del movimento postale,1,6
Ass. Naz . Reduci,1,6
 Uff. Regionale di Coordinamento,1,6
Sindaco effettivo Banca Veneziana di Crediti e Conti Correnti,1,6
Sezione Amministrativa,1,6
Comando Vigili,1,6
"UFFICIO IMPOSTA GENERALE SULL'ENTRATA,",1,6
"Conservatore, ",1,6
"DIREZIONE SUPERIORE DI DOGANA,",1,6
I. f. Ufficiale,1,6
Sezioni Provinciali Proprietari Conduttori,1,6
Proprietari con beni affittati,1,6
Affittuari Conduttori,1,6
Dirigente di aziende,1,6
"Primo Ragioniere con funzioni di Direttore Amministrativo, ",1,6
Direttore dell’Osservatorio,1,6
Membro effettivo; Commissario straordinario per la Presidenza,1,6
Capo Divisione,1,6
 Direttore,1,6
Segretario-Economo,1,6
Vice segretaria,1,6
Canonici residenziali (arcidiacono prima dignità),1,6
Cappellano,1,6
"Revisore Ufficiale dei Conti, Amministratore Giudiziario, Consulenza e Assistenza Tributaria, Economico, Commerciale, Ragioneristica",1,6
Ispettore,1,6
Ufficio Tecnico dell'Amministrazione della Provincia,1,6
Commissione Direttiva del Circolo Artistico,1,6
Presidente del Casinò di Commercio,1,6
V. Presidente Ass. Inquilini e Senza Tetto,1,6
"Direttore, ",1,6
"UFFICIO DEL REGISTRO ATTI CIVILI,",1,6
"UFFICIO REGISTRO ATTI GIUDIZIARI E CONCESSIONI GOVERNATIVE,",1,6
"UFFICIO DEL REGISTRO SUCCESSIONI E DEMANIO,",1,6
"UFFICIO IMPOSTA IN SURROGAZIONE,",1,6
"ISPETTORATO COMPARTIMENTALE DELLE DOGANE,",1,6
" 1. Procuratore, ",1,6
" Procuratore Capo, ",1,6
 Titolare Procuratore,1,6
Sovraintendente,1,6
Vicario,1,6
gestione tCSAn,1,6
Amministratore,1,6
 Atti giud. e conlesso governativo,1,6
Comandante del Porto Capitano uffi Porto,1,6
Vice Prefetto ispett.,1,6
Consigliere di l. classe,1,6
