profession,frequency,cluster_id
"per Analisi matematica e geometria analitica (1.0 anno), Topografia e costruzioni stradali, ",1,11
"Francese, Matematica",1,11
Scienze e Matematica,1,11
Matematica e fisica,1,11
Scienze naturali chimica e geografia,1,11
Lavorazione artistica mosaici in smalto di vetro Veneziano,168,12
al Porto di Venezia,119,12
ASSOCIAZIONE FRA PROPRIETARI DI FABBRICATI DELLA PROVINCIA DI VENEZIA,17,12
Comitato di Venezia,17,12
CIRCOLO ARTISTICO DI VENEZIA,15,12
SEZIONE FILATELICA VENEZIANA DEL CIRCOLO ARTISTICO,6,12
GUÏDA COMMERCIALE DI VENEZIA E PROVINCIA,4,12
Venezia,3,12
Altri Consolati aventi giurisdizione sulla Regione Veneta,2,12
Mazzorbo di Burano,1,12
Corsi vari di istruzione professionale per artigiani e operai in tutto il Veneto,1,12
Ufficio Commissionario Industrie e Artigiane con Mostre campionarie permanenti di prodotti tipici dell’artigianato e delle piccole industrie venete,1,12
Agente principale della Società Autori ed Editori della Agenzia di Venezia,1,12
"Murano, Venezia",1,12
 Venezia,1,12
Ca' Foscari,1,12
Agente per l Venetti E. A. Super Lux 8,1,12
Ufficio di Venezia,1,12
specialità veneziane,1,12
nomina per Valli in provincia di Venezia e Campagnaluqa,1,12
 specialità Veneziane,1,12
Deposito: Cannaregio Abazzia,1,12
 Ispet. di l. Gl. Sez. Lavori di Venezia,1,12
"VENEZIA s. Focn, 1079",1,12
Consigliere Banca Veneta Mezzana a Gretti e Conti Correnti,1,12
Sindaco effettivo Banca Veneziana di Crediti e Conti Correnti,1,12
Soprintendenza ai Monumenti Medioevali e moderni del Veneto Orientale,1,12
Capo Divisione Soprintendenza ai Monumenti Mediovali e Moderni del Veneto Orientale,1,12
 Medioevali e Moderni del Veneto Orientale,1,12
Padova,1,12
UNIONE REGIONALE CAMERE DI COMMERCIO DELLE VENEZIE,1,12
Commissariato di Cannaregio,1,12
Commissariato di Dorsoduro,1,12
ISTITUTO VITTORIO ALFIERI,2,13
ISTIT. MAGISTRALE PARIFICATO,1,13
ISTITUTO ITALIANO RAVA',1,13
ISTITUTO SUORE DI NEVERS,1,13
ISTITUTO DELLE SUORE DEL S. CUORE,1,13
Istituto Artigianelli,1,13
Istituto Zambler,1,13
Istituto Univers,1,13
Istituto U.r..straria Architettura,1,13
prof. Istituto Universitario di Architettura,1,13
 Rettore Istituto Crovani e Guglielmo Marconi,1,13
Instituto Universitario di Architett.,1,13
Instituto Universitario Architett.,1,13
Studio Radio e Elettrotecnico,1,13
Istituto Nazionale per l'Addestramento Professionale Lavoratori dell'Industria,1,13
Istituto Aut. per le case popolari,1,13
Istituto Universitario di Architett.,1,13
ISTITUTO CONVITTO « G. MARCONI »,1,13
Direttore Istituto Universitario di Archit.,1,13
Ufficio postale,32,14
Archivio di Stato,18,14
SUDDIVISIONE DEGLI UFFICI,10,14
DIREZIONE SERVIZI DI IGIENE E DI ASSISTENZA PUBBLICA,9,14
DIREZIONE BELLE ARTI DEL COMUNE,4,14
Questura,3,14
Ufficio Politico,3,14
DIREZIONE LAVORI E SERVIZI PUBBLICI,2,14
"DIREZIONE LOTTO,",2,14
"ISPETTORATO COMPARTIMENTALE DELLE IMPOSTE DIRETTE,",1,14
"ISPETTORATO COMPARTIMENTALE DELLE TASSE E DELLE IMPOSTE INDIRETTE SUGLI AFFARI,",1,14
"UFFICIO TECNICO ERARIALE,",1,14
"UFFICIO TECNICO IMPOSTE DI FABBRICAZIONE,",1,14
"Uffici Finanziari di Mirano,",1,14
" Ufficio Idrografico, ",1,14
Ufficio di assistenza economica,1,14
Biblioteca di consultazione per artigiani e piccoli industriali (aperto tutti i giorni feriali nelle ore d’Ufficio),1,14
"Uffici Centrali, Aiutanti tecnici",1,14
Direzione Marittima e Gabinetto,1,14
Amm. Imposte di Consumo del Comune,1,14
dell' Archivio dello Stato,1,14
Aiutante Magg. della Guardia di Finanza,1,14
informazioni comm.,1,14
Divisione Ragioneria,1,14
Uffici Centrali dell'Amministrazione della Provincia,1,14
Prov. Servizio Impianti Sportivi,1,14
 Macchine Contabili,1,14
 Guardia di Finanza,1,14
Capo Div. Direzione Ragioneria e tributi,1,14
 Imposte Comunlo del Comune,1,14
Ispettore Tecnico del movimento postale,1,14
Sezione Amministrativa,1,14
"UFFICIO IMPOSTA GENERALE SULL'ENTRATA,",1,14
"DIREZIONE SUPERIORE DI DOGANA,",1,14
I. f. Ufficiale,1,14
Archivio e Affari generali,1,14
Contabilita di Stato,1,14
Tecnica amministrativi delle aziende industriali,1,14
"Studio di Ragiione ria, Consulenza ed Assistenza Tributaria. Telef. 28.042.",1,14
"Revisore Ufficiale dei Conti, Amministratore Giudiziario, Consulenza e Assistenza Tributaria, Economico, Commerciale, Ragioneristica",1,14
Ufficio Tecnico dell'Amministrazione della Provincia,1,14
"UFFICIO DEL REGISTRO ATTI CIVILI,",1,14
"UFFICIO REGISTRO ATTI GIUDIZIARI E CONCESSIONI GOVERNATIVE,",1,14
"UFFICIO DEL REGISTRO SUCCESSIONI E DEMANIO,",1,14
"UFFICIO IMPOSTA IN SURROGAZIONE,",1,14
"ISPETTORATO COMPARTIMENTALE DELLE DOGANE,",1,14
panificio. SS.,53,15
pittrice,7,15
 gioielleria,6,15
falegname,4,15
 cartoleria,4,15
 pasticceria,4,15
Tesoriere,3,15
 chincaglierie,3,15
 saponi,3,15
Abbigliamento,3,15
panificio,2,15
sarta da uomo,2,15
 pelletterie,2,15
calzature,2,15
 cesellatore,2,15
latteria,2,15
tabaccheria,2,15
 Qualsiasi lavoro in fiori,1,15
chinaglieie,1,15
macelleria (introduttore Ac. stime),1,15
profumeria,1,15
cartoleria profumeria,1,15
"mercerie, filati e affini",1,15
polleria,1,15
perle (product. e commercio),1,15
 bottiglieria. (esercizi),1,15
confezionisti,1,15
fraganai,1,15
caffè (esercizi),1,15
 Fori perle,1,15
porcellane,1,15
 gioieileria,1,15
salumi (negozio),1,15
 liquori,1,15
parrucchiere per signora,1,15
orologeria,1,15
 manifature,1,15
 mercerie,1,15
 molino,1,15
lavanderia e stireria,1,15
libreria,1,15
parruccchiere per signora,1,15
bottiglieria,1,15
 drogheria,1,15
Telef: ab. bigliamento,1,15
Ditta Cecchetti Pradel & C.,1,15
 pellic-erie manifatture fiutate,1,15
 orologeria,1,15
Calzature,1,15
Droghiere,1,15
Barbiere,1,15
fuoro,1,15
perle (lavoro,1,15
Manifattura Tabacchi,1,15
petrolio,1,15
 cinghialerie,1,15
"terraglie, porcellane",1,15
barbiere,1,15
bottiglieriа,1,15
grossisti spettaclli medicinali,1,15
industria,176,16
Category: Acqua - Gas - Elettricità,7,16
Fabbro Ferrario e Meccanico,3,16
 Olii minerali,1,16
elettricista e idraulico,1,16
officina meccanica metal. lurgica e costruzioni in ferro,1,16
 prodot. ti chimici,1,16
 carbone e legna (dettaglio),1,16
ferramenta metalli,1,16
 chimico del La..,1,16
 idraulica-sanitaria,1,16
 idraulica e gas,1,16
comm. e lavorazione,1,16
 industria,1,16
 cristalli e spechi (commercio e lavorazione),1,16
 Vetro neutro,1,16
 liquori (fabbrica e deposito),1,16
carbone e legna,1,16
fluviali e terrestri,1,16
Disinfestazioni con gas tossici,1,16
 benzina,1,16
industries boschive,1,16
 combustibili liquidi (geonotta),1,16
 acque minerali,1,16
 carburanti olii ed affnii,1,16
apparecchi elettromeccanici,1,16
 industria chimica,1,16
 carburanti,1,16
olii minerali,1,16
prodotti chimici,1,16
elettricità (produzione distribuzione),1,16
ossidi metallici,1,16
 officina meccanica e metallurgica,1,16
officina meccanica e saldatura,1,16
 acque gassaste,1,16
 impianti terrestri e navali,1,16
vetro lavorazioni,1,16
 tubi in ferro,1,16
Impianti di illuminazione a gas vari,1,16
 pelli e materiale per costruzioni edilizie,1,16
prodotti siderurgici e metallurgici,1,16
materiali ferrosi da riutilizzo,1,16
vetro e ceramica,1,16
elettricità ed idraulica,1,16
rivieditori zenergi ni Monopolio,1,16
grossisti combustibili e solidi,1,16
detàglian- ti legna e charbonc,1,16
Combustibili e Carburanti,1,16
CIRCOLO FILOLOGICO,11,17
Biblioteca,3,17
teatro,2,17
Storia,1,17
Filologia romanza,1,17
Filologia germanica,1,17
Storia della filosofia,1,17
Pedagogia,1,17
Filosofia,1,17
Glottologia romanza,1,17
Storia Ec. Ebraico,1,17
"Patrologia, Arte, Eloquenza",1,17
"italiano (liceo), Storia",1,17
biblica,1,17
sacra liturgia,1,17
filosofia,1,17
"latino, greco (liceo)",1,17
Filiiiai a Roma,1,17
arte antica,1,17
orologie,1,17
Storia dell’arte,1,17
Storia dell'arte,1,17
religione,1,17
Personale degli Uffici - Segreteria della Sezione di Lingue e letterature straniere,10,18
Lingua tedesca,4,18
Lingua inglese,3,18
Lingua francese,3,18
Lingua e letteratura francese,2,18
Lingua e letteratura spagnola,2,18
Lingua e letteratura tedesca,2,18
Lingua spagnola,2,18
Lettere (ginnasio),2,18
lettere (ginnasio),2,18
Lingua e letteratura italiana,1,18
Lingua serbo-croata,1,18
Lingua e letteratura russa,1,18
Lingua e letteratura inglese,1,18
Lingua e letteratura latina,1,18
Lingua russa,1,18
Lingua rumena,1,18
"per Letteratura italiana, ",1,18
Letteratura italiana e storia,1,18
Letteratura Italiana e storia,1,18
Rappresentante di case produttrici di medicinali,186,19
pittore,67,19
illuminazione pubblica,65,19
PROFESSIONISTI E ARTISTI,41,19
Pittore,14,19
presso Camera del Lavoro,5,19
Giornalista professionista,3,19
Pittura,2,19
Rappresentante cingalmerie,1,19
Rapprcsentanti e A.,1,19
pittore decoratore,1,19
cinema (sale di proiezione e gestione),1,19
agenzia nolleggio film,1,19
agenzia d’affari,1,19
Rappresentante e Depositi,1,19
rappresentante articoli casalinghi,1,19
cinema (produzione film stabii-,1,19
Rappresentanze varie,1,19
Commissione Direttiva del Circolo Artistico,1,19
rappresentante esercenti cinema e teatri,1,19
rappresentante dei medici,1,19
rappresentante dei veterinari,1,19
Consigliere,20,20
Commissione del Listino,5,20
Comm. Agg.,4,20
Fid. Prov.,4,20
Consigliere Municipale,4,20
Commissario,3,20
Mediatore,2,20
V. Comm.,2,20
consigliere effettivo,2,20
"Consigliere, ",2,20
perito,2,20
V. Comm. Agg.,1,20
"Consigliere,",1,20
Commissariato,1,20
Consigliere Segr.,1,20
tenente,1,20
commissario,1,20
Giudice,1,20
" ""Consigliere Municipale""",1,20
Questore,1,20
mediatori generali,1,20
mediatore,1,20
Consigliere (TELVE),1,20
 Perito,1,20
Comando Vigili,1,20
Ispettore,1,20
" 1. Procuratore, ",1,20
Vicario,1,20
 Atti giud. e conlesso governativo,1,20
Consigliere di l. classe,1,20
Consigliere di I. cl.,1,20
Consigliere i. cl.,1,20
Commissariato di Castello,1,20
SPORT OLIMPICI,4,21
