Name,Address,Location,Role,Additional Info,page
Padre Francesco Saverio Zanon dei Cavanis,TRIBUNALE DIOCESANO E METROPOLITANO,Curia Patriarcale,Giudice,TRIBUNALE DIOCESANO E METROPOLITANO,86
Padre Basilio Camerra,TRIBUNALE DIOCESANO E METROPOLITANO,Curia Patriarcale,Giudice,TRIBUNALE DIOCESANO E METROPOLITANO,86
Padre Leone Blasiol,TRIBUNALE DIOCESANO E METROPOLITANO,Curia Patriarcale,Giudice,TRIBUNALE DIOCESANO E METROPOLITANO,86
Bressan Mons. Ettore,TRIBUNALE DIOCESANO E METROPOLITANO,Seminario Patriarcale,Giudice,TRIBUNALE DIOCESANO E METROPOLITANO,86
P. Albino del Bam. Gesù O. C. D.,TRIBUNALE DIOCESANO E METROPOLITANO,Curia Patriarcale,Giudice,TRIBUNALE DIOCESANO E METROPOLITANO,86
P. Angelico in Enego F. M. Capp.,TRIBUNALE DIOCESANO E METROPOLITANO,Curia Patriarcale,Giudice,TRIBUNALE DIOCESANO E METROPOLITANO,86
Urbani Mons. dr. Giovanni,TRIBUNALE DIOCESANO E METROPOLITANO,S. Fantino,Promotore di giustizia,TRIBUNALE DIOCESANO E METROPOLITANO,86
Carer mons. Giuseppe,TRIBUNALE DIOCESANO E METROPOLITANO,S. Lio,Attuario,TRIBUNALE DIOCESANO E METROPOLITANO,86
Tosi Don Giorgio,TRIBUNALE DIOCESANO E METROPOLITANO,S. Antonino,Direttore,UFFICIO MISSIONARIO DIOCESANO,86
Bottaccio mons. Riccardo,TRIBUNALE DIOCESANO E METROPOLITANO,Chirignago,,ESAMINATORI PROSIONALDI,86
De Biasio Mons. Giuseppe,TRIBUNALE DIOCESANO E METROPOLITANO,S. Stefano,,ESAMINATORI PROSIONALDI,86
Jandelli dr. Mons. Evelio,TRIBUNALE DIOCESANO E METROPOLITANO,S. Tomà,,ESAMINATORI PROSIONALDI,86
Menegazzi mons. Carlo,TRIBUNALE DIOCESANO E METROPOLITANO,S. Marco,,ESAMINATORI PROSIONALDI,86
Spagno padre Ferdinando,TRIBUNALE DIOCESANO E METROPOLITANO,Curia Patriarcale,,ESAMINATORI PROSIONALDI,86
Spanio mons. dr. Giuseppe,TRIBUNALE DIOCESANO E METROPOLITANO,S. Marco,,ESAMINATORI PROSIONALDI,86
Zanon padre Saverio,TRIBUNALE DIOCESANO E METROPOLITANO,Curia Patriarcale,,delle Scuole di Carità Cavanis,86
"Bortoli P. Modesto O. F. M,",TRIBUNALE DIOCESANO E METROPOLITANO,Curia Patriarcale,,ESAMINATORI PROSIONALDI,86
Bressan Mons. Ettore,TRIBUNALE DIOCESANO E METROPOLITANO,Seminario Patriarcale,,ESAMINATORI PROSIONALDI,86
Chialina P. Vittore O. F. M. Conv.,TRIBUNALE DIOCESANO E METROPOLITANO,Frari,,ESAMINATORI PROSIONALDI,86
Mazzolini P. Domenico O. P.,TRIBUNALE DIOCESANO E METROPOLITANO,SS. Giovanni e Paolo,,ESAMINATORI PROSIONALDI,86
Gusso Mons. Giovanni,TRIBUNALE DIOCESANO E METROPOLITANO,S. Martino,,ESAMINATORI PROSIONALDI,86
Chialina P. Vittore O F. M. Conv.,TRIBUNALE DIOCESANO E METROPOLITANO,Curia Patriarcale,,CONSULTORI DEI PARROCI,86
Galimberti Mons. Attilio,TRIBUNALE DIOCESANO E METROPOLITANO,Curia Patriarcale,,CONSULTORI DEI PARROCI,86
Gusso Mons. Giovanni,TRIBUNALE DIOCESANO E METROPOLITANO,Curia Patriarcale,,CONSULTORI DEI PARROCI,86
Mezzaraba dr. Umberto,TRIBUNALE DIOCESANO E METROPOLITANO,Curia Patriarcale,,CONSULTORI DEI PARROCI,86
Selmo P. Michele O. S. M.,TRIBUNALE DIOCESANO E METROPOLITANO,Curia Patriarcale,,CONSULTORI DEI PARROCI,86
Vidai Mons. Arturo,TRIBUNALE DIOCESANO E METROPOLITANO,Curia Patriarcale,,CONSULTORI DEI PARROCI,86
Spanio mons. dr. Giuseppe,TRIBUNALE DIOCESANO E METROPOLITANO,Curia Patriarcale,,CENSORI DEI LIBRI,86
Zanon padre Francesco dei Cavanis,TRIBUNALE DIOCESANO E METROPOLITANO,Curia Patriarcale,,CENSORI DEI LIBRI,86
Aucher Padre Giovanni dei Mechitaristi,TRIBUNALE DIOCESANO E METROPOLITANO,Curia Patriarcale,,CENSORI DEI LIBRI,86
Ambruizzi Padre dei Cappuccini,TRIBUNALE DIOCESANO E METROPOLITANO,Curia Patriarcale,,CENSORI DEI LIBRI,86
Bressan Mons. Ettore,TRIBUNALE DIOCESANO E METROPOLITANO,Curia Patriarcale,,CENSORI DEI LIBRI,86
De Luigi S. J.,TRIBUNALE DIOCESANO E METROPOLITANO,Curia Patriarcale,,CENSORI DEI LIBRI,86
Padre Basilio,TRIBUNALE DIOCESANO E METROPOLITANO,Curia Patriarcale,,CENSORI DEI LIBRI,86
da Montecchio Luca Mons. Attilio,TRIBUNALE DIOCESANO E METROPOLITANO,Curia Patriarcale,,CENSORI DEI LIBRI,86
Rizzi Padre Ernesto S. J.,TRIBUNALE DIOCESANO E METROPOLITANO,Curia Patriarcale,,CENSORI DEI LIBRI,86
Scarpa Padre Filippo O. F. M.,TRIBUNALE DIOCESANO E METROPOLITANO,Curia Patriarcale,,CENSORI DEI LIBRI,86
Scarpa mons. Giuseppe,TRIBUNALE DIOCESANO E METROPOLITANO,Curia Patriarcale,,CENSORI DEI LIBRI,86
Spagno Padre Ferdinando dei Carmelitani,TRIBUNALE DIOCESANO E METROPOLITANO,Curia Patriarcale,,CENSORI DEI LIBRI,86
