category,frequency,canonical_label
ottica ingegneria fotografia,16,optics engineering photography
Apparecchi e materiale radio,15,radio equipment
Ferramenta e metalli,15,hardware and metals
Consiglio di Amministrazione,15,government/civic institution
assicurazioni,15,insurance
Squerì,15,ADVERTISEMENT
Tappezzieri,15,upholsterers
Vini,15,wines
Osteria,15,tavern
Azienda,15,company
oggetti artistici,15,art objects
Affitti Appartamenti,15,real estate
"Venezia - Via XXII Marzo, 2288, Telephone: 25-889",15,ADVERTISEMENT
Materiale elettrico,14,electrical materials
Agrumi,14,citrus fruits
Caffe (torrefazione),14,coffee roasting
Calzaturifici,14,shoe manufacturing
Carpentieri,14,carpentry
Carta,14,paper
Frutta secca,14,dried fruit
Vallicultura,14,agriculture
calzaturificio,14,shoe manufacturing
mercerie,14,haberdashery
fiori,14,flowers
Barbiere,14,barber
cantiere navale,14,shipyard
LOCANDE,13,inns
Biancheria e affini,13,linens
FOTOGRAFIA,13,photography
Carboni - Legna,13,coal and wood
Cinema,13,cinema
Coltellinai e Arrotini,13,cutlery and sharpening
Friggitorie e commestibili cotti,13,fried foods
Ghiaccio,13,ice
Impermeabili,13,raincoats
Lavanderie meccaniche,13,laundries
Olii minerali,13,mineral oils
Pastifici,13,pasta makers
Quadri - riproduzioni ed oggetti artistici,13,art reproductions
Specialisti veneziane,13,Venetian specialists
lavanderia e stireria,13,laundry and ironing
Articoli Fotografici e affini,12,photographic articles
Cappellerie,12,hat shops
Confezioni varie,12,various packaging
Dolciumi,12,sweets
Insegne e cartelli reclame,12,signs and advertising
Librerie,12,bookstores
Mode,12,fashion
Ferramenta in Genere,12,Hardware store
Petrolio,12,Oil
Sartorie e confezioni per uomo,12,Tailoring
Stoffe e Tessuti,12,Fabrics
Tubazioni industriali,12,Industrial piping
pittore decoratore,12,Painter
farmacia,12,Pharmacy
ingegnere,12,Engineering
oreficeria,12,Jewelry
salumi (negozio),12,Delicatessen
Latteria,12,Dairy
CINEMA S. Margherita,12,Cinema
Marmi,11,Marble
Mobili,11,Furniture
MOBILI USATI,11,Used furniture
Polliccerie,11,Umbrella shop
Pesce,11,Fishmonger
Prodotti farmaceutici,11,Pharmaceuticals
Falegname,11,Carpenter
Macelleria,11,Butcher
parrucchiere per signora,11,Women's hairdresser
manifatture,11,Manufacturing
VISITOSI GUIDO,11,ADVERTISEMENT
Soc. An. d'Acquisto di materiali,11,Purchasing society
Abiti confezionati,10,Ready-made clothing
Combustibili solidi,10,Solid fuels
(vendita),10,ADVERTISEMENT
Fornaci da calce e laterizi,10,Lime and brickworks
Pellett erie (fabbriche),10,ADVERTISEMENT
Ristoranti,10,Restaurants
Vetri artistici,10,Artistic glass
ferramenta e colori,10,Hardware and paints
Banco di Sicilia,10,Bank
tappezziere,10,Upholsterer
Sarta,10,Tailor
pensione,10,Boarding house
tipografia,10,Printing
Autotrasporti,9,Transport services
Calze,9,Hosiery
Combustibili liquidi,9,Liquid fuels
Morocicli,9,Motorcycles
Società di navigazione,9,Shipping company
Società mobiliari e agricole,9,Real estate and agriculture
Trasporti,9,Transport
Vetri,9,Glass
frutta e verdura (grossista),9,Wholesale fruits and vegetables
ristorante,9,Restaurant
Tabaccheria,9,Tobacco shop
Alimentari (dett.),9,Grocery
autotrasporti,9,Transport services
noleggio imbarcazioni,9,boat rental
caffè,9,café
sarta da uomo,9,men's tailor
Compra-vendita immobili,9,real estate
giornali (rivendita),9,newspaper sales
Alberghi,8,hotels
Articoli di Gomma e affini,8,rubber goods
Articoli Sanitari e Affini,8,sanitary articles
Bandai e Lattonieri,8,tinsmiths
Case di Spedizioni,8,shipping company
Cornici,8,picture frames
Droghe,8,drugs
Frutta,8,fruit
Gelaterie,8,ice cream shop
Grammofoni e dischi,8,gramophones and records
Legatorie di libri,8,bookbinding
Lubrificanti,8,lubricants
Merletti e ricami,8,lace and embroidery
Ombrelli,8,umbrellas
ARMAZIONI MARITTIME,8,maritime structures
Vetro,8,glass
albergo,8,hotel
elettricista e idraulico,8,electrician and plumber
lingerie e maglierie,8,lingerie and knitwear
Insegnante Accademia di Belle Arti,8,art teacher
tessuti,8,fabrics
orologeria,8,watchmaking
Ragioniere,8,accountant
locanda,8,inn
fabbro ferraio e meccanico,8,blacksmith and mechanic
albergo e ristorante,8,hotel and restaurant
dentista,8,dentist
Istituzioni,8,institutions
Acquisto e conduzione,7,purchasing and management
Articoli Tecnici,7,technical articles
Carbone,7,coal
Carbone e Legna,7,coal and wood
Ferri e metalli usati,7,used iron and metals
Lavanderie e stirerie,7,laundries
Mediatori,7,mediators
MOBILI ARTISTICI,7,artistic furniture
Navi,7,shipping company
Olii combustibili,7,fuel oils
Pasticcerie ed affini,7,pastry shops
apparecchi e materiale radio,7,radio equipment
Riscaldamento e fumisterie,7,heating and plumbing
Strumenti musicali,7,musical instruments
Commercialista,7,accountant
Cartoleria,7,stationery
Impresa edile,7,construction trade
compravendita immobili,7,real estate
sartoria e confezioni per signora,7,women's tailoring
mediatore,7,broker
confezioni varie,7,various packaging
vini (grossista),7,wine wholesaler
parroco,7,clergy
libreria,7,bookstore
Agenzie e d'affari,6,agencies and businesses
Hotel,6,hotel
Apparecchiature elettriche automatiche,6,automatic electrical equipment
Bazar,6,bazaar
Confezioni per Bambini,6,children's clothing
Conterie e Perle,6,beads and pearls
Costruttori edili,6,construction trade
Fonderie Meccaniche,6,mechanical foundries
Fornitori di bordo,6,ship suppliers
Ghiacciaie,6,ice houses
Imprese di Costruzioni,6,construction companies
"Incisori, cesellatori sbozzatori",6,engravers and chiselers
Macchine calcolatrici,6,calculating machines
Macchine da cucire e accessori,6,sewing machines
refrattari e laterizi,6,refractory materials
Officine elettromeccaniche,6,electromechanical workshops
Pelli,6,leather
Pesce conserva,6,canned fish
Seterie,6,Silk trade
Tappeti,6,Carpets
Tessili,6,Textiles
TRASPORTI FLUVIALI E LAGUNARI,6,Shipping company
falegnameria,6,Carpentry
agenzia marittima,6,Shipping agency
Medicina Generale,6,General medicine
Ostetrica,6,Midwifery
rappresentante prodotti chimici,6,Chemical representative
pellicceria,6,Fur trade
tessuti filati,6,Yarn textiles
elettricità idraulica e gas,6,Utilities
rappresentante tessuti,6,Textile representative
Pittore,6,Painter
Ferrovie dello Stato,6,State railways
notaio,6,Notary
trasporti marittimi fluviali e terrestri,6,Transportation services
radio e radiogrammofoni,6,Radio equipment
Società industriale,6,Industrial company
Argenterie,5,Silverware
Articoli Funebri,5,Funeral services
LA VELOCE..,5,ADVERTISEMENT
Birrerie,5,Breweries
Candele,5,Candles
Carta Cartoni ed affini,5,Paper products
Carta da macero,5,Recycling
Crine vegetali,5,Plant fibers
Disinfezioni,5,Disinfection
Facchini pubblici,5,Porters
Falegnamerie,5,Carpentry
IMPERMEABILI,5,Waterproofing
S. Marco,5,Religious institution
Materassai,5,Mattresses
Mediatori e sensali marittimi,5,Maritime brokers
Metano,5,Natural gas
Minerali,5,Minerals
Perle d'ogni tipo a lume,5,Pearls
Pubblicità,5,ADVERTISEMENT
Rosticcerie,5,Rotisserie
"Terraglie, Porcellane e affini",5,Ceramics
Trasporti fluviali,5,River transport
Uova,5,Eggs
Utensili,5,Tools
Spedizioni e trasporti,5,Shipping
Panificio,5,Bakery
Oggetti artistici,5,Art objects
pittrice,5,Painter
salumi,5,Cold cuts
vini,5,Wine
oggetti usati,5,Secondhand goods
mobili (negozio),5,furniture store
stoffe e tessuti,5,fabrics and textiles
legnami e pali da costruzioni,5,construction materials
alimentari (dett),5,grocery store
ARTI GRAFICHE ESPERIA,5,ADVERTISEMENT
frutta e verdura,5,fruits and vegetables
giornali,5,newspapers
radio (riparazioni),5,radio repair
ing.,5,engineering
Medicina generale,5,general medicine
alimentari (gross.),5,wholesale grocery
bar pasticceria,5,café and pastry
antichità belle arti,5,antiques and fine arts
imprese ed appalti vari,5,construction contracts
Bottiglieria,5,liquor store
Avv.,5,legal profession
giocattoli,5,toys
Macchine per ufficio,4,office machines
Articoli Igienici,4,hygiene products
Caffe (importatori),4,coffee importers
Carburanti Olii ed affini,4,fuels and oils
Cartiere,4,paper mills
Catrame,4,tar
Filande,4,silk mills
FOTOMATERIALE,4,photographic materials
Frigoriferi,4,Refrigeration
Guami,4,GARBAGE
Lavori manovalanza,4,Labor
Macchine contabili,4,Accounting machines
Meccanuficio,4,GARBAGE
Manipolazione carboni,4,Coal handling
Materiale fotografico,4,Photography supplies
Metalli usati,4,Scrap metals
MOBILI LACCATI,4,Furniture
Officine meccaniche metallurgiche e costruzioni in ferro,4,Mechanical workshops
Ottiche (Industria),4,Optics
Pantofolai,4,Slippers
articoli elettrici,4,Electrical articles
articoli in vetro,4,Glassware
pellami,4,Leather goods
profumi,4,Perfumes
Rimorchatori,4,Towing services
Saccherie ed affini,4,Sacks and bags
Saponi comuni medicinali e profumati,4,Soaps
Semi oleosi,4,Oilseeds
Spedizioni e Trasporti,4,Shipping and transport
Stracci,4,Rags
Strucchi,4,Cosmetics
Sughero,4,Cork
Terrrazzi,4,Terraces
Tintorie e pulliture a secco,4,Dry cleaning
"Valigerie, pelletterie articoli da viaggio",4,Luggage and leather goods
Vetrerie in genere,4,Glassware
Zucchero,4,Sugar
vini (commercio enologico),4,Wine trade
Direttore,4,Director
strumenti musicali,4,Musical instruments
ferramenta e metalli,4,Hardware and metals
sartoria e confezioni per uomo,4,Men's tailoring
drogheria,4,Grocery
Insegnante,4,Teacher
sarto,4,Tailor
fotografo,4,Photographer
acque gassate,4,Carbonated water
rappresentante varie,4,Representative
legatoria di libri,4,Bookbinding
polleria,4,Poultry
Impresa Edile,4,Construction trade
liquori (fabbrica e deposito),4,Liquors
Calonificio Veneziano,4,Venetian hat factory
Architetto,4,Architect
mosaici,4,Mosaics
Falegnameria,4,Carpentry
sartoria,4,Tailoring
"mercerie, filati e affini",4,Notions and yarns
malattie polmonari,4,medical profession
Sarto da uomo,4,tailor
gelateria,4,ice cream shop
navi,4,shipping company
Decoratore e pittore,4,construction trade
professore,4,education
birreria,4,brewery
colori e vernici,4,paint and varnish
Vetria 17,4,GARBAGE
Vetreria,4,glassworks
Acque gassate,3,soft drinks
Acque minerali,3,mineral water
Alluminio,3,metal industry
Argentatura e doratura,3,silver plating
"Armi, munizioni, proiettili",3,arms and ammunition
Aromi per dolci,3,baking flavors
Attività Immobiliari in genere,3,real estate
Bandiere,3,flags
Bilancie,3,scales
Birra,3,beer
Bottiglierie,3,liquor store
Calderai,3,metalworkers
Calzinerci,3,hosiery
Canapa e Lino,3,hemp and linen
Carta da impacco,3,packaging paper
Casse e Arredi Mortuari,3,Funeral supplies
Case Editrici,3,Publishing
Copertoni,3,Tires
Cordami e Spaghi,3,Ropes and twines
Corredi sposa,3,Bridal accessories
Vetrerie,3,Glassware
Cannaregio,3,Neighborhood
Espurgo pozzi neri,3,Waste management
Filati all'ingrosso,3,Wholesale yarns
Fiori artificiali,3,Artificial flowers
Fiori in vetro,3,Glass flowers
Fumisti,3,Chimney sweeps
Ghisa,3,Cast iron
Granaglie,3,Grains
Lamiere,3,Sheets (metal)
Libreria,3,Bookstore
Addizionatrici,3,ADVERTISEMENT
Castello,3,Castle
S. Polo,3,Neighborhood
Metalli greggi e lavorati,3,Raw and processed metals
MOBILI DI FERRO,3,Iron furniture
Motori marini,3,Marine engines
Navi in legno,3,Wooden ships
Navigazione fluviale,3,River navigation
Olii,3,Oils
Ortaggi e legumi,3,Vegetables
Pelle tterie ed affini (negozi),3,Leather goods
Pesce e crostacei,3,Fish and seafood
Picchettaggio o verniciature piroseffi,3,Painting services
Pietra artificiale,3,Artificial stone
Pittore decoratore,3,Painter decorator
Prodotti antisettifughi,3,Medical products
Profumi e affini,3,Perfumes
Recuperi marittimi,3,Maritime recovery
Riparazioni calzature e cappelli,3,Shoe and hat repairs
Sciroppi,3,Syrups
Smalti,3,Enamels
Tessiture seriche per l'arredamento,3,Silk textiles
Vetrate artistiche,3,Stained glass
Società mobiliare e agricola,3,Agricultural company
mobili (fabbriche),3,Furniture manufacturing
carbone e legna (grossista),3,Coal and wood
vetri,3,Glass
Ispettore,3,Inspector
Ortaggi,3,Vegetables
Ristorante,3,Restaurant
Presidente,3,President
Medico,3,Medical profession
Sartoria e confezioni per signora,3,Women's tailoring
attuario,3,ADVERTISEMENT
articoli di gomma,3,rubber goods
chincaglierie,3,novelties
marmi,3,marble
radio,3,radio
rosticceria,3,rotisserie
importazioni ed esportazioni varie,3,import/export
fotografie,3,photography
scultore,3,sculptor
Specialità Veneziane,3,Venetian specialties
calze,3,stockings
mobili usati,3,used furniture
friggitore e commestibili cotti,3,fried foods
trebbiatura,3,threshing
pesca marittima,3,fishing
detersivi,3,detergents
officina meccanica e metallurgica,3,mechanical workshop
chirurgo,3,surgeon
Giudice,3,judge
Modisteria,3,millinery
Alimentari (gross.),3,groceries
articoli fotografici,3,photographic items
Segretario,3,secretary
biancheria e affini,3,linen and related
vicario,3,vicar
cereali,3,cereals
Pasticceria,3,Pastry shop
Farmacia,3,Pharmacy
Profumeria,3,Perfume shop
pesce (ingrosso),3,Wholesale fish
rappresentante apparecchi e materiale radio,3,Radio equipment sales
caffe (esercizi),3,Coffee shop
Rappresentanze Varie,3,Various representations
Pretore della Pretura Civile e Penale,3,Civil and criminal court
Calzaturificio,3,Shoe factory
Perito,3,Expert
S. Marco 3650,3,GARBAGE
moderna,3,ADVERTISEMENT
Articoli casalinghi,3,Household items
Medicina,3,Medicine
materiali refrattari e laterizi,3,Refractory materials
compra-vendita immobili,3,Real estate
S. Fantin 1983-A,3,GARBAGE
construction enterprise,3,Construction trade
Tipografia,3,Printing
Acciai,2,Steel
Accordatori pianoforti,2,Piano tuners
Aceto,2,Vinegar
Acquarelli e fotografie,2,Watercolors and photography
Acquisto,2,Purchase
Foto reportage,2,Photo reportage
Agenzia Marittima,2,shipping company
Anonima di Navigazione,2,shipping company
Agenzie di pubblicità,2,advertising agency
Agenzie di viaggio e turismo,2,travel agency
Alcool,2,liquor
Soc. Coop.,2,cooperative
Approvvigionamenti,2,supplies
Armatori,2,shipowners
Articoli Elettrici,2,electrical goods
Articoli Sportivi,2,sporting goods
Bitumi,2,bitumen
Liquori,2,liquor
Cantine,2,wineries
Carburanti,2,fuels
Carburo di calcio,2,calcium carbide
Carni,2,meats
Cartoline illustrate,2,postcards
Arti Grafiche,2,graphic arts
Caviale,2,caviar
Cementi,2,cement
Cinghie di Cuoio,2,leather belts
COLORI - VERNICI - SMALTI,2,paints and varnishes
Confezioni per Uomo,2,men's clothing
fdm. Navagero 34,2,GARBAGE
Costruzioni e riparazioni navali,2,shipbuilding and repair
(eomerscio),2,GARBAGE
Elettrodi,2,Electrodes
Estintori da incendio,2,Fire extinguishers
Elettrotecnica,2,Electrical engineering
Esportazioni,2,Exports
Essicazione frutta ed erbaggi,2,Fruit and vegetable drying
COPERTURE - RIVESTIMENTI - TUBAZIONI,2,Coverings and coatings
Fertilizzanti e anticrittogamici,2,Fertilizers and fungicides
Fibre vegetali ed affini,2,Plant fibers
Filatelico,2,Philately
"Importazione, Esportazione Frutta e verdura",2,Import/export fruits and vegetables
Forniture enti vari,2,Supplies for various entities
Idraulica e sanitaria,2,Plumbing and sanitation
Forniture navali e industriali,2,Naval and industrial supplies
"Imprese Lavori, Commercio Legnami, Forniture, Demolizioni, Costruzioni in Legno, Appalti",2,Construction and timber trade
sviluppo e stampa,2,ADVERTISEMENT
Venezia,2,GARBAGE
FOTO,2,ADVERTISEMENT
Frutta e verdura conservate,2,Canned fruits and vegetables
Gas,2,Gas
Gelateria,2,Ice cream shop
Impianti elettrici,2,Electrical systems
Imprese immobiliari,2,Real estate
Isolanti termici ed acustici,2,Thermal and acoustic insulation
Istituti di Bellezza,2,Beauty institutes
Istituti d'informazioni e di investigazioni,2,Investigation services
Lane e crine,2,Wool and hair
Latte (grossisti),2,Dairy wholesaler
Lavorazione droghe,2,Drug processing
Lavori portuali,2,Port works
Legna per cellulosa,2,Wood for cellulose
Legname compensato,2,Plywood
Liqouri (dettaglio),2,Liquors (retail)
Lucido de scarpe (fabbriche),2,Shoe polish (manufacturers)
Macchine agricole,2,Agricultural machinery
Macchine cinematografiche,2,Cinematographic machines
Macchine utensili,2,Machine tools
Manifatture e tessuti,2,Textiles and fabrics
Marmellate,2,Jams
Materiale per agricoltura,2,Agricultural materials
Materiali,2,Materials
MOBILI DI LUSSO E COMUNI,2,Luxury and common furniture
Navigazione lagunare,2,Lagoon navigation
Navi in cemento,2,Concrete ships
Nettezza urbana,2,Urban sanitation
Officine fabbrili,2,Metal workshops
Oggetti artistici per regali,2,Artistic gift items
Oggetti di piombo,2,Lead objects
Pennelli e spazzole,2,Brushes and combs
Pesce marittima,2,Seafood
Pescicoltura,2,Aquaculture
Portabagagli,2,Luggage services
Prodotti agricoli,2,Agricultural products
Prodotti antiparassitari,2,Pesticides
Prodotti e sottoprodotti petroliferi,2,Petroleum products
Provveditori marittimi,2,Maritime suppliers
"Rappresentanti e commissionari auto, cicli e accessori",2,Auto and cycle representatives
materiali edili,2,Construction materials
Riparazioni barche e motori,2,Boat and engine repairs
Rivestimenti,2,Coatings
Sacchetti di carta,2,Paper bags
Salumi (grossisti),2,Wholesale cured meats
Sartoria civile e militare,2,Tailoring
Scuole di dattilografia,2,Typing schools
Segherie,2,Sawmills
Sementi,2,Seeds
Serramenti,2,Window frames
setorie e lanerie,2,Textiles and wool
Società minerarie,2,Mining companies
Soffierie,2,Glassblowing
Specchi veneziani,2,Venetian mirrors
Spedizioni e trasporfti,2,Shipping and transport
Agenzia Trasporti,2,Transport agency
S. A.,2,ADVERTISEMENT
Telerie,2,Linen products
Tessuti stampati e artistici,2,Printed fabrics
Timbri di gomma,2,Rubber stamps
Trasporti marittimi,2,Shipping company
Vele e bandiere,2,Sails and flags
Vernici sottomarine,2,Underwater paints
Vetri di Murano,2,Murano glass
Vetri neutri,2,Neutral glass
Zincografia,2,Zincography
Zolfo,2,Sulfur
agenzia d'affari,2,Business agency
medico,2,Medical profession
vallicultura,2,Agriculture
Alimentari (dett),2,Grocer
Pellicceria,2,Furrier
Sindaco,2,Government/civic institution
Consigliere,2,Government/civic institution
Caffè (torrefazione),2,Coffee roasting
Pensione,2,Boarding house
Ingegnere,2,Engineering
Sartoria e confezioni per uomo,2,Tailor
S.,2,GARBAGE
merceria,2,Notions store
fertilizzanti e anticrittogamici,2,Fertilizers
decoratori e pittori,2,Decorators and painters
Vicario,2,Religious institution/clergy
antichita belle arti,2,antiques
murari,2,masonry
terrazziario,2,flooring
Assitenza,2,assistance
carbone,2,coal
cereria e prodotti affini,2,candle making
rappresentanti,2,representatives
Ponte delle Guglie,2,bridge
carbone (importatori e produttori),2,coal (importers and producers)
gioielleria,2,jewelry
ghiaccio (vendita),2,ice sales
veterinario,2,veterinary
Banco S. Marco,2,bank
Genio Civile,2,civil engineering
bar-pasticceria,2,café-pastry shop
rettore,2,rector
Carpentiere,2,carpenter
Carbone e Legna (dettaglio),2,coal and wood (retail)
Articoli di Lusso per Regali,2,luxury gift items
rappresentante calzature,2,shoe representative
pianoforti,2,pianos
"oreficeria, gioielleria",2,"goldsmithing, jewelry"
pastificio,2,pasta production
carbone legna,2,coal wood
rappresentante tessuti confezioni,2,textile representative
mobili,2,furniture
materiale elettrico,2,electrical materials
Vice Direttore,2,government/civic institution
calzolaio,2,shoemaker
frutta secca,2,dried fruit
ottica,2,optics
pelletterie,2,leather goods
officina meccanica metallurgica e costruzioni in ferro,2,mechanical workshop
valigerie,2,luggage
Forniture complete MOBILI e ACCESSORI per UFFICI,2,ADVERTISEMENT
oli commestibili,2,edible oils
vini grossista,2,wine wholesaler
macchine cinematografiche,2,cinematographic equipment
cartoline illustrate,2,postcards
rappresentante profumi,2,perfume representative
carta cartoni ed affini (industria),2,paper industry
S. Cassiano,2,GARBAGE
mobili (negozi),2,furniture (stores)
avv,2,legal profession
alimentaristi (dett.),2,food retailers
stomatologo,2,dental profession
Carbone e legna,2,coal and wood
Materiale per costruzioni edilizie,2,construction materials
Amministrazione della Provincia,2,government/civic institution
Chimico,2,chemical profession
Commissario,2,government/civic institution
alimentari (det.),2,grocery
Manifatture,2,manufacturing
Pesce (ingrosso),2,fish wholesaler
Alimentari (det.t),2,grocery
Frutta e verdura (grossista),2,fruit and vegetable wholesaler
navi (demolizione),2,shipping company
olii commestibili,2,edible oils
sartoria da uomo,2,tailor
carbone e legna (dettagli),2,coal and wood retailer
carbone e legna (dett.),2,coal and wood retailer
har,2,GARBAGE
Agenzia marittima,2,shipping agency
vetri artistici,2,artistic glass
dolciumi,2,confectionery
Direzione S. Lucia,2,GARBAGE
Strada Nuova,2,GARBAGE
impianti di riscaldamento,2,heating systems
sartoria uomo,2,tailor
Carbone e legna (dettaglio),2,coal and wood retailer
materiali da costruzione,2,construction materials
confezioni per bambini,2,children's clothing
terraglie,2,pottery
carta,2,paper
mode,2,fashion
liquori (fabrica e deposito),2,liquor store
bandaio e lattoniere,2,plumber and tinsmith
Articoli Casalinghi,2,household goods
insegnante Accademia di Belle Arti,2,art teacher
rappresentante materiali edili,2,building materials
merletti e ricami,2,lace and embroidery
ghiaccio,2,ice
prodotti farmaceutici (commercio),2,pharmaceutical trade
Riparazioni calzature e capelli,2,shoe and hair repairs
combustibili liquidi ed affini,2,liquid fuels
coltellinaio e arrotino,2,cutler and sharpener
"alimentari gross, drogheria",2,grocery store
S. Croce 1051,2,GARBAGE
cantieri navale,2,shipyard
medico generale,2,general practitioner
ottica (commercio),2,optical trade
oli commestibili (commercio),2,edible oils
imprese edili,2,construction trade
vini (grossisti),2,wine wholesaler
pellami e cuoi,2,leather and hides
Giudice Tribunale Civile e Penale,2,legal profession
Rappresentante generi alimentari,2,food representative
Legnami e pali da costruzione,2,timber and construction poles
"terraglie, porcellane",2,ceramics and porcelain
officina elettromeccanica,2,electromechanical workshop
impianti telefonici,2,telephone installations
commercio,2,commerce
barbieri,2,barbers
uova,2,eggs
Economo,2,accountant
Farmacista,2,pharmacist
fotografo (gabinetti di posa),2,photographer
liquori,2,liquors
friggitoria e commestibili cotti,2,fried food
(grossista),2,wholesaler
rimorchiatori,2,tugboats
maglieria (negozio),2,knitwear
giornali rivendita,2,newspaper sales
Cicli e Motocicli,2,bicycles and motorcycles
Palazzo Giustinian,2,government/civic institution
caffè (surrogati),2,coffee substitutes
Calle Goldoni,2,ADVERTISEMENT
Casa di Spedizioni,2,shipping company
acquisto fabbricati e aziende agricole,2,real estate
acquisto costruzioni immobili,2,construction trade
